Gene stable ID,Blue whale gene stable ID,Blue whale gene name,Blue whale homology type,Sperm whale gene stable ID,Sperm whale gene name,Sperm whale homology type,Vaquita gene stable ID,Vaquita gene name,Vaquita homology type,Gene name
ENSBTAG00000000712,ENSBMSG00010007806,FBXW2,ortholog_one2one,ENSPCTG00005018234,FBXW2,ortholog_one2one,ENSPSNG00000006306,FBXW2,ortholog_one2one,FBXW2
ENSBTAG00000000785,ENSBMSG00010009987,,ortholog_one2one,ENSPCTG00005013139,PASK,ortholog_one2one,ENSPSNG00000001035,PASK,ortholog_one2one,PASK
ENSBTAG00000000810,ENSBMSG00010004064,COPE,ortholog_one2one,ENSPCTG00005019415,COPE,ortholog_one2one,ENSPSNG00000002124,COPE,ortholog_one2one,COPE
ENSBTAG00000000831,ENSBMSG00010021317,CTNS,ortholog_one2one,ENSPCTG00005004685,CTNS,ortholog_one2one,ENSPSNG00000018024,CTNS,ortholog_one2one,CTNS
ENSBTAG00000000833,ENSBMSG00010021330,TAX1BP3,ortholog_one2one,ENSPCTG00005004640,TAX1BP3,ortholog_one2one,ENSPSNG00000017987,TAX1BP3,ortholog_one2one,TAX1BP3
ENSBTAG00000000918,ENSBMSG00010009525,ERMARD,ortholog_one2one,ENSPCTG00005003957,ERMARD,ortholog_one2one,ENSPSNG00000009470,ERMARD,ortholog_one2one,ERMARD
ENSBTAG00000000982,ENSBMSG00010010524,C3orf84,ortholog_one2one,ENSPCTG00005011705,C3orf84,ortholog_one2one,ENSPSNG00000004885,C3orf84,ortholog_one2one,C22H3orf84
ENSBTAG00000001062,ENSBMSG00010014700,PTH2,ortholog_one2one,ENSPCTG00005015750,PTH2,ortholog_one2one,ENSPSNG00000014105,PTH2,ortholog_one2one,PTH2
ENSBTAG00000001071,ENSBMSG00010015133,WRAP53,ortholog_one2one,ENSPCTG00005021179,WRAP53,ortholog_one2one,ENSPSNG00000009680,WRAP53,ortholog_one2one,WRAP53
ENSBTAG00000001109,,,,ENSPCTG00005013261,MRPS14,ortholog_one2one,ENSPSNG00000018472,MRPS14,ortholog_one2one,MRPS14
ENSBTAG00000001109,,,,ENSPCTG00005013261,MRPS14,ortholog_one2one,ENSPSNG00000018472,MRPS14,ortholog_one2one,MRPS14
ENSBTAG00000001113,ENSBMSG00010015087,NDUFAF7,ortholog_one2one,,,,ENSPSNG00000014303,NDUFAF7,ortholog_one2one,NDUFAF7
ENSBTAG00000001113,ENSBMSG00010015087,NDUFAF7,ortholog_one2one,,,,ENSPSNG00000014303,NDUFAF7,ortholog_one2one,NDUFAF7
ENSBTAG00000001140,ENSBMSG00010018884,,ortholog_one2one,ENSPCTG00005012450,IAH1,ortholog_one2one,ENSPSNG00000022542,IAH1,ortholog_one2one,IAH1
ENSBTAG00000001168,ENSBMSG00010014615,BRAP,ortholog_one2one,ENSPCTG00005018958,BRAP,ortholog_one2one,ENSPSNG00000017409,BRAP,ortholog_one2one,BRAP
ENSBTAG00000001174,ENSBMSG00010015731,MRPL15,ortholog_one2one,ENSPCTG00005007420,MRPL15,ortholog_one2one,ENSPSNG00000011469,MRPL15,ortholog_one2one,MRPL15
ENSBTAG00000001199,ENSBMSG00010003437,DAP3,ortholog_one2one,ENSPCTG00005011863,DAP3,ortholog_one2one,ENSPSNG00000000898,DAP3,ortholog_one2one,DAP3
ENSBTAG00000001204,ENSBMSG00010005345,JCAD,ortholog_one2one,ENSPCTG00005003187,,ortholog_one2one,ENSPSNG00000002960,JCAD,ortholog_one2one,JCAD
ENSBTAG00000001314,ENSBMSG00010010713,TRMT6,ortholog_one2one,ENSPCTG00005009158,TRMT6,ortholog_one2one,ENSPSNG00000006283,TRMT6,ortholog_one2one,TRMT6
ENSBTAG00000001320,ENSBMSG00010013463,VPS16,ortholog_one2one,ENSPCTG00005005686,VPS16,ortholog_one2one,ENSPSNG00000011145,VPS16,ortholog_one2one,VPS16
ENSBTAG00000001346,ENSBMSG00010019366,STRA8,ortholog_one2one,ENSPCTG00005003817,STRA8,ortholog_one2one,ENSPSNG00000021214,STRA8,ortholog_one2one,STRA8
ENSBTAG00000001352,ENSBMSG00010006084,ENTR1,ortholog_one2one,ENSPCTG00005009894,ENTR1,ortholog_one2one,ENSPSNG00000003257,ENTR1,ortholog_one2one,ENTR1
ENSBTAG00000001419,ENSBMSG00010011859,MRPL4,ortholog_one2one,ENSPCTG00005017943,MRPL4,ortholog_one2one,ENSPSNG00000020027,MRPL4,ortholog_one2one,MRPL4
ENSBTAG00000001504,ENSBMSG00010010268,NOP14,ortholog_one2one,ENSPCTG00005019882,,ortholog_one2one,ENSPSNG00000000180,NOP14,ortholog_one2one,NOP14
ENSBTAG00000001520,ENSBMSG00010000058,MRPL24,ortholog_one2one,ENSPCTG00005015901,MRPL24,ortholog_one2one,ENSPSNG00000002772,MRPL24,ortholog_one2one,MRPL24
ENSBTAG00000001522,ENSBMSG00010015060,MTERF3,ortholog_one2one,ENSPCTG00005006724,MTERF3,ortholog_one2one,ENSPSNG00000014276,MTERF3,ortholog_one2one,MTERF3
ENSBTAG00000001594,ENSBMSG00010021982,ARL6IP4,ortholog_one2one,ENSPCTG00005021395,ARL6IP4,ortholog_one2one,ENSPSNG00000009715,ARL6IP4,ortholog_one2one,ARL6IP4
ENSBTAG00000001632,ENSBMSG00010014195,NBR1,ortholog_one2one,ENSPCTG00005012012,,ortholog_one2one,ENSPSNG00000014260,NBR1,ortholog_one2one,NBR1
ENSBTAG00000001665,ENSBMSG00010020898,COG8,ortholog_one2one,ENSPCTG00005017838,COG8,ortholog_one2one,ENSPSNG00000012149,COG8,ortholog_one2one,COG8
ENSBTAG00000001711,ENSBMSG00010017600,,ortholog_one2one,ENSPCTG00005012893,,ortholog_one2one,,,,BORCS6
ENSBTAG00000001747,ENSBMSG00010010910,PEX3,ortholog_one2one,ENSPCTG00005001886,PEX3,ortholog_one2one,ENSPSNG00000014929,PEX3,ortholog_one2one,PEX3
ENSBTAG00000001763,ENSBMSG00010002762,NR2C2AP,ortholog_one2one,ENSPCTG00005012090,NR2C2AP,ortholog_one2one,ENSPSNG00000001752,NR2C2AP,ortholog_one2one,NR2C2AP
ENSBTAG00000001792,ENSBMSG00010003442,MICOS13,ortholog_one2one,ENSPCTG00005009730,MICOS13,ortholog_one2one,ENSPSNG00000016941,MICOS13,ortholog_one2one,MICOS13
ENSBTAG00000001796,ENSBMSG00010003335,CATSPERD,ortholog_one2one,ENSPCTG00005008881,,ortholog_one2one,ENSPSNG00000017551,CATSPERD,ortholog_one2one,CATSPERD
ENSBTAG00000001806,ENSBMSG00010017912,IQCD,ortholog_one2one,ENSPCTG00005021906,IQCD,ortholog_one2one,ENSPSNG00000009007,IQCD,ortholog_one2one,IQCD
ENSBTAG00000001834,ENSBMSG00010021012,PNKP,ortholog_one2one,ENSPCTG00005007654,PNKP,ortholog_one2one,ENSPSNG00000021112,PNKP,ortholog_one2one,PNKP
ENSBTAG00000001844,ENSBMSG00010012952,MOGS,ortholog_one2one,ENSPCTG00005010031,MOGS,ortholog_one2one,ENSPSNG00000014780,MOGS,ortholog_one2one,MOGS
ENSBTAG00000001848,ENSBMSG00010019828,KATNB1,ortholog_one2one,ENSPCTG00005018786,KATNB1,ortholog_one2one,ENSPSNG00000021659,KATNB1,ortholog_one2one,KATNB1
ENSBTAG00000001854,ENSBMSG00010019286,CIAPIN1,ortholog_one2one,ENSPCTG00005021813,CIAPIN1,ortholog_one2one,ENSPSNG00000021155,CIAPIN1,ortholog_one2one,CIAPIN1
ENSBTAG00000001855,ENSBMSG00010019327,COQ9,ortholog_one2one,ENSPCTG00005021729,COQ9,ortholog_one2one,ENSPSNG00000021226,COQ9,ortholog_one2one,COQ9
ENSBTAG00000001872,ENSBMSG00010018899,ORC6,ortholog_one2one,ENSPCTG00005018581,ORC6,ortholog_one2one,,,,ORC6
ENSBTAG00000001872,ENSBMSG00010018899,ORC6,ortholog_one2one,ENSPCTG00005018581,ORC6,ortholog_one2one,,,,ORC6
ENSBTAG00000001917,ENSBMSG00010008659,C11orf16,ortholog_one2one,ENSPCTG00005006239,C16H11orf16,ortholog_one2one,ENSPSNG00000015664,C11orf16,ortholog_one2one,C15H11orf16
ENSBTAG00000001922,ENSBMSG00010008635,AKIP1,ortholog_one2one,ENSPCTG00005006158,AKIP1,ortholog_one2one,ENSPSNG00000015451,AKIP1,ortholog_one2one,AKIP1
ENSBTAG00000001962,ENSBMSG00010004277,MRPS27,ortholog_one2one,ENSPCTG00005001179,MRPS27,ortholog_one2one,ENSPSNG00000007388,MRPS27,ortholog_one2one,MRPS27
ENSBTAG00000001999,ENSBMSG00010006870,NKAPD1,ortholog_one2one,ENSPCTG00005021974,NKAPD1,ortholog_one2one,ENSPSNG00000008194,NKAPD1,ortholog_one2one,NKAPD1
ENSBTAG00000002021,ENSBMSG00010011290,BNIP1,ortholog_one2one,ENSPCTG00005002731,BNIP1,ortholog_one2one,ENSPSNG00000007042,BNIP1,ortholog_one2one,BNIP1
ENSBTAG00000002060,ENSBMSG00010021867,RPL19,ortholog_one2one,,,,ENSPSNG00000020768,RPL19,ortholog_one2one,RPL19
ENSBTAG00000002060,ENSBMSG00010021867,RPL19,ortholog_one2one,,,,ENSPSNG00000020768,RPL19,ortholog_one2one,RPL19
ENSBTAG00000002073,ENSBMSG00010008093,RAD17,ortholog_one2one,ENSPCTG00005000727,RAD17,ortholog_one2one,ENSPSNG00000008246,RAD17,ortholog_one2one,RAD17
ENSBTAG00000002105,ENSBMSG00010006538,,ortholog_one2one,ENSPCTG00005006231,,ortholog_one2one,ENSPSNG00000004142,TEX261,ortholog_one2one,TEX261
ENSBTAG00000002130,ENSBMSG00010016020,SMPD4,ortholog_one2one,ENSPCTG00005011226,SMPD4,ortholog_one2one,ENSPSNG00000010532,SMPD4,ortholog_one2one,SMPD4
ENSBTAG00000002143,ENSBMSG00010013036,DTWD2,ortholog_one2one,ENSPCTG00005001351,DTWD2,ortholog_one2one,ENSPSNG00000003992,DTWD2,ortholog_one2one,DTWD2
ENSBTAG00000002219,ENSBMSG00010001636,ATAD3A,ortholog_one2one,ENSPCTG00005002332,ATAD3A,ortholog_one2one,ENSPSNG00000001261,ATAD3A,ortholog_one2one,ATAD3A
ENSBTAG00000002236,ENSBMSG00010013624,TRPC4AP,ortholog_one2one,ENSPCTG00005008061,TRPC4AP,ortholog_one2one,ENSPSNG00000011589,TRPC4AP,ortholog_one2one,TRPC4AP
ENSBTAG00000002327,ENSBMSG00010017359,TMEM208,ortholog_one2one,ENSPCTG00005014062,TMEM208,ortholog_one2one,ENSPSNG00000018943,TMEM208,ortholog_one2one,TMEM208
ENSBTAG00000002389,ENSBMSG00010006189,MED19,ortholog_one2one,ENSPCTG00005021852,MED19,ortholog_one2one,ENSPSNG00000015588,MED19,ortholog_one2one,MED19
ENSBTAG00000002401,ENSBMSG00010008841,NPFF,ortholog_one2one,ENSPCTG00005008851,NPFF,ortholog_one2one,ENSPSNG00000004338,NPFF,ortholog_one2one,NPFF
ENSBTAG00000002404,ENSBMSG00010006209,TMX2,ortholog_one2one,ENSPCTG00005021876,TMX2,ortholog_one2one,ENSPSNG00000015700,TMX2,ortholog_one2one,TMX2
ENSBTAG00000002447,ENSBMSG00010006183,C19orf44,ortholog_one2one,ENSPCTG00005007900,C19orf44,ortholog_one2one,ENSPSNG00000001424,C19orf44,ortholog_one2one,C7H19orf44
ENSBTAG00000002457,ENSBMSG00010006693,,ortholog_one2one,,,,ENSPSNG00000009257,,ortholog_one2one,SEC61B
ENSBTAG00000002457,ENSBMSG00010006693,,ortholog_one2one,,,,ENSPSNG00000009257,,ortholog_one2one,SEC61B
ENSBTAG00000002458,ENSBMSG00010001449,NUP155,ortholog_one2one,ENSPCTG00005015912,NUP155,ortholog_one2one,ENSPSNG00000004202,NUP155,ortholog_one2one,NUP155
ENSBTAG00000002462,ENSBMSG00010003775,MRPL47,ortholog_one2one,ENSPCTG00005002655,MRPL47,ortholog_one2one,ENSPSNG00000000528,MRPL47,ortholog_one2one,MRPL47
ENSBTAG00000002492,ENSBMSG00010006857,SYCP3,ortholog_one2one,ENSPCTG00005015907,SYCP3,ortholog_one2one,ENSPSNG00000006499,SYCP3,ortholog_one2one,SYCP3
ENSBTAG00000002493,ENSBMSG00010018847,VPS35,ortholog_one2one,ENSPCTG00005018229,MYLK3,ortholog_one2one,ENSPSNG00000021085,VPS35,ortholog_one2one,VPS35
ENSBTAG00000002559,ENSBMSG00010006569,MIOX,ortholog_one2one,ENSPCTG00005002970,MIOX,ortholog_one2one,ENSPSNG00000015092,MIOX,ortholog_one2one,MIOX
ENSBTAG00000002583,ENSBMSG00010001767,DNALI1,ortholog_one2one,ENSPCTG00005003612,DNALI1,ortholog_one2one,ENSPSNG00000018223,DNALI1,ortholog_one2one,DNALI1
ENSBTAG00000002678,ENSBMSG00010000572,MED18,ortholog_one2one,ENSPCTG00005003980,MED18,ortholog_one2one,ENSPSNG00000006165,MED18,ortholog_one2one,MED18
ENSBTAG00000002693,ENSBMSG00010015639,KANSL2,ortholog_one2one,ENSPCTG00005010081,KANSL2,ortholog_one2one,ENSPSNG00000013130,KANSL2,ortholog_one2one,KANSL2
ENSBTAG00000002746,ENSBMSG00010003413,,ortholog_one2one,ENSPCTG00005001197,OSTF1,ortholog_one2one,ENSPSNG00000020965,,ortholog_one2one,OSTF1
ENSBTAG00000002764,ENSBMSG00010022083,IGFLR1,ortholog_one2one,ENSPCTG00005013049,,ortholog_one2one,ENSPSNG00000013247,,ortholog_one2one,IGFLR1
ENSBTAG00000002816,ENSBMSG00010019074,SARM1,ortholog_one2one,ENSPCTG00005016968,SARM1,ortholog_one2one,ENSPSNG00000019321,SARM1,ortholog_one2one,SARM1
ENSBTAG00000002822,ENSBMSG00010012957,CNBD2,ortholog_one2one,ENSPCTG00005006910,CNBD2,ortholog_one2one,ENSPSNG00000008464,CNBD2,ortholog_one2one,CNBD2
ENSBTAG00000002972,ENSBMSG00010011160,DNAI7,ortholog_one2one,ENSPCTG00005018863,CASC1,ortholog_one2one,ENSPSNG00000007486,DNAI7,ortholog_one2one,DNAI7
ENSBTAG00000002999,,,,ENSPCTG00005016910,ANAPC15,ortholog_one2one,,,,ANAPC15
ENSBTAG00000003058,ENSBMSG00010011687,ADRM1,ortholog_one2one,ENSPCTG00005014185,ADRM1,ortholog_one2one,ENSPSNG00000013077,ADRM1,ortholog_one2one,ADRM1
ENSBTAG00000003083,ENSBMSG00010002251,SLC50A1,ortholog_one2one,ENSPCTG00005021556,SLC50A1,ortholog_one2one,ENSPSNG00000003972,SLC50A1,ortholog_one2one,SLC50A1
ENSBTAG00000003100,ENSBMSG00010012092,SMTN,ortholog_one2one,ENSPCTG00005017579,SMTN,ortholog_one2one,ENSPSNG00000005591,SMTN,ortholog_one2one,SMTN
ENSBTAG00000003361,ENSBMSG00010011883,METTL15,ortholog_one2one,ENSPCTG00005011846,METTL15,ortholog_one2one,ENSPSNG00000012699,METTL15,ortholog_one2one,METTL15
ENSBTAG00000003371,ENSBMSG00010007274,JKAMP,ortholog_one2one,ENSPCTG00005006188,JKAMP,ortholog_one2one,ENSPSNG00000009382,JKAMP,ortholog_one2one,JKAMP
ENSBTAG00000003384,ENSBMSG00010010866,CEP162,ortholog_one2one,ENSPCTG00005016802,CEP162,ortholog_one2one,ENSPSNG00000007126,CEP162,ortholog_one2one,CEP162
ENSBTAG00000003390,ENSBMSG00010012454,SF3A1,ortholog_one2one,ENSPCTG00005005169,SF3A1,ortholog_one2one,ENSPSNG00000007269,SF3A1,ortholog_one2one,SF3A1
ENSBTAG00000003484,,,,ENSPCTG00005022821,CZIB,ortholog_one2one,ENSPSNG00000017279,CZIB,ortholog_one2one,CZIB
ENSBTAG00000003484,,,,ENSPCTG00005022821,CZIB,ortholog_one2one,ENSPSNG00000017279,CZIB,ortholog_one2one,CZIB
ENSBTAG00000003494,ENSBMSG00010013909,DNAAF9,ortholog_one2one,ENSPCTG00005007234,C14H20orf194,ortholog_one2one,ENSPSNG00000014187,DNAAF9,ortholog_one2one,DNAAF9
ENSBTAG00000003504,ENSBMSG00010013721,GSS,ortholog_one2one,ENSPCTG00005008290,GSS,ortholog_one2one,ENSPSNG00000012466,GSS,ortholog_one2one,GSS
ENSBTAG00000003535,ENSBMSG00010002444,DPM3,ortholog_one2one,ENSPCTG00005021546,DPM3,ortholog_one2one,ENSPSNG00000004007,DPM3,ortholog_one2one,DPM3
ENSBTAG00000003556,ENSBMSG00010011171,ZFYVE21,ortholog_one2one,ENSPCTG00005005897,ZFYVE21,ortholog_one2one,ENSPSNG00000013100,,ortholog_one2one,ZFYVE21
ENSBTAG00000003589,ENSBMSG00010004076,COMMD3,ortholog_one2one,ENSPCTG00005001759,COMMD3,ortholog_one2one,ENSPSNG00000008023,COMMD3,ortholog_one2one,COMMD3
ENSBTAG00000003804,ENSBMSG00010000887,SCCPDH,ortholog_one2one,ENSPCTG00005002144,SCCPDH,ortholog_one2one,ENSPSNG00000002932,SCCPDH,ortholog_one2one,SCCPDH
ENSBTAG00000003813,ENSBMSG00010004770,BCS1L,ortholog_one2one,ENSPCTG00005018671,BCS1L,ortholog_one2one,ENSPSNG00000012039,BCS1L,ortholog_one2one,BCS1L
ENSBTAG00000003817,ENSBMSG00010004780,RNF25,ortholog_one2one,ENSPCTG00005018698,RNF25,ortholog_one2one,ENSPSNG00000011955,RNF25,ortholog_one2one,RNF25
ENSBTAG00000003861,ENSBMSG00010015287,GPATCH11,ortholog_one2one,ENSPCTG00005014987,GPATCH11,ortholog_one2one,ENSPSNG00000013915,GPATCH11,ortholog_one2one,GPATCH11
ENSBTAG00000003906,ENSBMSG00010009729,SUPT7L,ortholog_one2one,ENSPCTG00005007722,SUPT7L,ortholog_one2one,ENSPSNG00000006169,SUPT7L,ortholog_one2one,SUPT7L
ENSBTAG00000003941,ENSBMSG00010011262,AP1AR,ortholog_one2one,ENSPCTG00005003475,AP1AR,ortholog_one2one,ENSPSNG00000004571,AP1AR,ortholog_one2one,AP1AR
ENSBTAG00000003958,ENSBMSG00010019961,TMEM220,ortholog_one2one,ENSPCTG00005012983,TMEM220,ortholog_one2one,ENSPSNG00000019605,TMEM220,ortholog_one2one,TMEM220
ENSBTAG00000003970,ENSBMSG00010013866,MITD1,ortholog_one2one,ENSPCTG00005010409,MITD1,ortholog_one2one,ENSPSNG00000007272,MITD1,ortholog_one2one,MITD1
ENSBTAG00000004095,ENSBMSG00010003947,CIMIP2A,ortholog_one2one,ENSPCTG00005007138,FAM166A,ortholog_one2one,ENSPSNG00000005807,CIMIP2A,ortholog_one2one,CIMIP2A
ENSBTAG00000004098,ENSBMSG00010009705,ARMT1,ortholog_one2one,ENSPCTG00005006118,ARMT1,ortholog_one2one,ENSPSNG00000022528,ARMT1,ortholog_one2one,ARMT1
ENSBTAG00000004100,ENSBMSG00010021392,TTI1,ortholog_one2one,ENSPCTG00005004679,TTI1,ortholog_one2one,ENSPSNG00000005713,TTI1,ortholog_one2one,TTI1
ENSBTAG00000004108,ENSBMSG00010017952,CENPX,ortholog_one2one,,,,ENSPSNG00000021627,CENPX,ortholog_one2one,CENPX
ENSBTAG00000004112,ENSBMSG00010009988,GAMT,ortholog_one2one,ENSPCTG00005020802,GAMT,ortholog_one2one,ENSPSNG00000001031,,ortholog_one2one,GAMT
ENSBTAG00000004184,ENSBMSG00010011260,WDSUB1,ortholog_one2one,ENSPCTG00005008448,WDSUB1,ortholog_one2one,ENSPSNG00000004541,WDSUB1,ortholog_one2one,WDSUB1
ENSBTAG00000004224,ENSBMSG00010011004,C19orf38,ortholog_one2one,ENSPCTG00005006278,,ortholog_one2one,ENSPSNG00000000687,C19orf38,ortholog_one2one,C7H19orf38
ENSBTAG00000004230,ENSBMSG00010008873,AIMP1,ortholog_one2one,ENSPCTG00005001065,AIMP1,ortholog_one2one,ENSPSNG00000009062,AIMP1,ortholog_one2one,AIMP1
ENSBTAG00000004268,ENSBMSG00010000411,TRAPPC5,ortholog_one2one,ENSPCTG00005016184,TRAPPC5,ortholog_one2one,ENSPSNG00000009905,TRAPPC5,ortholog_one2one,TRAPPC5
ENSBTAG00000004284,ENSBMSG00010017349,UFD1,ortholog_one2one,ENSPCTG00005021844,UFD1,ortholog_one2one,ENSPSNG00000022294,UFD1,ortholog_one2one,UFD1
ENSBTAG00000004286,ENSBMSG00010017411,CDC45,ortholog_one2one,ENSPCTG00005021810,CDC45,ortholog_one2one,ENSPSNG00000022278,CDC45,ortholog_one2one,CDC45
ENSBTAG00000004310,ENSBMSG00010001175,UBR7,ortholog_one2one,ENSPCTG00005015529,UBR7,ortholog_one2one,ENSPSNG00000000999,UBR7,ortholog_one2one,UBR7
ENSBTAG00000004334,ENSBMSG00010004238,NCSTN,ortholog_one2one,ENSPCTG00005001806,NCSTN,ortholog_one2one,ENSPSNG00000006871,NCSTN,ortholog_one2one,NCSTN
ENSBTAG00000004378,ENSBMSG00010007956,IL23A,ortholog_one2one,ENSPCTG00005015129,IL23A,ortholog_one2one,ENSPSNG00000008386,IL23A,ortholog_one2one,IL23A
ENSBTAG00000004422,ENSBMSG00010002031,,ortholog_one2one,,,,,,,ALG14
ENSBTAG00000004492,ENSBMSG00010001106,,ortholog_one2one,ENSPCTG00005003065,SWT1,ortholog_one2one,ENSPSNG00000003932,SWT1,ortholog_one2one,SWT1
ENSBTAG00000004571,ENSBMSG00010005775,PRPF4,ortholog_one2one,ENSPCTG00005010458,PRPF4,ortholog_one2one,ENSPSNG00000009749,PRPF4,ortholog_one2one,PRPF4
ENSBTAG00000004622,ENSBMSG00010015220,DZANK1,ortholog_one2one,ENSPCTG00005011932,DZANK1,ortholog_one2one,ENSPSNG00000005872,,ortholog_one2one,DZANK1
ENSBTAG00000004631,ENSBMSG00010006894,KIAA0586,ortholog_one2one,ENSPCTG00005005784,KIAA0586,ortholog_one2one,ENSPSNG00000008812,KIAA0586,ortholog_one2one,KIAA0586
ENSBTAG00000004663,ENSBMSG00010016144,TRUB2,ortholog_one2one,ENSPCTG00005021977,TRUB2,ortholog_one2one,ENSPSNG00000000500,,ortholog_one2one,TRUB2
ENSBTAG00000004664,ENSBMSG00010016174,COQ4,ortholog_one2one,ENSPCTG00005021964,COQ4,ortholog_one2one,ENSPSNG00000017937,COQ4,ortholog_one2one,COQ4
ENSBTAG00000004723,ENSBMSG00010021748,TEX2,ortholog_one2one,ENSPCTG00005013445,TEX2,ortholog_one2one,ENSPSNG00000018686,TEX2,ortholog_one2one,TEX2
ENSBTAG00000004788,ENSBMSG00010012347,SDR39U1,ortholog_one2one,ENSPCTG00005005749,SDR39U1,ortholog_one2one,ENSPSNG00000014424,,ortholog_one2one,SDR39U1
ENSBTAG00000004864,ENSBMSG00010017830,CEP89,ortholog_one2one,ENSPCTG00005015339,CEP89,ortholog_one2one,ENSPSNG00000019994,CEP89,ortholog_one2one,CEP89
ENSBTAG00000004902,ENSBMSG00010015475,INTS8,ortholog_one2one,ENSPCTG00005007091,INTS8,ortholog_one2one,ENSPSNG00000013648,INTS8,ortholog_one2one,INTS8
ENSBTAG00000004936,ENSBMSG00010004047,TMIGD2,ortholog_one2one,,,,ENSPSNG00000014081,TMIGD2,ortholog_one2one,TMIGD2
ENSBTAG00000004951,ENSBMSG00010006596,CFAP68,ortholog_one2one,ENSPCTG00005022131,C16H11orf1,ortholog_one2one,ENSPSNG00000006813,CFAP68,ortholog_one2one,CFAP68
ENSBTAG00000004956,ENSBMSG00010013536,CHEK2,ortholog_one2one,ENSPCTG00005006979,CHEK2,ortholog_one2one,ENSPSNG00000010649,CHEK2,ortholog_one2one,CHEK2
ENSBTAG00000004991,ENSBMSG00010004684,ELP1,ortholog_one2one,ENSPCTG00005005360,,ortholog_one2one,ENSPSNG00000019276,,ortholog_one2one,ELP1
ENSBTAG00000005151,ENSBMSG00010016471,WDPCP,ortholog_one2one,ENSPCTG00005006829,WDPCP,ortholog_one2one,ENSPSNG00000014770,WDPCP,ortholog_one2one,WDPCP
ENSBTAG00000005174,ENSBMSG00010003265,GDPGP1,ortholog_one2one,ENSPCTG00005001340,GDPGP1,ortholog_one2one,ENSPSNG00000001828,GDPGP1,ortholog_one2one,GDPGP1
ENSBTAG00000005178,ENSBMSG00010010819,MMAB,ortholog_one2one,ENSPCTG00005021863,MMAB,ortholog_one2one,ENSPSNG00000018425,MMAB,ortholog_one2one,MMAB
ENSBTAG00000005189,ENSBMSG00010021749,SPACA9,ortholog_one2one,ENSPCTG00005005432,,ortholog_one2one,ENSPSNG00000010143,,ortholog_one2one,SPACA9
ENSBTAG00000005289,ENSBMSG00010006159,CHERP,ortholog_one2one,ENSPCTG00005015452,CHERP,ortholog_one2one,ENSPSNG00000001401,CHERP,ortholog_one2one,CHERP
ENSBTAG00000005364,,,,,,,ENSPSNG00000002194,HMBS,ortholog_one2one,HMBS
