Gene stable ID,Rat gene stable ID,Rat gene name,Rat homology type,Gene name
ENSMUSG00000005949,ENSRNOG00000028688,Ctns,ortholog_one2one,Ctns
ENSMUSG00000005983,ENSRNOG00000007268,RGD1561796,ortholog_one2one,1700037C18Rik
ENSMUSG00000006005,ENSRNOG00000002394,Tpr,ortholog_one2one,Tpr
ENSMUSG00000006010,ENSRNOG00000002473,Odr4,ortholog_one2one,Odr4
ENSMUSG00000006050,ENSRNOG00000018089,Sra1,ortholog_one2one,Sra1
ENSMUSG00000006058,ENSRNOG00000006500,Snf8,ortholog_one2one,Snf8
ENSMUSG00000006095,ENSRNOG00000020781,Tbcb,ortholog_one2one,Tbcb
ENSMUSG00000006241,ENSRNOG00000011799,Ccdc159,ortholog_one2one,Ccdc159
ENSMUSG00000006315,ENSRNOG00000021006,Tmem147,ortholog_one2one,Tmem147
ENSMUSG00000006335,ENSRNOG00000056098,Tfpt,ortholog_one2one,Tfpt
ENSMUSG00000006392,ENSRNOG00000028477,Med8,ortholog_one2one,Med8
ENSMUSG00000006412,ENSRNOG00000066932,Pfdn2,ortholog_one2one,Pfdn2
ENSMUSG00000006463,ENSRNOG00000019825,Zdhhc24,ortholog_one2one,Zdhhc24
ENSMUSG00000006476,ENSRNOG00000008810,Nsmf,ortholog_one2one,Nsmf
ENSMUSG00000006517,ENSRNOG00000013376,Mvd,ortholog_one2one,Mvd
ENSMUSG00000006717,ENSRNOG00000018415,Acot13,ortholog_one2one,Acot13
ENSMUSG00000006732,ENSRNOG00000047895,Mettl1,ortholog_one2one,Mettl1
ENSMUSG00000006850,ENSRNOG00000017718,Tmco6,ortholog_one2one,Tmco6
ENSMUSG00000007030,ENSRNOG00000000860,Vwa7,ortholog_one2one,Vwa7
ENSMUSG00000007050,ENSRNOG00000048725,Lsm2,ortholog_one2one,Lsm2
ENSMUSG00000007080,ENSRNOG00000037449,Pole,ortholog_one2one,Pole
ENSMUSG00000007589,ENSRNOG00000020189,Tinf2,ortholog_one2one,Tinf2
ENSMUSG00000008129,ENSRNOG00000025796,Brme1,ortholog_one2one,Brme1
ENSMUSG00000008140,ENSRNOG00000019532,Emc10,ortholog_one2one,Emc10
ENSMUSG00000008373,ENSRNOG00000061039,Prpf31,ortholog_one2one,Prpf31
ENSMUSG00000008690,ENSRNOG00000009598,Ncaph2,ortholog_one2one,Ncaph2
ENSMUSG00000009076,ENSRNOG00000007849,Zmat5,ortholog_one2one,Zmat5
ENSMUSG00000009112,ENSRNOG00000012394,Bcl2l13,ortholog_one2one,Bcl2l13
ENSMUSG00000009207,ENSRNOG00000001593,Lnpk,ortholog_one2one,Lnpk
ENSMUSG00000009210,ENSRNOG00000060193,Prr29,ortholog_one2one,Prr29
ENSMUSG00000009549,ENSRNOG00000007512,Srp14,ortholog_one2one,Srp14
ENSMUSG00000009927,ENSRNOG00000062325,LOC685085,ortholog_one2one,Rps25
ENSMUSG00000010045,ENSRNOG00000021899,Tmem115,ortholog_one2one,Tmem115
ENSMUSG00000010057,ENSRNOG00000021660,Nprl2,ortholog_one2one,Nprl2
ENSMUSG00000010911,ENSRNOG00000007446,Apip,ortholog_one2one,Apip
ENSMUSG00000011096,ENSRNOG00000020289,Akt1s1,ortholog_one2one,Akt1s1
ENSMUSG00000012114,ENSRNOG00000001877,Med15,ortholog_one2one,Med15
ENSMUSG00000012405,ENSRNOG00000008140,Rpl15,ortholog_one2one,Rpl15
ENSMUSG00000013091,ENSRNOG00000042528,Tmem190,ortholog_one2one,Tmem190
ENSMUSG00000013158,ENSRNOG00000017867,C19h16orf86,ortholog_one2one,4933405L10Rik
ENSMUSG00000013593,ENSRNOG00000038372,Ndufs2,ortholog_one2one,Ndufs2
ENSMUSG00000013698,ENSRNOG00000046996,Pea15,ortholog_one2one,Pea15a
ENSMUSG00000013833,ENSRNOG00000011315,Med16,ortholog_one2one,Med16
ENSMUSG00000014226,ENSRNOG00000002572,Cacybp,ortholog_one2one,Cacybp
ENSMUSG00000014232,ENSRNOG00000007117,Cluap1,ortholog_one2one,Cluap1
ENSMUSG00000014243,ENSRNOG00000002970,Zswim7,ortholog_one2one,Zswim7
ENSMUSG00000014747,ENSRNOG00000021402,Ankrd53,ortholog_one2one,Ankrd53
ENSMUSG00000014748,ENSRNOG00000013712,Tex261,ortholog_one2one,Tex261
ENSMUSG00000014856,ENSRNOG00000015974,Tmem208,ortholog_one2one,Tmem208
ENSMUSG00000014873,ENSRNOG00000066832,Surf2,ortholog_one2one,Surf2
ENSMUSG00000015083,ENSRNOG00000028701,C8g,ortholog_one2one,C8g
ENSMUSG00000015087,ENSRNOG00000016795,Rabl6,ortholog_one2one,Rabl6
ENSMUSG00000015126,ENSRNOG00000017858,Tsr3,ortholog_one2one,Tsr3
ENSMUSG00000015363,ENSRNOG00000029095,Trabd,ortholog_one2one,Trabd
ENSMUSG00000015488,ENSRNOG00000005840,Cacfd1,ortholog_one2one,Cacfd1
ENSMUSG00000015542,ENSRNOG00000003264,Nat9,ortholog_one2one,Nat9
ENSMUSG00000015672,ENSRNOG00000015989,Mrpl32,ortholog_one2one,Mrpl32
ENSMUSG00000015711,ENSRNOG00000021120,Prune1,ortholog_one2one,Prune1
ENSMUSG00000015748,ENSRNOG00000025629,Prpf3,ortholog_one2one,Prpf3
ENSMUSG00000015776,ENSRNOG00000005059,Med22,ortholog_one2one,Med22
ENSMUSG00000015804,ENSRNOG00000003592,Med28,ortholog_one2one,Med28
ENSMUSG00000015837,ENSRNOG00000003147,Sqstm1,ortholog_one2one,Sqstm1
ENSMUSG00000015880,ENSRNOG00000038572,Ncapg,ortholog_one2one,Ncapg
ENSMUSG00000015890,ENSRNOG00000005266,Amdhd1,ortholog_one2one,Amdhd1
ENSMUSG00000015970,ENSRNOG00000015859,Chdh,ortholog_one2one,Chdh
ENSMUSG00000016253,ENSRNOG00000047874,Nelfcd,ortholog_one2one,Nelfcd
ENSMUSG00000016262,ENSRNOG00000060773,Sertad4,ortholog_one2one,Sertad4
ENSMUSG00000016427,ENSRNOG00000071176,Ndufa1,ortholog_one2one,Ndufa1
ENSMUSG00000016495,ENSRNOG00000015932,Plgrkt,ortholog_one2one,Plgrkt
ENSMUSG00000016833,ENSRNOG00000002178,Mrps18c,ortholog_one2one,Mrps18c
ENSMUSG00000016984,ENSRNOG00000006185,Etaa1l1,ortholog_one2one,Etaa1
ENSMUSG00000017119,ENSRNOG00000020730,Nbr1,ortholog_one2one,Nbr1
ENSMUSG00000017146,ENSRNOG00000020701,Brca1,ortholog_one2one,Brca1
ENSMUSG00000017188,ENSRNOG00000020487,Coa3,ortholog_one2one,Coa3
ENSMUSG00000017210,ENSRNOG00000008711,Med24,ortholog_one2one,Med24
ENSMUSG00000017299,ENSRNOG00000014933,Dnttip1,ortholog_one2one,Dnttip1
ENSMUSG00000017307,ENSRNOG00000015187,Acot8,ortholog_one2one,Acot8
ENSMUSG00000017767,ENSRNOG00000015744,Spata25,ortholog_one2one,Spata25
ENSMUSG00000017802,ENSRNOG00000020056,Retreg3,ortholog_one2one,Retreg3
ENSMUSG00000018199,ENSRNOG00000003434,Ro60,ortholog_one2one,Ro60
ENSMUSG00000018433,ENSRNOG00000052934,Nol11,ortholog_one2one,Nol11
ENSMUSG00000018446,ENSRNOG00000006949,C1qbp,ortholog_one2one,C1qbp
ENSMUSG00000018449,ENSRNOG00000006913,Rpain,ortholog_one2one,Rpain
ENSMUSG00000018541,ENSRNOG00000004091,Cwc25,ortholog_one2one,Cwc25
ENSMUSG00000018565,ENSRNOG00000027628,Elp5,ortholog_one2one,Elp5
ENSMUSG00000018659,ENSRNOG00000046493,Pnpo,ortholog_one2one,Pnpo
ENSMUSG00000018669,ENSRNOG00000048747,Cdk5rap3,ortholog_one2one,Cdk5rap3
ENSMUSG00000018733,ENSRNOG00000009718,Pex12,ortholog_one2one,Pex12
ENSMUSG00000018844,ENSRNOG00000008264,Fndc8,ortholog_one2one,Fndc8
ENSMUSG00000018920,ENSRNOG00000026647,Cxcl16,ortholog_one2one,Cxcl16
ENSMUSG00000018923,ENSRNOG00000019384,Med11,ortholog_one2one,Med11
ENSMUSG00000019039,ENSRNOG00000020159,Dalrd3,ortholog_one2one,Dalrd3
ENSMUSG00000019139,ENSRNOG00000019741,Isyna1,ortholog_one2one,Isyna1
ENSMUSG00000019158,ENSRNOG00000015304,Tmem160,ortholog_one2one,Tmem160
ENSMUSG00000019214,ENSRNOG00000019174,Chtf18,ortholog_one2one,Chtf18
ENSMUSG00000019295,ENSRNOG00000017329,Tmem129,ortholog_one2one,Tmem129
ENSMUSG00000019297,ENSRNOG00000020321,Nop9,ortholog_one2one,Nop9
ENSMUSG00000019303,ENSRNOG00000020022,Psmc3ip,ortholog_one2one,Psmc3ip
ENSMUSG00000019718,ENSRNOG00000004503,L3hypdh,ortholog_one2one,L3hypdh
ENSMUSG00000019737,ENSRNOG00000049277,Syne4,ortholog_one2one,Syne4
ENSMUSG00000019782,ENSRNOG00000042916,Rwdd1,ortholog_one2one,Rwdd1
ENSMUSG00000019797,ENSRNOG00000047118,Mtres1,ortholog_one2one,Mtres1
ENSMUSG00000019809,ENSRNOG00000015660,Pex3,ortholog_one2one,Pex3
ENSMUSG00000019822,ENSRNOG00000000306,Smpd2,ortholog_one2one,Smpd2
ENSMUSG00000019837,ENSRNOG00000000586,Gtf3c6,ortholog_one2one,Gtf3c6
ENSMUSG00000019842,ENSRNOG00000000595,Traf3ip2,ortholog_one2one,Traf3ip2
ENSMUSG00000019852,ENSRNOG00000011460,Arfgef3,ortholog_one2one,Arfgef3
ENSMUSG00000019971,ENSRNOG00000056458,Cep290,ortholog_one2one,Cep290
ENSMUSG00000020079,ENSRNOG00000000392,Supv3l1,ortholog_one2one,Supv3l1
ENSMUSG00000020085,ENSRNOG00000059445,Aifm2,ortholog_one2one,Aifm2
ENSMUSG00000020107,ENSRNOG00000000576,Anapc16,ortholog_one2one,Anapc16
ENSMUSG00000020150,ENSRNOG00000024577,Gamt,ortholog_one2one,Gamt
ENSMUSG00000020171,ENSRNOG00000005689,Yeats4,ortholog_one2one,Yeats4
ENSMUSG00000020211,ENSRNOG00000019349,Sf3a2,ortholog_one2one,Sf3a2
ENSMUSG00000020216,ENSRNOG00000032951,Jsrp1,ortholog_one2one,Jsrp1
ENSMUSG00000020260,ENSRNOG00000001228,Pofut2,ortholog_one2one,Pofut2
ENSMUSG00000020280,ENSRNOG00000054151,Pus10,ortholog_one2one,Pus10
ENSMUSG00000020283,ENSRNOG00000054896,Pex13,ortholog_one2one,Pex13
ENSMUSG00000020284,ENSRNOG00000001215,Cfap410,ortholog_one2one,Cfap410
ENSMUSG00000020329,ENSRNOG00000024879,Polrmt,ortholog_one2one,Polrmt
ENSMUSG00000020330,ENSRNOG00000059894,Hmmr,ortholog_one2one,Hmmr
ENSMUSG00000020381,ENSRNOG00000003068,Mrnip,ortholog_one2one,Mrnip
ENSMUSG00000020434,ENSRNOG00000004112,C14h5orf52,ortholog_one2one,4921536K21Rik
ENSMUSG00000020439,ENSRNOG00000019451,Smtn,ortholog_one2one,Smtn
ENSMUSG00000020441,ENSRNOG00000002944,C10h1orf35,ortholog_one2one,2310033P09Rik
ENSMUSG00000020462,ENSRNOG00000003901,Cfap36,ortholog_one2one,Cfap36
ENSMUSG00000020471,ENSRNOG00000014098,Pold2,ortholog_one2one,Pold2
ENSMUSG00000020530,ENSRNOG00000027860,Ggnbp2,ortholog_one2one,Ggnbp2
ENSMUSG00000020669,ENSRNOG00000005522,Sh3yl1,ortholog_one2one,Sh3yl1
ENSMUSG00000020692,ENSRNOG00000008287,Nle1,ortholog_one2one,Nle1
ENSMUSG00000020739,ENSRNOG00000003673,Nup85,ortholog_one2one,Nup85
ENSMUSG00000020778,ENSRNOG00000060307,Ten1,ortholog_one2one,Ten1
ENSMUSG00000020792,ENSRNOG00000070201,Exoc7,ortholog_one2one,Exoc7
ENSMUSG00000020801,ENSRNOG00000014618,Med31,ortholog_one2one,Med31
ENSMUSG00000020804,ENSRNOG00000011182,Aanat,ortholog_one2one,Aanat
ENSMUSG00000020818,ENSRNOG00000000247,Mfsd11,ortholog_one2one,Mfsd11
ENSMUSG00000020843,ENSRNOG00000007988,Timm22,ortholog_one2one,Timm22
ENSMUSG00000020869,ENSRNOG00000003524,Lrrc59,ortholog_one2one,Lrrc59
ENSMUSG00000020895,ENSRNOG00000006519,Tmem107,ortholog_one2one,Tmem107
ENSMUSG00000020910,ENSRNOG00000003397,Adprm,ortholog_one2one,Adprm
ENSMUSG00000020930,ENSRNOG00000002905,Ccdc103,ortholog_one2one,Ccdc103
ENSMUSG00000020974,ENSRNOG00000004242,Pole2,ortholog_one2one,Pole2
ENSMUSG00000020982,ENSRNOG00000056128,AABR07064719.2,ortholog_one2one,Nemf
ENSMUSG00000021003,ENSRNOG00000003759,Galc,ortholog_one2one,Galc
ENSMUSG00000021022,ENSRNOG00000023591,Ppp2r3c,ortholog_one2one,Ppp2r3c
ENSMUSG00000021038,ENSRNOG00000049223,Vipas39,ortholog_one2one,Vipas39
ENSMUSG00000021065,ENSRNOG00000008451,Fut8,ortholog_one2one,Fut8
ENSMUSG00000021079,ENSRNOG00000008222,Timm9,ortholog_one2one,Timm9
ENSMUSG00000021086,ENSRNOG00000004774,Ccdc175,ortholog_one2one,Ccdc175
ENSMUSG00000021098,ENSRNOG00000031655,Six6os1,ortholog_one2one,4930447C04Rik
ENSMUSG00000021114,ENSRNOG00000009080,Atp6v1d,ortholog_one2one,Atp6v1d
ENSMUSG00000021116,ENSRNOG00000009432,Eif2s1,ortholog_one2one,Eif2s1
ENSMUSG00000021120,ENSRNOG00000010914,Pigh,ortholog_one2one,Pigh
ENSMUSG00000021209,ENSRNOG00000054052,Ppp4r4,ortholog_one2one,Ppp4r4
ENSMUSG00000021242,ENSRNOG00000012062,Npc2,ortholog_one2one,Npc2
ENSMUSG00000021252,ENSRNOG00000008781,Erg28,ortholog_one2one,Erg28
ENSMUSG00000021273,ENSRNOG00000021314,Fdft1,ortholog_one2one,Fdft1
ENSMUSG00000021286,ENSRNOG00000012185,Zfyve21,ortholog_one2one,Zfyve21
ENSMUSG00000021368,ENSRNOG00000014019,Tbc1d7,ortholog_one2one,Tbc1d7
ENSMUSG00000021377,ENSRNOG00000016152,Dek,ortholog_one2one,Dek
ENSMUSG00000021385,ENSRNOG00000015631,Ippk,ortholog_one2one,Ippk
ENSMUSG00000021391,ENSRNOG00000062220,Cenpp,ortholog_one2one,Cenpp
ENSMUSG00000021411,ENSRNOG00000017093,Pxdc1,ortholog_one2one,Pxdc1
ENSMUSG00000021415,ENSRNOG00000033763,Tex56p,ortholog_one2one,Tex56
ENSMUSG00000021418,ENSRNOG00000016226,Rpp40,ortholog_one2one,Rpp40
ENSMUSG00000021519,ENSRNOG00000004492,Mterf3,ortholog_one2one,Mterf3
ENSMUSG00000021585,ENSRNOG00000010286,Cast,ortholog_one2one,Cast
ENSMUSG00000021606,ENSRNOG00000062531,Ndufs6l1,ortholog_one2one,Ndufs6
ENSMUSG00000021607,ENSRNOG00000023407,Mrpl36,ortholog_one2one,Mrpl36
ENSMUSG00000021635,ENSRNOG00000018353,Rad17,ortholog_one2one,Rad17
ENSMUSG00000021650,ENSRNOG00000028403,Ptcd2,ortholog_one2one,Ptcd2
ENSMUSG00000021711,ENSRNOG00000012124,Trappc13,ortholog_one2one,Trappc13
ENSMUSG00000021714,ENSRNOG00000039740,Cenpk,ortholog_one2one,Cenpk
ENSMUSG00000021731,ENSRNOG00000012136,Mrps30,ortholog_one2one,Mrps30
ENSMUSG00000021807,ENSRNOG00000000340,Rtraf,ortholog_one2one,Rtraf
ENSMUSG00000021810,ENSRNOG00000042253,Ecd,ortholog_one2one,Ecd
ENSMUSG00000021850,ENSRNOG00000062766,Ccdc198,ortholog_one2one,Ccdc198
ENSMUSG00000021917,ENSRNOG00000018075,Spcs1,ortholog_one2one,Spcs1
ENSMUSG00000021932,ENSRNOG00000009192,Rnaseh2b,ortholog_one2one,Rnaseh2b
ENSMUSG00000021951,ENSRNOG00000009849,Eef1akmt1,ortholog_one2one,Eef1akmt1
ENSMUSG00000021965,ENSRNOG00000021847,Ska3,ortholog_one2one,Ska3
ENSMUSG00000021967,ENSRNOG00000062588,Mrpl57,ortholog_one2one,Mrpl57
ENSMUSG00000021997,ENSRNOG00000038291,Lrrc63,ortholog_one2one,Lrrc63
ENSMUSG00000022009,ENSRNOG00000001033,Nufip1,ortholog_one2one,Nufip1
ENSMUSG00000022023,ENSRNOG00000011678,Wbp4,ortholog_one2one,Wbp4
ENSMUSG00000022064,ENSRNOG00000009208,Pibf1,ortholog_one2one,Pibf1
ENSMUSG00000022070,ENSRNOG00000024798,Bora,ortholog_one2one,Bora
ENSMUSG00000022109,ENSRNOG00000017170,Med4,ortholog_one2one,Med4
ENSMUSG00000022151,ENSRNOG00000013217,Ttc33,ortholog_one2one,Ttc33
ENSMUSG00000022174,ENSRNOG00000009090,Dad1,ortholog_one2one,Dad1
ENSMUSG00000022191,ENSRNOG00000013451,Drosha,ortholog_one2one,Drosha
ENSMUSG00000022195,ENSRNOG00000022745,RGD1306502,ortholog_one2one,6030458C11Rik
ENSMUSG00000022214,ENSRNOG00000018825,Dcaf11,ortholog_one2one,Dcaf11
ENSMUSG00000022235,ENSRNOG00000011260,Cmbl,ortholog_one2one,Cmbl
ENSMUSG00000022247,ENSRNOG00000018021,Brix1,ortholog_one2one,Brix1
ENSMUSG00000022248,ENSRNOG00000018063,Rad1,ortholog_one2one,Rad1
ENSMUSG00000022300,ENSRNOG00000004301,Dcaf13,ortholog_one2one,Dcaf13
ENSMUSG00000022323,ENSRNOG00000005437,Rida,ortholog_one2one,Rida
ENSMUSG00000022337,ENSRNOG00000005123,Emc2,ortholog_one2one,Emc2
ENSMUSG00000022338,ENSRNOG00000004681,Eny2,ortholog_one2one,Eny2
ENSMUSG00000022350,ENSRNOG00000009739,Washc5,ortholog_one2one,Washc5
ENSMUSG00000022351,ENSRNOG00000009550,Sqle,ortholog_one2one,Sqle
ENSMUSG00000022369,ENSRNOG00000004412,Mtbp,ortholog_one2one,Mtbp
ENSMUSG00000022386,ENSRNOG00000016465,Trmu,ortholog_one2one,Trmu
ENSMUSG00000022391,ENSRNOG00000031789,Rangap1,ortholog_one2one,Rangap1
ENSMUSG00000022427,ENSRNOG00000014058,Tomm22,ortholog_one2one,Tomm22
ENSMUSG00000022437,ENSRNOG00000011952,Samm50,ortholog_one2one,Samm50
ENSMUSG00000022450,ENSRNOG00000008569,Ndufa6,ortholog_one2one,Ndufa6
ENSMUSG00000022515,ENSRNOG00000003186,Anks3,ortholog_one2one,Anks3
ENSMUSG00000022544,ENSRNOG00000002876,Eef2kmt,ortholog_one2one,Eef2kmt
ENSMUSG00000022551,ENSRNOG00000012457,Cyc1,ortholog_one2one,Cyc1
ENSMUSG00000022553,ENSRNOG00000013514,Maf1,ortholog_one2one,Maf1
ENSMUSG00000022554,ENSRNOG00000029238,Hgh1,ortholog_one2one,Hgh1
ENSMUSG00000022562,ENSRNOG00000011781,Oplah,ortholog_one2one,Oplah
ENSMUSG00000022663,ENSRNOG00000002094,Atg3,ortholog_one2one,Atg3
ENSMUSG00000022668,ENSRNOG00000002044,Gtpbp8,ortholog_one2one,Gtpbp8
ENSMUSG00000022702,ENSRNOG00000045770,Hira,ortholog_one2one,Hira
ENSMUSG00000022718,ENSRNOG00000001886,Dgcr8,ortholog_one2one,Dgcr8
ENSMUSG00000022742,ENSRNOG00000001654,Cpox,ortholog_one2one,Cpox
ENSMUSG00000022757,ENSRNOG00000001633,Tfg,ortholog_one2one,Tfg
ENSMUSG00000022774,ENSRNOG00000001746,Ncbp2,ortholog_one2one,Ncbp2
ENSMUSG00000022800,ENSRNOG00000034233,Fyttd1,ortholog_one2one,Fyttd1
ENSMUSG00000022814,ENSRNOG00000001797,Umps,ortholog_one2one,Umps
ENSMUSG00000022827,ENSRNOG00000026085,Rabl3,ortholog_one2one,Rabl3
ENSMUSG00000022828,ENSRNOG00000026008,Gtf2e1,ortholog_one2one,Gtf2e1
ENSMUSG00000022956,ENSRNOG00000001991,Atp5po,ortholog_one2one,Atp5po
ENSMUSG00000022961,ENSRNOG00000002021,Son,ortholog_one2one,Son
ENSMUSG00000022962,ENSRNOG00000028292,Gart,ortholog_one2one,Gart
ENSMUSG00000022972,ENSRNOG00000021399,Cfap298,ortholog_one2one,Cfap298
ENSMUSG00000022993,ENSRNOG00000057264,Tex49,ortholog_one2one,Spmip11
ENSMUSG00000023072,ENSRNOG00000012140,Cep89,ortholog_one2one,Cep89
ENSMUSG00000023118,ENSRNOG00000014353,Sympk,ortholog_one2one,Sympk
ENSMUSG00000023153,ENSRNOG00000016618,Tmem52,ortholog_one2one,Tmem52
ENSMUSG00000023170,ENSRNOG00000016360,Gps2,ortholog_one2one,Gps2
ENSMUSG00000023235,ENSRNOG00000028531,Ccl25,ortholog_one2one,Ccl25
ENSMUSG00000023505,ENSRNOG00000015529,Cdca3,ortholog_one2one,Cdca3
ENSMUSG00000023572,ENSRNOG00000011379,Ccndbp1,ortholog_one2one,Ccndbp1
ENSMUSG00000023791,ENSRNOG00000033623,Pigx,ortholog_one2one,Pigx
ENSMUSG00000023904,ENSRNOG00000003542,Hcfc1r1,ortholog_one2one,Hcfc1r1
ENSMUSG00000023919,ENSRNOG00000056226,Cenpq,ortholog_one2one,Cenpq
ENSMUSG00000023949,ENSRNOG00000065569,Tcte1,ortholog_one2one,Tcte1
ENSMUSG00000023988,ENSRNOG00000049121,Bysl,ortholog_one2one,Bysl
ENSMUSG00000023994,ENSRNOG00000012702,Nfya,ortholog_one2one,Nfya
ENSMUSG00000024018,ENSRNOG00000068717,Ccdc167,ortholog_one2one,Ccdc167
ENSMUSG00000024081,ENSRNOG00000005087,Cebpz,ortholog_one2one,Cebpz
ENSMUSG00000024142,ENSRNOG00000009667,Mlst8,ortholog_one2one,Mlst8
ENSMUSG00000024145,ENSRNOG00000015325,Pigf,ortholog_one2one,Pigf
ENSMUSG00000024251,ENSRNOG00000025899,Thada,ortholog_one2one,Thada
ENSMUSG00000024258,ENSRNOG00000016231,Polr2d,ortholog_one2one,Polr2d
ENSMUSG00000024259,ENSRNOG00000017091,Slc25a46,ortholog_one2one,Slc25a46
ENSMUSG00000024271,ENSRNOG00000015301,Elp2,ortholog_one2one,Elp2
ENSMUSG00000024283,ENSRNOG00000018698,Wac,ortholog_one2one,Wac
ENSMUSG00000024312,ENSRNOG00000031171,Wdr46,ortholog_one2one,Wdr46
ENSMUSG00000024319,ENSRNOG00000000470,Vps52,ortholog_one2one,Vps52
ENSMUSG00000024346,ENSRNOG00000018653,Pfdn1,ortholog_one2one,Pfdn1
ENSMUSG00000024360,ENSRNOG00000019450,Etf1,ortholog_one2one,Etf1
ENSMUSG00000024365,ENSRNOG00000000428,Cyp21a1,ortholog_one2one,Cyp21a1
ENSMUSG00000024369,ENSRNOG00000000420,Nelfe,ortholog_one2one,Nelfe
ENSMUSG00000024387,ENSRNOG00000000847,Csnk2b,ortholog_one2one,Csnk2b
ENSMUSG00000024391,ENSRNOG00000000850,Apom,ortholog_one2one,Apom
