Gene stable ID,Olive baboon gene stable ID,Olive baboon gene name,Olive baboon homology type,Bonobo gene stable ID,Bonobo gene name,Bonobo homology type,Gibbon gene stable ID,Gibbon gene name,Gibbon homology type,Mouse Lemur gene stable ID,Mouse Lemur gene name,Mouse Lemur homology type,Gene name
ENSG00000070061,ENSPANG00000025731,ELP1,ortholog_one2one,ENSPPAG00000027510,ELP1,ortholog_one2one,ENSNLEG00000017329,ELP1,ortholog_one2one,ENSMICG00000002058,ELP1,ortholog_one2one,ELP1
ENSG00000070367,ENSPANG00000022394,EXOC5,ortholog_one2one,ENSPPAG00000035633,EXOC5,ortholog_one2one,ENSNLEG00000013004,EXOC5,ortholog_one2one,ENSMICG00000003597,EXOC5,ortholog_one2one,EXOC5
ENSG00000070610,ENSPANG00000025428,GBA2,ortholog_one2one,ENSPPAG00000042172,GBA2,ortholog_one2one,ENSNLEG00000004159,GBA2,ortholog_one2one,ENSMICG00000002543,GBA2,ortholog_one2one,GBA2
ENSG00000071082,ENSPANG00000016189,,ortholog_one2one,,,,ENSNLEG00000018628,,ortholog_one2one,ENSMICG00000041981,,ortholog_one2one,RPL31
ENSG00000071462,,,,ENSPPAG00000042744,BUD23,ortholog_one2one,ENSNLEG00000030764,,ortholog_one2one,ENSMICG00000008214,BUD23,ortholog_one2one,BUD23
ENSG00000071462,,,,ENSPPAG00000042744,BUD23,ortholog_one2one,ENSNLEG00000030764,,ortholog_one2one,ENSMICG00000008214,BUD23,ortholog_one2one,BUD23
ENSG00000071539,ENSPANG00000020838,TRIP13,ortholog_one2one,,,,ENSNLEG00000010974,TRIP13,ortholog_one2one,ENSMICG00000028604,TRIP13,ortholog_one2one,TRIP13
ENSG00000071553,ENSPANG00000012092,ATP6AP1,ortholog_one2one,ENSPPAG00000036293,ATP6AP1,ortholog_one2one,ENSNLEG00000014184,ATP6AP1,ortholog_one2one,ENSMICG00000016405,ATP6AP1,ortholog_one2one,ATP6AP1
ENSG00000072571,ENSPANG00000009036,HMMR,ortholog_one2one,ENSPPAG00000032652,HMMR,ortholog_one2one,ENSNLEG00000004676,HMMR,ortholog_one2one,ENSMICG00000005137,HMMR,ortholog_one2one,HMMR
ENSG00000073169,ENSPANG00000023976,SELENOO,ortholog_one2one,ENSPPAG00000027121,,ortholog_one2one,ENSNLEG00000035366,,ortholog_one2one,ENSMICG00000017789,SELENOO,ortholog_one2one,SELENOO
ENSG00000074071,ENSPANG00000020905,MRPS34,ortholog_one2one,ENSPPAG00000033749,MRPS34,ortholog_one2one,ENSNLEG00000008766,MRPS34,ortholog_one2one,ENSMICG00000031095,MRPS34,ortholog_one2one,MRPS34
ENSG00000074582,,,,ENSPPAG00000029284,BCS1L,ortholog_one2one,ENSNLEG00000030685,BCS1L,ortholog_one2one,ENSMICG00000005175,BCS1L,ortholog_one2one,BCS1L
ENSG00000074582,,,,ENSPPAG00000029284,BCS1L,ortholog_one2one,ENSNLEG00000030685,BCS1L,ortholog_one2one,ENSMICG00000005175,BCS1L,ortholog_one2one,BCS1L
ENSG00000075188,ENSPANG00000000344,NUP37,ortholog_one2one,ENSPPAG00000028253,NUP37,ortholog_one2one,ENSNLEG00000033812,NUP37,ortholog_one2one,ENSMICG00000002615,NUP37,ortholog_one2one,NUP37
ENSG00000075336,ENSPANG00000037593,TIMM21,ortholog_one2one,ENSPPAG00000013034,TIMM21,ortholog_one2one,ENSNLEG00000029495,TIMM21,ortholog_one2one,ENSMICG00000027988,TIMM21,ortholog_one2one,TIMM21
ENSG00000077235,ENSPANG00000007018,GTF3C1,ortholog_one2one,ENSPPAG00000026435,GTF3C1,ortholog_one2one,ENSNLEG00000011614,GTF3C1,ortholog_one2one,ENSMICG00000013376,GTF3C1,ortholog_one2one,GTF3C1
ENSG00000078902,ENSPANG00000006962,TOLLIP,ortholog_one2one,ENSPPAG00000029661,,ortholog_one2one,ENSNLEG00000013139,TOLLIP,ortholog_one2one,ENSMICG00000017219,TOLLIP,ortholog_one2one,TOLLIP
ENSG00000079134,ENSPANG00000008665,THOC1,ortholog_one2one,ENSPPAG00000031812,THOC1,ortholog_one2one,ENSNLEG00000006835,THOC1,ortholog_one2one,ENSMICG00000027200,THOC1,ortholog_one2one,THOC1
ENSG00000080608,ENSPANG00000025118,PUM3,ortholog_one2one,ENSPPAG00000041337,PUM3,ortholog_one2one,ENSNLEG00000008712,PUM3,ortholog_one2one,ENSMICG00000045916,PUM3,ortholog_one2one,PUM3
ENSG00000083535,ENSPANG00000007392,PIBF1,ortholog_one2one,ENSPPAG00000031918,PIBF1,ortholog_one2one,ENSNLEG00000016094,PIBF1,ortholog_one2one,ENSMICG00000011928,PIBF1,ortholog_one2one,PIBF1
ENSG00000083799,ENSPANG00000019153,CYLD,ortholog_one2one,ENSPPAG00000027949,CYLD,ortholog_one2one,ENSNLEG00000000923,CYLD,ortholog_one2one,ENSMICG00000008179,CYLD,ortholog_one2one,CYLD
ENSG00000084110,ENSPANG00000023010,HAL,ortholog_one2one,ENSPPAG00000004003,HAL,ortholog_one2one,ENSNLEG00000005864,HAL,ortholog_one2one,ENSMICG00000012174,HAL,ortholog_one2one,HAL
ENSG00000084463,,,,,,,ENSNLEG00000003926,WBP11,ortholog_one2one,,,,WBP11
ENSG00000085231,ENSPANG00000018860,AK6,ortholog_one2one,ENSPPAG00000043237,AK6,ortholog_one2one,ENSNLEG00000029253,AK6,ortholog_one2one,,,,AK6
ENSG00000085231,ENSPANG00000018860,AK6,ortholog_one2one,ENSPPAG00000043237,AK6,ortholog_one2one,ENSNLEG00000029253,AK6,ortholog_one2one,,,,AK6
ENSG00000085721,ENSPANG00000010460,RRN3,ortholog_one2one,,,,ENSNLEG00000010306,RRN3,ortholog_one2one,ENSMICG00000015014,RRN3,ortholog_one2one,RRN3
ENSG00000087087,ENSPANG00000020763,SRRT,ortholog_one2one,ENSPPAG00000041090,SRRT,ortholog_one2one,ENSNLEG00000011987,SRRT,ortholog_one2one,ENSMICG00000009471,SRRT,ortholog_one2one,SRRT
ENSG00000087206,ENSPANG00000010403,UIMC1,ortholog_one2one,ENSPPAG00000035887,UIMC1,ortholog_one2one,ENSNLEG00000012585,UIMC1,ortholog_one2one,ENSMICG00000001918,UIMC1,ortholog_one2one,UIMC1
ENSG00000087269,ENSPANG00000009642,NOP14,ortholog_one2one,ENSPPAG00000037688,NOP14,ortholog_one2one,ENSNLEG00000000239,NOP14,ortholog_one2one,ENSMICG00000007804,NOP14,ortholog_one2one,NOP14
ENSG00000087301,ENSPANG00000007166,TXNDC16,ortholog_one2one,ENSPPAG00000000056,TXNDC16,ortholog_one2one,ENSNLEG00000012471,TXNDC16,ortholog_one2one,ENSMICG00000003453,TXNDC16,ortholog_one2one,TXNDC16
ENSG00000088325,ENSPANG00000000703,TPX2,ortholog_one2one,ENSPPAG00000030616,TPX2,ortholog_one2one,ENSNLEG00000009636,TPX2,ortholog_one2one,ENSMICG00000015833,TPX2,ortholog_one2one,TPX2
ENSG00000088682,,,,ENSPPAG00000010633,COQ9,ortholog_one2one,ENSNLEG00000003029,,ortholog_one2one,ENSMICG00000004671,COQ9,ortholog_one2one,COQ9
ENSG00000088682,,,,ENSPPAG00000010633,COQ9,ortholog_one2one,ENSNLEG00000003029,,ortholog_one2one,ENSMICG00000004671,COQ9,ortholog_one2one,COQ9
ENSG00000089048,ENSPANG00000020625,ESF1,ortholog_one2one,ENSPPAG00000024379,ESF1,ortholog_one2one,ENSNLEG00000014563,ESF1,ortholog_one2one,ENSMICG00000010711,ESF1,ortholog_one2one,ESF1
ENSG00000089050,ENSPANG00000034230,RBBP9,ortholog_one2one,ENSPPAG00000038694,RBBP9,ortholog_one2one,ENSNLEG00000009793,RBBP9,ortholog_one2one,ENSMICG00000047808,RBBP9,ortholog_one2one,RBBP9
ENSG00000089060,ENSPANG00000018414,SLC8B1,ortholog_one2one,ENSPPAG00000037307,SLC8B1,ortholog_one2one,ENSNLEG00000033495,,ortholog_one2one,ENSMICG00000012282,SLC8B1,ortholog_one2one,SLC8B1
ENSG00000089195,ENSPANG00000009284,TRMT6,ortholog_one2one,ENSPPAG00000036809,TRMT6,ortholog_one2one,ENSNLEG00000013957,TRMT6,ortholog_one2one,ENSMICG00000011626,TRMT6,ortholog_one2one,TRMT6
ENSG00000089248,ENSPANG00000003387,ERP29,ortholog_one2one,ENSPPAG00000041826,ERP29,ortholog_one2one,ENSNLEG00000000031,ERP29,ortholog_one2one,,,,ERP29
ENSG00000089248,ENSPANG00000003387,ERP29,ortholog_one2one,ENSPPAG00000041826,ERP29,ortholog_one2one,ENSNLEG00000000031,ERP29,ortholog_one2one,,,,ERP29
ENSG00000092201,,,,ENSPPAG00000010501,SUPT16H,ortholog_one2one,ENSNLEG00000014392,SUPT16H,ortholog_one2one,ENSMICG00000007715,SUPT16H,ortholog_one2one,SUPT16H
ENSG00000092201,,,,ENSPPAG00000010501,SUPT16H,ortholog_one2one,ENSNLEG00000014392,SUPT16H,ortholog_one2one,ENSMICG00000007715,SUPT16H,ortholog_one2one,SUPT16H
ENSG00000092330,ENSPANG00000021784,TINF2,ortholog_one2one,ENSPPAG00000026786,TINF2,ortholog_one2one,ENSNLEG00000015373,TINF2,ortholog_one2one,ENSMICG00000001739,TINF2,ortholog_one2one,TINF2
ENSG00000092931,ENSPANG00000020024,MFSD11,ortholog_one2one,ENSPPAG00000042557,MFSD11,ortholog_one2one,ENSNLEG00000002562,MFSD11,ortholog_one2one,ENSMICG00000016959,MFSD11,ortholog_one2one,MFSD11
ENSG00000093009,ENSPANG00000000619,CDC45,ortholog_one2one,ENSPPAG00000028685,CDC45,ortholog_one2one,ENSNLEG00000005423,CDC45,ortholog_one2one,ENSMICG00000013589,CDC45,ortholog_one2one,CDC45
ENSG00000094914,ENSPANG00000012540,AAAS,ortholog_one2one,ENSPPAG00000043470,AAAS,ortholog_one2one,ENSNLEG00000017702,AAAS,ortholog_one2one,ENSMICG00000014285,AAAS,ortholog_one2one,AAAS
ENSG00000095319,ENSPANG00000025928,NUP188,ortholog_one2one,ENSPPAG00000038013,NUP188,ortholog_one2one,ENSNLEG00000029734,NUP188,ortholog_one2one,ENSMICG00000005848,NUP188,ortholog_one2one,NUP188
ENSG00000095787,ENSPANG00000022987,WAC,ortholog_one2one,ENSPPAG00000040064,WAC,ortholog_one2one,ENSNLEG00000017014,WAC,ortholog_one2one,ENSMICG00000001997,WAC,ortholog_one2one,WAC
ENSG00000096872,ENSPANG00000025276,IFT74,ortholog_one2one,ENSPPAG00000000306,IFT74,ortholog_one2one,,,,,,,IFT74
ENSG00000096872,ENSPANG00000025276,IFT74,ortholog_one2one,ENSPPAG00000000306,IFT74,ortholog_one2one,,,,,,,IFT74
ENSG00000096872,ENSPANG00000025276,IFT74,ortholog_one2one,ENSPPAG00000000306,IFT74,ortholog_one2one,,,,,,,IFT74
ENSG00000096872,ENSPANG00000025276,IFT74,ortholog_one2one,ENSPPAG00000000306,IFT74,ortholog_one2one,,,,,,,IFT74
ENSG00000099341,ENSPANG00000003152,PSMD8,ortholog_one2one,ENSPPAG00000032738,PSMD8,ortholog_one2one,ENSNLEG00000016876,PSMD8,ortholog_one2one,ENSMICG00000041917,PSMD8,ortholog_one2one,PSMD8
ENSG00000099625,ENSPANG00000004275,,ortholog_one2one,ENSPPAG00000044065,,ortholog_one2one,ENSNLEG00000001447,CBARP,ortholog_one2one,ENSMICG00000013103,CBARP,ortholog_one2one,CBARP
ENSG00000099800,,,,ENSPPAG00000035656,TIMM13,ortholog_one2one,ENSNLEG00000028772,,ortholog_one2one,ENSMICG00000026616,TIMM13,ortholog_one2one,TIMM13
ENSG00000099800,,,,ENSPPAG00000035656,TIMM13,ortholog_one2one,ENSNLEG00000028772,,ortholog_one2one,ENSMICG00000026616,TIMM13,ortholog_one2one,TIMM13
ENSG00000099817,,,,ENSPPAG00000003145,POLR2E,ortholog_one2one,ENSNLEG00000001207,POLR2E,ortholog_one2one,ENSMICG00000013063,POLR2E,ortholog_one2one,POLR2E
ENSG00000099840,ENSPANG00000012744,IZUMO4,ortholog_one2one,ENSPPAG00000042151,IZUMO4,ortholog_one2one,ENSNLEG00000002023,IZUMO4,ortholog_one2one,ENSMICG00000015347,IZUMO4,ortholog_one2one,IZUMO4
ENSG00000099968,ENSPANG00000020816,BCL2L13,ortholog_one2one,ENSPPAG00000034333,BCL2L13,ortholog_one2one,ENSNLEG00000007840,BCL2L13,ortholog_one2one,ENSMICG00000038457,BCL2L13,ortholog_one2one,BCL2L13
ENSG00000099995,ENSPANG00000020772,SF3A1,ortholog_one2one,ENSPPAG00000041790,SF3A1,ortholog_one2one,ENSNLEG00000003686,SF3A1,ortholog_one2one,ENSMICG00000010038,SF3A1,ortholog_one2one,SF3A1
ENSG00000100099,ENSPANG00000026320,HPS4,ortholog_one2one,ENSPPAG00000011496,HPS4,ortholog_one2one,ENSNLEG00000007733,HPS4,ortholog_one2one,ENSMICG00000032079,HPS4,ortholog_one2one,HPS4
ENSG00000100104,ENSPANG00000016396,SRRD,ortholog_one2one,ENSPPAG00000036964,SRRD,ortholog_one2one,ENSNLEG00000007734,SRRD,ortholog_one2one,ENSMICG00000013722,SRRD,ortholog_one2one,SRRD
ENSG00000100147,ENSPANG00000013694,CCDC134,ortholog_one2one,ENSPPAG00000031113,CCDC134,ortholog_one2one,ENSNLEG00000015642,CCDC134,ortholog_one2one,ENSMICG00000000910,CCDC134,ortholog_one2one,CCDC134
ENSG00000100162,ENSPANG00000013693,CENPM,ortholog_one2one,ENSPPAG00000037196,CENPM,ortholog_one2one,ENSNLEG00000015669,CENPM,ortholog_one2one,ENSMICG00000032243,CENPM,ortholog_one2one,CENPM
ENSG00000100209,ENSPANG00000011340,HSCB,ortholog_one2one,ENSPPAG00000031416,HSCB,ortholog_one2one,ENSNLEG00000002360,HSCB,ortholog_one2one,ENSMICG00000043059,HSCB,ortholog_one2one,HSCB
ENSG00000100216,ENSPANG00000039136,TOMM22,ortholog_one2one,ENSPPAG00000033147,TOMM22,ortholog_one2one,ENSNLEG00000015159,TOMM22,ortholog_one2one,ENSMICG00000036077,TOMM22,ortholog_one2one,TOMM22
ENSG00000100219,ENSPANG00000007517,XBP1,ortholog_one2one,ENSPPAG00000028124,XBP1,ortholog_one2one,ENSNLEG00000031596,XBP1,ortholog_one2one,ENSMICG00000004235,XBP1,ortholog_one2one,XBP1
ENSG00000100220,ENSPANG00000016035,RTCB,ortholog_one2one,ENSPPAG00000028667,RTCB,ortholog_one2one,ENSNLEG00000004960,RTCB,ortholog_one2one,,,,RTCB
ENSG00000100220,ENSPANG00000016035,RTCB,ortholog_one2one,ENSPPAG00000028667,RTCB,ortholog_one2one,ENSNLEG00000004960,RTCB,ortholog_one2one,,,,RTCB
ENSG00000100285,,,,ENSPPAG00000039424,,ortholog_one2one,ENSNLEG00000002992,NEFH,ortholog_one2one,,,,NEFH
ENSG00000100312,ENSPANG00000023575,,ortholog_one2one,ENSPPAG00000027679,ACR,ortholog_one2one,ENSNLEG00000001212,ACR,ortholog_one2one,,,,ACR
ENSG00000100319,ENSPANG00000048826,ZMAT5,ortholog_one2one,ENSPPAG00000029148,ZMAT5,ortholog_one2one,ENSNLEG00000003391,ZMAT5,ortholog_one2one,ENSMICG00000027135,ZMAT5,ortholog_one2one,ZMAT5
ENSG00000100445,ENSPANG00000025555,SDR39U1,ortholog_one2one,ENSPPAG00000033936,SDR39U1,ortholog_one2one,ENSNLEG00000015526,SDR39U1,ortholog_one2one,ENSMICG00000014273,SDR39U1,ortholog_one2one,SDR39U1
ENSG00000100462,ENSPANG00000017607,PRMT5,ortholog_one2one,ENSPPAG00000032055,PRMT5,ortholog_one2one,ENSNLEG00000014810,PRMT5,ortholog_one2one,ENSMICG00000015023,PRMT5,ortholog_one2one,PRMT5
ENSG00000100522,ENSPANG00000000766,GNPNAT1,ortholog_one2one,ENSPPAG00000029428,GNPNAT1,ortholog_one2one,ENSNLEG00000032052,GNPNAT1,ortholog_one2one,,,,GNPNAT1
ENSG00000100522,ENSPANG00000000766,GNPNAT1,ortholog_one2one,ENSPPAG00000029428,GNPNAT1,ortholog_one2one,ENSNLEG00000032052,GNPNAT1,ortholog_one2one,,,,GNPNAT1
