Gene stable ID,Zebra finch gene stable ID,Zebra finch gene name,Zebra finch homology type,Great Tit gene stable ID,Great Tit gene name,Great Tit homology type,Kakapo gene stable ID,Kakapo gene name,Kakapo homology type,Gene name
ENSGALG00010001188,ENSTGUG00000028614,PSMG2,ortholog_one2one,ENSPMJG00000014360,PSMG2,ortholog_one2one,ENSSHBG00005007873,PSMG2,ortholog_one2one,PSMG2
ENSGALG00010001191,ENSTGUG00000007138,TOMM5,ortholog_one2one,ENSPMJG00000001485,TOMM5,ortholog_one2one,ENSSHBG00005002462,TOMM5,ortholog_one2one,TOMM5
ENSGALG00010001194,ENSTGUG00000004218,POT1,ortholog_one2one,ENSPMJG00000009830,POT1,ortholog_one2one,ENSSHBG00005001641,POT1,ortholog_one2one,POT1
ENSGALG00010001228,ENSTGUG00000005607,THAP5,ortholog_one2one,ENSPMJG00000010813,THAP5,ortholog_one2one,ENSSHBG00005001441,THAP5,ortholog_one2one,THAP5
ENSGALG00010001249,ENSTGUG00000011079,PDCD10,ortholog_one2one,ENSPMJG00000004950,PDCD10,ortholog_one2one,ENSSHBG00005013254,PDCD10,ortholog_one2one,PDCD10
ENSGALG00010001301,ENSTGUG00000011256,GMPS,ortholog_one2one,ENSPMJG00000006742,GMPS,ortholog_one2one,ENSSHBG00005012419,GMPS,ortholog_one2one,GMPS
ENSGALG00010001418,ENSTGUG00000009450,RNMT,ortholog_one2one,ENSPMJG00000014354,RNMT,ortholog_one2one,ENSSHBG00005008046,RNMT,ortholog_one2one,RNMT
ENSGALG00010001457,ENSTGUG00000010126,NDC80,ortholog_one2one,,,,ENSSHBG00005009637,NDC80,ortholog_one2one,NDC80
ENSGALG00010001457,ENSTGUG00000010126,NDC80,ortholog_one2one,,,,ENSSHBG00005009637,NDC80,ortholog_one2one,NDC80
ENSGALG00010001458,,,,ENSPMJG00000002239,JAZF1,ortholog_one2one,ENSSHBG00005001291,JAZF1,ortholog_one2one,JAZF1
ENSGALG00010001460,ENSTGUG00000002770,MALSU1,ortholog_one2one,ENSPMJG00000000709,MALSU1,ortholog_one2one,ENSSHBG00005006036,MALSU1,ortholog_one2one,MALSU1
ENSGALG00010001475,ENSTGUG00000029134,BMT2,ortholog_one2one,ENSPMJG00000010659,BMT2,ortholog_one2one,ENSSHBG00005011105,BMT2,ortholog_one2one,BMT2
ENSGALG00010001479,ENSTGUG00000005419,TMEM168,ortholog_one2one,ENSPMJG00000010660,TMEM168,ortholog_one2one,ENSSHBG00005011135,TMEM168,ortholog_one2one,TMEM168
ENSGALG00010001505,ENSTGUG00000011245,SSR3,ortholog_one2one,ENSPMJG00000006717,SSR3,ortholog_one2one,ENSSHBG00005012521,SSR3,ortholog_one2one,SSR3
ENSGALG00010001507,ENSTGUG00000010144,METTL4,ortholog_one2one,ENSPMJG00000014667,METTL4,ortholog_one2one,ENSSHBG00005009622,METTL4,ortholog_one2one,METTL4
ENSGALG00010001542,ENSTGUG00000012680,MTO1,ortholog_one2one,ENSPMJG00000008492,MTO1,ortholog_one2one,ENSSHBG00005008741,MTO1,ortholog_one2one,MTO1
ENSGALG00010001620,ENSTGUG00000008126,MOSPD2,ortholog_one2one,ENSPMJG00000011498,MOSPD2,ortholog_one2one,ENSSHBG00005019149,MOSPD2,ortholog_one2one,MOSPD2
ENSGALG00010001632,ENSTGUG00000008144,FANCB,ortholog_one2one,ENSPMJG00000011499,FANCB,ortholog_one2one,ENSSHBG00005019156,FANCB,ortholog_one2one,FANCB
ENSGALG00010001635,ENSTGUG00000025726,,ortholog_one2one,ENSPMJG00000005658,,ortholog_one2one,,,,TIMM10B
ENSGALG00010001654,,,,ENSPMJG00000005488,RPS11,ortholog_one2one,,,,RPS11
ENSGALG00010001697,ENSTGUG00000026223,TAF10,ortholog_one2one,ENSPMJG00000005681,TAF10,ortholog_one2one,,,,TAF10
ENSGALG00010001698,ENSTGUG00000025989,RPL15,ortholog_one2one,ENSPMJG00000003746,RPL15,ortholog_one2one,ENSSHBG00005002753,RPL15,ortholog_one2one,RPL15
ENSGALG00010001701,,,,ENSPMJG00000009953,NDUFA5,ortholog_one2one,,,,NDUFA5
ENSGALG00010001738,ENSTGUG00000008577,PUDP,ortholog_one2one,ENSPMJG00000011549,PUDP,ortholog_one2one,ENSSHBG00005009815,PUDP,ortholog_one2one,PUDP
ENSGALG00010001759,ENSTGUG00000018513,,ortholog_one2one,ENSPMJG00000005738,C10orf88,ortholog_one2one,ENSSHBG00005004187,C10orf88,ortholog_one2one,C10orf88
ENSGALG00010001829,ENSTGUG00000013453,,ortholog_one2one,ENSPMJG00000001741,,ortholog_one2one,ENSSHBG00005007583,,ortholog_one2one,POLD3
ENSGALG00010001849,ENSTGUG00000009858,NDUFV2,ortholog_one2one,ENSPMJG00000014627,NDUFV2,ortholog_one2one,ENSSHBG00005006080,NDUFV2,ortholog_one2one,NDUFV2
ENSGALG00010001862,,,,,,,ENSSHBG00005007539,,ortholog_one2one,XRRA1
ENSGALG00010001912,ENSTGUG00000005962,TMEM117,ortholog_one2one,ENSPMJG00000010967,TMEM117,ortholog_one2one,ENSSHBG00005015034,TMEM117,ortholog_one2one,TMEM117
ENSGALG00010001915,ENSTGUG00000011451,EEF1AKMT2,ortholog_one2one,ENSPMJG00000005841,EEF1AKMT2,ortholog_one2one,ENSSHBG00005004312,EEF1AKMT2,ortholog_one2one,EEF1AKMT2
ENSGALG00010001941,ENSTGUG00000002725,IL6,ortholog_one2one,ENSPMJG00000000569,IL6,ortholog_one2one,ENSSHBG00005005927,IL6,ortholog_one2one,IL6
ENSGALG00010001991,ENSTGUG00000028291,,ortholog_one2one,ENSPMJG00000000595,TOMM7,ortholog_one2one,ENSSHBG00005005949,TOMM7,ortholog_one2one,TOMM7
ENSGALG00010002039,ENSTGUG00000013026,AAMDC,ortholog_one2one,ENSPMJG00000002671,AAMDC,ortholog_one2one,ENSSHBG00005019150,AAMDC,ortholog_one2one,AAMDC
ENSGALG00010002177,ENSTGUG00000012870,FBXO9,ortholog_one2one,ENSPMJG00000009261,FBXO9,ortholog_one2one,ENSSHBG00005021259,FBXO9,ortholog_one2one,FBXO9
ENSGALG00010002350,ENSTGUG00000012798,BEND6,ortholog_one2one,ENSPMJG00000008875,BEND6,ortholog_one2one,ENSSHBG00005002589,BEND6,ortholog_one2one,BEND6
ENSGALG00010002355,ENSTGUG00000025282,UFM1,ortholog_one2one,ENSPMJG00000014997,UFM1,ortholog_one2one,ENSSHBG00005004089,UFM1,ortholog_one2one,UFM1
ENSGALG00010002372,ENSTGUG00000013110,SMC6,ortholog_one2one,ENSPMJG00000012478,SMC6,ortholog_one2one,ENSSHBG00005009502,SMC6,ortholog_one2one,SMC6
ENSGALG00010002387,ENSTGUG00000011183,MCMBP,ortholog_one2one,ENSPMJG00000005642,MCMBP,ortholog_one2one,ENSSHBG00005003485,MCMBP,ortholog_one2one,MCMBP
ENSGALG00010002398,ENSTGUG00000019101,,ortholog_one2one,,,,,,,
ENSGALG00010002398,ENSTGUG00000019101,,ortholog_one2one,,,,,,,
ENSGALG00010002408,ENSTGUG00000008193,OFD1,ortholog_one2one,ENSPMJG00000011505,OFD1,ortholog_one2one,ENSSHBG00005019172,OFD1,ortholog_one2one,OFD1
ENSGALG00010002410,ENSTGUG00000013584,RNF121,ortholog_one2one,ENSPMJG00000012015,,ortholog_one2one,ENSSHBG00005017857,RNF121,ortholog_one2one,RNF175
ENSGALG00010002411,,,,,,,ENSSHBG00005017851,XNDC1N,ortholog_one2one,
ENSGALG00010002413,ENSTGUG00000012973,EIPR1,ortholog_one2one,ENSPMJG00000010339,EIPR1,ortholog_one2one,ENSSHBG00005000602,EIPR1,ortholog_one2one,TSSC1
ENSGALG00010002422,ENSTGUG00000012974,TRAPPC12,ortholog_one2one,ENSPMJG00000010410,TRAPPC12,ortholog_one2one,ENSSHBG00005000603,TRAPPC12,ortholog_one2one,TRAPPC12
ENSGALG00010002441,ENSTGUG00000001555,USO1,ortholog_one2one,ENSPMJG00000000620,USO1,ortholog_one2one,ENSSHBG00005014449,USO1,ortholog_one2one,USO1
ENSGALG00010002445,ENSTGUG00000011472,EDRF1,ortholog_one2one,ENSPMJG00000005907,EDRF1,ortholog_one2one,ENSSHBG00005004438,EDRF1,ortholog_one2one,EDRF1
ENSGALG00010002460,ENSTGUG00000013581,LAMTOR1,ortholog_one2one,ENSPMJG00000012106,LAMTOR1,ortholog_one2one,ENSSHBG00005017801,LAMTOR1,ortholog_one2one,LAMTOR1
ENSGALG00010002464,ENSTGUG00000003519,NGLY1,ortholog_one2one,ENSPMJG00000006999,NGLY1,ortholog_one2one,ENSSHBG00005002895,NGLY1,ortholog_one2one,NGLY1
ENSGALG00010002466,ENSTGUG00000011481,UROS,ortholog_one2one,ENSPMJG00000005911,UROS,ortholog_one2one,ENSSHBG00005004544,UROS,ortholog_one2one,UROS
ENSGALG00010002478,ENSTGUG00000013448,PPME1,ortholog_one2one,ENSPMJG00000002781,PPME1,ortholog_one2one,ENSSHBG00005019821,PPME1,ortholog_one2one,PPME1
ENSGALG00010002487,ENSTGUG00000011485,BCCIP,ortholog_one2one,ENSPMJG00000005912,BCCIP,ortholog_one2one,ENSSHBG00005004551,BCCIP,ortholog_one2one,BCCIP
ENSGALG00010002507,ENSTGUG00000019971,C2CD3,ortholog_one2one,ENSPMJG00000002786,C2CD3,ortholog_one2one,ENSSHBG00005019807,C2CD3,ortholog_one2one,C2CD3
ENSGALG00010002511,ENSTGUG00000012036,VPS36,ortholog_one2one,ENSPMJG00000014967,VPS36,ortholog_one2one,ENSSHBG00005003856,VPS36,ortholog_one2one,VPS36
ENSGALG00010002546,ENSTGUG00000006635,ATP6AP2,ortholog_one2one,ENSPMJG00000011009,ATP6AP2,ortholog_one2one,ENSSHBG00005011811,ATP6AP2,ortholog_one2one,ATP6AP2
ENSGALG00010002565,ENSTGUG00000028005,,ortholog_one2one,ENSPMJG00000008384,,ortholog_one2one,ENSSHBG00005011599,,ortholog_one2one,MRPS18C
ENSGALG00010002567,,,,,,,ENSSHBG00005019785,COA4,ortholog_one2one,COA4
ENSGALG00010002569,ENSTGUG00000010642,GTPBP6,ortholog_one2one,ENSPMJG00000000116,,ortholog_one2one,ENSSHBG00005010861,GTPBP6,ortholog_one2one,GTPBP6
ENSGALG00010002577,ENSTGUG00000013469,MRPL48,ortholog_one2one,ENSPMJG00000001487,MRPL48,ortholog_one2one,ENSSHBG00005019782,MRPL48,ortholog_one2one,MRPL48
ENSGALG00010002608,ENSTGUG00000025595,RPP38,ortholog_one2one,ENSPMJG00000007146,,ortholog_one2one,ENSSHBG00005004771,RPP38,ortholog_one2one,RPP38
ENSGALG00010002649,ENSTGUG00000012318,UFL1,ortholog_one2one,ENSPMJG00000001196,UFL1,ortholog_one2one,ENSSHBG00005008601,UFL1,ortholog_one2one,UFL1
ENSGALG00010002673,ENSTGUG00000026462,SLC66A3,ortholog_one2one,ENSPMJG00000012442,SLC66A3,ortholog_one2one,ENSSHBG00005007268,SLC66A3,ortholog_one2one,SLC66A3
ENSGALG00010002679,ENSTGUG00000001368,OLAH,ortholog_one2one,ENSPMJG00000007151,OLAH,ortholog_one2one,ENSSHBG00005004782,OLAH,ortholog_one2one,OLAH
ENSGALG00010002716,ENSTGUG00000011989,NHLRC3,ortholog_one2one,ENSPMJG00000014977,NHLRC3,ortholog_one2one,ENSSHBG00005003965,NHLRC3,ortholog_one2one,NHLRC3
ENSGALG00010002742,ENSTGUG00000011985,PROSER1,ortholog_one2one,ENSPMJG00000014978,PROSER1,ortholog_one2one,ENSSHBG00005003991,PROSER1,ortholog_one2one,PROSER1
ENSGALG00010002787,ENSTGUG00000006297,CEP44,ortholog_one2one,ENSPMJG00000001567,CEP44,ortholog_one2one,ENSSHBG00005013578,CEP44,ortholog_one2one,CEP44
ENSGALG00010002855,,,,ENSPMJG00000002801,RACK1,ortholog_one2one,ENSSHBG00005007842,RACK1,ortholog_one2one,RACK1
ENSGALG00010002864,ENSTGUG00000012104,RNASEH2B,ortholog_one2one,ENSPMJG00000014950,RNASEH2B,ortholog_one2one,ENSSHBG00005001816,RNASEH2B,ortholog_one2one,RNASEH2B
ENSGALG00010002930,ENSTGUG00000002424,,ortholog_one2one,ENSPMJG00000010741,,ortholog_one2one,ENSSHBG00005001720,,ortholog_one2one,
ENSGALG00010002952,ENSTGUG00000013092,NBAS,ortholog_one2one,ENSPMJG00000012468,NBAS,ortholog_one2one,ENSSHBG00005008111,NBAS,ortholog_one2one,NBAS
ENSGALG00010002956,ENSTGUG00000006280,SCRG1,ortholog_one2one,ENSPMJG00000001521,SCRG1,ortholog_one2one,ENSSHBG00005013612,SCRG1,ortholog_one2one,SCRG1
ENSGALG00010003121,ENSTGUG00000011252,ARMC1,ortholog_one2one,ENSPMJG00000000151,ARMC1,ortholog_one2one,ENSSHBG00005001458,ARMC1,ortholog_one2one,ARMC1
ENSGALG00010003136,ENSTGUG00000000556,NUP98,ortholog_one2one,ENSPMJG00000000924,NUP98,ortholog_one2one,ENSSHBG00005017948,NUP98,ortholog_one2one,NUP98
ENSGALG00010003166,,,,ENSPMJG00000000891,,ortholog_one2one,ENSSHBG00005018020,PGAP2,ortholog_one2one,PGAP2
ENSGALG00010003186,,,,ENSPMJG00000014840,,ortholog_one2one,ENSSHBG00005017259,,ortholog_one2one,CYP21A1
ENSGALG00010003193,ENSTGUG00000007308,ACOT9,ortholog_one2one,ENSPMJG00000011230,ACOT9,ortholog_one2one,ENSSHBG00005006343,ACOT9,ortholog_one2one,ACOT9
ENSGALG00010003253,ENSTGUG00000013015,ITGB1BP1,ortholog_one2one,ENSPMJG00000012392,ITGB1BP1,ortholog_one2one,ENSSHBG00005006432,ITGB1BP1,ortholog_one2one,ITGB1BP1
ENSGALG00010003300,ENSTGUG00000012385,CASP8AP2,ortholog_one2one,ENSPMJG00000001574,CASP8AP2,ortholog_one2one,ENSSHBG00005008714,CASP8AP2,ortholog_one2one,CASP8AP2
ENSGALG00010003366,ENSTGUG00000001556,CASD1,ortholog_one2one,ENSPMJG00000009752,CASD1,ortholog_one2one,ENSSHBG00005015652,CASD1,ortholog_one2one,CASD1
ENSGALG00010003431,ENSTGUG00000012421,PM20D2,ortholog_one2one,ENSPMJG00000002254,PM20D2,ortholog_one2one,ENSSHBG00005001826,PM20D2,ortholog_one2one,PM20D2
ENSGALG00010003442,ENSTGUG00000006441,SPCS3,ortholog_one2one,ENSPMJG00000001714,SPCS3,ortholog_one2one,ENSSHBG00005013467,SPCS3,ortholog_one2one,SPCS3
ENSGALG00010003449,ENSTGUG00000019650,BORCS6,ortholog_one2one,ENSPMJG00000002275,,ortholog_one2one,ENSSHBG00005001877,,ortholog_one2one,BORCS6
ENSGALG00010003503,ENSTGUG00000012321,NUFIP1,ortholog_one2one,ENSPMJG00000014897,,ortholog_one2one,ENSSHBG00005008070,NUFIP1,ortholog_one2one,NUFIP1
ENSGALG00010003509,ENSTGUG00000012338,GPALPP1,ortholog_one2one,ENSPMJG00000014898,GPALPP1,ortholog_one2one,ENSSHBG00005008087,GPALPP1,ortholog_one2one,GPALPP1
ENSGALG00010003691,ENSTGUG00000012937,ERICH1,ortholog_one2one,ENSPMJG00000009670,ERICH1,ortholog_one2one,ENSSHBG00005021312,ERICH1,ortholog_one2one,ERICH1
ENSGALG00010003701,ENSTGUG00000004753,SARAF,ortholog_one2one,ENSPMJG00000010394,SARAF,ortholog_one2one,ENSSHBG00005006674,SARAF,ortholog_one2one,SARAF
ENSGALG00010003714,ENSTGUG00000012439,ORC3,ortholog_one2one,ENSPMJG00000002572,ORC3,ortholog_one2one,ENSSHBG00005002031,ORC3,ortholog_one2one,ORC3
ENSGALG00010003737,ENSTGUG00000004767,SRP72,ortholog_one2one,ENSPMJG00000010459,SRP72,ortholog_one2one,ENSSHBG00005006644,SRP72,ortholog_one2one,SRP72
ENSGALG00010003820,ENSTGUG00000012946,SH3YL1,ortholog_one2one,ENSPMJG00000009792,SH3YL1,ortholog_one2one,ENSSHBG00005021317,SH3YL1,ortholog_one2one,SH3YL1
ENSGALG00010003837,ENSTGUG00000012951,ALKAL2,ortholog_one2one,ENSPMJG00000009801,,ortholog_one2one,,,,FAM150B
ENSGALG00010003838,ENSTGUG00000020041,GAR1,ortholog_one2one,ENSPMJG00000010111,GAR1,ortholog_one2one,ENSSHBG00005011464,GAR1,ortholog_one2one,GAR1
ENSGALG00010003844,,,,ENSPMJG00000009903,TMEM18,ortholog_one2one,ENSSHBG00005021320,TMEM18,ortholog_one2one,TMEM18
ENSGALG00010003848,ENSTGUG00000012256,ESD,ortholog_one2one,ENSPMJG00000014913,ESD,ortholog_one2one,ENSSHBG00005008373,ESD,ortholog_one2one,ESD
ENSGALG00010003852,ENSTGUG00000023131,ELOC,ortholog_one2one,ENSPMJG00000005239,ELOC,ortholog_one2one,ENSSHBG00005007386,ELOC,ortholog_one2one,TCEB1
ENSGALG00010003860,ENSTGUG00000011565,TMEM70,ortholog_one2one,ENSPMJG00000005241,TMEM70,ortholog_one2one,ENSSHBG00005007374,TMEM70,ortholog_one2one,TMEM70
ENSGALG00010003861,ENSTGUG00000012236,NUDT15,ortholog_one2one,ENSPMJG00000014917,NUDT15,ortholog_one2one,ENSSHBG00005008396,NUDT15,ortholog_one2one,NUDT15
ENSGALG00010003870,ENSTGUG00000022889,MED4,ortholog_one2one,ENSPMJG00000014918,MED4,ortholog_one2one,ENSSHBG00005008402,MED4,ortholog_one2one,MED4
ENSGALG00010003910,ENSTGUG00000002802,THAP9,ortholog_one2one,ENSPMJG00000008885,THAP9,ortholog_one2one,ENSSHBG00005015342,THAP9,ortholog_one2one,THAP9
ENSGALG00010003915,ENSTGUG00000001673,MIOS,ortholog_one2one,ENSPMJG00000010119,MIOS,ortholog_one2one,ENSSHBG00005015771,MIOS,ortholog_one2one,MIOS
ENSGALG00010003962,ENSTGUG00000026086,UMAD1,ortholog_one2one,ENSPMJG00000010125,UMAD1,ortholog_one2one,ENSSHBG00005015781,UMAD1,ortholog_one2one,UMAD1
ENSGALG00010003980,ENSTGUG00000028637,,ortholog_one2one,ENSPMJG00000015713,CHCHD7,ortholog_one2one,ENSSHBG00005003893,CHCHD7,ortholog_one2one,CHCHD7
ENSGALG00010003988,ENSTGUG00000002842,ENOPH1,ortholog_one2one,ENSPMJG00000008892,ENOPH1,ortholog_one2one,ENSSHBG00005015270,ENOPH1,ortholog_one2one,ENOPH1
ENSGALG00010004109,ENSTGUG00000002541,AGMO,ortholog_one2one,ENSPMJG00000010935,AGMO,ortholog_one2one,ENSSHBG00005002611,AGMO,ortholog_one2one,AGMO
ENSGALG00010004135,ENSTGUG00000001685,NUP54,ortholog_one2one,ENSPMJG00000001204,NUP54,ortholog_one2one,ENSSHBG00005010690,NUP54,ortholog_one2one,NUP54
ENSGALG00010004149,ENSTGUG00000001665,SDAD1,ortholog_one2one,ENSPMJG00000001149,SDAD1,ortholog_one2one,ENSSHBG00005010513,SDAD1,ortholog_one2one,SDAD1
ENSGALG00010004177,ENSTGUG00000011353,CSPP1,ortholog_one2one,ENSPMJG00000000910,CSPP1,ortholog_one2one,ENSSHBG00005000021,,ortholog_one2one,CSPP1
ENSGALG00010004224,ENSTGUG00000012495,NT5E,ortholog_one2one,ENSPMJG00000002963,NT5E,ortholog_one2one,ENSSHBG00005003076,NT5E,ortholog_one2one,NT5E
ENSGALG00010004230,ENSTGUG00000013037,TAF1B,ortholog_one2one,ENSPMJG00000012405,TAF1B,ortholog_one2one,ENSSHBG00005006841,TAF1B,ortholog_one2one,TAF1B
ENSGALG00010004307,ENSTGUG00000016271,NPC2,ortholog_one2one,ENSPMJG00000016701,NPC2,ortholog_one2one,ENSSHBG00005002154,NPC2,ortholog_one2one,NPC2
ENSGALG00010004355,ENSTGUG00000002557,ANKMY2,ortholog_one2one,ENSPMJG00000011018,ANKMY2,ortholog_one2one,ENSSHBG00005002661,ANKMY2,ortholog_one2one,ANKMY2
ENSGALG00010004356,ENSTGUG00000027784,TRAPPC8,ortholog_one2one,ENSPMJG00000014756,TRAPPC8,ortholog_one2one,ENSSHBG00005004779,TRAPPC8,ortholog_one2one,TRAPPC8
ENSGALG00010004424,ENSTGUG00000011414,MRPL18,ortholog_one2one,ENSPMJG00000009371,MRPL18,ortholog_one2one,ENSSHBG00005011525,MRPL18,ortholog_one2one,MRPL18
ENSGALG00010004440,,,,ENSPMJG00000008766,,ortholog_one2one,ENSSHBG00005011484,GTF2H5,ortholog_one2one,GTF2H5
ENSGALG00010004487,ENSTGUG00000013595,ABHD10,ortholog_one2one,ENSPMJG00000011929,ABHD10,ortholog_one2one,ENSSHBG00005013170,ABHD10,ortholog_one2one,ABHD10
ENSGALG00010004533,ENSTGUG00000011651,PAG1,ortholog_one2one,ENSPMJG00000005468,PAG1,ortholog_one2one,ENSSHBG00005006799,PAG1,ortholog_one2one,PAG1
ENSGALG00010004542,ENSTGUG00000009754,ERMARD,ortholog_one2one,ENSPMJG00000002159,ERMARD,ortholog_one2one,ENSSHBG00005020915,ERMARD,ortholog_one2one,ERMARD
ENSGALG00010004666,ENSTGUG00000026228,C6orf120,ortholog_one2one,ENSPMJG00000002131,C6orf120,ortholog_one2one,ENSSHBG00005020882,C6orf120,ortholog_one2one,C6orf120
ENSGALG00010004762,ENSTGUG00000013609,IFT57,ortholog_one2one,ENSPMJG00000011226,IFT57,ortholog_one2one,ENSSHBG00005013515,IFT57,ortholog_one2one,IFT57
ENSGALG00010004803,ENSTGUG00000010413,RMC1,ortholog_one2one,ENSPMJG00000014696,RMC1,ortholog_one2one,ENSSHBG00005009040,RMC1,ortholog_one2one,RMC1
ENSGALG00010004837,ENSTGUG00000022704,,ortholog_one2one,ENSPMJG00000010320,,ortholog_one2one,ENSSHBG00005015115,,ortholog_one2one,CENPC
ENSGALG00010004868,ENSTGUG00000012634,NPAT,ortholog_one2one,ENSPMJG00000017786,NPAT,ortholog_one2one,ENSSHBG00005014286,NPAT,ortholog_one2one,NPAT
ENSGALG00010004871,ENSTGUG00000021632,C11orf87,ortholog_one2one,,,,ENSSHBG00005014180,C11orf87,ortholog_one2one,C11orf87
ENSGALG00010004944,ENSTGUG00000012335,ALKBH1,ortholog_one2one,ENSPMJG00000016853,ALKBH1,ortholog_one2one,ENSSHBG00005004273,ALKBH1,ortholog_one2one,ALKBH1
ENSGALG00010004950,ENSTGUG00000012337,SLIRP,ortholog_one2one,ENSPMJG00000016854,SLIRP,ortholog_one2one,ENSSHBG00005004263,SLIRP,ortholog_one2one,SLIRP
ENSGALG00010004951,ENSTGUG00000009578,AFDN,ortholog_one2one,ENSPMJG00000001693,AFDN,ortholog_one2one,ENSSHBG00005020703,AFDN,ortholog_one2one,AFDN
ENSGALG00010004970,ENSTGUG00000001489,RBM48,ortholog_one2one,ENSPMJG00000007771,RBM48,ortholog_one2one,ENSSHBG00005007466,RBM48,ortholog_one2one,RBM48
