Human_BIP number	Human_Gene stable ID	Human_Chromosome/scaffold name	Human_Gene start (bp)	Human_Gene end (bp)	Human_Strand	Human_Gene description	Human_Gene name	Human_Gene type	Human_Gene stable ID.1	Human_Chromosome/scaffold name.1	Human_Gene start (bp).1	Human_Gene end (bp).1	Human_Strand.1	Human_Gene description.1	Human_Gene name.1	Human_Gene type.1	Human_distance	Crab-Eating_Macaque_BIP number	Crab-Eating_Macaque_Gene stable ID	Crab-Eating_Macaque_Chromosome/scaffold name	Crab-Eating_Macaque_Gene start (bp)	Crab-Eating_Macaque_Gene end (bp)	Crab-Eating_Macaque_Strand	Crab-Eating_Macaque_Gene description	Crab-Eating_Macaque_Gene name	Crab-Eating_Macaque_Gene type	Crab-Eating_Macaque_Gene stable ID.1	Crab-Eating_Macaque_Chromosome/scaffold name.1	Crab-Eating_Macaque_Gene start (bp).1	Crab-Eating_Macaque_Gene end (bp).1	Crab-Eating_Macaque_Strand.1	Crab-Eating_Macaque_Gene description.1	Crab-Eating_Macaque_Gene name.1	Crab-Eating_Macaque_Gene type.1	Crab-Eating_Macaque_distance	Mouse_Lemur_BIP number	Mouse_Lemur_Gene stable ID	Mouse_Lemur_Chromosome/scaffold name	Mouse_Lemur_Gene start (bp)	Mouse_Lemur_Gene end (bp)	Mouse_Lemur_Strand	Mouse_Lemur_Gene description	Mouse_Lemur_Gene name	Mouse_Lemur_Gene type	Mouse_Lemur_Gene stable ID.1	Mouse_Lemur_Chromosome/scaffold name.1	Mouse_Lemur_Gene start (bp).1	Mouse_Lemur_Gene end (bp).1	Mouse_Lemur_Strand.1	Mouse_Lemur_Gene description.1	Mouse_Lemur_Gene name.1	Mouse_Lemur_Gene type.1	Mouse_Lemur_distance	Bonobo_BIP number	Bonobo_Gene stable ID	Bonobo_Chromosome/scaffold name	Bonobo_Gene start (bp)	Bonobo_Gene end (bp)	Bonobo_Strand	Bonobo_Gene description	Bonobo_Gene name	Bonobo_Gene type	Bonobo_Gene stable ID.1	Bonobo_Chromosome/scaffold name.1	Bonobo_Gene start (bp).1	Bonobo_Gene end (bp).1	Bonobo_Strand.1	Bonobo_Gene description.1	Bonobo_Gene name.1	Bonobo_Gene type.1	Bonobo_distance	Gorilla_BIP number	Gorilla_Gene stable ID	Gorilla_Chromosome/scaffold name	Gorilla_Gene start (bp)	Gorilla_Gene end (bp)	Gorilla_Strand	Gorilla_Gene description	Gorilla_Gene name	Gorilla_Gene type	Gorilla_Gene stable ID.1	Gorilla_Chromosome/scaffold name.1	Gorilla_Gene start (bp).1	Gorilla_Gene end (bp).1	Gorilla_Strand.1	Gorilla_Gene description.1	Gorilla_Gene name.1	Gorilla_Gene type.1	Gorilla_distance	Chimpanzee_BIP number	Chimpanzee_Gene stable ID	Chimpanzee_Chromosome/scaffold name	Chimpanzee_Gene start (bp)	Chimpanzee_Gene end (bp)	Chimpanzee_Strand	Chimpanzee_Gene description	Chimpanzee_Gene name	Chimpanzee_Gene type	Chimpanzee_Gene stable ID.1	Chimpanzee_Chromosome/scaffold name.1	Chimpanzee_Gene start (bp).1	Chimpanzee_Gene end (bp).1	Chimpanzee_Strand.1	Chimpanzee_Gene description.1	Chimpanzee_Gene name.1	Chimpanzee_Gene type.1	Chimpanzee_distance	Vervet-Agm_BIP number	Vervet-Agm_Gene stable ID	Vervet-Agm_Chromosome/scaffold name	Vervet-Agm_Gene start (bp)	Vervet-Agm_Gene end (bp)	Vervet-Agm_Strand	Vervet-Agm_Gene description	Vervet-Agm_Gene name	Vervet-Agm_Gene type	Vervet-Agm_Gene stable ID.1	Vervet-Agm_Chromosome/scaffold name.1	Vervet-Agm_Gene start (bp).1	Vervet-Agm_Gene end (bp).1	Vervet-Agm_Strand.1	Vervet-Agm_Gene description.1	Vervet-Agm_Gene name.1	Vervet-Agm_Gene type.1	Vervet-Agm_distance	Olive_Baboon_BIP number	Olive_Baboon_Gene stable ID	Olive_Baboon_Chromosome/scaffold name	Olive_Baboon_Gene start (bp)	Olive_Baboon_Gene end (bp)	Olive_Baboon_Strand	Olive_Baboon_Gene description	Olive_Baboon_Gene name	Olive_Baboon_Gene type	Olive_Baboon_Gene stable ID.1	Olive_Baboon_Chromosome/scaffold name.1	Olive_Baboon_Gene start (bp).1	Olive_Baboon_Gene end (bp).1	Olive_Baboon_Strand.1	Olive_Baboon_Gene description.1	Olive_Baboon_Gene name.1	Olive_Baboon_Gene type.1	Olive_Baboon_distance	Sumatran_Orangutan_BIP number	Sumatran_Orangutan_Gene stable ID	Sumatran_Orangutan_Chromosome/scaffold name	Sumatran_Orangutan_Gene start (bp)	Sumatran_Orangutan_Gene end (bp)	Sumatran_Orangutan_Strand	Sumatran_Orangutan_Gene description	Sumatran_Orangutan_Gene name	Sumatran_Orangutan_Gene type	Sumatran_Orangutan_Gene stable ID.1	Sumatran_Orangutan_Chromosome/scaffold name.1	Sumatran_Orangutan_Gene start (bp).1	Sumatran_Orangutan_Gene end (bp).1	Sumatran_Orangutan_Strand.1	Sumatran_Orangutan_Gene description.1	Sumatran_Orangutan_Gene name.1	Sumatran_Orangutan_Gene type.1	Sumatran_Orangutan_distance	Gibbon_BIP number	Gibbon_Gene stable ID	Gibbon_Chromosome/scaffold name	Gibbon_Gene start (bp)	Gibbon_Gene end (bp)	Gibbon_Strand	Gibbon_Gene description	Gibbon_Gene name	Gibbon_Gene type	Gibbon_Gene stable ID.1	Gibbon_Chromosome/scaffold name.1	Gibbon_Gene start (bp).1	Gibbon_Gene end (bp).1	Gibbon_Strand.1	Gibbon_Gene description.1	Gibbon_Gene name.1	Gibbon_Gene type.1	Gibbon_distance
1571	ENSG00000109084	17	28319200	28328685	1	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]	TMEM97	protein_coding	ENSG00000109083	17	28328325	28335489	-1	intraflagellar transport 20 [Source:HGNC Symbol;Acc:HGNC:30989]	IFT20	protein_coding	360	835	ENSMFAG00000031646	16	22898485	22908213	1	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]	TMEM97	protein_coding	ENSMFAG00000032862	16	22907558	22916040	-1	intraflagellar transport 20 [Source:HGNC Symbol;Acc:HGNC:30989]	IFT20	protein_coding	655																																																																																																																																																
1626	ENSG00000183978	17	42795147	42798704	-1	cytochrome c oxidase assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:24990]	COA3	protein_coding	ENSG00000176563	17	42798800	42811587	1	cyclin N-terminal domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26847]	CNTD1	protein_coding	96	891	ENSMFAG00000045541	16	53101769	53103390	-1	cytochrome c oxidase assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:24990]	COA3	protein_coding	ENSMFAG00000040185	16	53103443	53115006	1	cyclin N-terminal domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26847]	CNTD1	protein_coding	53	324	ENSMICG00000045288	16	31278336	31279462	-1	cytochrome c oxidase assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:24990]	COA3	protein_coding	ENSMICG00000010384	16	31279482	31287731	1	cyclin N-terminal domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26847]	CNTD1	protein_coding	20																																																																																											669	ENSPPYG00000039409	17	50329642	50331222	-1	coiled-coil domain containing 56 [Source:NCBI gene (formerly Entrezgene);Acc:100173307]	COA3	protein_coding	ENSPPYG00000008374	17	50330503	50339821	1	cyclin N-terminal domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26847]	CNTD1	protein_coding	719																		
1700	ENSG00000109065	17	74770529	74776367	-1	N-acetyltransferase 9 (putative) [Source:HGNC Symbol;Acc:HGNC:23133]	NAT9	protein_coding	ENSG00000109066	17	74776499	74839753	1	transmembrane protein 104 [Source:HGNC Symbol;Acc:HGNC:25984]	TMEM104	protein_coding	132	913	ENSMFAG00000044362	16	70541079	70547151	-1	N-acetyltransferase 9 (putative) [Source:HGNC Symbol;Acc:HGNC:23133]	NAT9	protein_coding	ENSMFAG00000043806	16	70547259	70624844	1	transmembrane protein 104 [Source:HGNC Symbol;Acc:HGNC:25984]	TMEM104	protein_coding	108																			671	ENSPPAG00000040409	17	74272426	74277763	-1	N-acetyltransferase 9 (putative) [Source:HGNC Symbol;Acc:HGNC:23133]	NAT9	protein_coding	ENSPPAG00000040329	17	74277821	74341183	1	transmembrane protein 104 [Source:HGNC Symbol;Acc:HGNC:25984]	TMEM104	protein_coding	58																			760	ENSPTRG00000009617	17	74256813	74262792	-1	N-acetyltransferase 9 (putative) [Source:VGNC Symbol;Acc:VGNC:9470]	NAT9	protein_coding	ENSPTRG00000009618	17	74262850	74325910	1	transmembrane protein 104 [Source:VGNC Symbol;Acc:VGNC:14200]	TMEM104	protein_coding	58																			497	ENSPANG00000020264	17	66496697	66502203	-1	N-acetyltransferase 9 (putative) [Source:HGNC Symbol;Acc:HGNC:23133]	NAT9	protein_coding	ENSPANG00000020266	17	66501344	66565073	1	transmembrane protein 104 [Source:HGNC Symbol;Acc:HGNC:25984]	TMEM104	protein_coding	859	691	ENSPPYG00000008604	17	67452082	67457850	-1	N-acetyltransferase 9 (putative) [Source:HGNC Symbol;Acc:HGNC:23133]	NAT9	protein_coding	ENSPPYG00000008605	17	67458014	67520837	1	transmembrane protein 104 [Source:NCBI gene (formerly Entrezgene);Acc:100172092]	TMEM104	protein_coding	164																		
1734	ENSG00000204237	17	81665036	81666635	-1	oxidoreductase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27901]	OXLD1	protein_coding	ENSG00000185298	17	81666737	81673904	1	coiled-coil domain containing 137 [Source:HGNC Symbol;Acc:HGNC:33451]	CCDC137	protein_coding	102	936	ENSMFAG00000043539	16	77380618	77381768	-1	oxidoreductase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27901]	OXLD1	protein_coding	ENSMFAG00000036416	16	77381996	77389886	1	coiled-coil domain containing 137 [Source:HGNC Symbol;Acc:HGNC:33451]	CCDC137	protein_coding	228																			690	ENSPPAG00000027500	17	81824942	81826536	-1	oxidoreductase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27901]	OXLD1	protein_coding	ENSPPAG00000041503	17	81826569	81834389	1	coiled-coil domain containing 137 [Source:HGNC Symbol;Acc:HGNC:33451]	CCDC137	protein_coding	33																			780	ENSPTRG00000030740	17	81435435	81437030	-1	oxidoreductase like domain containing 1 [Source:VGNC Symbol;Acc:VGNC:9499]	OXLD1	protein_coding	ENSPTRG00000009767	17	81437097	81444340	1	coiled-coil domain containing 137 [Source:VGNC Symbol;Acc:VGNC:12041]	CCDC137	protein_coding	67	371	ENSCSAG00000002249	16	73596758	73597168	-1	oxidoreductase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27901]	OXLD1	protein_coding	ENSCSAG00000002247	16	73598056	73603258	1	coiled-coil domain containing 137 [Source:HGNC Symbol;Acc:HGNC:33451]	CCDC137	protein_coding	888	512	ENSPANG00000035091	17	73186862	73188226	-1	oxidoreductase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27901]	OXLD1	protein_coding	ENSPANG00000019327	17	73188392	73195121	1	coiled-coil domain containing 137 [Source:HGNC Symbol;Acc:HGNC:33451]	CCDC137	protein_coding	166																																				
1992	ENSG00000126264	19	35902529	35904377	1	hematopoietic cell signal transducer [Source:HGNC Symbol;Acc:HGNC:16977]	HCST	protein_coding	ENSG00000011600	19	35904401	35908295	-1	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	TYROBP	protein_coding	24	1101	ENSMFAG00000037963	19	35551155	35552916	1	hematopoietic cell signal transducer [Source:HGNC Symbol;Acc:HGNC:16977]	HCST	protein_coding	ENSMFAG00000039856	19	35553030	35557422	-1			protein_coding	114																			774	ENSPPAG00000034831	19	41568739	41570544	1	hematopoietic cell signal transducer [Source:HGNC Symbol;Acc:HGNC:16977]	HCST	protein_coding	ENSPPAG00000039154	19	41570683	41575226	-1	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	TYROBP	protein_coding	139	726	ENSGGOG00000015328	19	35407874	35409606	1	hematopoietic cell signal transducer [Source:HGNC Symbol;Acc:HGNC:16977]	HCST	protein_coding	ENSGGOG00000015332	19	35409745	35413647	-1	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	TYROBP	protein_coding	139	877	ENSPTRG00000010875	19	37842025	37843831	1	hematopoietic cell signal transducer [Source:VGNC Symbol;Acc:VGNC:2340]	HCST	protein_coding	ENSPTRG00000010876	19	37843958	37847873	-1	transmembrane immune signaling adaptor TYROBP [Source:VGNC Symbol;Acc:VGNC:2209]	TYROBP	protein_coding	127	769	ENSCSAG00000004288	6	30814767	30816547	1	hematopoietic cell signal transducer [Source:HGNC Symbol;Acc:HGNC:16977]	HCST	protein_coding	ENSCSAG00000004287	6	30816678	30820597	-1	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	TYROBP	protein_coding	131																			796	ENSPPYG00000009888	19	33586382	33590675	1	hematopoietic cell signal transducer [Source:HGNC Symbol;Acc:HGNC:16977]	HCST	protein_coding	ENSPPYG00000009889	19	33591084	33594750	-1			protein_coding	409																		
2016	ENSG00000006712	19	39385629	39391154	-1	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]	PAF1	protein_coding	ENSG00000063322	19	39391303	39400641	1	mediator complex subunit 29 [Source:HGNC Symbol;Acc:HGNC:23074]	MED29	protein_coding	149	1111	ENSMFAG00000046024	19	38821658	38827925	-1	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]	PAF1	protein_coding	ENSMFAG00000044241	19	38828128	38837108	1	mediator complex subunit 29 [Source:HGNC Symbol;Acc:HGNC:23074]	MED29	protein_coding	203																			788	ENSPPAG00000027491	19	45031819	45037169	-1	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]	PAF1	protein_coding	ENSPPAG00000036805	19	45037228	45046717	1	mediator complex subunit 29 [Source:HGNC Symbol;Acc:HGNC:23074]	MED29	protein_coding	59																			895	ENSPTRG00000010964	19	41400421	41405766	-1	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:NCBI gene (formerly Entrezgene);Acc:456396]	PAF1	protein_coding	ENSPTRG00000010966	19	41405885	41415164	1	mediator complex subunit 29 [Source:VGNC Symbol;Acc:VGNC:11181]	MED29	protein_coding	119	782	ENSCSAG00000003870	6	33986916	33996347	-1	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]	PAF1	protein_coding	ENSCSAG00000003866	6	33996843	34002405	1	mediator complex subunit 29 [Source:HGNC Symbol;Acc:HGNC:23074]	MED29	protein_coding	496																																					421	ENSNLEG00000014430	17	86290047	86295358	-1	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]	PAF1	protein_coding	ENSNLEG00000014421	17	86295476	86304210	1	mediator complex subunit 29 [Source:HGNC Symbol;Acc:HGNC:23074]	MED29	protein_coding	118
2225	ENSG00000158411	2	99161427	99181058	-1	microtubule interacting and trafficking domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25207]	MITD1	protein_coding	ENSG00000185414	2	99181152	99199561	1	mitochondrial ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:14036]	MRPL30	protein_coding	94	506	ENSMFAG00000000680	13	2982252	2992286	-1	microtubule interacting and trafficking domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25207]	MITD1	protein_coding	ENSMFAG00000001729	13	2991886	3007602	1	mitochondrial ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:14036]	MRPL30	protein_coding	400																																																																																																																																																
2305	ENSG00000074582	2	218658764	218663443	1	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]	BCS1L	protein_coding	ENSG00000163481	2	218663892	218672002	-1	ring finger protein 25 [Source:HGNC Symbol;Acc:HGNC:14662]	RNF25	protein_coding	449	482	ENSMFAG00000044997	12	106510166	106514217	1	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]	BCS1L	protein_coding	ENSMFAG00000000075	12	106514933	106522466	-1	ring finger protein 25 [Source:HGNC Symbol;Acc:HGNC:14662]	RNF25	protein_coding	716																																																																									108	ENSCSAG00000008774	10	104565184	104568099	1	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]	BCS1L	protein_coding	ENSCSAG00000008769	10	104568361	104575819	-1	ring finger protein 25 [Source:HGNC Symbol;Acc:HGNC:14662]	RNF25	protein_coding	262																																																						
2629	ENSG00000171148	3	9779967	9793011	-1	transcriptional adaptor 3 [Source:HGNC Symbol;Acc:HGNC:19422]	TADA3	protein_coding	ENSG00000241553	3	9792495	9807101	1	actin related protein 2/3 complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:707]	ARPC4	protein_coding	516	1248	ENSMFAG00000044750	2	139471540	139484250	-1	transcriptional adaptor 3 [Source:HGNC Symbol;Acc:HGNC:19422]	TADA3	protein_coding	ENSMFAG00000038887	2	139483701	139499981	1	actin related protein 2/3 complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:707]	ARPC4	protein_coding	549																			909	ENSPPAG00000042708	3	9969550	9982389	-1	transcriptional adaptor 3 [Source:HGNC Symbol;Acc:HGNC:19422]	TADA3	protein_coding	ENSPPAG00000031179	3	9981934	9996250	1	actin related protein 2/3 complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:707]	ARPC4	protein_coding	455	873	ENSGGOG00000014281	3	10048984	10068360	-1	transcriptional adaptor 3 [Source:HGNC Symbol;Acc:HGNC:19422]	TADA3	protein_coding	ENSGGOG00000025293	3	10068471	10081850	1			protein_coding	111	1048	ENSPTRG00000014595	3	10017194	10029950	-1	transcriptional adaptor 3 [Source:VGNC Symbol;Acc:VGNC:2598]	TADA3	protein_coding	ENSPTRG00000039733	3	10029770	10044327	1	actin related protein 2/3 complex subunit 4 [Source:VGNC Symbol;Acc:VGNC:11324]	ARPC4	protein_coding	180																																																																								
2669	ENSG00000178252	3	49007062	49015953	1	WD repeat domain 6 [Source:HGNC Symbol;Acc:HGNC:12758]	WDR6	protein_coding	ENSG00000178149	3	49015488	49022293	-1	DALR anticodon binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25536]	DALRD3	protein_coding	465	1222	ENSMFAG00000037294	2	103527844	103536724	1	WD repeat domain 6 [Source:HGNC Symbol;Acc:HGNC:12758]	WDR6	protein_coding	ENSMFAG00000009642	2	103536266	103539352	-1	DALR anticodon binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25536]	DALRD3	protein_coding	458	176	ENSMICG00000007852	14	4246360	4253690	1	WD repeat domain 6 [Source:HGNC Symbol;Acc:HGNC:12758]	WDR6	protein_coding	ENSMICG00000007858	14	4253491	4259775	-1	DALR anticodon binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25536]	DALRD3	protein_coding	199	932	ENSPPAG00000043035	3	50013708	50021367	1	WD repeat domain 6 [Source:HGNC Symbol;Acc:HGNC:12758]	WDR6	protein_coding	ENSPPAG00000037268	3	50021669	50024522	-1	DALR anticodon binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25536]	DALRD3	protein_coding	302	892	ENSGGOG00000001268	3	49980484	49989371	1	WD repeat domain 6 [Source:HGNC Symbol;Acc:HGNC:12758]	WDR6	protein_coding	ENSGGOG00000001269	3	49988906	49992282	-1	DALR anticodon binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25536]	DALRD3	protein_coding	465	1070	ENSPTRG00000014905	3	50071101	50080012	1	WD repeat domain 6 [Source:VGNC Symbol;Acc:VGNC:12237]	WDR6	protein_coding	ENSPTRG00000043430	3	50079547	50083259	-1	DALR anticodon binding domain containing 3 [Source:VGNC Symbol;Acc:VGNC:57667]	DALRD3	protein_coding	465																																																																								
2931	ENSG00000205208	4	158666675	158672255	-1	chromosome 4 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:27320]	C4orf46	protein_coding	ENSG00000171503	4	158671968	158710742	1	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	ETFDH	protein_coding	287	1724	ENSMFAG00000051841	5	155533385	155538728	-1	chromosome 4 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:27320]	C4orf46	protein_coding	ENSMFAG00000014894	5	155538655	155576638	1	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	ETFDH	protein_coding	73																			1018	ENSPPAG00000026897	4	162797471	162802856	-1	chromosome 4 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:27320]	C4orf46	protein_coding	ENSPPAG00000033940	4	162802917	162838807	1	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	ETFDH	protein_coding	61	971	ENSGGOG00000012104	4	171229577	171234967	-1	chromosome 4 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:27320]	C4orf46	protein_coding	ENSGGOG00000025606	4	171235023	171271686	1	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	ETFDH	protein_coding	56	1163	ENSPTRG00000031072	4	162560948	162566341	-1	chromosome 4 C4orf46 homolog [Source:VGNC Symbol;Acc:VGNC:6408]	C4H4orf46	protein_coding	ENSPTRG00000016553	4	162566568	162610383	1	electron transfer flavoprotein dehydrogenase [Source:VGNC Symbol;Acc:VGNC:6421]	ETFDH	protein_coding	227																																					1039	ENSPPYG00000033611	4	157626266	157631463	-1	chromosome 4 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:27320]	C4orf46	protein_coding	ENSPPYG00000015158	4	157631878	157833613	1	electron transfer flavoprotein dehydrogenase [Source:NCBI gene (formerly Entrezgene);Acc:100171973]	ETFDH	protein_coding	415																		
2950	ENSG00000164306	4	184649667	184694963	1	primase and DNA directed polymerase [Source:HGNC Symbol;Acc:HGNC:26575]	PRIMPOL	protein_coding	ENSG00000151725	4	184694085	184734130	-1	centromere protein U [Source:HGNC Symbol;Acc:HGNC:21348]	CENPU	protein_coding	878	1728	ENSMFAG00000000469	5	181234009	181276507	1	primase and DNA directed polymerase [Source:HGNC Symbol;Acc:HGNC:26575]	PRIMPOL	protein_coding	ENSMFAG00000043328	5	181275639	181318669	-1	centromere protein U [Source:HGNC Symbol;Acc:HGNC:21348]	CENPU	protein_coding	868																			1021	ENSPPAG00000038308	4	189047574	189085335	1			protein_coding	ENSPPAG00000041105	4	189085238	189124453	-1	centromere protein U [Source:HGNC Symbol;Acc:HGNC:21348]	CENPU	protein_coding	97																			1165	ENSPTRG00000016642	4	188969084	189010375	1	primase and DNA directed polymerase [Source:VGNC Symbol;Acc:VGNC:2964]	PRIMPOL	protein_coding	ENSPTRG00000016643	4	189010407	189052810	-1	centromere protein U [Source:VGNC Symbol;Acc:VGNC:577]	CENPU	protein_coding	32																																					1045	ENSPPYG00000015237	4	184037457	184082527	1	primase and DNA directed polymerase [Source:NCBI gene (formerly Entrezgene);Acc:100171492]	PRIMPOL	protein_coding	ENSPPYG00000015238	4	184081662	184121686	-1	centromere protein U [Source:HGNC Symbol;Acc:HGNC:21348]	CENPU	protein_coding	865																		
2962	ENSG00000171421	5	1798385	1801366	-1	mitochondrial ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:14490]	MRPL36	protein_coding	ENSG00000145494	5	1801407	1816048	1	NADH:ubiquinone oxidoreductase subunit S6 [Source:HGNC Symbol;Acc:HGNC:7713]	NDUFS6	protein_coding	41	1734	ENSMFAG00000049680	6	1898306	1900538	-1			protein_coding	ENSMFAG00000032708	6	1901219	1940129	1	NADH:ubiquinone oxidoreductase subunit S6 [Source:HGNC Symbol;Acc:HGNC:7713]	NDUFS6	protein_coding	681																																																																																																													1049	ENSPPYG00000015322	5	1691397	1694415	-1	mitochondrial ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:14490]	MRPL36	protein_coding	ENSPPYG00000015323	5	1694443	1709732	1			protein_coding	28																		
3788	ENSG00000198000	9	92297358	92325636	-1	nucleolar protein 8 [Source:HGNC Symbol;Acc:HGNC:23387]	NOL8	protein_coding	ENSG00000188312	9	92325953	92620529	1	centromere protein P [Source:HGNC Symbol;Acc:HGNC:32933]	CENPP	protein_coding	317	788	ENSMFAG00000034500	15	105156050	105184752	-1	nucleolar protein 8 [Source:HGNC Symbol;Acc:HGNC:23387]	NOL8	protein_coding	ENSMFAG00000001741	15	105185062	105455087	1	centromere protein P [Source:HGNC Symbol;Acc:HGNC:32933]	CENPP	protein_coding	310	41	ENSMICG00000014322	10	7387836	7419136	-1	nucleolar protein 8 [Source:HGNC Symbol;Acc:HGNC:23387]	NOL8	protein_coding	ENSMICG00000014345	10	7419530	7654895	1	centromere protein P [Source:HGNC Symbol;Acc:HGNC:32933]	CENPP	protein_coding	394																																					1429	ENSPTRG00000021109	9	70002622	70030549	-1	nucleolar protein 8 [Source:VGNC Symbol;Acc:VGNC:4806]	NOL8	protein_coding	ENSPTRG00000021110	9	70031197	70085532	1	centromere protein P [Source:VGNC Symbol;Acc:VGNC:4657]	CENPP	protein_coding	648																																																																								
325	ENSG00000171307	10	97446170	97457370	1	zinc finger DHHC-type palmitoyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:20714]	ZDHHC16	protein_coding	ENSG00000155229	10	97458324	97498794	-1	MMS19 homolog, cytosolic iron-sulfur assembly component [Source:HGNC Symbol;Acc:HGNC:13824]	MMS19	protein_coding	954																			235	ENSMICG00000007671	15	47782397	47794514	1	zinc finger DHHC-type palmitoyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:20714]	ZDHHC16	protein_coding	ENSMICG00000007678	15	47793838	47854670	-1	MMS19 homolog, cytosolic iron-sulfur assembly component [Source:HGNC Symbol;Acc:HGNC:13824]	MMS19	protein_coding	676	176	ENSPPAG00000030292	10	97562379	97573305	1	zinc finger DHHC-type palmitoyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:20714]	ZDHHC16	protein_coding	ENSPPAG00000044031	10	97574257	97614146	-1	MMS19 homolog, cytosolic iron-sulfur assembly component [Source:HGNC Symbol;Acc:HGNC:13824]	MMS19	protein_coding	952																			201	ENSPTRG00000002809	10	98798775	98809682	1	zinc finger DHHC-type palmitoyltransferase 16 [Source:VGNC Symbol;Acc:VGNC:7867]	ZDHHC16	protein_coding	ENSPTRG00000002810	10	98810636	98851055	-1	MMS19 homolog, cytosolic iron-sulfur assembly component [Source:VGNC Symbol;Acc:VGNC:7281]	MMS19	protein_coding	954																																					180	ENSPPYG00000002532	10	95817992	95828876	1	zinc finger DHHC-type palmitoyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:20714]	ZDHHC16	protein_coding	ENSPPYG00000002533	10	95829518	95869589	-1	MMS19 homolog, cytosolic iron-sulfur assembly component [Source:NCBI gene (formerly Entrezgene);Acc:100172553]	MMS19	protein_coding	642																		
