Cow_BIP number	Cow_Gene stable ID	Cow_Chromosome/scaffold name	Cow_Gene start (bp)	Cow_Gene end (bp)	Cow_Strand	Cow_Gene description	Cow_Gene name	Cow_Gene type	Cow_Gene stable ID.1	Cow_Chromosome/scaffold name.1	Cow_Gene start (bp).1	Cow_Gene end (bp).1	Cow_Strand.1	Cow_Gene description.1	Cow_Gene name.1	Cow_Gene type.1	Cow_distance	Domestic_Yak__BIP number	Domestic_Yak__Gene stable ID	Domestic_Yak__Chromosome/scaffold name	Domestic_Yak__Gene start (bp)	Domestic_Yak__Gene end (bp)	Domestic_Yak__Strand	Domestic_Yak__Gene description	Domestic_Yak__Gene name	Domestic_Yak__Gene type	Domestic_Yak__Gene stable ID.1	Domestic_Yak__Chromosome/scaffold name.1	Domestic_Yak__Gene start (bp).1	Domestic_Yak__Gene end (bp).1	Domestic_Yak__Strand.1	Domestic_Yak__Gene description.1	Domestic_Yak__Gene name.1	Domestic_Yak__Gene type.1	Domestic_Yak__distance	Goat_BIP number	Goat_Gene stable ID	Goat_Chromosome/scaffold name	Goat_Gene start (bp)	Goat_Gene end (bp)	Goat_Strand	Goat_Gene description	Goat_Gene name	Goat_Gene type	Goat_Gene stable ID.1	Goat_Chromosome/scaffold name.1	Goat_Gene start (bp).1	Goat_Gene end (bp).1	Goat_Strand.1	Goat_Gene description.1	Goat_Gene name.1	Goat_Gene type.1	Goat_distance	Sperm_Whale_BIP number	Sperm_Whale_Gene stable ID	Sperm_Whale_Chromosome/scaffold name	Sperm_Whale_Gene start (bp)	Sperm_Whale_Gene end (bp)	Sperm_Whale_Strand	Sperm_Whale_Gene description	Sperm_Whale_Gene name	Sperm_Whale_Gene type	Sperm_Whale_Gene stable ID.1	Sperm_Whale_Chromosome/scaffold name.1	Sperm_Whale_Gene start (bp).1	Sperm_Whale_Gene end (bp).1	Sperm_Whale_Strand.1	Sperm_Whale_Gene description.1	Sperm_Whale_Gene name.1	Sperm_Whale_Gene type.1	Sperm_Whale_distance	Vaquita_BIP number	Vaquita_Gene stable ID	Vaquita_Chromosome/scaffold name	Vaquita_Gene start (bp)	Vaquita_Gene end (bp)	Vaquita_Strand	Vaquita_Gene description	Vaquita_Gene name	Vaquita_Gene type	Vaquita_Gene stable ID.1	Vaquita_Chromosome/scaffold name.1	Vaquita_Gene start (bp).1	Vaquita_Gene end (bp).1	Vaquita_Strand.1	Vaquita_Gene description.1	Vaquita_Gene name.1	Vaquita_Gene type.1	Vaquita_distance	Sheep_BIP number	Sheep_Gene stable ID	Sheep_Chromosome/scaffold name	Sheep_Gene start (bp)	Sheep_Gene end (bp)	Sheep_Strand	Sheep_Gene description	Sheep_Gene name	Sheep_Gene type	Sheep_Gene stable ID.1	Sheep_Chromosome/scaffold name.1	Sheep_Gene start (bp).1	Sheep_Gene end (bp).1	Sheep_Strand.1	Sheep_Gene description.1	Sheep_Gene name.1	Sheep_Gene type.1	Sheep_distance	Yarkand_Deer_BIP number	Yarkand_Deer_Gene stable ID	Yarkand_Deer_Chromosome/scaffold name	Yarkand_Deer_Gene start (bp)	Yarkand_Deer_Gene end (bp)	Yarkand_Deer_Strand	Yarkand_Deer_Gene description	Yarkand_Deer_Gene name	Yarkand_Deer_Gene type	Yarkand_Deer_Gene stable ID.1	Yarkand_Deer_Chromosome/scaffold name.1	Yarkand_Deer_Gene start (bp).1	Yarkand_Deer_Gene end (bp).1	Yarkand_Deer_Strand.1	Yarkand_Deer_Gene description.1	Yarkand_Deer_Gene name.1	Yarkand_Deer_Gene type.1	Yarkand_Deer_distance	Blue_Whale_BIP number	Blue_Whale_Gene stable ID	Blue_Whale_Chromosome/scaffold name	Blue_Whale_Gene start (bp)	Blue_Whale_Gene end (bp)	Blue_Whale_Strand	Blue_Whale_Gene description	Blue_Whale_Gene name	Blue_Whale_Gene type	Blue_Whale_Gene stable ID.1	Blue_Whale_Chromosome/scaffold name.1	Blue_Whale_Gene start (bp).1	Blue_Whale_Gene end (bp).1	Blue_Whale_Strand.1	Blue_Whale_Gene description.1	Blue_Whale_Gene name.1	Blue_Whale_Gene type.1	Blue_Whale_distance
683	ENSBTAG00000002389	15	80932192	80940778	-1	mediator complex subunit 19 [Source:VGNC Symbol;Acc:VGNC:31356]	MED19	protein_coding	ENSBTAG00000002404	15	80941203	80949868	1	thioredoxin related transmembrane protein 2 [Source:VGNC Symbol;Acc:VGNC:54897]	TMX2	protein_coding	425																																					640	ENSPCTG00005021852	16	98625557	98631902	-1	mediator complex subunit 19 [Source:HGNC Symbol;Acc:HGNC:29600]	MED19	protein_coding	ENSPCTG00005021876	16	98631571	98639785	1	thioredoxin related transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30739]	TMX2	protein_coding	331	1582	ENSPSNG00000015588	8	98615396	98621480	-1	mediator complex subunit 19 [Source:NCBI gene (formerly Entrezgene);Acc:116757759]	MED19	protein_coding	ENSPSNG00000015700	8	98621654	98630524	1	thioredoxin related transmembrane protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:116758711]	TMX2	protein_coding	174																			36	ENSCHYG00000009110	1	73924072	73930566	-1	mediator complex subunit 19 [Source:HGNC Symbol;Acc:HGNC:29600]	MED19	protein_coding	ENSCHYG00000009268	1	73930969	73938415	1	thioredoxin related transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30739]	TMX2	protein_coding	403	1246	ENSBMSG00010006189	8	98061800	98068735	-1	mediator complex subunit 19 [Source:HGNC Symbol;Acc:HGNC:29600]	MED19	protein_coding	ENSBMSG00010006209	8	98069108	98076969	1	thioredoxin related transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30739]	TMX2	protein_coding	373
702	ENSBTAG00000007593	16	26158797	26205930	-1	axin interactor, dorsalization associated [Source:VGNC Symbol;Acc:VGNC:25758]	AIDA	protein_coding	ENSBTAG00000007595	16	26205238	26226551	1	BRO1 domain and CAAX motif containing [Source:VGNC Symbol;Acc:VGNC:26571]	BROX	protein_coding	692																			200	ENSCHIG00000007226	16	24661768	24709247	-1	axin interactor, dorsalization associated [Source:HGNC Symbol;Acc:HGNC:25761]	AIDA	protein_coding	ENSCHIG00000016719	16	24709622	24730071	1	BRO1 domain and CAAX motif containing [Source:HGNC Symbol;Acc:HGNC:26512]	BROX	protein_coding	375	119	ENSPCTG00005003227	4	21341778	21384767	-1	axin interactor, dorsalization associated [Source:HGNC Symbol;Acc:HGNC:25761]	AIDA	protein_coding	ENSPCTG00005003304	4	21385342	21404530	1	BRO1 domain and CAAX motif containing [Source:HGNC Symbol;Acc:HGNC:26512]	BROX	protein_coding	575																																																																								
740	ENSBTAG00000046073	16	51079295	51084983	1	transmembrane protein 240 [Source:VGNC Symbol;Acc:VGNC:36051]	TMEM240	protein_coding	ENSBTAG00000002219	16	51085081	51101450	-1	ATPase family AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]	ATAD3A	protein_coding	98																																					110	ENSPCTG00005002318	3	31804078	31809585	1	transmembrane protein 240 [Source:HGNC Symbol;Acc:HGNC:25186]	TMEM240	protein_coding	ENSPCTG00005002332	3	31810193	31829155	-1	ATPase family AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]	ATAD3A	protein_coding	608																																					285	ENSCHYG00000013454	14	47280765	47286961	1	transmembrane protein 240 [Source:HGNC Symbol;Acc:HGNC:25186]	TMEM240	protein_coding	ENSCHYG00000013508	14	47287276	47315792	-1	ATPase family AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]	ATAD3A	protein_coding	315																		
759	ENSBTAG00000018142	16	71386304	71466322	-1	denticleless E3 ubiquitin  [Source:VGNC Symbol;Acc:VGNC:28230]	DTL	protein_coding	ENSBTAG00000018548	16	71466476	71549865	1	integrator complex subunit 7 [Source:VGNC Symbol;Acc:VGNC:30233]	INTS7	protein_coding	154																			220	ENSCHIG00000018130	16	70076681	70126561	-1	denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]	DTL	protein_coding	ENSCHIG00000021252	16	70126367	70204625	1	integrator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24484]	INTS7	protein_coding	194	125	ENSPCTG00005003869	4	33797729	33837663	-1	denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]	DTL	protein_coding	ENSPCTG00005003928	4	33837718	33926894	1	integrator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24484]	INTS7	protein_coding	55	152	ENSPSNG00000010167	1	145982235	146022408	-1	denticleless E3 ubiquitin protein ligase homolog [Source:NCBI gene (formerly Entrezgene);Acc:116757043]	DTL	protein_coding	ENSPSNG00000010384	1	146022645	146130481	1	integrator complex subunit 7 [Source:NCBI gene (formerly Entrezgene);Acc:116757028]	INTS7	protein_coding	237																																					118	ENSBMSG00010002763	1	145461598	145501080	-1	denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]	DTL	protein_coding	ENSBMSG00010002812	1	145501259	145590003	1	integrator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24484]	INTS7	protein_coding	179
834	ENSBTAG00000017038	17	66113315	66140520	-1	HPS4 biosis of lysosomal organelles complex 3 subunit 2 [Source:VGNC Symbol;Acc:VGNC:29945]	HPS4	protein_coding	ENSBTAG00000012277	17	66140628	66165494	1	SRR1 domain containing [Source:VGNC Symbol;Acc:VGNC:35293]	SRRD	protein_coding	108																																																																																																																														
864	ENSBTAG00000031018	17	72422633	72430473	1			protein_coding	ENSBTAG00000018048	17	72430965	72476225	-1	mediator complex subunit 15 [Source:VGNC Symbol;Acc:VGNC:31353]	MED15	protein_coding	492																																																																																																													401	ENSBMSG00010016490	14	27140243	27144770	1			protein_coding	ENSBMSG00010016530	14	27145610	27208424	-1	mediator complex subunit 15 [Source:HGNC Symbol;Acc:HGNC:14248]	MED15	protein_coding	840
868	ENSBTAG00000004284	17	72702595	72716296	-1	ubiquitin recognition factor in ER associated degradation 1 [Source:VGNC Symbol;Acc:VGNC:36645]	UFD1	protein_coding	ENSBTAG00000004286	17	72716770	72732379	1	cell division cycle 45 [Source:VGNC Symbol;Acc:VGNC:27079]	CDC45	protein_coding	474																																																																																																													403	ENSBMSG00010017349	14	27581485	27601610	-1	ubiquitin recognition factor in ER associated degradation 1 [Source:HGNC Symbol;Acc:HGNC:12520]	UFD1	protein_coding	ENSBMSG00010017411	14	27602322	27626369	1	cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]	CDC45	protein_coding	712
1456	ENSBTAG00000046990	21	57823069	57830906	-1	GON7 subunit of KEOPS complex [Source:VGNC Symbol;Acc:VGNC:29496]	GON7	protein_coding	ENSBTAG00000004310	21	57831036	57847913	1	ubiquitin protein ligase E3 component n-recognin 7 [Source:VGNC Symbol;Acc:VGNC:54252]	UBR7	protein_coding	130																																					401	ENSPCTG00005015476	11	171521524	171525020	-1			protein_coding	ENSPCTG00005015529	11	171524685	171539370	1	ubiquitin protein ligase E3 component n-recognin 7 [Source:HGNC Symbol;Acc:HGNC:20344]	UBR7	protein_coding	335	994	ENSPSNG00000000962	2	167147852	167152019	-1	GON7 subunit of KEOPS complex [Source:NCBI gene (formerly Entrezgene);Acc:116749454]	GON7	protein_coding	ENSPSNG00000000999	2	167152211	167168739	1	ubiquitin protein ligase E3 component n-recognin 7 [Source:NCBI gene (formerly Entrezgene);Acc:116749453]	UBR7	protein_coding	192																			264	ENSCHYG00000018666	13	57444114	57450716	-1	GON7 subunit of KEOPS complex [Source:HGNC Symbol;Acc:HGNC:20356]	GON7	protein_coding	ENSCHYG00000018724	13	57450971	57466423	1	ubiquitin protein ligase E3 component n-recognin 7 [Source:HGNC Symbol;Acc:HGNC:20344]	UBR7	protein_coding	255	795	ENSBMSG00010001165	2	164907520	164910847	-1	GON7 subunit of KEOPS complex [Source:HGNC Symbol;Acc:HGNC:20356]	GON7	protein_coding	ENSBMSG00010001175	2	164911010	164927341	1	ubiquitin protein ligase E3 component n-recognin 7 [Source:HGNC Symbol;Acc:HGNC:20344]	UBR7	protein_coding	163
1682	ENSBTAG00000045776	3	108107086	108109255	-1	chromosome 3 C1orf122 homolog [Source:VGNC Symbol;Acc:VGNC:52707]	C3H1orf122	protein_coding	ENSBTAG00000006510	3	108108908	108112891	1	yrdC N6-threonylcarbamoyltransferase domain containing [Source:VGNC Symbol;Acc:VGNC:37038]	YRDC	protein_coding	347																																					91	ENSPCTG00005003734	3	5906152	5907704	-1	chromosome 1 open reading frame 122 [Source:HGNC Symbol;Acc:HGNC:24789]	C3H1orf122	protein_coding	ENSPCTG00005003745	3	5906866	5910413	1	yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]	YRDC	protein_coding	838																																																																								
1684	ENSBTAG00000014326	3	108198139	108213202	-1	cell division cycle associated 8 [Source:VGNC Symbol;Acc:VGNC:27088]	CDCA8	protein_coding	ENSBTAG00000014325	3	108213409	108221667	1	AFG2 interacting ribosome maturation factor [Source:VGNC Symbol;Acc:VGNC:52706]	AIRIM	protein_coding	207																																																																																											530	ENSCHYG00000026822	20	102183733	102198226	-1	cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]	CDCA8	protein_coding	ENSCHYG00000026846	20	102199095	102206136	1	chromosome 1 open reading frame 109 [Source:HGNC Symbol;Acc:HGNC:26039]	AIRIM	protein_coding	869																		
