Chicken_BIP number,Chicken_Gene stable ID,Chicken_Chromosome/scaffold name,Chicken_Gene start (bp),Chicken_Gene end (bp),Chicken_Strand,Chicken_Gene description,Chicken_Gene name,Chicken_Gene type,Chicken_Gene stable ID.1,Chicken_Chromosome/scaffold name.1,Chicken_Gene start (bp).1,Chicken_Gene end (bp).1,Chicken_Strand.1,Chicken_Gene description.1,Chicken_Gene name.1,Chicken_Gene type.1,Chicken_distance,Great_Tit_BIP number,Great_Tit_Gene stable ID,Great_Tit_Chromosome/scaffold name,Great_Tit_Gene start (bp),Great_Tit_Gene end (bp),Great_Tit_Strand,Great_Tit_Gene description,Great_Tit_Gene name,Great_Tit_Gene type,Great_Tit_Gene stable ID.1,Great_Tit_Chromosome/scaffold name.1,Great_Tit_Gene start (bp).1,Great_Tit_Gene end (bp).1,Great_Tit_Strand.1,Great_Tit_Gene description.1,Great_Tit_Gene name.1,Great_Tit_Gene type.1,Great_Tit_distance,Zebra_Finch_BIP number,Zebra_Finch_Gene stable ID,Zebra_Finch_Chromosome/scaffold name,Zebra_Finch_Gene start (bp),Zebra_Finch_Gene end (bp),Zebra_Finch_Strand,Zebra_Finch_Gene description,Zebra_Finch_Gene name,Zebra_Finch_Gene type,Zebra_Finch_Gene stable ID.1,Zebra_Finch_Chromosome/scaffold name.1,Zebra_Finch_Gene start (bp).1,Zebra_Finch_Gene end (bp).1,Zebra_Finch_Strand.1,Zebra_Finch_Gene description.1,Zebra_Finch_Gene name.1,Zebra_Finch_Gene type.1,Zebra_Finch_distance,Duck_BIP number,Duck_Gene stable ID,Duck_Chromosome/scaffold name,Duck_Gene start (bp),Duck_Gene end (bp),Duck_Strand,Duck_Gene description,Duck_Gene name,Duck_Gene type,Duck_Gene stable ID.1,Duck_Chromosome/scaffold name.1,Duck_Gene start (bp).1,Duck_Gene end (bp).1,Duck_Strand.1,Duck_Gene description.1,Duck_Gene name.1,Duck_Gene type.1,Duck_distance,Turkey_BIP number,Turkey_Gene stable ID,Turkey_Chromosome/scaffold name,Turkey_Gene start (bp),Turkey_Gene end (bp),Turkey_Strand,Turkey_Gene description,Turkey_Gene name,Turkey_Gene type,Turkey_Gene stable ID.1,Turkey_Chromosome/scaffold name.1,Turkey_Gene start (bp).1,Turkey_Gene end (bp).1,Turkey_Strand.1,Turkey_Gene description.1,Turkey_Gene name.1,Turkey_Gene type.1,Turkey_distance,Kakapo_BIP number,Kakapo_Gene stable ID,Kakapo_Chromosome/scaffold name,Kakapo_Gene start (bp),Kakapo_Gene end (bp),Kakapo_Strand,Kakapo_Gene description,Kakapo_Gene name,Kakapo_Gene type,Kakapo_Gene stable ID.1,Kakapo_Chromosome/scaffold name.1,Kakapo_Gene start (bp).1,Kakapo_Gene end (bp).1,Kakapo_Strand.1,Kakapo_Gene description.1,Kakapo_Gene name.1,Kakapo_Gene type.1,Kakapo_distance,Golden_Eagle_BIP number,Golden_Eagle_Gene stable ID,Golden_Eagle_Chromosome/scaffold name,Golden_Eagle_Gene start (bp),Golden_Eagle_Gene end (bp),Golden_Eagle_Strand,Golden_Eagle_Gene description,Golden_Eagle_Gene name,Golden_Eagle_Gene type,Golden_Eagle_Gene stable ID.1,Golden_Eagle_Chromosome/scaffold name.1,Golden_Eagle_Gene start (bp).1,Golden_Eagle_Gene end (bp).1,Golden_Eagle_Strand.1,Golden_Eagle_Gene description.1,Golden_Eagle_Gene name.1,Golden_Eagle_Gene type.1,Golden_Eagle_distance,Japanese_Quail_BIP number,Japanese_Quail_Gene stable ID,Japanese_Quail_Chromosome/scaffold name,Japanese_Quail_Gene start (bp),Japanese_Quail_Gene end (bp),Japanese_Quail_Strand,Japanese_Quail_Gene description,Japanese_Quail_Gene name,Japanese_Quail_Gene type,Japanese_Quail_Gene stable ID.1,Japanese_Quail_Chromosome/scaffold name.1,Japanese_Quail_Gene start (bp).1,Japanese_Quail_Gene end (bp).1,Japanese_Quail_Strand.1,Japanese_Quail_Gene description.1,Japanese_Quail_Gene name.1,Japanese_Quail_Gene type.1,Japanese_Quail_distance,Collared_Flycatcher_BIP number,Collared_Flycatcher_Gene stable ID,Collared_Flycatcher_Chromosome/scaffold name,Collared_Flycatcher_Gene start (bp),Collared_Flycatcher_Gene end (bp),Collared_Flycatcher_Strand,Collared_Flycatcher_Gene description,Collared_Flycatcher_Gene name,Collared_Flycatcher_Gene type,Collared_Flycatcher_Gene stable ID.1,Collared_Flycatcher_Chromosome/scaffold name.1,Collared_Flycatcher_Gene start (bp).1,Collared_Flycatcher_Gene end (bp).1,Collared_Flycatcher_Strand.1,Collared_Flycatcher_Gene description.1,Collared_Flycatcher_Gene name.1,Collared_Flycatcher_Gene type.1,Collared_Flycatcher_distance
653,ENSGALG00010027919,12,5108907,5119011,1,tRNA splicing endonuclease subunit 2 [Source:NCBI gene (formerly Entrezgene);Acc:415965],TSEN2,protein_coding,ENSGALG00010027921,12,5118700,5123377,-1,MKRN2 opposite strand [Source:HGNC Symbol;Acc:HGNC:40375],MKRN2OS,protein_coding,311,180,ENSPMJG00000005055,12,3022312,3031419,1,tRNA splicing endonuclease subunit 2 [Source:NCBI gene;Acc:107210131],TSEN2,protein_coding,ENSPMJG00000005056,12,3032005,3035987,-1,MKRN2 opposite strand [Source:NCBI gene;Acc:107210133],MKRN2OS,protein_coding,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,ENSGALG00010021227,12,10950402,10959278,-1,coiled-coil-helix-coiled-coil-helix domain containing 4 [Source:NCBI gene (formerly Entrezgene);Acc:416037],CHCHD4,protein_coding,ENSGALG00010021241,12,10959187,10978115,1,transmembrane protein 43 [Source:HGNC Symbol;Acc:HGNC:28472],TMEM43,protein_coding,91,197,ENSPMJG00000012829,12,10620597,10627051,-1,coiled-coil-helix-coiled-coil-helix domain containing 4 [Source:NCBI gene;Acc:107210339],CHCHD4,protein_coding,ENSPMJG00000012830,12,10626993,10636825,1,transmembrane protein 43 [Source:NCBI gene;Acc:107210337],TMEM43,protein_coding,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,ENSMGAG00000021277,14,10413188,10420179,-1,coiled-coil-helix-coiled-coil-helix domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26467],CHCHD4,protein_coding,ENSMGAG00000007717,14,10420468,10430466,1,transmembrane protein 43 [Source:HGNC Symbol;Acc:HGNC:28472],TMEM43,protein_coding,289,,,,,,,,,,,,,,,,,,,621,ENSACCG00020009661,20,13200024,13210090,-1,coiled-coil-helix-coiled-coil-helix domain containing 4 [Source:NCBI gene;Acc:115353688],CHCHD4,protein_coding,ENSACCG00020009687,20,13209464,13229800,1,transmembrane protein 43 [Source:NCBI gene;Acc:115353687],TMEM43,protein_coding,626,266,ENSCJPG00005016122,12,8340913,8348629,-1,coiled-coil-helix-coiled-coil-helix domain containing 4 [Source:NCBI gene;Acc:107319910],CHCHD4,protein_coding,ENSCJPG00005016123,12,8348650,8357492,1,transmembrane protein 43 [Source:NCBI gene;Acc:107319909],TMEM43,protein_coding,21,134,ENSFALG00000028192,12,11495430,11503617,-1,coiled-coil-helix-coiled-coil-helix domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26467],CHCHD4,protein_coding,ENSFALG00000012635,12,11503999,11513875,1,transmembrane protein 43 [Source:HGNC Symbol;Acc:HGNC:28472],TMEM43,protein_coding,382
803,ENSGALG00010017589,14,4994628,5000292,-1,ATP synthase mitochondrial F1 complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:18802],ATPAF2,protein_coding,ENSGALG00010017592,14,5000421,5006275,1,GID complex subunit 4 homolog [Source:HGNC Symbol;Acc:HGNC:28453],GID4,protein_coding,129,284,ENSPMJG00000017434,14,13839260,13845588,-1,ATP synthase mitochondrial F1 complex assembly factor 2 [Source:NCBI gene;Acc:107211413],ATPAF2,protein_coding,ENSPMJG00000017435,14,13845758,13852426,1,GID complex subunit 4 homolog [Source:NCBI gene;Acc:107211405],GID4,protein_coding,170,405,ENSTGUG00000007278,14,5921258,5926951,-1,ATP synthase mitochondrial F1 complex assembly factor 2 [Source:NCBI gene;Acc:100232824],ATPAF2,protein_coding,ENSTGUG00000027547,14,5927112,5935003,1,GID complex subunit 4 homolog [Source:NCBI gene;Acc:100220340],GID4,protein_coding,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831,ENSSHBG00005011143,5,83585396,83592061,-1,ATP synthase mitochondrial F1 complex assembly factor 2 [Source:NCBI gene;Acc:115607323],ATPAF2,protein_coding,ENSSHBG00005011171,5,83592203,83599783,1,GID complex subunit 4 homolog [Source:NCBI gene;Acc:115607324],GID4,protein_coding,142,,,,,,,,,,,,,,,,,,,326,ENSCJPG00005002547,14,5010369,5014956,-1,ATP synthase mitochondrial F1 complex assembly factor 2 [Source:NCBI gene;Acc:107320731],ATPAF2,protein_coding,ENSCJPG00005002551,14,5015078,5020948,1,GID complex subunit 4 homolog [Source:NCBI gene;Acc:107320732],GID4,protein_coding,122,,,,,,,,,,,,,,,,,,
810,ENSGALG00010018496,14,5981288,5984086,1,G protein subunit gamma 13 [Source:NCBI gene (formerly Entrezgene);Acc:771014],GNG13,protein_coding,ENSGALG00010018505,14,5984086,5998429,-1,chromosome transmission fidelity factor 18 [Source:NCBI gene (formerly Entrezgene);Acc:416531],CHTF18,protein_coding,0,288,ENSPMJG00000017592,14,14615694,14616310,1,G protein subunit gamma 13 [Source:NCBI gene;Acc:107210923],GNG13,protein_coding,ENSPMJG00000017598,14,14616817,14627308,-1,chromosome transmission fidelity factor 18 [Source:NCBI gene;Acc:107210924],CHTF18,protein_coding,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837,ENSSHBG00005017717,5,84705230,84707971,1,G protein subunit gamma 13 [Source:NCBI gene;Acc:115607705],GNG13,protein_coding,ENSSHBG00005000709,5,84708461,84719066,-1,chromosome transmission fidelity factor 18 [Source:HGNC Symbol;Acc:HGNC:18435],CHTF18,protein_coding,490,,,,,,,,,,,,,,,,,,,330,ENSCJPG00005005553,14,5956277,5956636,1,G protein subunit gamma 13 [Source:NCBI gene;Acc:107320644],GNG13,protein_coding,ENSCJPG00005005558,14,5957021,5966510,-1,chromosome transmission fidelity factor 18 [Source:NCBI gene;Acc:107320635],CHTF18,protein_coding,385,,,,,,,,,,,,,,,,,,
838,ENSGALG00010020415,14,7427476,7433261,-1,TSR3 ribosome maturation factor [Source:NCBI gene (formerly Entrezgene);Acc:416590],TSR3,protein_coding,ENSGALG00010020433,14,7433280,7443277,1,N-acetylglucosamine-1-phosphate transferase gamma subunit [Source:NCBI gene (formerly Entrezgene);Acc:416591],GNPTG,protein_coding,19,302,ENSPMJG00000000790,14,16180457,16184436,-1,TSR3 ribosome maturation factor [Source:NCBI gene;Acc:107211034],TSR3,protein_coding,ENSPMJG00000000798,14,16184019,16192957,1,N-acetylglucosamine-1-phosphate transferase subunit gamma [Source:NCBI gene;Acc:107211033],GNPTG,protein_coding,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,ENSSHBG00005020436,5,86344037,86349284,-1,TSR3 ribosome maturation factor [Source:NCBI gene;Acc:115607171],TSR3,protein_coding,ENSSHBG00005020445,5,86349209,86358607,1,N-acetylglucosamine-1-phosphate transferase subunit gamma [Source:NCBI gene;Acc:115607170],GNPTG,protein_coding,75,,,,,,,,,,,,,,,,,,,345,ENSCJPG00005010257,14,7289882,7291948,-1,TSR3 ribosome maturation factor [Source:NCBI gene;Acc:107320589],TSR3,protein_coding,ENSCJPG00005010258,14,7292017,7297167,1,N-acetylglucosamine-1-phosphate transferase subunit gamma [Source:NCBI gene;Acc:107320590],GNPTG,protein_coding,69,218,ENSFALG00000014075,14,17344527,17349814,-1,,,protein_coding,ENSFALG00000014076,14,17349429,17358984,1,N-acetylglucosamine-1-phosphate transferase subunit gamma [Source:HGNC Symbol;Acc:HGNC:23026],GNPTG,protein_coding,385
928,ENSGALG00010021476,15,6663100,6665585,-1,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase [Source:NCBI gene (formerly Entrezgene);Acc:416897]",ALKBH2,protein_coding,ENSGALG00010021483,15,6665658,6670038,1,uracil DNA glycosylase [Source:NCBI gene (formerly Entrezgene);Acc:374010],UNG,protein_coding,73,322,ENSPMJG00000008255,15,4046791,4049677,-1,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase [Source:NCBI gene;Acc:107211511]",ALKBH2,protein_coding,ENSPMJG00000008256,15,4049555,4054097,1,uracil DNA glycosylase [Source:NCBI gene;Acc:107211506],UNG,protein_coding,122,,,,,,,,,,,,,,,,,,,307,ENSAPLG00000015118,16,13296376,13298459,-1,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase [Source:HGNC Symbol;Acc:HGNC:32487]",,protein_coding,ENSAPLG00000015120,16,13298019,13300901,1,uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572],UNG,protein_coding,440,331,ENSMGAG00000005978,17,6723382,6724466,-1,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase [Source:HGNC Symbol;Acc:HGNC:32487]",ALKBH2,protein_coding,ENSMGAG00000005991,17,6724741,6728149,1,uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572],UNG,protein_coding,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,ENSCJPG00005007430,15,5787185,5788252,-1,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase [Source:NCBI gene;Acc:107321303]",ALKBH2,protein_coding,ENSCJPG00005007432,15,5789032,5791875,1,uracil DNA glycosylase [Source:NCBI gene;Acc:107321302],UNG,protein_coding,780,231,ENSFALG00000008845,15,4437399,4439816,-1,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase [Source:HGNC Symbol;Acc:HGNC:32487]",ALKBH2,protein_coding,ENSFALG00000008843,15,4440619,4446286,1,uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572],UNG,protein_coding,803
1188,ENSGALG00010029248,19,3915262,3918175,1,complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243],C1QBP,protein_coding,ENSGALG00010029252,19,3917765,3921346,-1,RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641],RPAIN,protein_coding,410,432,ENSPMJG00000018951,19,2924420,2928753,1,complement C1q binding protein [Source:NCBI gene;Acc:107212677],C1QBP,protein_coding,ENSPMJG00000018952,19,2929216,2932585,-1,RPA interacting protein [Source:NCBI gene;Acc:107212945],,protein_coding,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,ENSACCG00020010669,10,34999881,35005051,1,complement C1q binding protein [Source:NCBI gene;Acc:115347484],C1QBP,protein_coding,ENSACCG00020010681,10,35005675,35008921,-1,RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641],RPAIN,protein_coding,624,,,,,,,,,,,,,,,,,,,325,ENSFALG00000027641,19,4387956,4392087,1,complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243],C1QBP,protein_coding,ENSFALG00000009778,19,4392343,4395567,-1,RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641],RPAIN,protein_coding,256
1189,ENSGALG00010029252,19,3917765,3921346,-1,RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641],RPAIN,protein_coding,ENSGALG00010029253,19,3921435,3929972,1,nucleoporin 88 [Source:HGNC Symbol;Acc:HGNC:8067],NUP88,protein_coding,89,433,ENSPMJG00000018952,19,2929216,2932585,-1,RPA interacting protein [Source:NCBI gene;Acc:107212945],,protein_coding,ENSPMJG00000018953,19,2932104,2942047,1,nucleoporin 88 [Source:NCBI gene;Acc:107212787],NUP88,protein_coding,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,ENSACCG00020010681,10,35005675,35008921,-1,RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641],RPAIN,protein_coding,ENSACCG00020010695,10,35009007,35021242,1,nucleoporin 88 [Source:NCBI gene;Acc:115347483],NUP88,protein_coding,86,503,ENSCJPG00005009316,19,2458393,2460236,-1,RPA interacting protein [Source:NCBI gene;Acc:107322538],RPAIN,protein_coding,ENSCJPG00005009319,19,2460415,2467230,1,nucleoporin 88 [Source:NCBI gene;Acc:107322535],NUP88,protein_coding,179,326,ENSFALG00000009778,19,4392343,4395567,-1,RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641],RPAIN,protein_coding,ENSFALG00000009775,19,4396249,4405649,1,nucleoporin 88 [Source:HGNC Symbol;Acc:HGNC:8067],NUP88,protein_coding,682
1224,ENSGALG00010029732,19,7007005,7060455,1,phosphatidylinositol glycan anchor biosynthesis class L [Source:HGNC Symbol;Acc:HGNC:8966],PIGL,protein_coding,ENSGALG00010029733,19,7060345,7064258,-1,,,protein_coding,110,453,ENSPMJG00000019684,19,6323816,6378189,1,phosphatidylinositol glycan anchor biosynthesis class L [Source:NCBI gene;Acc:107212778],PIGL,protein_coding,ENSPMJG00000019685,19,6379121,6382209,-1,centromere protein V [Source:NCBI gene;Acc:107212779],,protein_coding,932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,ENSFALG00000006061,19,8147004,8201472,1,phosphatidylinositol glycan anchor biosynthesis class L [Source:HGNC Symbol;Acc:HGNC:8966],PIGL,protein_coding,ENSFALG00000006058,19,8201782,8204704,-1,,,protein_coding,310
1226,ENSGALG00010029741,19,7124504,7125815,-1,ER membrane protein complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28430],EMC6,protein_coding,ENSGALG00010029742,19,7125565,7129443,1,Tax1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30684],TAX1BP3,protein_coding,250,455,ENSPMJG00000019690,19,6438634,6438966,-1,ER membrane protein complex subunit 6 [Source:NCBI gene;Acc:107212714],EMC6,protein_coding,ENSPMJG00000019691,19,6439405,6441676,1,Tax1 binding protein 3 [Source:NCBI gene;Acc:107212713],TAX1BP3,protein_coding,439,,,,,,,,,,,,,,,,,,,444,ENSAPLG00000000662,20,7741735,7742073,-1,ER membrane protein complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28430],EMC6,protein_coding,ENSAPLG00000005954,20,7742027,7744483,1,Tax1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30684],TAX1BP3,protein_coding,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,ENSFALG00000015144,19,8267470,8267802,-1,ER membrane protein complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28430],EMC6,protein_coding,ENSFALG00000006011,19,8268356,8272620,1,Tax1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30684],TAX1BP3,protein_coding,554
1410,ENSGALG00010011993,2,67982838,68057209,-1,"RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing [Source:HGNC Symbol;Acc:HGNC:29289]",RELCH,protein_coding,ENSGALG00010012075,2,68057083,68159827,1,phosphatidylinositol glycan anchor biosynthesis class N [Source:HGNC Symbol;Acc:HGNC:8967],PIGN,protein_coding,126,520,ENSPMJG00000001666,2,68834986,68910521,-1,"RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing [Source:NCBI gene;Acc:107200151]",RELCH,protein_coding,ENSPMJG00000001692,2,68910669,69009026,1,phosphatidylinositol glycan anchor biosynthesis class N [Source:NCBI gene;Acc:107200238],PIGN,protein_coding,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1411,ENSGALG00010011022,2,68888683,68902361,-1,chromosome 5 open reading frame 22 [Source:HGNC Symbol;Acc:HGNC:25639],C2H5ORF22,protein_coding,ENSGALG00010011033,2,68902443,68971440,1,drosha ribonuclease III [Source:NCBI gene (formerly Entrezgene);Acc:420911],DROSHA,protein_coding,82,521,ENSPMJG00000001886,2,69710751,69722555,-1,chromosome 2 C5orf22 homolog [Source:NCBI gene;Acc:107200079],C5orf22,protein_coding,ENSPMJG00000002072,2,69722322,69793045,1,drosha ribonuclease III [Source:NCBI gene;Acc:107200077],DROSHA,protein_coding,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427,ENSGALG00010008075,2,85276514,85298701,-1,succinate dehydrogenase complex flavoprotein subunit A [Source:NCBI gene (formerly Entrezgene);Acc:395758],SDHA,protein_coding,ENSGALG00010008079,2,85299290,85304085,1,coiled-coil domain containing 127 [Source:NCBI gene (formerly Entrezgene);Acc:420970],CCDC127,protein_coding,589,526,ENSPMJG00000013737,2,87442366,87457965,-1,succinate dehydrogenase complex flavoprotein subunit A [Source:NCBI gene;Acc:107200805],SDHA,protein_coding,ENSPMJG00000013738,2,87457984,87461398,1,coiled-coil domain containing 127 [Source:NCBI gene;Acc:107201040],CCDC127,protein_coding,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,ENSGALG00010007542,2,85596737,85599768,-1,mitochondrial ribosomal protein L36 [Source:NCBI gene (formerly Entrezgene);Acc:107052649],MRPL36,protein_coding,ENSGALG00010007555,2,85599750,85604823,1,NADH:ubiquinone oxidoreductase subunit S6 [Source:HGNC Symbol;Acc:HGNC:7713],NDUFS6,protein_coding,18,527,ENSPMJG00000013793,2,87767155,87768675,-1,mitochondrial ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:14490],MRPL36,protein_coding,ENSPMJG00000013796,2,87768127,87776345,1,NADH:ubiquinone oxidoreductase subunit S6 [Source:NCBI gene;Acc:107200764],,protein_coding,548,,,,,,,,,,,,,,,,,,,394,ENSAPLG00000028760,2,91044802,91045107,-1,mitochondrial ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:14490],MRPL36,protein_coding,ENSAPLG00000024272,2,91045032,91053530,1,NADH:ubiquinone oxidoreductase subunit S6 [Source:HGNC Symbol;Acc:HGNC:7713],NDUFS6,protein_coding,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,ENSGALG00010008033,2,89858757,89864205,-1,acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999],ACOT13,protein_coding,ENSGALG00010008035,2,89863280,89870732,1,tyrosyl-DNA phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:17768],TDP2,protein_coding,925,531,ENSPMJG00000014254,2,92073759,92079317,-1,acyl-CoA thioesterase 13 [Source:NCBI gene;Acc:107200283],ACOT13,protein_coding,ENSPMJG00000014256,2,92079401,92085286,1,tyrosyl-DNA phosphodiesterase 2 [Source:NCBI gene;Acc:107200280],TDP2,protein_coding,84,853,ENSTGUG00000020283,2,92172314,92183210,-1,acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999],ACOT13,protein_coding,ENSTGUG00000009035,2,92182226,92195211,1,tyrosyl-DNA phosphodiesterase 2 [Source:NCBI gene;Acc:100222493],TDP2,protein_coding,984,,,,,,,,,,,,,,,,,,,558,ENSMGAG00000008012,3,36671387,36678254,-1,,,protein_coding,ENSMGAG00000008014,3,36678275,36685564,1,tyrosyl-DNA phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:17768],TDP2,protein_coding,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,ENSCJPG00005007119,2,81256367,81259828,-1,acyl-CoA thioesterase 13 [Source:NCBI gene;Acc:107309949],ACOT13,protein_coding,ENSCJPG00005007142,2,81259702,81265984,1,tyrosyl-DNA phosphodiesterase 2 [Source:NCBI gene;Acc:107309947],TDP2,protein_coding,126,,,,,,,,,,,,,,,,,,
1483,ENSGALG00010003852,2,117728981,117744234,-1,transcription elongation factor B subunit 1 [Source:NCBI gene (formerly Entrezgene);Acc:420187],TCEB1,protein_coding,ENSGALG00010003860,2,117744589,117749021,1,transmembrane protein 70 [Source:NCBI gene (formerly Entrezgene);Acc:420188],TMEM70,protein_coding,355,543,ENSPMJG00000005239,2,119816814,119828070,-1,elongin C [Source:NCBI gene;Acc:107200170],ELOC,protein_coding,ENSPMJG00000005241,2,119828091,119833252,1,transmembrane protein 70 [Source:NCBI gene;Acc:107200167],TMEM70,protein_coding,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,ENSGALG00010007996,2,131519744,131546325,-1,NudC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24306],NUDCD1,protein_coding,ENSGALG00010008004,2,131545651,131553614,1,"ENY2, transcription and export complex 2 subunit [Source:NCBI gene (formerly Entrezgene);Acc:420275]",ENY2,protein_coding,674,557,ENSPMJG00000010894,2,133698843,133732438,-1,NudC domain containing 1 [Source:NCBI gene;Acc:107200445],NUDCD1,protein_coding,ENSPMJG00000010897,2,133732459,133737134,1,ENY2 transcription and export complex 2 subunit [Source:NCBI gene;Acc:107200446],ENY2,protein_coding,21,889,ENSTGUG00000012245,2,133867314,133909058,-1,NudC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24306],NUDCD1,protein_coding,ENSTGUG00000026246,2,133909080,133914161,1,ENY2 transcription and export complex 2 subunit [Source:NCBI gene;Acc:100190235],ENY2,protein_coding,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,ENSFALG00000006119,2,139769244,139799881,-1,NudC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24306],NUDCD1,protein_coding,ENSFALG00000006123,2,139800481,139804731,1,ENY2 transcription and export complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:24449],ENY2,protein_coding,600
