Mouse_BIP number,Mouse_Gene stable ID,Mouse_Chromosome/scaffold name,Mouse_Gene start (bp),Mouse_Gene end (bp),Mouse_Strand,Mouse_Gene description,Mouse_Gene name,Mouse_Gene type,Mouse_Gene stable ID.1,Mouse_Chromosome/scaffold name.1,Mouse_Gene start (bp).1,Mouse_Gene end (bp).1,Mouse_Strand.1,Mouse_Gene description.1,Mouse_Gene name.1,Mouse_Gene type.1,Mouse_distance,Rat_BIP number,Rat_Gene stable ID,Rat_Chromosome/scaffold name,Rat_Gene start (bp),Rat_Gene end (bp),Rat_Strand,Rat_Gene description,Rat_Gene name,Rat_Gene type,Rat_Gene stable ID.1,Rat_Chromosome/scaffold name.1,Rat_Gene start (bp).1,Rat_Gene end (bp).1,Rat_Strand.1,Rat_Gene description.1,Rat_Gene name.1,Rat_Gene type.1,Rat_distance,Algerian_Mouse_BIP number,Algerian_Mouse_Gene stable ID,Algerian_Mouse_Chromosome/scaffold name,Algerian_Mouse_Gene start (bp),Algerian_Mouse_Gene end (bp),Algerian_Mouse_Strand,Algerian_Mouse_Gene description,Algerian_Mouse_Gene name,Algerian_Mouse_Gene type,Algerian_Mouse_Gene stable ID.1,Algerian_Mouse_Chromosome/scaffold name.1,Algerian_Mouse_Gene start (bp).1,Algerian_Mouse_Gene end (bp).1,Algerian_Mouse_Strand.1,Algerian_Mouse_Gene description.1,Algerian_Mouse_Gene name.1,Algerian_Mouse_Gene type.1,Algerian_Mouse_distance,Shrew_Mouse_BIP number,Shrew_Mouse_Gene stable ID,Shrew_Mouse_Chromosome/scaffold name,Shrew_Mouse_Gene start (bp),Shrew_Mouse_Gene end (bp),Shrew_Mouse_Strand,Shrew_Mouse_Gene description,Shrew_Mouse_Gene name,Shrew_Mouse_Gene type,Shrew_Mouse_Gene stable ID.1,Shrew_Mouse_Chromosome/scaffold name.1,Shrew_Mouse_Gene start (bp).1,Shrew_Mouse_Gene end (bp).1,Shrew_Mouse_Strand.1,Shrew_Mouse_Gene description.1,Shrew_Mouse_Gene name.1,Shrew_Mouse_Gene type.1,Shrew_Mouse_distance,Ryukyu_Mouse_BIP number,Ryukyu_Mouse_Gene stable ID,Ryukyu_Mouse_Chromosome/scaffold name,Ryukyu_Mouse_Gene start (bp),Ryukyu_Mouse_Gene end (bp),Ryukyu_Mouse_Strand,Ryukyu_Mouse_Gene description,Ryukyu_Mouse_Gene name,Ryukyu_Mouse_Gene type,Ryukyu_Mouse_Gene stable ID.1,Ryukyu_Mouse_Chromosome/scaffold name.1,Ryukyu_Mouse_Gene start (bp).1,Ryukyu_Mouse_Gene end (bp).1,Ryukyu_Mouse_Strand.1,Ryukyu_Mouse_Gene description.1,Ryukyu_Mouse_Gene name.1,Ryukyu_Mouse_Gene type.1,Ryukyu_Mouse_distance
3291,ENSMUSG00000030579,7,30113185,30117010,1,TYRO protein tyrosine kinase binding protein [Source:MGI Symbol;Acc:MGI:1277211],Tyrobp,protein_coding,ENSMUSG00000064109,7,30117137,30119279,-1,hematopoietic cell signal transducer [Source:MGI Symbol;Acc:MGI:1344360],Hcst,protein_coding,127,87,ENSRNOG00000020845,1,85672994,85676848,1,transmembrane immune signaling adaptor Tyrobp [Source:RGD Symbol;Acc:1303081],Tyrobp,protein_coding,ENSRNOG00000020849,1,85676979,85679012,-1,hematopoietic cell signal transducer [Source:RGD Symbol;Acc:1359238],Hcst,protein_coding,131,2368,MGP_SPRETEiJ_G0030613,7,19853439,19857471,1,TYRO protein tyrosine kinase binding protein [Source:MGI Symbol;Acc:MGI:1277211],Tyrobp,protein_coding,MGP_SPRETEiJ_G0030614,7,19857611,19859735,-1,hematopoietic cell signal transducer [Source:MGI Symbol;Acc:MGI:1344360],Hcst,protein_coding,140,25,MGP_PahariEiJ_G0012751,1,3361443,3365061,1,TYRO protein tyrosine kinase binding protein [Source:NCBI gene;Acc:110334844],,protein_coding,MGP_PahariEiJ_G0012752,1,3365201,3367312,-1,hematopoietic cell signal transducer [Source:NCBI gene;Acc:110336959],Hcst,protein_coding,140,2359,MGP_CAROLIEiJ_G0029517,7,29652706,29656279,1,TYRO protein tyrosine kinase binding protein [Source:NCBI gene;Acc:110297724],Tyrobp,protein_coding,MGP_CAROLIEiJ_G0029518,7,29656419,29658709,-1,hematopoietic cell signal transducer [Source:NCBI gene;Acc:110297737],Hcst,protein_coding,140
3318,ENSMUSG00000030493,7,35091577,35096261,-1,Fanconi anemia core complex associated protein 24 [Source:MGI Symbol;Acc:MGI:2142208],Faap24,protein_coding,ENSMUSG00000023072,7,35096460,35138114,1,centrosomal protein 89 [Source:MGI Symbol;Acc:MGI:1919390],Cep89,protein_coding,199,97,ENSRNOG00000022393,1,88051911,88057989,-1,FA core complex associated protein 24 [Source:RGD Symbol;Acc:1564719],Faap24,protein_coding,ENSRNOG00000012140,1,88058227,88100112,1,centrosomal protein 89 [Source:RGD Symbol;Acc:1311730],Cep89,protein_coding,238,2387,MGP_SPRETEiJ_G0030683,7,23785743,23790501,-1,Fanconi anemia core complex associated protein 24 [Source:MGI Symbol;Acc:MGI:2142208],Faap24,protein_coding,MGP_SPRETEiJ_G0030684,7,23790700,23836171,1,centrosomal protein 89 [Source:MGI Symbol;Acc:MGI:1919390],Cep89,protein_coding,199,38,MGP_PahariEiJ_G0012818,1,8347155,8351698,-1,FA core complex associated protein 24 [Source:NCBI gene;Acc:110331697],Faap24,protein_coding,MGP_PahariEiJ_G0012819,1,8351897,8393003,1,centrosomal protein 89 [Source:NCBI gene;Acc:110325705],Cep89,protein_coding,199,2376,MGP_CAROLIEiJ_G0029584,7,34568861,34573720,-1,FA core complex associated protein 24 [Source:NCBI gene;Acc:110298820],Faap24,protein_coding,MGP_CAROLIEiJ_G0029585,7,34573919,34618278,1,centrosomal protein 89 [Source:NCBI gene;Acc:110298118],Cep89,protein_coding,199
3442,ENSMUSG00000030718,7,99975944,100021514,-1,protein phosphatase methylesterase 1 [Source:MGI Symbol;Acc:MGI:1919840],Ppme1,protein_coding,ENSMUSG00000047248,7,100021440,100119359,1,C2 calcium-dependent domain containing 3 [Source:MGI Symbol;Acc:MGI:2142166],C2cd3,protein_coding,74,152,ENSRNOG00000017227,1,154668109,154715110,-1,protein phosphatase methylesterase 1 [Source:RGD Symbol;Acc:1309683],Ppme1,protein_coding,ENSRNOG00000017608,1,154715310,154812520,1,C2 domain containing 3 centriole elongation regulator [Source:RGD Symbol;Acc:1307366],C2cd3,protein_coding,200,2465,MGP_SPRETEiJ_G0031155,7,89576560,89622644,-1,protein phosphatase methylesterase 1 [Source:MGI Symbol;Acc:MGI:1919840],Ppme1,protein_coding,MGP_SPRETEiJ_G0031156,7,89622981,89728498,1,C2 calcium-dependent domain containing 3 [Source:MGI Symbol;Acc:MGI:2142166],C2cd3,protein_coding,337,112,MGP_PahariEiJ_G0013266,1,71171781,71222713,-1,protein phosphatase methylesterase 1 [Source:NCBI gene;Acc:110336561],Ppme1,protein_coding,MGP_PahariEiJ_G0013267,1,71223050,71326864,1,C2 domain containing 3 centriole elongation regulator [Source:NCBI gene;Acc:110336553],C2cd3,protein_coding,337,2453,MGP_CAROLIEiJ_G0030044,7,103010361,103056156,-1,protein phosphatase methylesterase 1 [Source:NCBI gene;Acc:110297214],Ppme1,protein_coding,MGP_CAROLIEiJ_G0030045,7,103056493,103155760,1,C2 domain containing 3 centriole elongation regulator [Source:NCBI gene;Acc:110297213],C2cd3,protein_coding,337
3481,ENSMUSG00000031023,7,109302897,109311396,1,A kinase interacting protein 1 [Source:MGI Symbol;Acc:MGI:3041226],Akip1,protein_coding,ENSMUSG00000031022,7,109311388,109323057,-1,cDNA sequence BC051019 [Source:MGI Symbol;Acc:MGI:1928824],BC051019,protein_coding,8,170,ENSRNOG00000013744,1,163734798,163743648,1,A-kinase interacting protein 1 [Source:RGD Symbol;Acc:1306959],Akip1,protein_coding,ENSRNOG00000013713,1,163743021,163754089,-1,similar to human chromosome 11 open reading frame 16 [Source:RGD Symbol;Acc:1565905],C1h11orf16,protein_coding,627,2481,MGP_SPRETEiJ_G0031425,7,98815021,98823516,1,A kinase (PRKA) interacting protein 1 [Source:MGI Symbol;Acc:MGI:3041226],Akip1,protein_coding,MGP_SPRETEiJ_G0031426,7,98823508,98838825,-1,cDNA sequence BC051019 [Source:MGI Symbol;Acc:MGI:1928824],BC051019,protein_coding,8,127,MGP_PahariEiJ_G0013523,1,79541332,79550445,1,A-kinase interacting protein 1 [Source:NCBI gene;Acc:110333746],Akip1,protein_coding,MGP_PahariEiJ_G0013524,1,79550437,79562652,-1,,,protein_coding,8,2470,MGP_CAROLIEiJ_G0030311,7,111917547,111925920,1,A-kinase interacting protein 1 [Source:NCBI gene;Acc:110298342],Akip1,protein_coding,MGP_CAROLIEiJ_G0030312,7,111925912,111937330,-1,cDNA sequence BC051019 [Source:MGI Symbol;Acc:MGI:1928824],BC051019,protein_coding,8
3510,ENSMUSG00000032777,7,125240126,125306952,-1,general transcription factor III C 1 [Source:MGI Symbol;Acc:MGI:107887],Gtf3c1,protein_coding,ENSMUSG00000032743,7,125307060,125473965,1,katanin interacting protein [Source:MGI Symbol;Acc:MGI:2442760],Katnip,protein_coding,108,181,ENSRNOG00000016218,1,180203995,180270201,-1,general transcription factor IIIC subunit 1 [Source:RGD Symbol;Acc:621048],Gtf3c1,protein_coding,ENSRNOG00000016635,1,180269929,180436766,1,katanin interacting protein [Source:RGD Symbol;Acc:1595846],Katnip,protein_coding,272,,,,,,,,,,,,,,,,,,,147,MGP_PahariEiJ_G0013646,1,95111962,95175914,-1,general transcription factor IIIC subunit 1 [Source:NCBI gene;Acc:110317282],Gtf3c1,protein_coding,MGP_PahariEiJ_G0013647,1,95176071,95347260,1,KIAA0556 ortholog [Source:NCBI gene;Acc:110321377],Katnip,protein_coding,157,2488,MGP_CAROLIEiJ_G0030436,7,127654490,127720781,-1,general transcription factor IIIC subunit 1 [Source:NCBI gene;Acc:110297279],Gtf3c1,protein_coding,MGP_CAROLIEiJ_G0030437,7,127720918,127890840,1,KIAA0556 ortholog [Source:NCBI gene;Acc:110298466],Katnip,protein_coding,137
3514,ENSMUSG00000042759,7,126184114,126188284,1,apolipoprotein B receptor [Source:MGI Symbol;Acc:MGI:2176230],Apobr,protein_coding,ENSMUSG00000044701,7,126188182,126194113,-1,interleukin 27 [Source:MGI Symbol;Acc:MGI:2384409],Il27,protein_coding,102,184,ENSRNOG00000017403,1,181168916,181173528,1,apolipoprotein B receptor [Source:RGD Symbol;Acc:1565169],Apobr,protein_coding,ENSRNOG00000019170,1,181173372,181178582,-1,interleukin 27 [Source:RGD Symbol;Acc:1561420],Il27,protein_coding,156,2500,MGP_SPRETEiJ_G0031567,7,116473565,116477792,1,apolipoprotein B receptor [Source:MGI Symbol;Acc:MGI:2176230],Apobr,protein_coding,MGP_SPRETEiJ_G0031568,7,116477690,116483631,-1,interleukin 27 [Source:MGI Symbol;Acc:MGI:2384409],Il27,protein_coding,102,149,MGP_PahariEiJ_G0013663,1,96053259,96057485,1,apolipoprotein B receptor [Source:NCBI gene;Acc:110316272],Apobr,protein_coding,MGP_PahariEiJ_G0013664,1,96057383,96063536,-1,interleukin 27 [Source:NCBI gene;Acc:110337409],Il27,protein_coding,102,2491,MGP_CAROLIEiJ_G0030453,7,128595212,128599465,1,apolipoprotein B receptor [Source:NCBI gene;Acc:110298590],Apobr,protein_coding,MGP_CAROLIEiJ_G0030454,7,128599363,128605540,-1,interleukin 27 [Source:NCBI gene;Acc:110298592],Il27,protein_coding,102
3521,ENSMUSG00000030689,7,126450132,126461549,-1,INO80 complex subunit E [Source:MGI Symbol;Acc:MGI:2141881],Ino80e,protein_coding,ENSMUSG00000042606,7,126461144,126464549,1,HIRA interacting protein 3 [Source:MGI Symbol;Acc:MGI:2142364],Hirip3,protein_coding,405,188,ENSRNOG00000019960,1,181461408,181472469,-1,INO80 complex subunit E [Source:RGD Symbol;Acc:1359572],Ino80e,protein_coding,ENSRNOG00000029061,1,181472056,181475079,1,HIRA interacting protein 3 [Source:RGD Symbol;Acc:1306463],Hirip3,protein_coding,413,2507,MGP_SPRETEiJ_G0031584,7,116767640,116779068,-1,INO80 complex subunit E [Source:MGI Symbol;Acc:MGI:2141881],Ino80e,protein_coding,MGP_SPRETEiJ_G0031585,7,116778662,116782014,1,HIRA interacting protein 3 [Source:MGI Symbol;Acc:MGI:2142364],Hirip3,protein_coding,406,156,MGP_PahariEiJ_G0013680,1,96337091,96348615,-1,INO80 complex subunit E [Source:MGI Symbol;Acc:MGI:2141881],,protein_coding,MGP_PahariEiJ_G0013681,1,96348230,96351454,1,,,protein_coding,385,2498,MGP_CAROLIEiJ_G0030470,7,128870699,128881886,-1,INO80 complex subunit E [Source:MGI Symbol;Acc:MGI:2141881],,protein_coding,MGP_CAROLIEiJ_G0030471,7,128881482,128884977,1,HIRA interacting protein 3 [Source:NCBI gene;Acc:110297603],Hirip3,protein_coding,404
3547,ENSMUSG00000030979,7,133287972,133311801,-1,uroporphyrinogen III synthase [Source:MGI Symbol;Acc:MGI:98917],Uros,protein_coding,ENSMUSG00000030983,7,133311062,133322874,1,BRCA2 and CDKN1A interacting protein [Source:MGI Symbol;Acc:MGI:1913415],Bccip,protein_coding,739,208,ENSRNOG00000017810,1,188490323,188512249,-1,uroporphyrinogen III synthase [Source:RGD Symbol;Acc:1310396],Uros,protein_coding,ENSRNOG00000018066,1,188512367,188524958,1,BRCA2 and CDKN1A interacting protein [Source:RGD Symbol;Acc:1307362],Bccip,protein_coding,118,2534,MGP_SPRETEiJ_G0031702,7,123988302,124017215,-1,uroporphyrinogen III synthase [Source:MGI Symbol;Acc:MGI:98917],Uros,protein_coding,MGP_SPRETEiJ_G0031703,7,124016476,124027637,1,BRCA2 and CDKN1A interacting protein [Source:MGI Symbol;Acc:MGI:1913415],Bccip,protein_coding,739,,,,,,,,,,,,,,,,,,,2521,MGP_CAROLIEiJ_G0030588,7,135877456,135899582,-1,uroporphyrinogen III synthase [Source:NCBI gene;Acc:110298332],Uros,protein_coding,MGP_CAROLIEiJ_G0030589,7,135898839,135910477,1,BRCA2 and CDKN1A interacting protein [Source:NCBI gene;Acc:110297449],Bccip,protein_coding,743
3555,ENSMUSG00000025467,7,139673308,139677113,1,proline-rich acidic protein 1 [Source:MGI Symbol;Acc:MGI:893573],Prap1,protein_coding,ENSMUSG00000025466,7,139676683,139682354,-1,fucose mutarotase [Source:MGI Symbol;Acc:MGI:1916314],Fuom,protein_coding,430,213,ENSRNOG00000018446,1,194883078,194886872,1,proline-rich acidic protein 1 [Source:RGD Symbol;Acc:61876],Prap1,protein_coding,ENSRNOG00000018476,1,194886709,194893046,-1,fucose mutarotase [Source:RGD Symbol;Acc:1311186],Fuom,protein_coding,163,2540,MGP_SPRETEiJ_G0031740,7,130721887,130725632,1,proline-rich acidic protein 1 [Source:MGI Symbol;Acc:MGI:893573],Prap1,protein_coding,MGP_SPRETEiJ_G0031741,7,130725209,130730950,-1,fucose mutarotase [Source:MGI Symbol;Acc:MGI:1916314],Fuom,protein_coding,423,187,MGP_PahariEiJ_G0013834,1,109453608,109458048,1,proline-rich acidic protein 1 [Source:MGI Symbol;Acc:MGI:893573],Prap1,protein_coding,MGP_PahariEiJ_G0013835,1,109457634,109463081,-1,fucose mutarotase [Source:NCBI gene;Acc:110335535],,protein_coding,414,2527,MGP_CAROLIEiJ_G0030629,7,142164423,142168106,1,proline rich acidic protein 1 [Source:NCBI gene;Acc:110299421],Prap1,protein_coding,MGP_CAROLIEiJ_G0030630,7,142167677,142173342,-1,fucose mutarotase [Source:NCBI gene;Acc:110298955],Fuom,protein_coding,429
3567,ENSMUSG00000038637,7,140774070,140789968,1,leucine rich repeat containing 56 [Source:MGI Symbol;Acc:MGI:1917802],Lrrc56,protein_coding,ENSMUSG00000025500,7,140789905,140793993,-1,lamin tail domain containing 2 [Source:MGI Symbol;Acc:MGI:1919250],Lmntd2,protein_coding,63,220,ENSRNOG00000016697,1,196299846,196315172,1,leucine rich repeat containing 56 [Source:RGD Symbol;Acc:1311654],Lrrc56,protein_coding,ENSRNOG00000017050,1,196315115,196319156,-1,lamin tail domain containing 2 [Source:RGD Symbol;Acc:1307439],Lmntd2,protein_coding,57,2550,MGP_SPRETEiJ_G0031793,7,131908063,131924834,1,leucine rich repeat containing 56 [Source:MGI Symbol;Acc:MGI:1917802],Lrrc56,protein_coding,MGP_SPRETEiJ_G0031794,7,131925087,131930695,-1,lamin tail domain containing 2 [Source:MGI Symbol;Acc:MGI:1919250],Lmntd2,protein_coding,253,197,MGP_PahariEiJ_G0013881,1,110541847,110558778,1,leucine rich repeat containing 56 [Source:NCBI gene;Acc:110323042],Lrrc56,protein_coding,MGP_PahariEiJ_G0013882,1,110559030,110564223,-1,lamin tail domain containing 2 [Source:NCBI gene;Acc:110323032],Lmntd2,protein_coding,252,2537,MGP_CAROLIEiJ_G0030682,7,143394669,143410295,1,leucine rich repeat containing 56 [Source:NCBI gene;Acc:110297312],Lrrc56,protein_coding,MGP_CAROLIEiJ_G0030683,7,143410607,143415108,-1,lamin tail domain containing 2 [Source:NCBI gene;Acc:110297311],Lmntd2,protein_coding,312
3755,ENSMUSG00000031887,8,105984918,105991241,-1,TNFRSF1A-associated via death domain [Source:MGI Symbol;Acc:MGI:109200],Tradd,protein_coding,ENSMUSG00000033313,8,105991280,105995958,1,F-box and leucine-rich repeat protein 8 [Source:MGI Symbol;Acc:MGI:1354697],Fbxl8,protein_coding,39,1077,ENSRNOG00000015179,19,33136138,33142638,-1,TNFRSF1A-associated via death domain [Source:RGD Symbol;Acc:621313],Tradd,protein_coding,ENSRNOG00000015242,19,33142715,33147262,1,F-box and leucine-rich repeat protein 8 [Source:RGD Symbol;Acc:1566420],Fbxl8,protein_coding,77,2683,MGP_SPRETEiJ_G0032585,8,104867324,104876294,-1,TNFRSF1A-associated via death domain [Source:MGI Symbol;Acc:MGI:109200],Tradd,protein_coding,MGP_SPRETEiJ_G0032586,8,104876333,104880953,1,F-box and leucine-rich repeat protein 8 [Source:MGI Symbol;Acc:MGI:1354697],Fbxl8,protein_coding,39,1518,MGP_PahariEiJ_G0023067,20,28682701,28688934,-1,TNFRSF1A associated via death domain [Source:NCBI gene;Acc:110337608],Tradd,protein_coding,MGP_PahariEiJ_G0023068,20,28688973,28693752,1,F-box and leucine rich repeat protein 8 [Source:NCBI gene;Acc:110337807],Fbxl8,protein_coding,39,2670,MGP_CAROLIEiJ_G0031467,8,96385033,96391225,-1,TNFRSF1A associated via death domain [Source:NCBI gene;Acc:110300541],Tradd,protein_coding,MGP_CAROLIEiJ_G0031468,8,96391264,96396255,1,F-box and leucine rich repeat protein 8 [Source:NCBI gene;Acc:110300482],Fbxl8,protein_coding,39
3767,ENSMUSG00000031893,8,106554363,106571312,1,translin-associated factor X (Tsnax) interacting protein 1 [Source:MGI Symbol;Acc:MGI:1919486],Tsnaxip1,protein_coding,ENSMUSG00000036672,8,106571305,106579910,-1,centromere protein T [Source:MGI Symbol;Acc:MGI:2443939],Cenpt,protein_coding,7,1088,ENSRNOG00000018954,19,33716785,33734824,1,translin-associated factor X interacting protein 1 [Source:RGD Symbol;Acc:1565341],Tsnaxip1,protein_coding,ENSRNOG00000024178,19,33734685,33741142,-1,centromere protein T [Source:RGD Symbol;Acc:1309383],Cenpt,protein_coding,139,2696,MGP_SPRETEiJ_G0032614,8,105476911,105492010,1,translin-associated factor X (Tsnax) interacting protein 1 [Source:MGI Symbol;Acc:MGI:1919486],Tsnaxip1,protein_coding,MGP_SPRETEiJ_G0032615,8,105492012,105500774,-1,centromere protein T [Source:MGI Symbol;Acc:MGI:2443939],Cenpt,protein_coding,2,1530,MGP_PahariEiJ_G0023096,20,29259340,29276302,1,translin associated factor X interacting protein 1 [Source:NCBI gene;Acc:110337455],Tsnaxip1,protein_coding,MGP_PahariEiJ_G0023097,20,29276304,29282965,-1,centromere protein T [Source:NCBI gene;Acc:110337456],Cenpt,protein_coding,2,2682,MGP_CAROLIEiJ_G0031496,8,96960515,96978000,1,translin associated factor X interacting protein 1 [Source:NCBI gene;Acc:110300349],Tsnaxip1,protein_coding,MGP_CAROLIEiJ_G0031497,8,96978002,96985361,-1,centromere protein T [Source:NCBI gene;Acc:110300350],Cenpt,protein_coding,2
3812,ENSMUSG00000074030,8,125619847,125624444,-1,exocyst complex component 8 [Source:MGI Symbol;Acc:MGI:2142527],Exoc8,protein_coding,ENSMUSG00000031986,8,125624625,125632900,1,SprT-like N-terminal domain [Source:MGI Symbol;Acc:MGI:2685351],Sprtn,protein_coding,181,1128,ENSRNOG00000019766,19,52852578,52857491,-1,exocyst complex component 8 [Source:RGD Symbol;Acc:620245],Exoc8,protein_coding,ENSRNOG00000021330,19,52857866,52864864,1,SprT-like N-terminal domain [Source:RGD Symbol;Acc:1559496],Sprtn,protein_coding,375,2737,MGP_SPRETEiJ_G0032833,8,125697169,125705520,-1,exocyst complex component 8 [Source:MGI Symbol;Acc:MGI:2142527],Exoc8,protein_coding,MGP_SPRETEiJ_G0032834,8,125705899,125711775,1,SprT-like N-terminal domain [Source:MGI Symbol;Acc:MGI:2685351],Sprtn,protein_coding,379,1567,MGP_PahariEiJ_G0023313,20,47994471,48002978,-1,exocyst complex component 8 [Source:NCBI gene;Acc:110337526],Exoc8,protein_coding,MGP_PahariEiJ_G0023314,20,48003159,48008893,1,SprT-like N-terminal domain [Source:NCBI gene;Acc:110337543],Sprtn,protein_coding,181,2720,MGP_CAROLIEiJ_G0031715,8,116026763,116034376,-1,exocyst complex component 8 [Source:NCBI gene;Acc:110299908],Exoc8,protein_coding,MGP_CAROLIEiJ_G0031716,8,116034557,116040493,1,,,protein_coding,181
3824,ENSMUSG00000031931,9,14690914,14696152,-1,ankyrin repeat domain 49 [Source:MGI Symbol;Acc:MGI:1930842],Ankrd49,protein_coding,ENSMUSG00000031928,9,14695950,14748419,1,"MRE11A homolog A, double strand break repair nuclease [Source:MGI Symbol;Acc:MGI:1100512]",Mre11a,protein_coding,202,2028,ENSRNOG00000009233,8,11627518,11632207,-1,ankyrin repeat domain 49 [Source:RGD Symbol;Acc:1311759],Ankrd49,protein_coding,ENSRNOG00000009506,8,11632354,11678279,1,"MRE11 homolog, double strand break repair nuclease [Source:RGD Symbol;Acc:69263]",Mre11,protein_coding,147,2743,MGP_SPRETEiJ_G0032907,9,11800607,11808431,-1,ankyrin repeat domain 49 [Source:MGI Symbol;Acc:MGI:1930842],Ankrd49,protein_coding,MGP_SPRETEiJ_G0032908,9,11808611,11862204,1,"MRE11A homolog A, double strand break repair nuclease [Source:MGI Symbol;Acc:MGI:1100512]",Mre11a,protein_coding,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3827,ENSMUSG00000031938,9,15194633,15217744,-1,RIKEN cDNA 4931406C07 gene [Source:MGI Symbol;Acc:MGI:1918234],4931406C07Rik,protein_coding,ENSMUSG00000031939,9,15217510,15228287,1,"TATA-box binding protein associated factor, RNA polymerase I, D [Source:MGI Symbol;Acc:MGI:1922566]",Taf1d,protein_coding,234,2030,ENSRNOG00000010887,8,12123823,12146473,-1,similar to human chromosome 11 open reading frame 54 [Source:RGD Symbol;Acc:1309534],C8h11orf54,protein_coding,ENSRNOG00000010921,8,12146605,12156618,1,"TATA-box binding protein associated factor, RNA polymerase I subunit D [Source:RGD Symbol;Acc:1309627]",Taf1d,protein_coding,132,,,,,,,,,,,,,,,,,,,319,MGP_PahariEiJ_G0014671,10,10728268,10752635,-1,chromosome 10 C11orf54 homolog [Source:NCBI gene;Acc:110328269],4931406C07Rik,protein_coding,MGP_PahariEiJ_G0014672,10,10752384,10759986,1,,,protein_coding,251,2727,MGP_CAROLIEiJ_G0031795,9,11468142,11492596,-1,chromosome 9 C11orf54 homolog [Source:NCBI gene;Acc:110301483],4931406C07Rik,protein_coding,MGP_CAROLIEiJ_G0031796,9,11492357,11498615,1,"TATA-box binding protein associated factor, RNA polymerase I, D [Source:MGI Symbol;Acc:MGI:1922566]",,protein_coding,239
3846,ENSMUSG00000040883,9,21832304,21838852,-1,transmembrane protein 205 [Source:MGI Symbol;Acc:MGI:3045495],Tmem205,protein_coding,ENSMUSG00000006241,9,21838767,21847168,1,coiled-coil domain containing 159 [Source:MGI Symbol;Acc:MGI:1914369],Ccdc159,protein_coding,85,2037,ENSRNOG00000011747,8,20452092,20457828,-1,transmembrane protein 205 [Source:RGD Symbol;Acc:1563250],Tmem205,protein_coding,ENSRNOG00000011799,8,20457909,20466562,1,coiled-coil domain containing 159 [Source:RGD Symbol;Acc:1308031],Ccdc159,protein_coding,81,2753,MGP_SPRETEiJ_G0033010,9,19184971,19191235,-1,transmembrane protein 205 [Source:MGI Symbol;Acc:MGI:3045495],Tmem205,protein_coding,MGP_SPRETEiJ_G0033011,9,19191171,19199795,1,coiled-coil domain containing 159 [Source:MGI Symbol;Acc:MGI:1914369],Ccdc159,protein_coding,64,331,MGP_PahariEiJ_G0014752,10,17264034,17269741,-1,transmembrane protein 205 [Source:NCBI gene;Acc:110327850],Tmem205,protein_coding,MGP_PahariEiJ_G0014753,10,17269677,17278531,1,coiled-coil domain containing 159 [Source:NCBI gene;Acc:110327849],Ccdc159,protein_coding,64,2736,MGP_CAROLIEiJ_G0031886,9,17925317,17931195,-1,transmembrane protein 205 [Source:NCBI gene;Acc:110301508],Tmem205,protein_coding,MGP_CAROLIEiJ_G0031887,9,17931131,17939778,1,coiled-coil domain containing 159 [Source:NCBI gene;Acc:110301507],Ccdc159,protein_coding,64
4009,ENSMUSG00000019039,9,108447085,108449973,1,DALR anticodon binding domain containing 3 [Source:MGI Symbol;Acc:MGI:1915039],Dalrd3,protein_coding,ENSMUSG00000066357,9,108449510,108455938,-1,WD repeat domain 6 [Source:MGI Symbol;Acc:MGI:1930140],Wdr6,protein_coding,463,2117,ENSRNOG00000020159,8,109265676,109268568,1,DALR anticodon binding domain containing 3 [Source:RGD Symbol;Acc:1359206],Dalrd3,protein_coding,ENSRNOG00000020185,8,109268079,109274499,-1,WD repeat domain 6 [Source:RGD Symbol;Acc:1307649],Wdr6,protein_coding,489,2863,MGP_SPRETEiJ_G0033842,9,109496684,109499586,1,DALR anticodon binding domain containing 3 [Source:MGI Symbol;Acc:MGI:1915039],Dalrd3,protein_coding,MGP_SPRETEiJ_G0033843,9,109499123,109505541,-1,WD repeat domain 6 [Source:MGI Symbol;Acc:MGI:1930140],Wdr6,protein_coding,463,440,MGP_PahariEiJ_G0015565,10,102052823,102055664,1,DALR anticodon binding domain containing 3 [Source:NCBI gene;Acc:110328667],Dalrd3,protein_coding,MGP_PahariEiJ_G0015566,10,102055192,102061607,-1,WD repeat domain 6 [Source:NCBI gene;Acc:110328666],Wdr6,protein_coding,472,2841,MGP_CAROLIEiJ_G0032697,9,103914258,103917159,1,DALR anticodon binding domain containing 3 [Source:NCBI gene;Acc:110301083],Dalrd3,protein_coding,MGP_CAROLIEiJ_G0032698,9,103916696,103923156,-1,WD repeat domain 6 [Source:NCBI gene;Acc:110301082],Wdr6,protein_coding,463
