Gene stable ID,Ryukyu mouse gene stable ID,Ryukyu mouse gene name,Ryukyu mouse homology type,Algerian mouse gene stable ID,Algerian mouse gene name,Algerian mouse homology type,Shrew mouse gene stable ID,Shrew mouse gene name,Shrew mouse homology type,Gene name
ENSMUSG00000002109,MGP_CAROLIEiJ_G0023957,Ddb2,ortholog_one2one,MGP_SPRETEiJ_G0024868,Ddb2,ortholog_one2one,MGP_PahariEiJ_G0025394,Ddb2,ortholog_one2one,Ddb2
ENSMUSG00000002129,MGP_CAROLIEiJ_G0016029,Sf3a1,ortholog_one2one,MGP_SPRETEiJ_G0016870,Sf3a1,ortholog_one2one,MGP_PahariEiJ_G0016862,Sf3a1,ortholog_one2one,Sf3a1
ENSMUSG00000002307,MGP_CAROLIEiJ_G0021421,Daxx,ortholog_one2one,MGP_SPRETEiJ_G0022333,Daxx,ortholog_one2one,MGP_PahariEiJ_G0020426,Daxx,ortholog_one2one,Daxx
ENSMUSG00000002343,MGP_CAROLIEiJ_G0031136,Armc6,ortholog_one2one,MGP_SPRETEiJ_G0032254,Armc6,ortholog_one2one,MGP_PahariEiJ_G0021601,Armc6,ortholog_one2one,Armc6
ENSMUSG00000002379,MGP_CAROLIEiJ_G0021787,Ndufa11,ortholog_one2one,MGP_SPRETEiJ_G0022698,Ndufa11,ortholog_one2one,MGP_PahariEiJ_G0020776,Ndufa11,ortholog_one2one,Ndufa11
ENSMUSG00000002395,MGP_CAROLIEiJ_G0031178,Use1,ortholog_one2one,MGP_SPRETEiJ_G0032297,Use1,ortholog_one2one,MGP_PahariEiJ_G0021643,Use1,ortholog_one2one,Use1
ENSMUSG00000002416,MGP_CAROLIEiJ_G0028250,Ndufb2,ortholog_one2one,MGP_SPRETEiJ_G0029249,Ndufb2,ortholog_one2one,MGP_PahariEiJ_G0022008,Ndufb2,ortholog_one2one,Ndufb2
ENSMUSG00000002546,MGP_CAROLIEiJ_G0023428,Golga2,ortholog_one2one,MGP_SPRETEiJ_G0024345,Golga2,ortholog_one2one,MGP_PahariEiJ_G0024885,Golga2,ortholog_one2one,Golga2
ENSMUSG00000002658,MGP_CAROLIEiJ_G0021799,Gtf2f1,ortholog_one2one,MGP_SPRETEiJ_G0022710,Gtf2f1,ortholog_one2one,MGP_PahariEiJ_G0020788,Gtf2f1,ortholog_one2one,Gtf2f1
ENSMUSG00000002661,MGP_CAROLIEiJ_G0021797,Alkbh7,ortholog_one2one,MGP_SPRETEiJ_G0022708,Alkbh7,ortholog_one2one,MGP_PahariEiJ_G0020786,Alkbh7,ortholog_one2one,Alkbh7
ENSMUSG00000002768,MGP_CAROLIEiJ_G0021682,Mea1,ortholog_one2one,MGP_SPRETEiJ_G0022594,Mea1,ortholog_one2one,MGP_PahariEiJ_G0020673,Mea1,ortholog_one2one,Mea1
ENSMUSG00000002769,MGP_CAROLIEiJ_G0021685,Gnmt,ortholog_one2one,MGP_SPRETEiJ_G0022597,Gnmt,ortholog_one2one,MGP_PahariEiJ_G0020676,Gnmt,ortholog_one2one,Gnmt
ENSMUSG00000002963,MGP_CAROLIEiJ_G0029679,Pnkp,ortholog_one2one,MGP_SPRETEiJ_G0030777,Pnkp,ortholog_one2one,MGP_PahariEiJ_G0012904,Pnkp,ortholog_one2one,Pnkp
ENSMUSG00000003135,MGP_CAROLIEiJ_G0014071,Cnot11,ortholog_one2one,MGP_SPRETEiJ_G0014875,Cnot11,ortholog_one2one,MGP_PahariEiJ_G0027318,Cnot11,ortholog_one2one,Cnot11
ENSMUSG00000003421,MGP_CAROLIEiJ_G0029694,Nosip,ortholog_one2one,MGP_SPRETEiJ_G0030792,Nosip,ortholog_one2one,MGP_PahariEiJ_G0012919,Nosip,ortholog_one2one,Nosip
ENSMUSG00000003437,MGP_CAROLIEiJ_G0029446,Paf1,ortholog_one2one,MGP_SPRETEiJ_G0030544,Paf1,ortholog_one2one,MGP_PahariEiJ_G0012682,Paf1,ortholog_one2one,Paf1
ENSMUSG00000003444,MGP_CAROLIEiJ_G0029445,Med29,ortholog_one2one,MGP_SPRETEiJ_G0030543,Med29,ortholog_one2one,MGP_PahariEiJ_G0012681,Med29,ortholog_one2one,Med29
ENSMUSG00000003458,MGP_CAROLIEiJ_G0014884,Ncstn,ortholog_one2one,MGP_SPRETEiJ_G0015688,Ncstn,ortholog_one2one,MGP_PahariEiJ_G0028121,Ncstn,ortholog_one2one,Ncstn
ENSMUSG00000003527,MGP_CAROLIEiJ_G0020532,Ess2,ortholog_one2one,MGP_SPRETEiJ_G0021427,Ess2,ortholog_one2one,MGP_PahariEiJ_G0016237,Ess2,ortholog_one2one,Ess2
ENSMUSG00000003549,MGP_CAROLIEiJ_G0029284,Ercc1,ortholog_one2one,MGP_SPRETEiJ_G0030368,Ercc1,ortholog_one2one,MGP_PahariEiJ_G0021144,Ercc1,ortholog_one2one,Ercc1
ENSMUSG00000003662,MGP_CAROLIEiJ_G0024251,Ciao1,ortholog_one2one,MGP_SPRETEiJ_G0025171,Ciao1,ortholog_one2one,MGP_PahariEiJ_G0025696,Ciao1,ortholog_one2one,Ciao1
ENSMUSG00000004096,MGP_CAROLIEiJ_G0031782,Cwc15,ortholog_one2one,MGP_SPRETEiJ_G0032902,Cwc15,ortholog_one2one,MGP_PahariEiJ_G0014658,Cwc15,ortholog_one2one,Cwc15
ENSMUSG00000004268,MGP_CAROLIEiJ_G0028844,Emg1,ortholog_one2one,MGP_SPRETEiJ_G0029886,Emg1,ortholog_one2one,MGP_PahariEiJ_G0022605,Emg1,ortholog_one2one,Emg1
ENSMUSG00000004371,MGP_CAROLIEiJ_G0029127,Il11,ortholog_one2one,MGP_SPRETEiJ_G0030180,Il11,ortholog_one2one,MGP_PahariEiJ_G0020996,Il11,ortholog_one2one,Il11
ENSMUSG00000004446,,,,MGP_SPRETEiJ_G0029842,Bid,ortholog_one2one,MGP_PahariEiJ_G0022565,Bid,ortholog_one2one,Bid
ENSMUSG00000004462,MGP_CAROLIEiJ_G0020606,Tbccd1,ortholog_one2one,MGP_SPRETEiJ_G0021502,Tbccd1,ortholog_one2one,MGP_PahariEiJ_G0016310,Tbccd1,ortholog_one2one,Tbccd1
ENSMUSG00000004642,MGP_CAROLIEiJ_G0027117,Slbp,ortholog_one2one,MGP_SPRETEiJ_G0028113,Slbp,ortholog_one2one,MGP_PahariEiJ_G0016901,Slbp,ortholog_one2one,Slbp
ENSMUSG00000005150,MGP_CAROLIEiJ_G0031330,Wdr83,ortholog_one2one,MGP_SPRETEiJ_G0032449,Wdr83,ortholog_one2one,MGP_PahariEiJ_G0022935,Wdr83,ortholog_one2one,Wdr83
ENSMUSG00000005262,MGP_CAROLIEiJ_G0020554,Ufd1,ortholog_one2one,MGP_SPRETEiJ_G0021449,Ufd1,ortholog_one2one,MGP_PahariEiJ_G0016259,Ufd1,ortholog_one2one,Ufd1
ENSMUSG00000005510,MGP_CAROLIEiJ_G0023947,Ndufs3,ortholog_one2one,MGP_SPRETEiJ_G0024857,Ndufs3,ortholog_one2one,MGP_PahariEiJ_G0025383,Ndufs3,ortholog_one2one,Ndufs3
ENSMUSG00000005687,MGP_CAROLIEiJ_G0025448,Bcas2,ortholog_one2one,MGP_SPRETEiJ_G0026398,Bcas2,ortholog_one2one,MGP_PahariEiJ_G0026892,Bcas2,ortholog_one2one,Bcas2
ENSMUSG00000005804,MGP_CAROLIEiJ_G0024218,Bloc1s6,ortholog_one2one,MGP_SPRETEiJ_G0025137,Bloc1s6,ortholog_one2one,MGP_PahariEiJ_G0025663,Bloc1s6,ortholog_one2one,Bloc1s6
ENSMUSG00000005949,MGP_CAROLIEiJ_G0016690,Ctns,ortholog_one2one,MGP_SPRETEiJ_G0017527,Ctns,ortholog_one2one,MGP_PahariEiJ_G0017823,Ctns,ortholog_one2one,Ctns
ENSMUSG00000005983,MGP_CAROLIEiJ_G0020392,1700037C18Rik,ortholog_one2one,MGP_SPRETEiJ_G0021286,1700037C18Rik,ortholog_one2one,MGP_PahariEiJ_G0016100,1700037C18Rik,ortholog_one2one,1700037C18Rik
ENSMUSG00000006005,MGP_CAROLIEiJ_G0014688,Tpr,ortholog_one2one,MGP_SPRETEiJ_G0015495,Tpr,ortholog_one2one,MGP_PahariEiJ_G0027924,Tpr,ortholog_one2one,Tpr
ENSMUSG00000006010,MGP_CAROLIEiJ_G0014687,Odr4,ortholog_one2one,MGP_SPRETEiJ_G0015493,Odr4,ortholog_one2one,MGP_PahariEiJ_G0027923,,ortholog_one2one,Odr4
ENSMUSG00000006058,MGP_CAROLIEiJ_G0017018,Snf8,ortholog_one2one,MGP_SPRETEiJ_G0017864,Snf8,ortholog_one2one,MGP_PahariEiJ_G0018148,Snf8,ortholog_one2one,Snf8
ENSMUSG00000006095,MGP_CAROLIEiJ_G0029506,Tbcb,ortholog_one2one,MGP_SPRETEiJ_G0030602,Tbcb,ortholog_one2one,MGP_PahariEiJ_G0012740,Tbcb,ortholog_one2one,Tbcb
ENSMUSG00000006241,MGP_CAROLIEiJ_G0031887,Ccdc159,ortholog_one2one,MGP_SPRETEiJ_G0033011,Ccdc159,ortholog_one2one,MGP_PahariEiJ_G0014753,Ccdc159,ortholog_one2one,Ccdc159
ENSMUSG00000006315,MGP_CAROLIEiJ_G0029541,Tmem147,ortholog_one2one,MGP_SPRETEiJ_G0030637,Tmem147,ortholog_one2one,MGP_PahariEiJ_G0012775,Tmem147,ortholog_one2one,Tmem147
ENSMUSG00000006335,MGP_CAROLIEiJ_G0029093,Tfpt,ortholog_one2one,MGP_SPRETEiJ_G0030146,Tfpt,ortholog_one2one,MGP_PahariEiJ_G0020962,Tfpt,ortholog_one2one,Tfpt
ENSMUSG00000006392,MGP_CAROLIEiJ_G0026373,Med8,ortholog_one2one,MGP_SPRETEiJ_G0027345,Med8,ortholog_one2one,MGP_PahariEiJ_G0028704,Med8,ortholog_one2one,Med8
ENSMUSG00000006412,MGP_CAROLIEiJ_G0014867,Pfdn2,ortholog_one2one,MGP_SPRETEiJ_G0015672,Pfdn2,ortholog_one2one,MGP_PahariEiJ_G0028105,Pfdn2,ortholog_one2one,Pfdn2
ENSMUSG00000006463,MGP_CAROLIEiJ_G0022522,Zdhhc24,ortholog_one2one,MGP_SPRETEiJ_G0023436,Zdhhc24,ortholog_one2one,MGP_PahariEiJ_G0014019,Zdhhc24,ortholog_one2one,Zdhhc24
ENSMUSG00000006476,MGP_CAROLIEiJ_G0023246,Nsmf,ortholog_one2one,MGP_SPRETEiJ_G0024163,Nsmf,ortholog_one2one,MGP_PahariEiJ_G0024704,Nsmf,ortholog_one2one,Nsmf
ENSMUSG00000006517,MGP_CAROLIEiJ_G0031661,Mvd,ortholog_one2one,MGP_SPRETEiJ_G0032779,Mvd,ortholog_one2one,MGP_PahariEiJ_G0023259,Mvd,ortholog_one2one,Mvd
ENSMUSG00000006717,MGP_CAROLIEiJ_G0018353,Acot13,ortholog_one2one,MGP_SPRETEiJ_G0019219,Acot13,ortholog_one2one,MGP_PahariEiJ_G0019416,Acot13,ortholog_one2one,Acot13
ENSMUSG00000006732,MGP_CAROLIEiJ_G0015875,Mettl1,ortholog_one2one,MGP_SPRETEiJ_G0016701,Mettl1,ortholog_one2one,MGP_PahariEiJ_G0031210,Mettl1,ortholog_one2one,Mettl1
ENSMUSG00000006850,MGP_CAROLIEiJ_G0022133,Tmco6,ortholog_one2one,MGP_SPRETEiJ_G0023045,Tmco6,ortholog_one2one,MGP_PahariEiJ_G0018867,Tmco6,ortholog_one2one,Tmco6
ENSMUSG00000007030,MGP_CAROLIEiJ_G0021492,Vwa7,ortholog_one2one,MGP_SPRETEiJ_G0022397,Vwa7,ortholog_one2one,MGP_PahariEiJ_G0020487,Vwa7,ortholog_one2one,Vwa7
ENSMUSG00000007050,MGP_CAROLIEiJ_G0021490,Lsm2,ortholog_one2one,MGP_SPRETEiJ_G0022395,Lsm2,ortholog_one2one,MGP_PahariEiJ_G0020485,Lsm2,ortholog_one2one,Lsm2
ENSMUSG00000007080,MGP_CAROLIEiJ_G0027543,Pole,ortholog_one2one,MGP_SPRETEiJ_G0028541,Pole,ortholog_one2one,MGP_PahariEiJ_G0024125,Pole,ortholog_one2one,Pole
ENSMUSG00000007458,MGP_CAROLIEiJ_G0028820,M6pr,ortholog_one2one,MGP_SPRETEiJ_G0029852,M6pr,ortholog_one2one,MGP_PahariEiJ_G0022575,M6pr,ortholog_one2one,M6pr
ENSMUSG00000007589,MGP_CAROLIEiJ_G0019311,Tinf2,ortholog_one2one,MGP_SPRETEiJ_G0020200,Tinf2,ortholog_one2one,MGP_PahariEiJ_G0030328,Tinf2,ortholog_one2one,Tinf2
ENSMUSG00000008129,MGP_CAROLIEiJ_G0031295,Brme1,ortholog_one2one,MGP_SPRETEiJ_G0032413,Brme1,ortholog_one2one,MGP_PahariEiJ_G0022901,Brme1,ortholog_one2one,Brme1
ENSMUSG00000008140,MGP_CAROLIEiJ_G0029661,Emc10,ortholog_one2one,MGP_SPRETEiJ_G0030759,Emc10,ortholog_one2one,MGP_PahariEiJ_G0012886,Emc10,ortholog_one2one,Emc10
ENSMUSG00000008373,MGP_CAROLIEiJ_G0029094,Prpf31,ortholog_one2one,MGP_SPRETEiJ_G0030147,Prpf31,ortholog_one2one,MGP_PahariEiJ_G0020963,Prpf31,ortholog_one2one,Prpf31
ENSMUSG00000008690,MGP_CAROLIEiJ_G0020163,Ncaph2,ortholog_one2one,MGP_SPRETEiJ_G0021060,Ncaph2,ortholog_one2one,MGP_PahariEiJ_G0020168,Ncaph2,ortholog_one2one,Ncaph2
ENSMUSG00000009076,MGP_CAROLIEiJ_G0016038,Zmat5,ortholog_one2one,MGP_SPRETEiJ_G0016880,Zmat5,ortholog_one2one,MGP_PahariEiJ_G0016853,Zmat5,ortholog_one2one,Zmat5
ENSMUSG00000009112,MGP_CAROLIEiJ_G0028808,Bcl2l13,ortholog_one2one,MGP_SPRETEiJ_G0029841,Bcl2l13,ortholog_one2one,MGP_PahariEiJ_G0022564,Bcl2l13,ortholog_one2one,Bcl2l13
ENSMUSG00000009207,MGP_CAROLIEiJ_G0023665,Lnpk,ortholog_one2one,MGP_SPRETEiJ_G0024588,Lnpk,ortholog_one2one,MGP_PahariEiJ_G0025117,Lnpk,ortholog_one2one,Lnpk
ENSMUSG00000009210,MGP_CAROLIEiJ_G0017322,,ortholog_one2one,MGP_SPRETEiJ_G0018166,,ortholog_one2one,MGP_PahariEiJ_G0018452,,ortholog_one2one,Prr29
ENSMUSG00000009549,MGP_CAROLIEiJ_G0024116,Srp14,ortholog_one2one,MGP_SPRETEiJ_G0025032,Srp14,ortholog_one2one,MGP_PahariEiJ_G0025559,Srp14,ortholog_one2one,Srp14
ENSMUSG00000009927,MGP_CAROLIEiJ_G0032116,Rps25,ortholog_one2one,MGP_SPRETEiJ_G0033253,Rps25,ortholog_one2one,MGP_PahariEiJ_G0014985,Rps25,ortholog_one2one,Rps25
ENSMUSG00000010045,MGP_CAROLIEiJ_G0032644,Tmem115,ortholog_one2one,MGP_SPRETEiJ_G0033789,Tmem115,ortholog_one2one,MGP_PahariEiJ_G0015512,Tmem115,ortholog_one2one,Tmem115
ENSMUSG00000010057,MGP_CAROLIEiJ_G0032646,Nprl2,ortholog_one2one,MGP_SPRETEiJ_G0033791,Nprl2,ortholog_one2one,MGP_PahariEiJ_G0015514,Nprl2,ortholog_one2one,Nprl2
ENSMUSG00000010911,MGP_CAROLIEiJ_G0024013,Apip,ortholog_one2one,MGP_SPRETEiJ_G0024923,Apip,ortholog_one2one,MGP_PahariEiJ_G0025449,Apip,ortholog_one2one,Apip
ENSMUSG00000011096,MGP_CAROLIEiJ_G0029678,Akt1s1,ortholog_one2one,MGP_SPRETEiJ_G0030776,Akt1s1,ortholog_one2one,MGP_PahariEiJ_G0012903,Akt1s1,ortholog_one2one,Akt1s1
ENSMUSG00000012114,MGP_CAROLIEiJ_G0020524,Med15,ortholog_one2one,MGP_SPRETEiJ_G0021419,Med15,ortholog_one2one,MGP_PahariEiJ_G0016229,Med15,ortholog_one2one,Med15
ENSMUSG00000012296,MGP_CAROLIEiJ_G0021665,Tjap1,ortholog_one2one,MGP_SPRETEiJ_G0022577,Tjap1,ortholog_one2one,,,,Tjap1
ENSMUSG00000012405,MGP_CAROLIEiJ_G0018973,Rpl15,ortholog_one2one,MGP_SPRETEiJ_G0028169,,ortholog_one2one,,,,Rpl15
ENSMUSG00000012483,MGP_CAROLIEiJ_G0028096,Rpa3,ortholog_one2one,MGP_SPRETEiJ_G0029096,Rpa3,ortholog_one2one,MGP_PahariEiJ_G0021852,Rpa3,ortholog_one2one,Rpa3
ENSMUSG00000013091,MGP_CAROLIEiJ_G0029128,Tmem190,ortholog_one2one,MGP_SPRETEiJ_G0030181,Tmem190,ortholog_one2one,MGP_PahariEiJ_G0020997,Tmem190,ortholog_one2one,Tmem190
ENSMUSG00000013158,MGP_CAROLIEiJ_G0031493,4933405L10Rik,ortholog_one2one,MGP_SPRETEiJ_G0032611,4933405L10Rik,ortholog_one2one,MGP_PahariEiJ_G0023093,4933405L10Rik,ortholog_one2one,4933405L10Rik
ENSMUSG00000013593,MGP_CAROLIEiJ_G0014859,Ndufs2,ortholog_one2one,MGP_SPRETEiJ_G0015664,Ndufs2,ortholog_one2one,MGP_PahariEiJ_G0028097,Ndufs2,ortholog_one2one,Ndufs2
ENSMUSG00000013622,MGP_CAROLIEiJ_G0027074,Atraid,ortholog_one2one,MGP_SPRETEiJ_G0028069,Atraid,ortholog_one2one,MGP_PahariEiJ_G0029307,Atraid,ortholog_one2one,Atraid
ENSMUSG00000013698,MGP_CAROLIEiJ_G0014888,Pea15a,ortholog_one2one,MGP_SPRETEiJ_G0015692,Pea15a,ortholog_one2one,MGP_PahariEiJ_G0028125,Pea15a,ortholog_one2one,Pea15a
ENSMUSG00000013701,,,,MGP_SPRETEiJ_G0019973,Timm23,ortholog_one2one,,,,Timm23
ENSMUSG00000013701,,,,MGP_SPRETEiJ_G0019973,Timm23,ortholog_one2one,,,,Timm23
ENSMUSG00000013833,MGP_CAROLIEiJ_G0015550,Med16,ortholog_one2one,MGP_SPRETEiJ_G0016368,Med16,ortholog_one2one,MGP_PahariEiJ_G0030963,Med16,ortholog_one2one,Med16
ENSMUSG00000014226,MGP_CAROLIEiJ_G0014754,Cacybp,ortholog_one2one,MGP_SPRETEiJ_G0015561,Cacybp,ortholog_one2one,MGP_PahariEiJ_G0027990,,ortholog_one2one,Cacybp
ENSMUSG00000014232,MGP_CAROLIEiJ_G0020393,Cluap1,ortholog_one2one,,,,MGP_PahariEiJ_G0016101,Cluap1,ortholog_one2one,Cluap1
ENSMUSG00000014243,MGP_CAROLIEiJ_G0016489,Zswim7,ortholog_one2one,MGP_SPRETEiJ_G0017324,Zswim7,ortholog_one2one,MGP_PahariEiJ_G0017619,Zswim7,ortholog_one2one,Zswim7
ENSMUSG00000014294,MGP_CAROLIEiJ_G0022134,Ndufa2,ortholog_one2one,MGP_SPRETEiJ_G0023046,Ndufa2,ortholog_one2one,MGP_PahariEiJ_G0018868,Ndufa2,ortholog_one2one,Ndufa2
ENSMUSG00000014633,MGP_CAROLIEiJ_G0031601,Cmc2,ortholog_one2one,MGP_SPRETEiJ_G0032719,Cmc2,ortholog_one2one,MGP_PahariEiJ_G0023199,Cmc2,ortholog_one2one,Cmc2
ENSMUSG00000014747,MGP_CAROLIEiJ_G0028564,Ankrd53,ortholog_one2one,MGP_SPRETEiJ_G0029570,Ankrd53,ortholog_one2one,MGP_PahariEiJ_G0022299,Ankrd53,ortholog_one2one,Ankrd53
ENSMUSG00000014748,MGP_CAROLIEiJ_G0028565,Tex261,ortholog_one2one,MGP_SPRETEiJ_G0029571,Tex261,ortholog_one2one,MGP_PahariEiJ_G0022300,Tex261,ortholog_one2one,Tex261
ENSMUSG00000014856,MGP_CAROLIEiJ_G0031476,Tmem208,ortholog_one2one,MGP_SPRETEiJ_G0032594,Tmem208,ortholog_one2one,MGP_PahariEiJ_G0023076,Tmem208,ortholog_one2one,Tmem208
ENSMUSG00000014873,MGP_CAROLIEiJ_G0023329,Surf2,ortholog_one2one,MGP_SPRETEiJ_G0024246,Surf2,ortholog_one2one,MGP_PahariEiJ_G0024786,Surf2,ortholog_one2one,Surf2
ENSMUSG00000015083,MGP_CAROLIEiJ_G0023279,C8g,ortholog_one2one,MGP_SPRETEiJ_G0024196,C8g,ortholog_one2one,MGP_PahariEiJ_G0024737,C8g,ortholog_one2one,C8g
ENSMUSG00000015087,MGP_CAROLIEiJ_G0023286,Rabl6,ortholog_one2one,MGP_SPRETEiJ_G0024203,Rabl6,ortholog_one2one,MGP_PahariEiJ_G0024744,Rabl6,ortholog_one2one,Rabl6
ENSMUSG00000015126,MGP_CAROLIEiJ_G0021228,,ortholog_one2one,MGP_SPRETEiJ_G0022139,,ortholog_one2one,MGP_PahariEiJ_G0023546,,ortholog_one2one,Tsr3
ENSMUSG00000015363,MGP_CAROLIEiJ_G0020150,Trabd,ortholog_one2one,MGP_SPRETEiJ_G0021047,Trabd,ortholog_one2one,MGP_PahariEiJ_G0020155,Trabd,ortholog_one2one,Trabd
ENSMUSG00000015488,MGP_CAROLIEiJ_G0023334,Cacfd1,ortholog_one2one,MGP_SPRETEiJ_G0024251,Cacfd1,ortholog_one2one,MGP_PahariEiJ_G0024791,Cacfd1,ortholog_one2one,Cacfd1
ENSMUSG00000015542,MGP_CAROLIEiJ_G0017390,Nat9,ortholog_one2one,MGP_SPRETEiJ_G0018235,Nat9,ortholog_one2one,MGP_PahariEiJ_G0018520,Nat9,ortholog_one2one,Nat9
ENSMUSG00000015672,MGP_CAROLIEiJ_G0018238,Mrpl32,ortholog_one2one,MGP_SPRETEiJ_G0019096,Mrpl32,ortholog_one2one,MGP_PahariEiJ_G0019288,Mrpl32,ortholog_one2one,Mrpl32
ENSMUSG00000015711,MGP_CAROLIEiJ_G0025338,Prune1,ortholog_one2one,MGP_SPRETEiJ_G0026282,Prune1,ortholog_one2one,MGP_PahariEiJ_G0026782,Prune1,ortholog_one2one,Prune1
ENSMUSG00000015748,MGP_CAROLIEiJ_G0025354,Prpf3,ortholog_one2one,MGP_SPRETEiJ_G0026298,Prpf3,ortholog_one2one,MGP_PahariEiJ_G0026798,Prpf3,ortholog_one2one,Prpf3
ENSMUSG00000015776,MGP_CAROLIEiJ_G0023326,Med22,ortholog_one2one,MGP_SPRETEiJ_G0024243,Med22,ortholog_one2one,MGP_PahariEiJ_G0024783,Med22,ortholog_one2one,Med22
