Gene stable ID,Turkey gene stable ID,Turkey gene name,Turkey homology type,Duck gene stable ID,Duck gene name,Duck homology type,Golden eagle gene stable ID,Golden eagle gene name,Golden eagle homology type,Japanese quail gene stable ID,Japanese quail gene name,Japanese quail homology type,Collared flycatcher gene stable ID,Collared flycatcher gene name,Collared flycatcher homology type,Gene name
ENSGALG00010000644,ENSMGAG00000015430,SPMIP7,ortholog_one2one,ENSAPLG00000021349,SPMIP7,ortholog_one2one,,,,ENSCJPG00005014893,SPMIP7,ortholog_one2one,,,,SPMIP7
ENSGALG00010000783,ENSMGAG00000006012,DAP,ortholog_one2one,ENSAPLG00000021887,DAP,ortholog_one2one,ENSACCG00020013235,DAP,ortholog_one2one,ENSCJPG00005014944,DAP,ortholog_one2one,ENSFALG00000026204,DAP,ortholog_one2one,DAP
ENSGALG00010000785,ENSMGAG00000014938,CLN5,ortholog_one2one,ENSAPLG00000026549,CLN5,ortholog_one2one,ENSACCG00020014599,CLN5,ortholog_one2one,ENSCJPG00005019557,CLN5,ortholog_one2one,ENSFALG00000000862,CLN5,ortholog_one2one,CLN5
ENSGALG00010000823,ENSMGAG00000014949,,ortholog_one2one,ENSAPLG00000004063,PIBF1,ortholog_one2one,ENSACCG00020014810,PIBF1,ortholog_one2one,ENSCJPG00005019585,PIBF1,ortholog_one2one,ENSFALG00000000977,PIBF1,ortholog_one2one,PIBF1
ENSGALG00010000859,ENSMGAG00000014950,BORA,ortholog_one2one,ENSAPLG00000012807,BORA,ortholog_one2one,ENSACCG00020014850,,ortholog_one2one,ENSCJPG00005019587,BORA,ortholog_one2one,ENSFALG00000001031,BORA,ortholog_one2one,BORA
ENSGALG00010000864,ENSMGAG00000020870,,ortholog_one2one,ENSAPLG00000021793,MZT1,ortholog_one2one,ENSACCG00020014862,MZT1,ortholog_one2one,ENSCJPG00005019588,MZT1,ortholog_one2one,,,,MZT1
ENSGALG00010000864,ENSMGAG00000020870,,ortholog_one2one,ENSAPLG00000021793,MZT1,ortholog_one2one,ENSACCG00020014862,MZT1,ortholog_one2one,ENSCJPG00005019588,MZT1,ortholog_one2one,,,,MZT1
ENSGALG00010001066,ENSMGAG00000010750,SLC33A1,ortholog_one2one,ENSAPLG00000018174,SLC33A1,ortholog_one2one,ENSACCG00020001098,SLC33A1,ortholog_one2one,ENSCJPG00005018128,SLC33A1,ortholog_one2one,ENSFALG00000004880,SLC33A1,ortholog_one2one,SLC33A1
ENSGALG00010001119,ENSMGAG00000010983,COMMD2,ortholog_one2one,ENSAPLG00000029213,COMMD2,ortholog_one2one,ENSACCG00020003748,COMMD2,ortholog_one2one,ENSCJPG00005018748,COMMD2,ortholog_one2one,ENSFALG00000022863,COMMD2,ortholog_one2one,COMMD2
ENSGALG00010001128,ENSMGAG00000010926,ERICH6,ortholog_one2one,ENSAPLG00000010497,ERICH6,ortholog_one2one,,,,ENSCJPG00005018739,ERICH6,ortholog_one2one,ENSFALG00000005195,,ortholog_one2one,ERICH6
ENSGALG00010001133,ENSMGAG00000010935,EIF2A,ortholog_one2one,ENSAPLG00000010076,EIF2A,ortholog_one2one,ENSACCG00020003931,EIF2A,ortholog_one2one,ENSCJPG00005018743,EIF2A,ortholog_one2one,ENSFALG00000005241,EIF2A,ortholog_one2one,EIF2A
ENSGALG00010001136,,,,ENSAPLG00000018299,SERP1,ortholog_one2one,ENSACCG00020003806,SERP1,ortholog_one2one,ENSCJPG00005018744,,ortholog_one2one,,,,SERP1
ENSGALG00010001157,ENSMGAG00000008261,TIMM21,ortholog_one2one,ENSAPLG00000018938,,ortholog_one2one,ENSACCG00020012965,TIMM21,ortholog_one2one,ENSCJPG00005007370,TIMM21,ortholog_one2one,ENSFALG00000028573,TIMM21,ortholog_one2one,TIMM21
ENSGALG00010001165,ENSMGAG00000018399,,ortholog_one2one,,,,ENSACCG00020016393,,ortholog_one2one,ENSCJPG00005006221,,ortholog_one2one,,,,
ENSGALG00010001188,ENSMGAG00000008706,,ortholog_one2one,ENSAPLG00000010098,PSMG2,ortholog_one2one,ENSACCG00020011645,PSMG2,ortholog_one2one,ENSCJPG00005007763,PSMG2,ortholog_one2one,ENSFALG00000006463,PSMG2,ortholog_one2one,PSMG2
ENSGALG00010001191,,,,ENSAPLG00000028667,TOMM5,ortholog_one2one,,,,ENSCJPG00005006206,TOMM5,ortholog_one2one,,,,TOMM5
ENSGALG00010001194,ENSMGAG00000008259,POT1,ortholog_one2one,ENSAPLG00000016011,POT1,ortholog_one2one,ENSACCG00020011777,POT1,ortholog_one2one,ENSCJPG00005012128,POT1,ortholog_one2one,ENSFALG00000009838,POT1,ortholog_one2one,POT1
ENSGALG00010001228,ENSMGAG00000009237,THAP5,ortholog_one2one,ENSAPLG00000008047,THAP5,ortholog_one2one,ENSACCG00020015398,THAP5,ortholog_one2one,ENSCJPG00005013385,THAP5,ortholog_one2one,ENSFALG00000009293,THAP5,ortholog_one2one,THAP5
ENSGALG00010001249,ENSMGAG00000010408,PDCD10,ortholog_one2one,ENSAPLG00000013679,PDCD10,ortholog_one2one,ENSACCG00020002234,PDCD10,ortholog_one2one,ENSCJPG00005017955,PDCD10,ortholog_one2one,ENSFALG00000024382,PDCD10,ortholog_one2one,PDCD10
ENSGALG00010001301,ENSMGAG00000010733,GMPS,ortholog_one2one,ENSAPLG00000011347,GMPS,ortholog_one2one,ENSACCG00020001127,GMPS,ortholog_one2one,ENSCJPG00005018125,GMPS,ortholog_one2one,ENSFALG00000004855,GMPS,ortholog_one2one,GMPS
ENSGALG00010001418,ENSMGAG00000008595,RNMT,ortholog_one2one,ENSAPLG00000006690,RNMT,ortholog_one2one,ENSACCG00020012055,RNMT,ortholog_one2one,ENSCJPG00005007597,RNMT,ortholog_one2one,ENSFALG00000006486,RNMT,ortholog_one2one,RNMT
ENSGALG00010001457,ENSMGAG00000009700,,ortholog_one2one,ENSAPLG00000014505,NDC80,ortholog_one2one,ENSACCG00020007587,NDC80,ortholog_one2one,ENSCJPG00005009037,NDC80,ortholog_one2one,,,,NDC80
ENSGALG00010001457,ENSMGAG00000009700,,ortholog_one2one,ENSAPLG00000014505,NDC80,ortholog_one2one,ENSACCG00020007587,NDC80,ortholog_one2one,ENSCJPG00005009037,NDC80,ortholog_one2one,,,,NDC80
ENSGALG00010001458,ENSMGAG00000020612,,ortholog_one2one,ENSAPLG00000014482,JAZF1,ortholog_one2one,ENSACCG00020013461,JAZF1,ortholog_one2one,ENSCJPG00005012550,JAZF1,ortholog_one2one,ENSFALG00000026296,JAZF1,ortholog_one2one,JAZF1
ENSGALG00010001460,ENSMGAG00000010496,MALSU1,ortholog_one2one,ENSAPLG00000013280,MALSU1,ortholog_one2one,,,,ENSCJPG00005012072,MALSU1,ortholog_one2one,ENSFALG00000027606,MALSU1,ortholog_one2one,MALSU1
ENSGALG00010001475,ENSMGAG00000019869,BMT2,ortholog_one2one,ENSAPLG00000012673,BMT2,ortholog_one2one,ENSACCG00020013620,BMT2,ortholog_one2one,ENSCJPG00005013368,BMT2,ortholog_one2one,ENSFALG00000023523,BMT2,ortholog_one2one,BMT2
ENSGALG00010001479,ENSMGAG00000009090,TMEM168,ortholog_one2one,ENSAPLG00000018062,TMEM168,ortholog_one2one,ENSACCG00020013650,TMEM168,ortholog_one2one,ENSCJPG00005013370,TMEM168,ortholog_one2one,ENSFALG00000027706,TMEM168,ortholog_one2one,TMEM168
ENSGALG00010001505,ENSMGAG00000010707,SSR3,ortholog_one2one,ENSAPLG00000010825,SSR3,ortholog_one2one,ENSACCG00020001198,SSR3,ortholog_one2one,ENSCJPG00005018121,SSR3,ortholog_one2one,ENSFALG00000004786,SSR3,ortholog_one2one,SSR3
ENSGALG00010001507,ENSMGAG00000009739,,ortholog_one2one,ENSAPLG00000015046,METTL4,ortholog_one2one,ENSACCG00020007504,METTL4,ortholog_one2one,ENSCJPG00005009246,METTL4,ortholog_one2one,ENSFALG00000006257,METTL4,ortholog_one2one,METTL4
ENSGALG00010001542,ENSMGAG00000013830,MTO1,ortholog_one2one,ENSAPLG00000009903,MTO1,ortholog_one2one,ENSACCG00020006568,MTO1,ortholog_one2one,ENSCJPG00005007016,MTO1,ortholog_one2one,ENSFALG00000007061,MTO1,ortholog_one2one,MTO1
ENSGALG00010001620,ENSMGAG00000014697,,ortholog_one2one,ENSAPLG00000013235,MOSPD2,ortholog_one2one,ENSACCG00020009643,MOSPD2,ortholog_one2one,ENSCJPG00005018164,MOSPD2,ortholog_one2one,ENSFALG00000004432,MOSPD2,ortholog_one2one,MOSPD2
ENSGALG00010001632,ENSMGAG00000014698,,ortholog_one2one,ENSAPLG00000013141,FANCB,ortholog_one2one,ENSACCG00020009620,FANCB,ortholog_one2one,ENSCJPG00005018167,FANCB,ortholog_one2one,ENSFALG00000004439,FANCB,ortholog_one2one,FANCB
ENSGALG00010001635,,,,ENSAPLG00000025254,TIMM10B,ortholog_one2one,ENSACCG00020010833,,ortholog_one2one,ENSCJPG00005005386,TIMM10B,ortholog_one2one,ENSFALG00000028777,,ortholog_one2one,TIMM10B
ENSGALG00010001654,,,,ENSAPLG00000010997,RPS11,ortholog_one2one,ENSACCG00020010680,RPS11,ortholog_one2one,ENSCJPG00005005488,RPS11,ortholog_one2one,,,,RPS11
ENSGALG00010001697,ENSMGAG00000021369,,ortholog_one2one,ENSAPLG00000009969,TAF10,ortholog_one2one,ENSACCG00020010904,TAF10,ortholog_one2one,,,,ENSFALG00000027096,TAF10,ortholog_one2one,TAF10
ENSGALG00010001698,ENSMGAG00000011013,RPL15,ortholog_one2one,ENSAPLG00000005626,RPL15,ortholog_one2one,ENSACCG00020012212,RPL15,ortholog_one2one,ENSCJPG00005012602,RPL15,ortholog_one2one,ENSFALG00000028769,RPL15,ortholog_one2one,RPL15
ENSGALG00010001701,ENSMGAG00000008411,,ortholog_one2one,ENSAPLG00000019976,NDUFA5,ortholog_one2one,ENSACCG00020012194,NDUFA5,ortholog_one2one,ENSCJPG00005012109,NDUFA5,ortholog_one2one,ENSFALG00000009900,NDUFA5,ortholog_one2one,NDUFA5
ENSGALG00010001731,ENSMGAG00000021824,,ortholog_one2one,,,,,,,,,,,,,
ENSGALG00010001738,ENSMGAG00000014727,PUDP,ortholog_one2one,ENSAPLG00000009897,PUDP,ortholog_one2one,ENSACCG00020008849,PUDP,ortholog_one2one,ENSCJPG00005018231,PUDP,ortholog_one2one,ENSFALG00000004576,PUDP,ortholog_one2one,PUDP
ENSGALG00010001746,,,,,,,,,,ENSCJPG00005000518,,ortholog_one2one,,,,
ENSGALG00010001759,ENSMGAG00000011580,,ortholog_one2one,ENSAPLG00000018529,C10orf88,ortholog_one2one,ENSACCG00020006628,C10orf88,ortholog_one2one,ENSCJPG00005020167,C10orf88,ortholog_one2one,ENSFALG00000028462,C10orf88,ortholog_one2one,C10orf88
ENSGALG00010001829,ENSMGAG00000017980,,ortholog_one2one,ENSAPLG00000005236,,ortholog_one2one,ENSACCG00020009858,,ortholog_one2one,ENSCJPG00005006475,,ortholog_one2one,ENSFALG00000004761,,ortholog_one2one,POLD3
ENSGALG00010001849,ENSMGAG00000009155,,ortholog_one2one,ENSAPLG00000008082,NDUFV2,ortholog_one2one,ENSACCG00020010393,NDUFV2,ortholog_one2one,ENSCJPG00005008319,NDUFV2,ortholog_one2one,ENSFALG00000006374,NDUFV2,ortholog_one2one,NDUFV2
ENSGALG00010001862,ENSMGAG00000015296,,ortholog_one2one,ENSAPLG00000028363,,ortholog_one2one,ENSACCG00020009800,,ortholog_one2one,ENSCJPG00005006465,XRRA1,ortholog_one2one,,,,XRRA1
ENSGALG00010001912,ENSMGAG00000009541,TMEM117,ortholog_one2one,ENSAPLG00000011678,TMEM117,ortholog_one2one,ENSACCG00020015746,TMEM117,ortholog_one2one,ENSCJPG00005013413,TMEM117,ortholog_one2one,ENSFALG00000010190,TMEM117,ortholog_one2one,TMEM117
ENSGALG00010001915,ENSMGAG00000011686,,ortholog_one2one,ENSAPLG00000015137,EEF1AKMT2,ortholog_one2one,ENSACCG00020006356,EEF1AKMT2,ortholog_one2one,,,,ENSFALG00000024735,EEF1AKMT2,ortholog_one2one,EEF1AKMT2
ENSGALG00010001915,ENSMGAG00000011686,,ortholog_one2one,ENSAPLG00000015137,EEF1AKMT2,ortholog_one2one,ENSACCG00020006356,EEF1AKMT2,ortholog_one2one,,,,ENSFALG00000024735,EEF1AKMT2,ortholog_one2one,EEF1AKMT2
ENSGALG00010001941,ENSMGAG00000016678,IL6,ortholog_one2one,ENSAPLG00000011754,,ortholog_one2one,ENSACCG00020009008,IL6,ortholog_one2one,ENSCJPG00005012063,,ortholog_one2one,ENSFALG00000025945,,ortholog_one2one,IL6
ENSGALG00010001991,,,,ENSAPLG00000028735,TOMM7,ortholog_one2one,ENSACCG00020008997,TOMM7,ortholog_one2one,ENSCJPG00005012064,TOMM7,ortholog_one2one,,,,TOMM7
ENSGALG00010002039,ENSMGAG00000019319,AAMDC,ortholog_one2one,ENSAPLG00000006327,AAMDC,ortholog_one2one,ENSACCG00020009724,AAMDC,ortholog_one2one,ENSCJPG00005004505,AAMDC,ortholog_one2one,ENSFALG00000027164,AAMDC,ortholog_one2one,AAMDC
ENSGALG00010002177,ENSMGAG00000013928,FBXO9,ortholog_one2one,ENSAPLG00000004171,FBXO9,ortholog_one2one,ENSACCG00020008910,FBXO9,ortholog_one2one,ENSCJPG00005007854,FBXO9,ortholog_one2one,ENSFALG00000001856,FBXO9,ortholog_one2one,FBXO9
ENSGALG00010002350,ENSMGAG00000013890,,ortholog_one2one,ENSAPLG00000003662,BEND6,ortholog_one2one,ENSACCG00020016641,BEND6,ortholog_one2one,ENSCJPG00005007572,BEND6,ortholog_one2one,ENSFALG00000001729,BEND6,ortholog_one2one,BEND6
ENSGALG00010002355,ENSMGAG00000021843,,ortholog_one2one,ENSAPLG00000030396,UFM1,ortholog_one2one,ENSACCG00020013693,UFM1,ortholog_one2one,ENSCJPG00005019884,UFM1,ortholog_one2one,ENSFALG00000026029,,ortholog_one2one,UFM1
ENSGALG00010002372,ENSMGAG00000014028,SMC6,ortholog_one2one,ENSAPLG00000008910,SMC6,ortholog_one2one,ENSACCG00020011179,SMC6,ortholog_one2one,ENSCJPG00005011116,SMC6,ortholog_one2one,ENSFALG00000001824,SMC6,ortholog_one2one,SMC6
ENSGALG00010002387,ENSMGAG00000011398,,ortholog_one2one,ENSAPLG00000009939,MCMBP,ortholog_one2one,ENSACCG00020007244,MCMBP,ortholog_one2one,ENSCJPG00005020146,MCMBP,ortholog_one2one,ENSFALG00000002162,MCMBP,ortholog_one2one,MCMBP
ENSGALG00010002398,,,,ENSAPLG00000027529,,ortholog_one2one,ENSACCG00020010268,,ortholog_one2one,ENSCJPG00005005300,,ortholog_one2one,ENSFALG00000027906,,ortholog_one2one,
ENSGALG00010002408,ENSMGAG00000014701,OFD1,ortholog_one2one,ENSAPLG00000012863,OFD1,ortholog_one2one,ENSACCG00020009503,OFD1,ortholog_one2one,ENSCJPG00005018197,OFD1,ortholog_one2one,ENSFALG00000004458,OFD1,ortholog_one2one,OFD1
ENSGALG00010002410,ENSMGAG00000014900,,ortholog_one2one,ENSAPLG00000013169,RNF121,ortholog_one2one,ENSACCG00020010256,RNF121,ortholog_one2one,ENSCJPG00005005304,RNF121,ortholog_one2one,ENSFALG00000006307,,ortholog_one2one,RNF175
ENSGALG00010002411,ENSMGAG00000014463,,ortholog_one2one,,,,ENSACCG00020010242,XNDC1N,ortholog_one2one,,,,ENSFALG00000006305,,ortholog_one2one,
ENSGALG00010002413,ENSMGAG00000013974,,ortholog_one2one,ENSAPLG00000016100,EIPR1,ortholog_one2one,ENSACCG00020004841,EIPR1,ortholog_one2one,ENSCJPG00005008562,EIPR1,ortholog_one2one,ENSFALG00000002059,EIPR1,ortholog_one2one,TSSC1
ENSGALG00010002422,ENSMGAG00000013975,,ortholog_one2one,ENSAPLG00000000576,TRAPPC12,ortholog_one2one,ENSACCG00020004825,TRAPPC12,ortholog_one2one,ENSCJPG00005008564,TRAPPC12,ortholog_one2one,ENSFALG00000002062,TRAPPC12,ortholog_one2one,TRAPPC12
ENSGALG00010002440,ENSMGAG00000018849,,ortholog_one2one,,,,,,,ENSCJPG00005005345,LRRC51,ortholog_one2one,,,,LRRC51
ENSGALG00010002441,ENSMGAG00000007149,,ortholog_one2one,ENSAPLG00000013128,USO1,ortholog_one2one,ENSACCG00020000825,USO1,ortholog_one2one,ENSCJPG00005009974,USO1,ortholog_one2one,ENSFALG00000008170,,ortholog_one2one,USO1
ENSGALG00010002445,,,,ENSAPLG00000012708,EDRF1,ortholog_one2one,ENSACCG00020006265,EDRF1,ortholog_one2one,ENSCJPG00005001118,EDRF1,ortholog_one2one,ENSFALG00000001018,EDRF1,ortholog_one2one,EDRF1
ENSGALG00010002445,,,,ENSAPLG00000012708,EDRF1,ortholog_one2one,ENSACCG00020006265,EDRF1,ortholog_one2one,ENSCJPG00005001118,EDRF1,ortholog_one2one,ENSFALG00000001018,EDRF1,ortholog_one2one,EDRF1
ENSGALG00010002460,ENSMGAG00000021381,,ortholog_one2one,,,,ENSACCG00020010208,LAMTOR1,ortholog_one2one,,,,ENSFALG00000025763,LAMTOR1,ortholog_one2one,LAMTOR1
ENSGALG00010002464,ENSMGAG00000011100,NGLY1,ortholog_one2one,ENSAPLG00000007816,NGLY1,ortholog_one2one,ENSACCG00020011896,NGLY1,ortholog_one2one,ENSCJPG00005012806,NGLY1,ortholog_one2one,ENSFALG00000009187,NGLY1,ortholog_one2one,NGLY1
ENSGALG00010002466,ENSMGAG00000011725,UROS,ortholog_one2one,ENSAPLG00000012701,UROS,ortholog_one2one,ENSACCG00020006244,UROS,ortholog_one2one,ENSCJPG00005001169,UROS,ortholog_one2one,ENSFALG00000001024,UROS,ortholog_one2one,UROS
ENSGALG00010002478,ENSMGAG00000015310,,ortholog_one2one,ENSAPLG00000006631,PPME1,ortholog_one2one,ENSACCG00020009726,PPME1,ortholog_one2one,ENSCJPG00005006442,PPME1,ortholog_one2one,ENSFALG00000023555,PPME1,ortholog_one2one,PPME1
ENSGALG00010002487,,,,ENSAPLG00000012566,BCCIP,ortholog_one2one,ENSACCG00020006208,BCCIP,ortholog_one2one,ENSCJPG00005001184,BCCIP,ortholog_one2one,ENSFALG00000001029,BCCIP,ortholog_one2one,BCCIP
ENSGALG00010002507,ENSMGAG00000015306,,ortholog_one2one,ENSAPLG00000007182,C2CD3,ortholog_one2one,ENSACCG00020009627,C2CD3,ortholog_one2one,ENSCJPG00005006424,C2CD3,ortholog_one2one,ENSFALG00000004828,C2CD3,ortholog_one2one,C2CD3
ENSGALG00010002511,ENSMGAG00000015035,,ortholog_one2one,ENSAPLG00000004957,VPS36,ortholog_one2one,ENSACCG00020013166,VPS36,ortholog_one2one,ENSCJPG00005019816,VPS36,ortholog_one2one,ENSFALG00000008560,,ortholog_one2one,VPS36
ENSGALG00010002546,ENSMGAG00000014614,ATP6AP2,ortholog_one2one,ENSAPLG00000015929,ATP6AP2,ortholog_one2one,ENSACCG00020001686,ATP6AP2,ortholog_one2one,ENSCJPG00005016734,ATP6AP2,ortholog_one2one,ENSFALG00000001550,ATP6AP2,ortholog_one2one,ATP6AP2
ENSGALG00010002565,,,,ENSAPLG00000012544,,ortholog_one2one,,,,,,,ENSFALG00000005265,,ortholog_one2one,MRPS18C
ENSGALG00010002567,ENSMGAG00000015301,COA4,ortholog_one2one,,,,,,,ENSCJPG00005006416,COA4,ortholog_one2one,,,,COA4
ENSGALG00010002569,ENSMGAG00000014752,,ortholog_one2one,ENSAPLG00000005592,GTPBP6,ortholog_one2one,ENSACCG00020008311,GTPBP6,ortholog_one2one,ENSCJPG00005018266,GTPBP6,ortholog_one2one,ENSFALG00000026232,GTPBP6,ortholog_one2one,GTPBP6
ENSGALG00010002577,ENSMGAG00000015300,MRPL48,ortholog_one2one,ENSAPLG00000008046,MRPL48,ortholog_one2one,ENSACCG00020009413,MRPL48,ortholog_one2one,ENSCJPG00005006415,MRPL48,ortholog_one2one,ENSFALG00000008015,MRPL48,ortholog_one2one,MRPL48
ENSGALG00010002608,ENSMGAG00000020791,,ortholog_one2one,ENSAPLG00000002054,RPP38,ortholog_one2one,ENSACCG00020004061,,ortholog_one2one,ENSCJPG00005005919,RPP38,ortholog_one2one,ENSFALG00000023266,RPP38,ortholog_one2one,RPP38
ENSGALG00010002649,ENSMGAG00000013599,UFL1,ortholog_one2one,ENSAPLG00000005301,UFL1,ortholog_one2one,ENSACCG00020007959,UFL1,ortholog_one2one,ENSCJPG00005000355,UFL1,ortholog_one2one,ENSFALG00000009660,UFL1,ortholog_one2one,UFL1
ENSGALG00010002673,ENSMGAG00000019027,,ortholog_one2one,ENSAPLG00000030742,SLC66A3,ortholog_one2one,ENSACCG00020011809,SLC66A3,ortholog_one2one,ENSCJPG00005011053,SLC66A3,ortholog_one2one,ENSFALG00000024817,SLC66A3,ortholog_one2one,SLC66A3
ENSGALG00010002679,ENSMGAG00000008227,,ortholog_one2one,ENSAPLG00000014174,OLAH,ortholog_one2one,,,,ENSCJPG00005005927,OLAH,ortholog_one2one,ENSFALG00000007661,OLAH,ortholog_one2one,OLAH
ENSGALG00010002716,ENSMGAG00000015049,,ortholog_one2one,ENSAPLG00000016861,NHLRC3,ortholog_one2one,ENSACCG00020013128,NHLRC3,ortholog_one2one,ENSCJPG00005019875,NHLRC3,ortholog_one2one,ENSFALG00000026440,NHLRC3,ortholog_one2one,NHLRC3
ENSGALG00010002742,ENSMGAG00000015048,,ortholog_one2one,ENSAPLG00000003606,PROSER1,ortholog_one2one,ENSACCG00020013159,PROSER1,ortholog_one2one,ENSCJPG00005019876,PROSER1,ortholog_one2one,ENSFALG00000008138,PROSER1,ortholog_one2one,PROSER1
ENSGALG00010002787,ENSMGAG00000006895,,ortholog_one2one,ENSAPLG00000003165,CEP44,ortholog_one2one,ENSACCG00020010838,CEP44,ortholog_one2one,ENSCJPG00005009932,CEP44,ortholog_one2one,ENSFALG00000011499,CEP44,ortholog_one2one,CEP44
ENSGALG00010002855,ENSMGAG00000000633,,ortholog_one2one,,,,ENSACCG00020014111,RACK1,ortholog_one2one,ENSCJPG00005015748,RACK1,ortholog_one2one,ENSFALG00000029056,,ortholog_one2one,RACK1
ENSGALG00010002855,ENSMGAG00000000633,,ortholog_one2one,,,,ENSACCG00020014111,RACK1,ortholog_one2one,ENSCJPG00005015748,RACK1,ortholog_one2one,ENSFALG00000029056,,ortholog_one2one,RACK1
ENSGALG00010002855,ENSMGAG00000000633,,ortholog_one2one,,,,ENSACCG00020014111,RACK1,ortholog_one2one,ENSCJPG00005015748,RACK1,ortholog_one2one,ENSFALG00000029056,,ortholog_one2one,RACK1
ENSGALG00010002864,ENSMGAG00000015025,RNASEH2B,ortholog_one2one,ENSAPLG00000008955,RNASEH2B,ortholog_one2one,ENSACCG00020012697,RNASEH2B,ortholog_one2one,ENSCJPG00005019803,RNASEH2B,ortholog_one2one,ENSFALG00000008435,RNASEH2B,ortholog_one2one,RNASEH2B
ENSGALG00010002930,ENSMGAG00000009979,,ortholog_one2one,ENSAPLG00000005807,,ortholog_one2one,ENSACCG00020010372,,ortholog_one2one,ENSCJPG00005011768,,ortholog_one2one,ENSFALG00000010097,,ortholog_one2one,
ENSGALG00010002952,ENSMGAG00000014024,NBAS,ortholog_one2one,ENSAPLG00000012361,NBAS,ortholog_one2one,ENSACCG00020011318,NBAS,ortholog_one2one,ENSCJPG00005011080,NBAS,ortholog_one2one,ENSFALG00000008699,NBAS,ortholog_one2one,NBAS
ENSGALG00010002956,ENSMGAG00000006874,,ortholog_one2one,ENSAPLG00000003271,SCRG1,ortholog_one2one,ENSACCG00020010883,SCRG1,ortholog_one2one,ENSCJPG00005009923,SCRG1,ortholog_one2one,ENSFALG00000011488,SCRG1,ortholog_one2one,SCRG1
