Gene stable ID,Sheep gene stable ID,Sheep gene name,Sheep homology type,Gene name
ENSBTAG00000010613,ENSOARG00020002629,NUP188,ortholog_one2one,NUP188
ENSBTAG00000010617,ENSOARG00020008445,KRTCAP2,ortholog_one2one,KRTCAP2
ENSBTAG00000010623,ENSOARG00020005675,ANKRD53,ortholog_one2one,ANKRD53
ENSBTAG00000010624,ENSOARG00020001160,DCTN2,ortholog_one2one,DCTN2
ENSBTAG00000010668,ENSOARG00020026497,GEMIN7,ortholog_one2one,GEMIN7
ENSBTAG00000010715,ENSOARG00020018288,MRPL37,ortholog_one2one,MRPL37
ENSBTAG00000010729,ENSOARG00020005100,KRI1,ortholog_one2one,KRI1
ENSBTAG00000010734,ENSOARG00020009469,NOP16,ortholog_one2one,NOP16
ENSBTAG00000010774,ENSOARG00020010307,NUSAP1,ortholog_one2one,NUSAP1
ENSBTAG00000010809,ENSOARG00020005199,HID1,ortholog_one2one,HID1
ENSBTAG00000010832,ENSOARG00020025061,JAGN1,ortholog_one2one,JAGN1
ENSBTAG00000010890,ENSOARG00020017830,PRMT5,ortholog_one2one,PRMT5
ENSBTAG00000010939,ENSOARG00020023099,CXorf58,ortholog_one2one,CXHXorf58
ENSBTAG00000010949,ENSOARG00020004351,PROSER1,ortholog_one2one,PROSER1
ENSBTAG00000010951,ENSOARG00020004322,NHLRC3,ortholog_one2one,NHLRC3
ENSBTAG00000010961,ENSOARG00020002487,LYRM7,ortholog_one2one,LYRM7
ENSBTAG00000011042,ENSOARG00020023839,TMEM129,ortholog_one2one,TMEM129
ENSBTAG00000011079,ENSOARG00020019088,,ortholog_one2one,C18H19orf48
ENSBTAG00000011134,ENSOARG00020012823,USE1,ortholog_one2one,USE1
ENSBTAG00000011176,ENSOARG00020009150,TPRKB,ortholog_one2one,TPRKB
ENSBTAG00000011212,ENSOARG00020023200,EIF3K,ortholog_one2one,EIF3K
ENSBTAG00000011263,ENSOARG00020003878,EIF6,ortholog_one2one,EIF6
ENSBTAG00000011317,ENSOARG00020008954,,ortholog_one2one,GOLGA2
ENSBTAG00000011340,ENSOARG00020020998,NSL1,ortholog_one2one,NSL1
ENSBTAG00000011389,ENSOARG00020003723,TMEM104,ortholog_one2one,TMEM104
ENSBTAG00000011409,ENSOARG00020005881,CD72,ortholog_one2one,CD72
ENSBTAG00000011413,ENSOARG00020005785,CCDC107,ortholog_one2one,CCDC107
ENSBTAG00000011431,ENSOARG00020005237,GBA2,ortholog_one2one,GBA2
ENSBTAG00000011433,ENSOARG00020005181,RGP1,ortholog_one2one,RGP1
ENSBTAG00000011451,ENSOARG00020009081,CCDC175,ortholog_one2one,RTN1
ENSBTAG00000011466,ENSOARG00020004473,NAXD,ortholog_one2one,NAXD
