Gene stable ID,Domestic yak gene stable ID,Domestic yak gene name,Domestic yak homology type,Goat gene stable ID,Goat gene name,Goat homology type,Sheep gene stable ID,Sheep gene name,Sheep homology type,Yarkand deer gene stable ID,Yarkand deer gene name,Yarkand deer homology type,Gene name
ENSBTAG00000001168,ENSBGRG00000015011,BRAP,ortholog_one2one,ENSCHIG00000016757,BRAP,ortholog_one2one,ENSOARG00020018063,BRAP,ortholog_one2one,ENSCHYG00000002653,BRAP,ortholog_one2one,BRAP
ENSBTAG00000001174,,,,,,,ENSOARG00020025448,MRPL15,ortholog_one2one,ENSCHYG00000023624,MRPL15,ortholog_one2one,MRPL15
ENSBTAG00000001174,,,,,,,ENSOARG00020025448,MRPL15,ortholog_one2one,ENSCHYG00000023624,MRPL15,ortholog_one2one,MRPL15
ENSBTAG00000001199,ENSBGRG00000020608,,ortholog_one2one,ENSCHIG00000017638,DAP3,ortholog_one2one,ENSOARG00020012723,DAP3,ortholog_one2one,,,,DAP3
ENSBTAG00000001199,ENSBGRG00000020608,,ortholog_one2one,ENSCHIG00000017638,DAP3,ortholog_one2one,ENSOARG00020012723,DAP3,ortholog_one2one,,,,DAP3
ENSBTAG00000001204,,,,ENSCHIG00000013597,JCAD,ortholog_one2one,ENSOARG00020020123,JCAD,ortholog_one2one,ENSCHYG00000014634,JCAD,ortholog_one2one,JCAD
ENSBTAG00000001314,ENSBGRG00000006656,TRMT6,ortholog_one2one,ENSCHIG00000010338,TRMT6,ortholog_one2one,ENSOARG00020003220,TRMT6,ortholog_one2one,ENSCHYG00000022841,TRMT6,ortholog_one2one,TRMT6
ENSBTAG00000001320,ENSBGRG00000013110,VPS16,ortholog_one2one,ENSCHIG00000011213,VPS16,ortholog_one2one,ENSOARG00020006312,VPS16,ortholog_one2one,ENSCHYG00000014323,VPS16,ortholog_one2one,VPS16
ENSBTAG00000001346,ENSBGRG00000003725,STRA8,ortholog_one2one,ENSCHIG00000016064,STRA8,ortholog_one2one,ENSOARG00020001429,STRA8,ortholog_one2one,ENSCHYG00000024771,STRA8,ortholog_one2one,STRA8
ENSBTAG00000001352,ENSBGRG00000025355,ENTR1,ortholog_one2one,ENSCHIG00000018825,ENTR1,ortholog_one2one,ENSOARG00020002831,ENTR1,ortholog_one2one,ENSCHYG00000007198,ENTR1,ortholog_one2one,ENTR1
ENSBTAG00000001419,ENSBGRG00000002458,MRPL4,ortholog_one2one,ENSCHIG00000000516,MRPL4,ortholog_one2one,ENSOARG00020003926,MRPL4,ortholog_one2one,ENSCHYG00000001481,MRPL4,ortholog_one2one,MRPL4
ENSBTAG00000001504,ENSBGRG00000014192,NOP14,ortholog_one2one,ENSCHIG00000026702,NOP14,ortholog_one2one,ENSOARG00020021463,NOP14,ortholog_one2one,ENSCHYG00000024534,NOP14,ortholog_one2one,NOP14
ENSBTAG00000001520,ENSBGRG00000006610,MRPL24,ortholog_one2one,ENSCHIG00000015041,MRPL24,ortholog_one2one,ENSOARG00020026120,MRPL24,ortholog_one2one,ENSCHYG00000021869,MRPL24,ortholog_one2one,MRPL24
ENSBTAG00000001522,ENSBGRG00000005841,MTERF3,ortholog_one2one,ENSCHIG00000009830,MTERF3,ortholog_one2one,ENSOARG00020003585,MTERF3,ortholog_one2one,ENSCHYG00000006209,MTERF3,ortholog_one2one,MTERF3
ENSBTAG00000001594,ENSBGRG00000004664,ARL6IP4,ortholog_one2one,ENSCHIG00000014369,ARL6IP4,ortholog_one2one,ENSOARG00020007838,ARL6IP4,ortholog_one2one,,,,ARL6IP4
ENSBTAG00000001632,ENSBGRG00000005690,NBR1,ortholog_one2one,ENSCHIG00000023358,NBR1,ortholog_one2one,ENSOARG00020020810,NBR1,ortholog_one2one,ENSCHYG00000014383,NBR1,ortholog_one2one,NBR1
ENSBTAG00000001665,ENSBGRG00000008628,COG8,ortholog_one2one,ENSCHIG00000022033,COG8,ortholog_one2one,ENSOARG00020009189,COG8,ortholog_one2one,ENSCHYG00000020343,COG8,ortholog_one2one,COG8
ENSBTAG00000001711,ENSBGRG00000026728,,ortholog_one2one,,,,,,,ENSCHYG00000016075,,ortholog_one2one,BORCS6
ENSBTAG00000001747,ENSBGRG00000022454,PEX3,ortholog_one2one,ENSCHIG00000026379,PEX3,ortholog_one2one,ENSOARG00020011678,PEX3,ortholog_one2one,,,,PEX3
ENSBTAG00000001747,ENSBGRG00000022454,PEX3,ortholog_one2one,ENSCHIG00000026379,PEX3,ortholog_one2one,ENSOARG00020011678,PEX3,ortholog_one2one,,,,PEX3
ENSBTAG00000001747,ENSBGRG00000022454,PEX3,ortholog_one2one,ENSCHIG00000026379,PEX3,ortholog_one2one,ENSOARG00020011678,PEX3,ortholog_one2one,,,,PEX3
ENSBTAG00000001763,ENSBGRG00000001646,NR2C2AP,ortholog_one2one,ENSCHIG00000026754,NR2C2AP,ortholog_one2one,ENSOARG00020020240,NR2C2AP,ortholog_one2one,ENSCHYG00000013015,NR2C2AP,ortholog_one2one,NR2C2AP
ENSBTAG00000001792,ENSBGRG00000001661,MICOS13,ortholog_one2one,ENSCHIG00000025054,,ortholog_one2one,ENSOARG00020008768,,ortholog_one2one,ENSCHYG00000000687,MICOS13,ortholog_one2one,MICOS13
ENSBTAG00000001796,ENSBGRG00000001388,CATSPERD,ortholog_one2one,,,,ENSOARG00020021093,,ortholog_one2one,,,,CATSPERD
ENSBTAG00000001806,ENSBGRG00000017100,IQCD,ortholog_one2one,ENSCHIG00000017847,IQCD,ortholog_one2one,ENSOARG00020016405,IQCD,ortholog_one2one,ENSCHYG00000000317,,ortholog_one2one,IQCD
ENSBTAG00000001832,ENSBGRG00000019422,MRPL10,ortholog_one2one,ENSCHIG00000027033,MRPL10,ortholog_one2one,ENSOARG00020020614,MRPL10,ortholog_one2one,ENSCHYG00000000265,MRPL10,ortholog_one2one,MRPL10
ENSBTAG00000001834,ENSBGRG00000021234,PNKP,ortholog_one2one,ENSCHIG00000023637,PNKP,ortholog_one2one,ENSOARG00020011554,PNKP,ortholog_one2one,ENSCHYG00000003327,PNKP,ortholog_one2one,PNKP
ENSBTAG00000001844,ENSBGRG00000007161,MOGS,ortholog_one2one,ENSCHIG00000025527,MOGS,ortholog_one2one,ENSOARG00020001726,MOGS,ortholog_one2one,ENSCHYG00000007568,MOGS,ortholog_one2one,MOGS
ENSBTAG00000001848,ENSBGRG00000016460,KATNB1,ortholog_one2one,ENSCHIG00000026579,KATNB1,ortholog_one2one,ENSOARG00020004295,KATNB1,ortholog_one2one,ENSCHYG00000013566,KATNB1,ortholog_one2one,KATNB1
ENSBTAG00000001854,ENSBGRG00000018538,CIAPIN1,ortholog_one2one,ENSCHIG00000020675,CIAPIN1,ortholog_one2one,ENSOARG00020003371,CIAPIN1,ortholog_one2one,ENSCHYG00000012085,CIAPIN1,ortholog_one2one,CIAPIN1
ENSBTAG00000001855,ENSBGRG00000018353,COQ9,ortholog_one2one,ENSCHIG00000016857,COQ9,ortholog_one2one,ENSOARG00020003481,COQ9,ortholog_one2one,ENSCHYG00000012304,COQ9,ortholog_one2one,COQ9
ENSBTAG00000001872,ENSBGRG00000019858,ORC6,ortholog_one2one,ENSCHIG00000022439,ORC6,ortholog_one2one,ENSOARG00020004404,ORC6,ortholog_one2one,ENSCHYG00000001691,ORC6,ortholog_one2one,ORC6
ENSBTAG00000001917,ENSBGRG00000008516,C11orf16,ortholog_one2one,ENSCHIG00000027030,C11orf16,ortholog_one2one,ENSOARG00020020576,C11orf16,ortholog_one2one,,,,C15H11orf16
ENSBTAG00000001917,ENSBGRG00000008516,C11orf16,ortholog_one2one,ENSCHIG00000027030,C11orf16,ortholog_one2one,ENSOARG00020020576,C11orf16,ortholog_one2one,,,,C15H11orf16
ENSBTAG00000001922,ENSBGRG00000008233,,ortholog_one2one,ENSCHIG00000014273,AKIP1,ortholog_one2one,ENSOARG00020020684,AKIP1,ortholog_one2one,,,,AKIP1
ENSBTAG00000001922,ENSBGRG00000008233,,ortholog_one2one,ENSCHIG00000014273,AKIP1,ortholog_one2one,ENSOARG00020020684,AKIP1,ortholog_one2one,,,,AKIP1
ENSBTAG00000001962,,,,ENSCHIG00000024940,MRPS27,ortholog_one2one,ENSOARG00020023220,MRPS27,ortholog_one2one,,,,MRPS27
ENSBTAG00000001962,,,,ENSCHIG00000024940,MRPS27,ortholog_one2one,ENSOARG00020023220,MRPS27,ortholog_one2one,,,,MRPS27
ENSBTAG00000001999,ENSBGRG00000008876,NKAPD1,ortholog_one2one,ENSCHIG00000012353,NKAPD1,ortholog_one2one,ENSOARG00020040184,NKAPD1,ortholog_one2one,ENSCHYG00000000811,NKAPD1,ortholog_one2one,NKAPD1
ENSBTAG00000002021,ENSBGRG00000013853,BNIP1,ortholog_one2one,ENSCHIG00000007910,BNIP1,ortholog_one2one,ENSOARG00020019520,BNIP1,ortholog_one2one,ENSCHYG00000020650,BNIP1,ortholog_one2one,BNIP1
ENSBTAG00000002060,ENSBGRG00000013154,RPL19,ortholog_one2one,ENSCHIG00000022085,,ortholog_one2one,ENSOARG00020016134,RPL19,ortholog_one2one,,,,RPL19
ENSBTAG00000002060,ENSBGRG00000013154,RPL19,ortholog_one2one,ENSCHIG00000022085,,ortholog_one2one,ENSOARG00020016134,RPL19,ortholog_one2one,,,,RPL19
ENSBTAG00000002073,,,,ENSCHIG00000020796,RAD17,ortholog_one2one,ENSOARG00020003355,RAD17,ortholog_one2one,ENSCHYG00000018850,RAD17,ortholog_one2one,RAD17
ENSBTAG00000002105,ENSBGRG00000005392,TEX261,ortholog_one2one,ENSCHIG00000009683,TEX261,ortholog_one2one,ENSOARG00020005704,TEX261,ortholog_one2one,ENSCHYG00000016319,TEX261,ortholog_one2one,TEX261
ENSBTAG00000002130,ENSBGRG00000013428,SMPD4,ortholog_one2one,ENSCHIG00000015846,SMPD4,ortholog_one2one,ENSOARG00020004574,SMPD4,ortholog_one2one,ENSCHYG00000007732,SMPD4,ortholog_one2one,SMPD4
ENSBTAG00000002143,ENSBGRG00000013486,DTWD2,ortholog_one2one,ENSCHIG00000017134,DTWD2,ortholog_one2one,ENSOARG00020009992,DTWD2,ortholog_one2one,ENSCHYG00000000678,DTWD2,ortholog_one2one,DTWD2
ENSBTAG00000002219,ENSBGRG00000010900,ATAD3A,ortholog_one2one,ENSCHIG00000019987,ATAD3A,ortholog_one2one,ENSOARG00020009433,ATAD3A,ortholog_one2one,ENSCHYG00000013508,ATAD3A,ortholog_one2one,ATAD3A
ENSBTAG00000002236,ENSBGRG00000009081,TRPC4AP,ortholog_one2one,ENSCHIG00000020184,TRPC4AP,ortholog_one2one,ENSOARG00020003691,TRPC4AP,ortholog_one2one,ENSCHYG00000023747,TRPC4AP,ortholog_one2one,TRPC4AP
ENSBTAG00000002327,ENSBGRG00000026865,TMEM208,ortholog_one2one,ENSCHIG00000025511,TMEM208,ortholog_one2one,ENSOARG00020019829,TMEM208,ortholog_one2one,ENSCHYG00000024345,TMEM208,ortholog_one2one,TMEM208
ENSBTAG00000002389,ENSBGRG00000006131,MED19,ortholog_one2one,ENSCHIG00000021863,MED19,ortholog_one2one,ENSOARG00020012713,MED19,ortholog_one2one,ENSCHYG00000009110,MED19,ortholog_one2one,MED19
ENSBTAG00000002401,ENSBGRG00000003578,NPFF,ortholog_one2one,ENSCHIG00000020253,NPFF,ortholog_one2one,ENSOARG00020018800,NPFF,ortholog_one2one,ENSCHYG00000002830,,ortholog_one2one,NPFF
ENSBTAG00000002404,ENSBGRG00000006188,TMX2,ortholog_one2one,ENSCHIG00000027167,TMX2,ortholog_one2one,ENSOARG00020012833,TMX2,ortholog_one2one,ENSCHYG00000009268,TMX2,ortholog_one2one,TMX2
ENSBTAG00000002447,ENSBGRG00000013614,C19orf44,ortholog_one2one,ENSCHIG00000023160,C19orf44,ortholog_one2one,ENSOARG00020016066,C19orf44,ortholog_one2one,ENSCHYG00000002039,C19orf44,ortholog_one2one,C7H19orf44
ENSBTAG00000002457,,,,ENSCHIG00000025565,,ortholog_one2one,ENSOARG00020000997,SEC61B,ortholog_one2one,ENSCHYG00000026666,SEC61B,ortholog_one2one,SEC61B
ENSBTAG00000002457,,,,ENSCHIG00000025565,,ortholog_one2one,ENSOARG00020000997,SEC61B,ortholog_one2one,ENSCHYG00000026666,SEC61B,ortholog_one2one,SEC61B
ENSBTAG00000002458,ENSBGRG00000020642,NUP155,ortholog_one2one,ENSCHIG00000016985,NUP155,ortholog_one2one,ENSOARG00020012252,NUP155,ortholog_one2one,ENSCHYG00000021563,NUP155,ortholog_one2one,NUP155
ENSBTAG00000002462,ENSBGRG00000003051,MRPL47,ortholog_one2one,ENSCHIG00000013922,MRPL47,ortholog_one2one,ENSOARG00020009272,MRPL47,ortholog_one2one,ENSCHYG00000019750,MRPL47,ortholog_one2one,MRPL47
ENSBTAG00000002492,ENSBGRG00000000767,SYCP3,ortholog_one2one,ENSCHIG00000026071,SYCP3,ortholog_one2one,ENSOARG00020008561,SYCP3,ortholog_one2one,ENSCHYG00000025959,SYCP3,ortholog_one2one,SYCP3
ENSBTAG00000002493,ENSBGRG00000020208,,ortholog_one2one,ENSCHIG00000025912,VPS35,ortholog_one2one,ENSOARG00020004298,VPS35,ortholog_one2one,ENSCHYG00000001622,VPS35,ortholog_one2one,VPS35
ENSBTAG00000002559,ENSBGRG00000004286,MIOX,ortholog_one2one,ENSCHIG00000021543,MIOX,ortholog_one2one,ENSOARG00020008598,MIOX,ortholog_one2one,ENSCHYG00000025475,MIOX,ortholog_one2one,MIOX
ENSBTAG00000002583,ENSBGRG00000006531,DNALI1,ortholog_one2one,ENSCHIG00000007466,DNALI1,ortholog_one2one,ENSOARG00020015777,DNALI1,ortholog_one2one,ENSCHYG00000026895,DNALI1,ortholog_one2one,DNALI1
ENSBTAG00000002678,ENSBGRG00000014253,MED18,ortholog_one2one,ENSCHIG00000020083,MED18,ortholog_one2one,ENSOARG00020018864,MED18,ortholog_one2one,ENSCHYG00000003395,MED18,ortholog_one2one,MED18
ENSBTAG00000002693,ENSBGRG00000000597,KANSL2,ortholog_one2one,ENSCHIG00000026147,KANSL2,ortholog_one2one,ENSOARG00020001947,KANSL2,ortholog_one2one,ENSCHYG00000007154,KANSL2,ortholog_one2one,KANSL2
ENSBTAG00000002746,ENSBGRG00000020958,OSTF1,ortholog_one2one,ENSCHIG00000012972,OSTF1,ortholog_one2one,ENSOARG00020011048,OSTF1,ortholog_one2one,ENSCHYG00000024488,OSTF1,ortholog_one2one,OSTF1
ENSBTAG00000002764,ENSBGRG00000024811,IGFLR1,ortholog_one2one,ENSCHIG00000025294,IGFLR1,ortholog_one2one,ENSOARG00020019965,IGFLR1,ortholog_one2one,ENSCHYG00000006966,IGFLR1,ortholog_one2one,IGFLR1
ENSBTAG00000002816,ENSBGRG00000010898,SARM1,ortholog_one2one,ENSCHIG00000002968,SARM1,ortholog_one2one,ENSOARG00020023851,SARM1,ortholog_one2one,ENSCHYG00000010196,SARM1,ortholog_one2one,SARM1
ENSBTAG00000002822,ENSBGRG00000013107,CNBD2,ortholog_one2one,ENSCHIG00000023408,CNBD2,ortholog_one2one,ENSOARG00020005681,CNBD2,ortholog_one2one,ENSCHYG00000013734,CNBD2,ortholog_one2one,CNBD2
ENSBTAG00000002972,ENSBGRG00000001323,DNAI7,ortholog_one2one,ENSCHIG00000016268,DNAI7,ortholog_one2one,ENSOARG00020003767,CASC1,ortholog_one2one,ENSCHYG00000012592,DNAI7,ortholog_one2one,DNAI7
ENSBTAG00000002999,ENSBGRG00000000859,,ortholog_one2one,ENSCHIG00000025108,ANAPC15,ortholog_one2one,,,,ENSCHYG00000001017,ANAPC15,ortholog_one2one,ANAPC15
ENSBTAG00000002999,ENSBGRG00000000859,,ortholog_one2one,ENSCHIG00000025108,ANAPC15,ortholog_one2one,,,,ENSCHYG00000001017,ANAPC15,ortholog_one2one,ANAPC15
ENSBTAG00000003058,ENSBGRG00000022694,ADRM1,ortholog_one2one,ENSCHIG00000015510,ADRM1,ortholog_one2one,ENSOARG00020006278,ADRM1,ortholog_one2one,ENSCHYG00000025424,ADRM1,ortholog_one2one,ADRM1
ENSBTAG00000003083,ENSBGRG00000016564,SLC50A1,ortholog_one2one,ENSCHIG00000020555,SLC50A1,ortholog_one2one,ENSOARG00020008131,SLC50A1,ortholog_one2one,ENSCHYG00000006585,SLC50A1,ortholog_one2one,SLC50A1
ENSBTAG00000003100,ENSBGRG00000025006,SMTN,ortholog_one2one,ENSCHIG00000019901,SMTN,ortholog_one2one,ENSOARG00020019366,SMTN,ortholog_one2one,ENSCHYG00000002588,SMTN,ortholog_one2one,SMTN
ENSBTAG00000003361,ENSBGRG00000011464,METTL15,ortholog_one2one,ENSCHIG00000018028,METTL15,ortholog_one2one,ENSOARG00020010450,METTL15,ortholog_one2one,ENSCHYG00000007039,METTL15,ortholog_one2one,METTL15
ENSBTAG00000003371,ENSBGRG00000006967,JKAMP,ortholog_one2one,ENSCHIG00000021867,JKAMP,ortholog_one2one,ENSOARG00020008977,JKAMP,ortholog_one2one,ENSCHYG00000008180,JKAMP,ortholog_one2one,JKAMP
ENSBTAG00000003384,ENSBGRG00000020485,CEP162,ortholog_one2one,ENSCHIG00000013232,CEP162,ortholog_one2one,ENSOARG00020003753,CEP162,ortholog_one2one,ENSCHYG00000014176,CEP162,ortholog_one2one,CEP162
ENSBTAG00000003390,ENSBGRG00000023663,SF3A1,ortholog_one2one,ENSCHIG00000018642,SF3A1,ortholog_one2one,ENSOARG00020015078,SF3A1,ortholog_one2one,ENSCHYG00000003423,SF3A1,ortholog_one2one,SF3A1
ENSBTAG00000003484,ENSBGRG00000002851,CZIB,ortholog_one2one,ENSCHIG00000023116,CZIB,ortholog_one2one,ENSOARG00020005502,CZIB,ortholog_one2one,ENSCHYG00000008448,CZIB,ortholog_one2one,CZIB
ENSBTAG00000003494,ENSBGRG00000010669,DNAAF9,ortholog_one2one,ENSCHIG00000022179,DNAAF9,ortholog_one2one,ENSOARG00020005584,DNAAF9,ortholog_one2one,ENSCHYG00000025172,DNAAF9,ortholog_one2one,DNAAF9
ENSBTAG00000003504,ENSBGRG00000008772,GSS,ortholog_one2one,ENSCHIG00000026043,GSS,ortholog_one2one,ENSOARG00020003193,GSS,ortholog_one2one,ENSCHYG00000023257,GSS,ortholog_one2one,GSS
ENSBTAG00000003535,ENSBGRG00000016975,DPM3,ortholog_one2one,ENSCHIG00000001909,DPM3,ortholog_one2one,ENSOARG00020008397,DPM3,ortholog_one2one,ENSCHYG00000006565,DPM3,ortholog_one2one,DPM3
ENSBTAG00000003556,ENSBGRG00000004348,ZFYVE21,ortholog_one2one,ENSCHIG00000012789,ZFYVE21,ortholog_one2one,ENSOARG00020017435,,ortholog_one2one,ENSCHYG00000005622,ZFYVE21,ortholog_one2one,ZFYVE21
ENSBTAG00000003589,ENSBGRG00000022691,COMMD3,ortholog_one2one,ENSCHIG00000017616,COMMD3,ortholog_one2one,ENSOARG00020024334,COMMD3,ortholog_one2one,ENSCHYG00000015503,COMMD3,ortholog_one2one,COMMD3
ENSBTAG00000003804,ENSBGRG00000006654,SCCPDH,ortholog_one2one,ENSCHIG00000022401,SCCPDH,ortholog_one2one,ENSOARG00020003810,SCCPDH,ortholog_one2one,,,,SCCPDH
ENSBTAG00000003804,ENSBGRG00000006654,SCCPDH,ortholog_one2one,ENSCHIG00000022401,SCCPDH,ortholog_one2one,ENSOARG00020003810,SCCPDH,ortholog_one2one,,,,SCCPDH
ENSBTAG00000003813,ENSBGRG00000001040,BCS1L,ortholog_one2one,ENSCHIG00000009282,BCS1L,ortholog_one2one,ENSOARG00020008102,BCS1L,ortholog_one2one,ENSCHYG00000001534,BCS1L,ortholog_one2one,BCS1L
ENSBTAG00000003817,ENSBGRG00000001002,RNF25,ortholog_one2one,ENSCHIG00000010384,RNF25,ortholog_one2one,ENSOARG00020008163,RNF25,ortholog_one2one,ENSCHYG00000001498,RNF25,ortholog_one2one,RNF25
ENSBTAG00000003861,ENSBGRG00000012327,GPATCH11,ortholog_one2one,ENSCHIG00000010173,GPATCH11,ortholog_one2one,ENSOARG00020000953,GPATCH11,ortholog_one2one,ENSCHYG00000006001,GPATCH11,ortholog_one2one,GPATCH11
ENSBTAG00000003906,ENSBGRG00000007114,SUPT7L,ortholog_one2one,ENSCHIG00000009667,SUPT7L,ortholog_one2one,ENSOARG00020004068,SUPT7L,ortholog_one2one,ENSCHYG00000005466,SUPT7L,ortholog_one2one,SUPT7L
ENSBTAG00000003941,ENSBGRG00000002306,AP1AR,ortholog_one2one,ENSCHIG00000001992,AP1AR,ortholog_one2one,ENSOARG00020022983,AP1AR,ortholog_one2one,ENSCHYG00000017199,AP1AR,ortholog_one2one,AP1AR
ENSBTAG00000003958,ENSBGRG00000020364,,ortholog_one2one,,,,ENSOARG00020040490,,ortholog_one2one,ENSCHYG00000010897,TMEM220,ortholog_one2one,TMEM220
