Gene stable ID,Vervet-AGM gene stable ID,Vervet-AGM gene name,Vervet-AGM homology type,Crab-eating macaque gene stable ID,Crab-eating macaque gene name,Crab-eating macaque homology type,Gorilla gene stable ID,Gorilla gene name,Gorilla homology type,Chimpanzee gene stable ID,Chimpanzee gene name,Chimpanzee homology type,Sumatran orangutan gene stable ID,Sumatran orangutan gene name,Sumatran orangutan homology type,Gene name
ENSG00000014138,ENSCSAG00000007755,POLA2,ortholog_one2one,ENSMFAG00000031551,POLA2,ortholog_one2one,ENSGGOG00000003056,POLA2,ortholog_one2one,ENSPTRG00000003870,POLA2,ortholog_one2one,ENSPPYG00000003071,POLA2,ortholog_one2one,POLA2
ENSG00000016391,ENSCSAG00000012990,CHDH,ortholog_one2one,ENSMFAG00000002691,,ortholog_one2one,ENSGGOG00000001470,CHDH,ortholog_one2one,ENSPTRG00000015027,CHDH,ortholog_one2one,ENSPPYG00000013786,CHDH,ortholog_one2one,CHDH
ENSG00000025708,ENSCSAG00000004810,TYMP,ortholog_one2one,ENSMFAG00000045728,TYMP,ortholog_one2one,ENSGGOG00000010990,TYMP,ortholog_one2one,ENSPTRG00000014547,TYMP,ortholog_one2one,ENSPPYG00000011992,TYMP,ortholog_one2one,TYMP
ENSG00000025770,ENSCSAG00000004824,NCAPH2,ortholog_one2one,ENSMFAG00000033329,NCAPH2,ortholog_one2one,ENSGGOG00000010975,NCAPH2,ortholog_one2one,ENSPTRG00000014545,NCAPH2,ortholog_one2one,ENSPPYG00000011990,NCAPH2,ortholog_one2one,NCAPH2
ENSG00000029364,ENSCSAG00000013061,SLC39A9,ortholog_one2one,ENSMFAG00000030713,SLC39A9,ortholog_one2one,ENSGGOG00000004753,SLC39A9,ortholog_one2one,ENSPTRG00000006483,SLC39A9,ortholog_one2one,ENSPPYG00000005940,SLC39A9,ortholog_one2one,SLC39A9
ENSG00000031691,ENSCSAG00000012726,CENPQ,ortholog_one2one,ENSMFAG00000045783,CENPQ,ortholog_one2one,ENSGGOG00000024998,CENPQ,ortholog_one2one,ENSPTRG00000018257,CENPQ,ortholog_one2one,ENSPPYG00000016686,CENPQ,ortholog_one2one,CENPQ
ENSG00000034533,ENSCSAG00000010488,ASTE1,ortholog_one2one,ENSMFAG00000043710,ASTE1,ortholog_one2one,,,,ENSPTRG00000015391,ASTE1,ortholog_one2one,ENSPPYG00000014098,ASTE1,ortholog_one2one,ASTE1
ENSG00000034533,ENSCSAG00000010488,ASTE1,ortholog_one2one,ENSMFAG00000043710,ASTE1,ortholog_one2one,,,,ENSPTRG00000015391,ASTE1,ortholog_one2one,ENSPPYG00000014098,ASTE1,ortholog_one2one,ASTE1
ENSG00000037897,ENSCSAG00000004611,METTL1,ortholog_one2one,ENSMFAG00000035422,METTL1,ortholog_one2one,ENSGGOG00000001411,METTL1,ortholog_one2one,ENSPTRG00000005150,METTL1,ortholog_one2one,ENSPPYG00000004706,METTL1,ortholog_one2one,METTL1
ENSG00000039560,ENSCSAG00000017137,RAI14,ortholog_one2one,ENSMFAG00000043837,RAI14,ortholog_one2one,ENSGGOG00000024320,RAI14,ortholog_one2one,ENSPTRG00000016781,RAI14,ortholog_one2one,ENSPPYG00000015387,RAI14,ortholog_one2one,RAI14
ENSG00000046651,ENSCSAG00000015093,OFD1,ortholog_one2one,ENSMFAG00000042608,OFD1,ortholog_one2one,ENSGGOG00000006453,OFD1,ortholog_one2one,ENSPTRG00000021675,OFD1,ortholog_one2one,ENSPPYG00000020134,OFD1,ortholog_one2one,OFD1
ENSG00000047578,ENSCSAG00000006416,KATNIP,ortholog_one2one,ENSMFAG00000040082,KATNIP,ortholog_one2one,ENSGGOG00000017086,KATNIP,ortholog_one2one,ENSPTRG00000007917,KATNIP,ortholog_one2one,ENSPPYG00000007216,KATNIP,ortholog_one2one,KATNIP
ENSG00000047621,ENSCSAG00000011105,C12orf4,ortholog_one2one,ENSMFAG00000004013,C12orf4,ortholog_one2one,ENSGGOG00000025071,C12orf4,ortholog_one2one,ENSPTRG00000004553,C12H12orf4,ortholog_one2one,ENSPPYG00000004167,C12H12orf4,ortholog_one2one,C12orf4
ENSG00000048162,ENSCSAG00000009400,NOP16,ortholog_one2one,,,,,,,ENSPTRG00000017560,NOP16,ortholog_one2one,ENSPPYG00000016070,NOP16,ortholog_one2one,NOP16
ENSG00000049130,ENSCSAG00000003781,KITLG,ortholog_one2one,ENSMFAG00000054618,KITLG,ortholog_one2one,ENSGGOG00000021939,KITLG,ortholog_one2one,ENSPTRG00000005281,KITLG,ortholog_one2one,ENSPPYG00000036228,KITLG,ortholog_one2one,KITLG
ENSG00000050130,ENSCSAG00000014311,JKAMP,ortholog_one2one,ENSMFAG00000001385,JKAMP,ortholog_one2one,ENSGGOG00000002463,JKAMP,ortholog_one2one,ENSPTRG00000006400,JKAMP,ortholog_one2one,ENSPPYG00000005865,JKAMP,ortholog_one2one,JKAMP
ENSG00000052344,ENSCSAG00000005726,PRSS8,ortholog_one2one,ENSMFAG00000032014,PRSS8,ortholog_one2one,ENSGGOG00000013616,PRSS8,ortholog_one2one,ENSPTRG00000008035,PRSS8,ortholog_one2one,ENSPPYG00000007309,PRSS8,ortholog_one2one,PRSS8
ENSG00000053372,,,,ENSMFAG00000033225,MRTO4,ortholog_one2one,ENSGGOG00000000533,MRTO4,ortholog_one2one,ENSPTRG00000000262,MRTO4,ortholog_one2one,ENSPPYG00000001795,MRTO4,ortholog_one2one,MRTO4
ENSG00000053372,,,,ENSMFAG00000033225,MRTO4,ortholog_one2one,ENSGGOG00000000533,MRTO4,ortholog_one2one,ENSPTRG00000000262,MRTO4,ortholog_one2one,ENSPPYG00000001795,MRTO4,ortholog_one2one,MRTO4
ENSG00000053770,ENSCSAG00000014515,AP5M1,ortholog_one2one,ENSMFAG00000036074,AP5M1,ortholog_one2one,ENSGGOG00000005710,AP5M1,ortholog_one2one,ENSPTRG00000006384,AP5M1,ortholog_one2one,ENSPPYG00000005849,AP5M1,ortholog_one2one,AP5M1
ENSG00000054148,ENSCSAG00000016037,PHPT1,ortholog_one2one,ENSMFAG00000000240,PHPT1,ortholog_one2one,ENSGGOG00000014734,PHPT1,ortholog_one2one,ENSPTRG00000028987,PHPT1,ortholog_one2one,ENSPPYG00000019787,PHPT1,ortholog_one2one,PHPT1
ENSG00000054983,ENSCSAG00000011609,GALC,ortholog_one2one,ENSMFAG00000002667,GALC,ortholog_one2one,ENSGGOG00000016552,GALC,ortholog_one2one,ENSPTRG00000006602,GALC,ortholog_one2one,ENSPPYG00000006046,GALC,ortholog_one2one,GALC
ENSG00000055070,ENSCSAG00000000853,SZRD1,ortholog_one2one,ENSMFAG00000000197,,ortholog_one2one,,,,ENSPTRG00000000226,SZRD1,ortholog_one2one,ENSPPYG00000001821,SZRD1,ortholog_one2one,SZRD1
ENSG00000055070,ENSCSAG00000000853,SZRD1,ortholog_one2one,ENSMFAG00000000197,,ortholog_one2one,,,,ENSPTRG00000000226,SZRD1,ortholog_one2one,ENSPPYG00000001821,SZRD1,ortholog_one2one,SZRD1
ENSG00000059377,ENSCSAG00000008338,,ortholog_one2one,ENSMFAG00000016846,,ortholog_one2one,ENSGGOG00000000826,TBXAS1,ortholog_one2one,ENSPTRG00000019760,TBXAS1,ortholog_one2one,ENSPPYG00000018052,TBXAS1,ortholog_one2one,TBXAS1
ENSG00000060069,ENSCSAG00000018248,CTDP1,ortholog_one2one,ENSMFAG00000031816,CTDP1,ortholog_one2one,ENSGGOG00000011089,CTDP1,ortholog_one2one,ENSPTRG00000010133,CTDP1,ortholog_one2one,ENSPPYG00000009259,CTDP1,ortholog_one2one,CTDP1
ENSG00000063322,ENSCSAG00000003866,MED29,ortholog_one2one,ENSMFAG00000044241,MED29,ortholog_one2one,ENSGGOG00000001844,MED29,ortholog_one2one,ENSPTRG00000010966,MED29,ortholog_one2one,,,,MED29
ENSG00000064102,ENSCSAG00000007677,INTS13,ortholog_one2one,ENSMFAG00000041404,INTS13,ortholog_one2one,ENSGGOG00000011827,INTS13,ortholog_one2one,ENSPTRG00000004782,INTS13,ortholog_one2one,ENSPPYG00000029635,INTS13,ortholog_one2one,INTS13
ENSG00000064313,ENSCSAG00000010814,TAF2,ortholog_one2one,ENSMFAG00000003672,TAF2,ortholog_one2one,ENSGGOG00000007483,TAF2,ortholog_one2one,ENSPTRG00000020535,TAF2,ortholog_one2one,ENSPPYG00000018843,TAF2,ortholog_one2one,TAF2
ENSG00000064692,ENSCSAG00000014626,SNCAIP,ortholog_one2one,ENSMFAG00000033060,SNCAIP,ortholog_one2one,ENSGGOG00000015443,SNCAIP,ortholog_one2one,ENSPTRG00000017175,SNCAIP,ortholog_one2one,ENSPPYG00000015717,SNCAIP,ortholog_one2one,SNCAIP
ENSG00000065000,ENSCSAG00000011851,AP3D1,ortholog_one2one,ENSMFAG00000033202,AP3D1,ortholog_one2one,ENSGGOG00000006580,AP3D1,ortholog_one2one,ENSPTRG00000010223,AP3D1,ortholog_one2one,ENSPPYG00000009339,AP3D1,ortholog_one2one,AP3D1
ENSG00000067369,ENSCSAG00000009121,TP53BP1,ortholog_one2one,ENSMFAG00000002945,TP53BP1,ortholog_one2one,ENSGGOG00000002588,TP53BP1,ortholog_one2one,ENSPTRG00000006994,TP53BP1,ortholog_one2one,ENSPPYG00000006414,TP53BP1,ortholog_one2one,TP53BP1
ENSG00000068137,ENSCSAG00000003311,PLEKHH3,ortholog_one2one,,,,ENSGGOG00000013802,PLEKHH3,ortholog_one2one,ENSPTRG00000009214,PLEKHH3,ortholog_one2one,ENSPPYG00000008382,PLEKHH3,ortholog_one2one,PLEKHH3
ENSG00000068383,ENSCSAG00000004369,INPP5A,ortholog_one2one,ENSMFAG00000003838,INPP5A,ortholog_one2one,ENSGGOG00000034868,INPP5A,ortholog_one2one,ENSPTRG00000003079,INPP5A,ortholog_one2one,ENSPPYG00000002779,INPP5A,ortholog_one2one,INPP5A
ENSG00000070010,ENSCSAG00000011687,UFD1,ortholog_one2one,ENSMFAG00000040923,UFD1,ortholog_one2one,ENSGGOG00000004104,UFD1,ortholog_one2one,ENSPTRG00000043162,UFD1,ortholog_one2one,ENSPPYG00000011580,UFD1,ortholog_one2one,UFD1
ENSG00000070061,ENSCSAG00000011447,ELP1,ortholog_one2one,ENSMFAG00000043210,ELP1,ortholog_one2one,ENSGGOG00000004204,ELP1,ortholog_one2one,ENSPTRG00000021233,ELP1,ortholog_one2one,ENSPPYG00000019482,ELP1,ortholog_one2one,ELP1
ENSG00000070367,ENSCSAG00000014529,EXOC5,ortholog_one2one,ENSMFAG00000037256,EXOC5,ortholog_one2one,ENSGGOG00000023022,,ortholog_one2one,ENSPTRG00000023297,EXOC5,ortholog_one2one,ENSPPYG00000005848,EXOC5,ortholog_one2one,EXOC5
ENSG00000070610,ENSCSAG00000010566,GBA2,ortholog_one2one,ENSMFAG00000045671,GBA2,ortholog_one2one,ENSGGOG00000007356,GBA2,ortholog_one2one,ENSPTRG00000020919,GBA2,ortholog_one2one,ENSPPYG00000019086,GBA2,ortholog_one2one,GBA2
ENSG00000071082,,,,ENSMFAG00000040919,,ortholog_one2one,ENSGGOG00000025535,,ortholog_one2one,ENSPTRG00000030400,,ortholog_one2one,,,,RPL31
ENSG00000071462,ENSCSAG00000018180,BUD23,ortholog_one2one,ENSMFAG00000036962,BUD23,ortholog_one2one,ENSGGOG00000001453,BUD23,ortholog_one2one,,,,ENSPPYG00000017498,,ortholog_one2one,BUD23
ENSG00000071462,ENSCSAG00000018180,BUD23,ortholog_one2one,ENSMFAG00000036962,BUD23,ortholog_one2one,ENSGGOG00000001453,BUD23,ortholog_one2one,,,,ENSPPYG00000017498,,ortholog_one2one,BUD23
ENSG00000071539,ENSCSAG00000017410,TRIP13,ortholog_one2one,ENSMFAG00000003891,TRIP13,ortholog_one2one,ENSGGOG00000011642,,ortholog_one2one,,,,ENSPPYG00000015309,TRIP13,ortholog_one2one,TRIP13
ENSG00000071539,ENSCSAG00000017410,TRIP13,ortholog_one2one,ENSMFAG00000003891,TRIP13,ortholog_one2one,ENSGGOG00000011642,,ortholog_one2one,,,,ENSPPYG00000015309,TRIP13,ortholog_one2one,TRIP13
ENSG00000071553,ENSCSAG00000017725,ATP6AP1,ortholog_one2one,ENSMFAG00000003619,ATP6AP1,ortholog_one2one,ENSGGOG00000013466,ATP6AP1,ortholog_one2one,ENSPTRG00000022435,ATP6AP1,ortholog_one2one,ENSPPYG00000020877,ATP6AP1,ortholog_one2one,ATP6AP1
ENSG00000072571,ENSCSAG00000010295,HMMR,ortholog_one2one,ENSMFAG00000035690,HMMR,ortholog_one2one,ENSGGOG00000009942,HMMR,ortholog_one2one,ENSPTRG00000017503,HMMR,ortholog_one2one,ENSPPYG00000016019,HMMR,ortholog_one2one,HMMR
ENSG00000073169,ENSCSAG00000005028,SELENOO,ortholog_one2one,ENSMFAG00000000242,SELENOO,ortholog_one2one,ENSGGOG00000014406,SELENOO,ortholog_one2one,ENSPTRG00000029395,SELENOO,ortholog_one2one,ENSPPYG00000011977,SELENOO,ortholog_one2one,SELENOO
ENSG00000074071,ENSCSAG00000011443,MRPS34,ortholog_one2one,ENSMFAG00000046146,MRPS34,ortholog_one2one,ENSGGOG00000006234,MRPS34,ortholog_one2one,ENSPTRG00000007606,MRPS34,ortholog_one2one,ENSPPYG00000006962,MRPS34,ortholog_one2one,MRPS34
ENSG00000074582,ENSCSAG00000008774,BCS1L,ortholog_one2one,ENSMFAG00000044997,BCS1L,ortholog_one2one,ENSGGOG00000001899,BCS1L,ortholog_one2one,ENSPTRG00000012924,BCS1L,ortholog_one2one,ENSPPYG00000013179,BCS1L,ortholog_one2one,BCS1L
ENSG00000075188,ENSCSAG00000003314,NUP37,ortholog_one2one,ENSMFAG00000000710,NUP37,ortholog_one2one,ENSGGOG00000004148,NUP37,ortholog_one2one,ENSPTRG00000005359,NUP37,ortholog_one2one,ENSPPYG00000004879,NUP37,ortholog_one2one,NUP37
ENSG00000075336,ENSCSAG00000018224,TIMM21,ortholog_one2one,ENSMFAG00000031508,TIMM21,ortholog_one2one,ENSGGOG00000015941,TIMM21,ortholog_one2one,ENSPTRG00000010110,TIMM21,ortholog_one2one,ENSPPYG00000009239,TIMM21,ortholog_one2one,TIMM21
ENSG00000077235,ENSCSAG00000006427,GTF3C1,ortholog_one2one,ENSMFAG00000043052,GTF3C1,ortholog_one2one,ENSGGOG00000016666,GTF3C1,ortholog_one2one,ENSPTRG00000007915,GTF3C1,ortholog_one2one,ENSPPYG00000007215,GTF3C1,ortholog_one2one,GTF3C1
ENSG00000078902,ENSCSAG00000009953,TOLLIP,ortholog_one2one,ENSMFAG00000031200,TOLLIP,ortholog_one2one,ENSGGOG00000012352,TOLLIP,ortholog_one2one,ENSPTRG00000043986,TOLLIP,ortholog_one2one,ENSPPYG00000031836,TOLLIP,ortholog_one2one,TOLLIP
ENSG00000079134,ENSCSAG00000017631,THOC1,ortholog_one2one,ENSMFAG00000041520,THOC1,ortholog_one2one,ENSGGOG00000003013,THOC1,ortholog_one2one,ENSPTRG00000009816,THOC1,ortholog_one2one,ENSPPYG00000009049,THOC1,ortholog_one2one,THOC1
ENSG00000080608,ENSCSAG00000008691,PUM3,ortholog_one2one,ENSMFAG00000001430,PUM3,ortholog_one2one,ENSGGOG00000006143,PUM3,ortholog_one2one,ENSPTRG00000020735,PUM3,ortholog_one2one,ENSPPYG00000019255,PUM3,ortholog_one2one,PUM3
ENSG00000083535,ENSCSAG00000017614,PIBF1,ortholog_one2one,ENSMFAG00000039458,PIBF1,ortholog_one2one,ENSGGOG00000011491,PIBF1,ortholog_one2one,ENSPTRG00000005927,PIBF1,ortholog_one2one,ENSPPYG00000005414,PIBF1,ortholog_one2one,PIBF1
ENSG00000083799,ENSCSAG00000005324,CYLD,ortholog_one2one,ENSMFAG00000043501,CYLD,ortholog_one2one,ENSGGOG00000008448,CYLD,ortholog_one2one,ENSPTRG00000008107,CYLD,ortholog_one2one,ENSPPYG00000007344,CYLD,ortholog_one2one,CYLD
ENSG00000084110,ENSCSAG00000003585,HAL,ortholog_one2one,ENSMFAG00000037303,HAL,ortholog_one2one,ENSGGOG00000006865,HAL,ortholog_one2one,ENSPTRG00000005320,HAL,ortholog_one2one,ENSPPYG00000004850,HAL,ortholog_one2one,HAL
ENSG00000084463,ENSCSAG00000008440,WBP11,ortholog_one2one,ENSMFAG00000035880,WBP11,ortholog_one2one,ENSGGOG00000004448,WBP11,ortholog_one2one,ENSPTRG00000004724,WBP11,ortholog_one2one,,,,WBP11
ENSG00000085231,ENSCSAG00000015802,AK6,ortholog_one2one,,,,ENSGGOG00000015545,AK6,ortholog_one2one,ENSPTRG00000016949,AK6,ortholog_one2one,ENSPPYG00000015527,AK6,ortholog_one2one,AK6
ENSG00000085721,ENSCSAG00000008114,RRN3,ortholog_one2one,ENSMFAG00000037314,RRN3,ortholog_one2one,ENSGGOG00000003478,RRN3,ortholog_one2one,ENSPTRG00000007801,RRN3,ortholog_one2one,ENSPPYG00000007263,RRN3,ortholog_one2one,RRN3
ENSG00000087087,ENSCSAG00000017996,SRRT,ortholog_one2one,ENSMFAG00000033745,SRRT,ortholog_one2one,ENSGGOG00000001508,SRRT,ortholog_one2one,ENSPTRG00000019511,SRRT,ortholog_one2one,ENSPPYG00000017432,SRRT,ortholog_one2one,SRRT
ENSG00000087206,ENSCSAG00000009101,UIMC1,ortholog_one2one,ENSMFAG00000038747,UIMC1,ortholog_one2one,ENSGGOG00000017069,UIMC1,ortholog_one2one,ENSPTRG00000017572,UIMC1,ortholog_one2one,ENSPPYG00000016081,UIMC1,ortholog_one2one,UIMC1
ENSG00000087269,ENSCSAG00000015804,NOP14,ortholog_one2one,,,,ENSGGOG00000011213,NOP14,ortholog_one2one,ENSPTRG00000015852,NOP14,ortholog_one2one,ENSPPYG00000014549,NOP14,ortholog_one2one,NOP14
ENSG00000087301,ENSCSAG00000015051,TXNDC16,ortholog_one2one,ENSMFAG00000001964,TXNDC16,ortholog_one2one,ENSGGOG00000016034,TXNDC16,ortholog_one2one,ENSPTRG00000006348,TXNDC16,ortholog_one2one,ENSPPYG00000005818,TXNDC16,ortholog_one2one,TXNDC16
ENSG00000088325,ENSCSAG00000012752,TPX2,ortholog_one2one,ENSMFAG00000044400,TPX2,ortholog_one2one,ENSGGOG00000011815,TPX2,ortholog_one2one,ENSPTRG00000013360,TPX2,ortholog_one2one,ENSPPYG00000010892,TPX2,ortholog_one2one,TPX2
ENSG00000088682,ENSCSAG00000004907,COQ9,ortholog_one2one,,,,ENSGGOG00000012407,COQ9,ortholog_one2one,ENSPTRG00000008156,COQ9,ortholog_one2one,ENSPPYG00000007389,COQ9,ortholog_one2one,COQ9
ENSG00000088682,ENSCSAG00000004907,COQ9,ortholog_one2one,,,,ENSGGOG00000012407,COQ9,ortholog_one2one,ENSPTRG00000008156,COQ9,ortholog_one2one,ENSPPYG00000007389,COQ9,ortholog_one2one,COQ9
ENSG00000089009,,,,,,,,,,ENSPTRG00000052060,RPL6,ortholog_one2one,ENSPPYG00000025855,RPL6,ortholog_one2one,RPL6
ENSG00000089009,,,,,,,,,,ENSPTRG00000052060,RPL6,ortholog_one2one,ENSPPYG00000025855,RPL6,ortholog_one2one,RPL6
ENSG00000089009,,,,,,,,,,ENSPTRG00000052060,RPL6,ortholog_one2one,ENSPPYG00000025855,RPL6,ortholog_one2one,RPL6
ENSG00000089009,,,,,,,,,,ENSPTRG00000052060,RPL6,ortholog_one2one,ENSPPYG00000025855,RPL6,ortholog_one2one,RPL6
ENSG00000089009,,,,,,,,,,ENSPTRG00000052060,RPL6,ortholog_one2one,ENSPPYG00000025855,RPL6,ortholog_one2one,RPL6
ENSG00000089048,ENSCSAG00000011777,ESF1,ortholog_one2one,ENSMFAG00000036841,ESF1,ortholog_one2one,ENSGGOG00000006692,ESF1,ortholog_one2one,ENSPTRG00000013258,ESF1,ortholog_one2one,ENSPPYG00000010715,ESF1,ortholog_one2one,ESF1
ENSG00000089050,ENSCSAG00000011497,RBBP9,ortholog_one2one,ENSMFAG00000058087,RBBP9,ortholog_one2one,ENSGGOG00000008316,RBBP9,ortholog_one2one,ENSPTRG00000013289,RBBP9,ortholog_one2one,ENSPPYG00000036673,RBBP9,ortholog_one2one,RBBP9
ENSG00000089060,ENSCSAG00000002409,SLC8B1,ortholog_one2one,ENSMFAG00000037941,SLC8B1,ortholog_one2one,ENSGGOG00000009725,SLC8B1,ortholog_one2one,ENSPTRG00000005489,SLC8B1,ortholog_one2one,ENSPPYG00000004988,SLC8B1,ortholog_one2one,SLC8B1
ENSG00000089195,ENSCSAG00000013461,TRMT6,ortholog_one2one,ENSMFAG00000044360,TRMT6,ortholog_one2one,ENSGGOG00000008597,TRMT6,ortholog_one2one,ENSPTRG00000013231,TRMT6,ortholog_one2one,ENSPPYG00000010691,TRMT6,ortholog_one2one,TRMT6
ENSG00000089248,ENSCSAG00000002520,ERP29,ortholog_one2one,,,,ENSGGOG00000003799,ERP29,ortholog_one2one,ENSPTRG00000005468,ERP29,ortholog_one2one,ENSPPYG00000034288,ERP29,ortholog_one2one,ERP29
ENSG00000089248,ENSCSAG00000002520,ERP29,ortholog_one2one,,,,ENSGGOG00000003799,ERP29,ortholog_one2one,ENSPTRG00000005468,ERP29,ortholog_one2one,ENSPPYG00000034288,ERP29,ortholog_one2one,ERP29
ENSG00000092201,ENSCSAG00000016497,SUPT16H,ortholog_one2one,,,,ENSGGOG00000002243,SUPT16H,ortholog_one2one,ENSPTRG00000006122,SUPT16H,ortholog_one2one,ENSPPYG00000005595,SUPT16H,ortholog_one2one,SUPT16H
ENSG00000092201,ENSCSAG00000016497,SUPT16H,ortholog_one2one,,,,ENSGGOG00000002243,SUPT16H,ortholog_one2one,ENSPTRG00000006122,SUPT16H,ortholog_one2one,ENSPPYG00000005595,SUPT16H,ortholog_one2one,SUPT16H
ENSG00000092330,ENSCSAG00000015955,TINF2,ortholog_one2one,ENSMFAG00000032214,TINF2,ortholog_one2one,ENSGGOG00000039746,TINF2,ortholog_one2one,ENSPTRG00000006208,TINF2,ortholog_one2one,ENSPPYG00000005694,TINF2,ortholog_one2one,TINF2
ENSG00000092931,ENSCSAG00000005118,MFSD11,ortholog_one2one,ENSMFAG00000034595,MFSD11,ortholog_one2one,ENSGGOG00000014390,MFSD11,ortholog_one2one,ENSPTRG00000009693,MFSD11,ortholog_one2one,ENSPPYG00000008669,MFSD11,ortholog_one2one,MFSD11
ENSG00000093009,ENSCSAG00000011723,CDC45,ortholog_one2one,ENSMFAG00000045935,CDC45,ortholog_one2one,ENSGGOG00000004116,CDC45,ortholog_one2one,ENSPTRG00000014064,CDC45,ortholog_one2one,ENSPPYG00000011581,CDC45,ortholog_one2one,CDC45
ENSG00000094914,ENSCSAG00000005499,,ortholog_one2one,ENSMFAG00000039804,AAAS,ortholog_one2one,ENSGGOG00000015799,AAAS,ortholog_one2one,ENSPTRG00000005012,AAAS,ortholog_one2one,ENSPPYG00000004577,AAAS,ortholog_one2one,AAAS
ENSG00000095319,ENSCSAG00000014498,NUP188,ortholog_one2one,,,,ENSGGOG00000015291,NUP188,ortholog_one2one,,,,ENSPPYG00000019670,NUP188,ortholog_one2one,NUP188
ENSG00000095319,ENSCSAG00000014498,NUP188,ortholog_one2one,,,,ENSGGOG00000015291,NUP188,ortholog_one2one,,,,ENSPPYG00000019670,NUP188,ortholog_one2one,NUP188
ENSG00000095787,ENSCSAG00000011716,WAC,ortholog_one2one,ENSMFAG00000001983,WAC,ortholog_one2one,ENSGGOG00000005639,WAC,ortholog_one2one,ENSPTRG00000002388,WAC,ortholog_one2one,ENSPPYG00000002177,WAC,ortholog_one2one,WAC
ENSG00000096872,ENSCSAG00000009766,IFT74,ortholog_one2one,ENSMFAG00000001877,IFT74,ortholog_one2one,ENSGGOG00000007259,IFT74,ortholog_one2one,ENSPTRG00000020833,IFT74,ortholog_one2one,ENSPPYG00000019159,IFT74,ortholog_one2one,IFT74
ENSG00000099341,ENSCSAG00000004073,PSMD8,ortholog_one2one,ENSMFAG00000032204,PSMD8,ortholog_one2one,ENSGGOG00000004458,PSMD8,ortholog_one2one,,,,ENSPPYG00000009931,PSMD8,ortholog_one2one,PSMD8
