Gene stable ID,Donkey gene stable ID,Donkey gene name,Donkey homology type,Gene name
ENSECAG00000010506,ENSEASG00005010019,PLEKHH3,ortholog_one2one,PLEKHH3
ENSECAG00000010520,ENSEASG00005007292,TSFM,ortholog_one2one,TSFM
ENSECAG00000010534,ENSEASG00005017333,GTF3C1,ortholog_one2one,GTF3C1
ENSECAG00000010564,ENSEASG00005015506,GLMN,ortholog_one2one,GLMN
ENSECAG00000010678,ENSEASG00005001319,LIN37,ortholog_one2one,LIN37
ENSECAG00000010680,ENSEASG00005019830,CCDC22,ortholog_one2one,CCDC22
ENSECAG00000010693,ENSEASG00005017136,,ortholog_one2one,ITFG2
ENSECAG00000010733,ENSEASG00005016991,EPO,ortholog_one2one,EPO
ENSECAG00000010790,ENSEASG00005013770,,ortholog_one2one,COG6
ENSECAG00000010822,ENSEASG00005012870,C16orf86,ortholog_one2one,C3H16orf86
ENSECAG00000010866,ENSEASG00005015895,TMEM270,ortholog_one2one,TMEM270
ENSECAG00000010922,ENSEASG00005016481,RAD50,ortholog_one2one,RAD50
ENSECAG00000010969,ENSEASG00005005878,CTR9,ortholog_one2one,CTR9
ENSECAG00000011029,ENSEASG00005017990,RAD17,ortholog_one2one,RAD17
ENSECAG00000011043,ENSEASG00005008903,RUSF1,ortholog_one2one,RUSF1
ENSECAG00000011072,ENSEASG00005011199,NLE1,ortholog_one2one,NLE1
ENSECAG00000011118,ENSEASG00005004729,GATC,ortholog_one2one,GATC
ENSECAG00000011136,ENSEASG00005029281,COA1,ortholog_one2one,COA1
ENSECAG00000011152,ENSEASG00005010657,STIL,ortholog_one2one,STIL
ENSECAG00000011186,ENSEASG00005037133,VKORC1L1,ortholog_one2one,VKORC1L1
ENSECAG00000011226,ENSEASG00005004059,CENPQ,ortholog_one2one,CENPQ
ENSECAG00000011243,ENSEASG00005006852,NCOA6,ortholog_one2one,NCOA6
ENSECAG00000011320,ENSEASG00005011020,MSANTD4,ortholog_one2one,MSANTD4
ENSECAG00000011346,ENSEASG00005019386,TRAPPC1,ortholog_one2one,TRAPPC1
ENSECAG00000011361,ENSEASG00005009471,,ortholog_one2one,SLC8B1
ENSECAG00000011385,ENSEASG00005014190,ERCC1,ortholog_one2one,ERCC1
ENSECAG00000011387,ENSEASG00005000796,,ortholog_one2one,
ENSECAG00000011409,ENSEASG00005003802,TIMM44,ortholog_one2one,TIMM44
ENSECAG00000011453,ENSEASG00005031718,CCDC93,ortholog_one2one,CCDC93
ENSECAG00000011460,ENSEASG00005019398,CNTROB,ortholog_one2one,CNTROB
ENSECAG00000011558,ENSEASG00005034493,RITA1,ortholog_one2one,RITA1
ENSECAG00000011569,ENSEASG00005019143,KHDC4,ortholog_one2one,KHDC4
ENSECAG00000011712,ENSEASG00005007146,C5orf22,ortholog_one2one,C21H5orf22
ENSECAG00000011738,ENSEASG00005020396,,ortholog_one2one,GET4
ENSECAG00000011789,ENSEASG00005015365,RPAIN,ortholog_one2one,RPAIN
ENSECAG00000011814,ENSEASG00005016257,LY6G5C,ortholog_one2one,LY6G5C
ENSECAG00000011862,ENSEASG00005032215,CFAP68,ortholog_one2one,CFAP68
ENSECAG00000011878,ENSEASG00005002794,DTL,ortholog_one2one,DTL
ENSECAG00000011889,ENSEASG00005022400,USPL1,ortholog_one2one,USPL1
ENSECAG00000011952,ENSEASG00005025519,,ortholog_one2one,C9H8orf33
ENSECAG00000011954,ENSEASG00005011413,ATG3,ortholog_one2one,ATG3
ENSECAG00000011958,ENSEASG00005004478,TRMT44,ortholog_one2one,TRMT44
ENSECAG00000012085,ENSEASG00005005530,SWT1,ortholog_one2one,SWT1
ENSECAG00000012109,ENSEASG00005038104,SOSTDC1,ortholog_one2one,SOSTDC1
ENSECAG00000012119,ENSEASG00005038157,C4orf36,ortholog_one2one,C3H4orf36
ENSECAG00000012127,ENSEASG00005022702,UVSSA,ortholog_one2one,UVSSA
ENSECAG00000012188,ENSEASG00005038725,LSMEM2,ortholog_one2one,LSMEM2
ENSECAG00000012193,ENSEASG00005012939,GLYCTK,ortholog_one2one,GLYCTK
ENSECAG00000012231,ENSEASG00005009263,DEK,ortholog_one2one,DEK
ENSECAG00000012266,ENSEASG00005014028,BCCIP,ortholog_one2one,BCCIP
ENSECAG00000012274,ENSEASG00005015538,NELFE,ortholog_one2one,NELFE
ENSECAG00000012327,ENSEASG00005013375,IL34,ortholog_one2one,IL34
ENSECAG00000012330,ENSEASG00005030261,LRRC31,ortholog_one2one,LRRC31
ENSECAG00000012568,ENSEASG00005005146,CCDC33,ortholog_one2one,CCDC33
ENSECAG00000012608,ENSEASG00005001795,SPMIP9,ortholog_one2one,SPMIP9
ENSECAG00000012635,ENSEASG00005021202,,ortholog_one2one,BRAT1
ENSECAG00000012688,ENSEASG00005010142,TAF12,ortholog_one2one,TAF12
ENSECAG00000012764,ENSEASG00005011552,C19orf47,ortholog_one2one,C10H19orf47
ENSECAG00000012800,ENSEASG00005015366,NUP88,ortholog_one2one,NUP88
ENSECAG00000012857,ENSEASG00005021977,JSRP1,ortholog_one2one,JSRP1
ENSECAG00000012943,ENSEASG00005003303,MTERF3,ortholog_one2one,MTERF3
ENSECAG00000013059,ENSEASG00005019038,NAT9,ortholog_one2one,NAT9
ENSECAG00000013131,ENSEASG00005012695,PECR,ortholog_one2one,PECR
ENSECAG00000013159,ENSEASG00005003315,TJAP1,ortholog_one2one,TJAP1
ENSECAG00000013222,ENSEASG00005024441,TMEM230,ortholog_one2one,TMEM230
ENSECAG00000013245,ENSEASG00005016504,USO1,ortholog_one2one,USO1
ENSECAG00000013246,ENSEASG00005007314,APLF,ortholog_one2one,APLF
ENSECAG00000013262,ENSEASG00005010150,NAGS,ortholog_one2one,NAGS
ENSECAG00000013295,ENSEASG00005017043,NUFIP1,ortholog_one2one,NUFIP1
ENSECAG00000013501,ENSEASG00005000250,TSR3,ortholog_one2one,TSR3
ENSECAG00000013531,ENSEASG00005010660,AUP1,ortholog_one2one,AUP1
ENSECAG00000013532,ENSEASG00005006467,,ortholog_one2one,
ENSECAG00000013539,ENSEASG00005022771,ITFG1,ortholog_one2one,ITFG1
ENSECAG00000013542,ENSEASG00005013643,CMIP,ortholog_one2one,CMIP
ENSECAG00000013578,ENSEASG00005007149,DROSHA,ortholog_one2one,DROSHA
ENSECAG00000013653,ENSEASG00005009532,TPMT,ortholog_one2one,TPMT
ENSECAG00000013671,ENSEASG00005021167,EIF3B,ortholog_one2one,EIF3B
ENSECAG00000013676,ENSEASG00005019257,CAST,ortholog_one2one,CAST
ENSECAG00000013700,ENSEASG00005032183,,ortholog_one2one,PIR
ENSECAG00000013713,ENSEASG00005014457,DENND10,ortholog_one2one,DENND10
ENSECAG00000013754,ENSEASG00005011002,TRADD,ortholog_one2one,TRADD
ENSECAG00000013760,ENSEASG00005000367,TTI1,ortholog_one2one,TTI1
ENSECAG00000013824,ENSEASG00005018452,POC5,ortholog_one2one,POC5
ENSECAG00000013828,ENSEASG00005011339,MARF1,ortholog_one2one,MARF1
ENSECAG00000013900,ENSEASG00005005040,ZDHHC24,ortholog_one2one,ZDHHC24
ENSECAG00000013910,ENSEASG00005023452,ORC4,ortholog_one2one,ORC4
ENSECAG00000013944,ENSEASG00005011827,RETREG2,ortholog_one2one,RETREG2
ENSECAG00000014023,ENSEASG00005011197,FNDC8,ortholog_one2one,FNDC8
ENSECAG00000014026,ENSEASG00005005618,ASTE1,ortholog_one2one,ASTE1
ENSECAG00000014039,ENSEASG00005010011,COX15,ortholog_one2one,COX15
ENSECAG00000014040,ENSEASG00005002290,SIAE,ortholog_one2one,SIAE
ENSECAG00000014051,ENSEASG00005001991,MED19,ortholog_one2one,MED19
ENSECAG00000014065,ENSEASG00005013037,CCDC47,ortholog_one2one,CCDC47
ENSECAG00000014074,ENSEASG00005016323,NUGGC,ortholog_one2one,NUGGC
ENSECAG00000014105,ENSEASG00005019741,ACP7,ortholog_one2one,ACP7
ENSECAG00000014107,ENSEASG00005031146,C2orf69,ortholog_one2one,C18H2orf69
ENSECAG00000014140,ENSEASG00005007342,NDUFAF7,ortholog_one2one,NDUFAF7
ENSECAG00000014148,ENSEASG00005004560,,ortholog_one2one,CABYR
ENSECAG00000014215,ENSEASG00005028435,SDHC,ortholog_one2one,SDHC
ENSECAG00000014258,ENSEASG00005015833,PLRG1,ortholog_one2one,PLRG1
ENSECAG00000014323,ENSEASG00005022793,SKA3,ortholog_one2one,SKA3
ENSECAG00000014377,ENSEASG00005022431,CHAF1A,ortholog_one2one,CHAF1A
ENSECAG00000014402,ENSEASG00005012562,MPHOSPH9,ortholog_one2one,MPHOSPH9
ENSECAG00000014411,ENSEASG00005034597,NKAPD1,ortholog_one2one,NKAPD1
ENSECAG00000014428,ENSEASG00005002321,CIAO1,ortholog_one2one,CIAO1
ENSECAG00000014479,ENSEASG00005012139,,ortholog_one2one,PXDC1
ENSECAG00000014503,ENSEASG00005023444,MMADHC,ortholog_one2one,MMADHC
ENSECAG00000014517,ENSEASG00005016075,CDCA3,ortholog_one2one,CDCA3
ENSECAG00000014597,ENSEASG00005023018,MCTS1,ortholog_one2one,MCTS1
ENSECAG00000014616,ENSEASG00005016838,TTC14,ortholog_one2one,TTC14
ENSECAG00000014630,ENSEASG00005016071,TBATA,ortholog_one2one,TBATA
ENSECAG00000014662,ENSEASG00005001014,SLX4,ortholog_one2one,SLX4
ENSECAG00000014694,ENSEASG00005001983,TMX2,ortholog_one2one,TMX2
ENSECAG00000014697,ENSEASG00005001902,FBXO47,ortholog_one2one,FBXO47
ENSECAG00000014753,ENSEASG00005000324,CCDC50,ortholog_one2one,CCDC50
ENSECAG00000014814,ENSEASG00005015738,COMMD4,ortholog_one2one,COMMD4
ENSECAG00000014848,ENSEASG00005004046,EXOC7,ortholog_one2one,EXOC7
ENSECAG00000014859,ENSEASG00005016324,ELP3,ortholog_one2one,ELP3
ENSECAG00000014875,ENSEASG00005005924,PTPRCAP,ortholog_one2one,PTPRCAP
ENSECAG00000014909,ENSEASG00005030320,LNP1,ortholog_one2one,LNP1
ENSECAG00000014983,ENSEASG00005025789,HIRIP3,ortholog_one2one,HIRIP3
ENSECAG00000014995,ENSEASG00005028794,PNPO,ortholog_one2one,PNPO
ENSECAG00000015015,ENSEASG00005014612,INO80E,ortholog_one2one,INO80E
ENSECAG00000015050,ENSEASG00005007840,CTH,ortholog_one2one,CTH
ENSECAG00000015061,ENSEASG00005014444,MCMBP,ortholog_one2one,MCMBP
ENSECAG00000015110,ENSEASG00005012286,C11orf54,ortholog_one2one,C7H11orf54
ENSECAG00000015148,ENSEASG00005015069,EMC1,ortholog_one2one,EMC1
ENSECAG00000015185,ENSEASG00005027252,,ortholog_one2one,AK6
ENSECAG00000015237,ENSEASG00005015535,PIBF1,ortholog_one2one,PIBF1
ENSECAG00000015336,ENSEASG00005000732,NUP98,ortholog_one2one,NUP98
ENSECAG00000015352,ENSEASG00005002062,PPP2R3C,ortholog_one2one,PPP2R3C
ENSECAG00000015399,ENSEASG00005035772,TMEM169,ortholog_one2one,TMEM169
ENSECAG00000015465,ENSEASG00005023363,NCOA5,ortholog_one2one,NCOA5
ENSECAG00000015499,ENSEASG00005015444,XPC,ortholog_one2one,XPC
ENSECAG00000015506,ENSEASG00005036650,MUL1,ortholog_one2one,MUL1
ENSECAG00000015559,ENSEASG00005001311,VCPIP1,ortholog_one2one,VCPIP1
ENSECAG00000015662,ENSEASG00005010966,CMSS1,ortholog_one2one,CMSS1
ENSECAG00000015704,ENSEASG00005019844,ODF4,ortholog_one2one,ODF4
ENSECAG00000015738,ENSEASG00005019849,KRBA2,ortholog_one2one,KRBA2
ENSECAG00000015791,ENSEASG00005003539,PRIM2,ortholog_one2one,PRIM2
ENSECAG00000015792,ENSEASG00005008152,TMEM156,ortholog_one2one,TMEM156
ENSECAG00000015796,ENSEASG00005008235,LIAS,ortholog_one2one,LIAS
ENSECAG00000015808,ENSEASG00005013908,DNAI7,ortholog_one2one,DNAI7
ENSECAG00000015814,ENSEASG00005003324,LRRC73,ortholog_one2one,LRRC73
ENSECAG00000015855,ENSEASG00005009969,TMEM199,ortholog_one2one,TMEM199
ENSECAG00000015963,ENSEASG00005014540,ALKBH2,ortholog_one2one,ALKBH2
ENSECAG00000016067,ENSEASG00005023492,PPHLN1,ortholog_one2one,PPHLN1
ENSECAG00000016077,ENSEASG00005013474,NNT,ortholog_one2one,NNT
ENSECAG00000016084,ENSEASG00005037505,,ortholog_one2one,PROSER3
ENSECAG00000016109,ENSEASG00005016529,RCHY1,ortholog_one2one,RCHY1
ENSECAG00000016193,ENSEASG00005002952,FBXO38,ortholog_one2one,FBXO38
ENSECAG00000016206,ENSEASG00005020871,,ortholog_one2one,CUTA
ENSECAG00000016208,ENSEASG00005031351,CYP21A2,ortholog_one2one,CYP21A1
ENSECAG00000016214,ENSEASG00005000559,TMEM94,ortholog_one2one,TMEM94
ENSECAG00000016263,ENSEASG00005030204,MRPL9,ortholog_one2one,MRPL9
ENSECAG00000016280,ENSEASG00005005915,CYBC1,ortholog_one2one,CYBC1
ENSECAG00000016288,ENSEASG00005009757,SRRD,ortholog_one2one,SRRD
ENSECAG00000016316,ENSEASG00005017615,SMCR8,ortholog_one2one,SMCR8
ENSECAG00000016423,ENSEASG00005012500,CFAP91,ortholog_one2one,CFAP91
ENSECAG00000016440,ENSEASG00005010217,BOP1,ortholog_one2one,BOP1
ENSECAG00000016473,ENSEASG00005011794,ANKZF1,ortholog_one2one,ANKZF1
ENSECAG00000016489,ENSEASG00005008233,RPL9,ortholog_one2one,RPL9
ENSECAG00000016519,ENSEASG00005012980,ARV1,ortholog_one2one,ARV1
ENSECAG00000016548,ENSEASG00005020823,WDR46,ortholog_one2one,WDR46
ENSECAG00000016571,ENSEASG00005015306,DCAF15,ortholog_one2one,DCAF15
ENSECAG00000016648,ENSEASG00005017855,IL5,ortholog_one2one,IL5
ENSECAG00000016697,ENSEASG00005022492,MTIF3,ortholog_one2one,MTIF3
ENSECAG00000016736,ENSEASG00005005550,MRPL3,ortholog_one2one,MRPL3
ENSECAG00000016841,ENSEASG00005021004,,ortholog_one2one,MED15
ENSECAG00000016904,ENSEASG00005010336,,ortholog_one2one,CCDC103
ENSECAG00000016924,ENSEASG00005002889,MOCS1,ortholog_one2one,MOCS1
ENSECAG00000016925,ENSEASG00005019579,WAPL,ortholog_one2one,WAPL
ENSECAG00000016972,ENSEASG00005006484,SMPD2,ortholog_one2one,SMPD2
ENSECAG00000016979,ENSEASG00005005438,KATNB1,ortholog_one2one,KATNB1
ENSECAG00000017046,ENSEASG00005006048,THOC6,ortholog_one2one,THOC6
