Gene stable ID,American bison gene stable ID,American bison gene name,American bison homology type,Gene name
ENSBTAG00000001109,ENSBBBG00000014428,,ortholog_one2one,MRPS14
ENSBTAG00000001113,ENSBBBG00000011658,NDUFAF7,ortholog_one2one,NDUFAF7
ENSBTAG00000001140,ENSBBBG00000008101,IAH1,ortholog_one2one,IAH1
ENSBTAG00000001168,ENSBBBG00000002612,BRAP,ortholog_one2one,BRAP
ENSBTAG00000001174,ENSBBBG00000017605,,ortholog_one2one,MRPL15
ENSBTAG00000001199,ENSBBBG00000003747,DAP3,ortholog_one2one,DAP3
ENSBTAG00000001204,ENSBBBG00000002349,JCAD,ortholog_one2one,JCAD
ENSBTAG00000001314,ENSBBBG00000005465,TRMT6,ortholog_one2one,TRMT6
ENSBTAG00000001320,ENSBBBG00000019093,VPS16,ortholog_one2one,VPS16
ENSBTAG00000001346,ENSBBBG00000001380,STRA8,ortholog_one2one,STRA8
ENSBTAG00000001352,ENSBBBG00000014890,ENTR1,ortholog_one2one,ENTR1
ENSBTAG00000001419,ENSBBBG00000015394,MRPL4,ortholog_one2one,MRPL4
ENSBTAG00000001504,ENSBBBG00000018601,NOP14,ortholog_one2one,NOP14
ENSBTAG00000001520,ENSBBBG00000016485,MRPL24,ortholog_one2one,MRPL24
ENSBTAG00000001522,ENSBBBG00000016006,MTERF3,ortholog_one2one,MTERF3
ENSBTAG00000001594,ENSBBBG00000018423,ARL6IP4,ortholog_one2one,ARL6IP4
ENSBTAG00000001632,ENSBBBG00000012072,NBR1,ortholog_one2one,NBR1
ENSBTAG00000001665,ENSBBBG00000007422,COG8,ortholog_one2one,COG8
ENSBTAG00000001711,ENSBBBG00000002440,,ortholog_one2one,BORCS6
ENSBTAG00000001747,ENSBBBG00000007199,PEX3,ortholog_one2one,PEX3
ENSBTAG00000001763,ENSBBBG00000003931,NR2C2AP,ortholog_one2one,NR2C2AP
ENSBTAG00000001792,ENSBBBG00000021662,MICOS13,ortholog_one2one,MICOS13
ENSBTAG00000001796,ENSBBBG00000005716,CATSPERD,ortholog_one2one,CATSPERD
ENSBTAG00000001806,ENSBBBG00000007073,IQCD,ortholog_one2one,IQCD
ENSBTAG00000001832,ENSBBBG00000021983,MRPL10,ortholog_one2one,MRPL10
ENSBTAG00000001834,ENSBBBG00000009989,PNKP,ortholog_one2one,PNKP
ENSBTAG00000001844,ENSBBBG00000020580,,ortholog_one2one,MOGS
ENSBTAG00000001848,ENSBBBG00000009389,KATNB1,ortholog_one2one,KATNB1
ENSBTAG00000001854,ENSBBBG00000009357,CIAPIN1,ortholog_one2one,CIAPIN1
ENSBTAG00000001855,ENSBBBG00000009365,COQ9,ortholog_one2one,COQ9
ENSBTAG00000001872,ENSBBBG00000016634,ORC6,ortholog_one2one,ORC6
ENSBTAG00000001917,ENSBBBG00000001788,C11orf16,ortholog_one2one,C15H11orf16
ENSBTAG00000001922,ENSBBBG00000012833,AKIP1,ortholog_one2one,AKIP1
ENSBTAG00000001962,ENSBBBG00000013952,MRPS27,ortholog_one2one,MRPS27
ENSBTAG00000001999,ENSBBBG00000011646,NKAPD1,ortholog_one2one,NKAPD1
ENSBTAG00000002021,ENSBBBG00000011701,BNIP1,ortholog_one2one,BNIP1
ENSBTAG00000002060,ENSBBBG00000012486,,ortholog_one2one,RPL19
ENSBTAG00000002073,ENSBBBG00000013520,RAD17,ortholog_one2one,RAD17
ENSBTAG00000002105,ENSBBBG00000018828,TEX261,ortholog_one2one,TEX261
ENSBTAG00000002130,ENSBBBG00000009178,SMPD4,ortholog_one2one,SMPD4
ENSBTAG00000002143,ENSBBBG00000010281,DTWD2,ortholog_one2one,DTWD2
ENSBTAG00000002219,ENSBBBG00000016910,ATAD3A,ortholog_one2one,ATAD3A
ENSBTAG00000002236,ENSBBBG00000008559,TRPC4AP,ortholog_one2one,TRPC4AP
ENSBTAG00000002327,ENSBBBG00000000934,TMEM208,ortholog_one2one,TMEM208
ENSBTAG00000002389,ENSBBBG00000014847,MED19,ortholog_one2one,MED19
ENSBTAG00000002401,ENSBBBG00000019006,NPFF,ortholog_one2one,NPFF
ENSBTAG00000002404,ENSBBBG00000014830,TMX2,ortholog_one2one,TMX2
ENSBTAG00000002447,ENSBBBG00000012609,C19orf44,ortholog_one2one,C7H19orf44
ENSBTAG00000002458,ENSBBBG00000023976,NUP155,ortholog_one2one,NUP155
ENSBTAG00000002462,ENSBBBG00000016656,MRPL47,ortholog_one2one,MRPL47
ENSBTAG00000002492,ENSBBBG00000002637,SYCP3,ortholog_one2one,SYCP3
ENSBTAG00000002493,ENSBBBG00000004106,VPS35,ortholog_one2one,VPS35
ENSBTAG00000002559,ENSBBBG00000022718,MIOX,ortholog_one2one,MIOX
ENSBTAG00000002583,ENSBBBG00000006588,DNALI1,ortholog_one2one,DNALI1
ENSBTAG00000002678,ENSBBBG00000013284,MED18,ortholog_one2one,MED18
ENSBTAG00000002693,ENSBBBG00000008714,KANSL2,ortholog_one2one,KANSL2
ENSBTAG00000002746,ENSBBBG00000013886,OSTF1,ortholog_one2one,OSTF1
ENSBTAG00000002764,ENSBBBG00000000498,IGFLR1,ortholog_one2one,IGFLR1
ENSBTAG00000002816,ENSBBBG00000004558,SARM1,ortholog_one2one,SARM1
ENSBTAG00000002822,ENSBBBG00000016843,CNBD2,ortholog_one2one,CNBD2
ENSBTAG00000002972,ENSBBBG00000001867,DNAI7,ortholog_one2one,DNAI7
ENSBTAG00000002999,ENSBBBG00000012636,,ortholog_one2one,ANAPC15
ENSBTAG00000003058,ENSBBBG00000023624,ADRM1,ortholog_one2one,ADRM1
ENSBTAG00000003083,ENSBBBG00000014449,SLC50A1,ortholog_one2one,SLC50A1
ENSBTAG00000003100,ENSBBBG00000007061,SMTN,ortholog_one2one,SMTN
ENSBTAG00000003361,ENSBBBG00000002523,METTL15,ortholog_one2one,METTL15
ENSBTAG00000003371,ENSBBBG00000000637,JKAMP,ortholog_one2one,JKAMP
ENSBTAG00000003384,ENSBBBG00000021885,CEP162,ortholog_one2one,CEP162
ENSBTAG00000003390,ENSBBBG00000009919,SF3A1,ortholog_one2one,SF3A1
ENSBTAG00000003484,ENSBBBG00000017579,CZIB,ortholog_one2one,CZIB
ENSBTAG00000003494,ENSBBBG00000019434,DNAAF9,ortholog_one2one,DNAAF9
ENSBTAG00000003504,ENSBBBG00000017707,GSS,ortholog_one2one,GSS
ENSBTAG00000003535,ENSBBBG00000003342,DPM3,ortholog_one2one,DPM3
ENSBTAG00000003589,ENSBBBG00000014594,COMMD3,ortholog_one2one,COMMD3
ENSBTAG00000003804,ENSBBBG00000011719,SCCPDH,ortholog_one2one,SCCPDH
ENSBTAG00000003813,ENSBBBG00000009528,BCS1L,ortholog_one2one,BCS1L
ENSBTAG00000003817,ENSBBBG00000001540,RNF25,ortholog_one2one,RNF25
ENSBTAG00000003861,ENSBBBG00000011530,GPATCH11,ortholog_one2one,GPATCH11
ENSBTAG00000003906,ENSBBBG00000015307,SUPT7L,ortholog_one2one,SUPT7L
ENSBTAG00000003941,ENSBBBG00000025159,AP1AR,ortholog_one2one,AP1AR
ENSBTAG00000003958,ENSBBBG00000013641,TMEM220,ortholog_one2one,TMEM220
ENSBTAG00000003970,ENSBBBG00000023214,MITD1,ortholog_one2one,MITD1
ENSBTAG00000004095,ENSBBBG00000023823,CIMIP2A,ortholog_one2one,CIMIP2A
ENSBTAG00000004098,ENSBBBG00000012777,ARMT1,ortholog_one2one,ARMT1
ENSBTAG00000004100,ENSBBBG00000014897,TTI1,ortholog_one2one,TTI1
ENSBTAG00000004112,ENSBBBG00000018451,GAMT,ortholog_one2one,GAMT
ENSBTAG00000004184,ENSBBBG00000014073,WDSUB1,ortholog_one2one,WDSUB1
ENSBTAG00000004224,ENSBBBG00000004061,C19orf38,ortholog_one2one,C7H19orf38
ENSBTAG00000004230,ENSBBBG00000006380,AIMP1,ortholog_one2one,AIMP1
ENSBTAG00000004284,ENSBBBG00000015660,UFD1,ortholog_one2one,UFD1
ENSBTAG00000004310,ENSBBBG00000025438,UBR7,ortholog_one2one,UBR7
ENSBTAG00000004334,ENSBBBG00000020706,NCSTN,ortholog_one2one,NCSTN
ENSBTAG00000004378,ENSBBBG00000013451,IL23A,ortholog_one2one,IL23A
ENSBTAG00000004422,ENSBBBG00000021053,ALG14,ortholog_one2one,ALG14
ENSBTAG00000004492,ENSBBBG00000023244,SWT1,ortholog_one2one,SWT1
ENSBTAG00000004571,ENSBBBG00000010181,PRPF4,ortholog_one2one,PRPF4
ENSBTAG00000004622,ENSBBBG00000006112,DZANK1,ortholog_one2one,DZANK1
ENSBTAG00000004631,ENSBBBG00000005496,KIAA0586,ortholog_one2one,KIAA0586
ENSBTAG00000004663,ENSBBBG00000007202,TRUB2,ortholog_one2one,TRUB2
ENSBTAG00000004664,ENSBBBG00000022263,COQ4,ortholog_one2one,COQ4
ENSBTAG00000004723,ENSBBBG00000003328,TEX2,ortholog_one2one,TEX2
ENSBTAG00000004788,ENSBBBG00000021082,SDR39U1,ortholog_one2one,SDR39U1
ENSBTAG00000004864,ENSBBBG00000007585,CEP89,ortholog_one2one,CEP89
ENSBTAG00000004902,ENSBBBG00000003945,INTS8,ortholog_one2one,INTS8
ENSBTAG00000004936,ENSBBBG00000022717,TMIGD2,ortholog_one2one,TMIGD2
ENSBTAG00000004951,ENSBBBG00000006136,CFAP68,ortholog_one2one,CFAP68
ENSBTAG00000004956,ENSBBBG00000010816,CHEK2,ortholog_one2one,CHEK2
ENSBTAG00000004991,ENSBBBG00000000354,ELP1,ortholog_one2one,ELP1
ENSBTAG00000004996,ENSBBBG00000000448,ABITRAM,ortholog_one2one,ABITRAM
ENSBTAG00000005151,ENSBBBG00000015935,WDPCP,ortholog_one2one,WDPCP
ENSBTAG00000005174,ENSBBBG00000024284,GDPGP1,ortholog_one2one,GDPGP1
ENSBTAG00000005178,ENSBBBG00000011902,MMAB,ortholog_one2one,MMAB
ENSBTAG00000005189,ENSBBBG00000009785,,ortholog_one2one,SPACA9
ENSBTAG00000005285,ENSBBBG00000015506,MRPS33,ortholog_one2one,MRPS33
ENSBTAG00000005289,ENSBBBG00000012600,CHERP,ortholog_one2one,CHERP
ENSBTAG00000005364,ENSBBBG00000020234,HMBS,ortholog_one2one,HMBS
ENSBTAG00000005427,ENSBBBG00000018651,NRDE2,ortholog_one2one,NRDE2
ENSBTAG00000005465,ENSBBBG00000002308,NDUFA9,ortholog_one2one,NDUFA9
ENSBTAG00000005557,ENSBBBG00000024560,AFDN,ortholog_one2one,AFDN
ENSBTAG00000005565,ENSBBBG00000001505,CLN6,ortholog_one2one,CLN6
ENSBTAG00000005652,ENSBBBG00000015154,ALG3,ortholog_one2one,ALG3
ENSBTAG00000005663,ENSBBBG00000013436,HAUS2,ortholog_one2one,HAUS2
ENSBTAG00000005688,ENSBBBG00000021048,MRPS2,ortholog_one2one,MRPS2
ENSBTAG00000005815,ENSBBBG00000021876,RNF31,ortholog_one2one,RNF31
ENSBTAG00000005843,ENSBBBG00000010953,REXO2,ortholog_one2one,REXO2
ENSBTAG00000005893,ENSBBBG00000017572,TMEM68,ortholog_one2one,TMEM68
ENSBTAG00000005898,ENSBBBG00000017523,TGS1,ortholog_one2one,TGS1
ENSBTAG00000005907,ENSBBBG00000021823,NDUFB6,ortholog_one2one,NDUFB6
ENSBTAG00000005964,ENSBBBG00000007000,PIGG,ortholog_one2one,PIGG
ENSBTAG00000006003,ENSBBBG00000021896,SAP130,ortholog_one2one,SAP130
ENSBTAG00000006060,ENSBBBG00000007887,DCDC1,ortholog_one2one,DCDC1
ENSBTAG00000006064,ENSBBBG00000019499,,ortholog_one2one,BRME1
ENSBTAG00000006065,ENSBBBG00000022302,,ortholog_one2one,PCNA
ENSBTAG00000006067,ENSBBBG00000021299,,ortholog_one2one,VMAC
ENSBTAG00000006072,ENSBBBG00000000544,LRRC59,ortholog_one2one,LRRC59
ENSBTAG00000006085,ENSBBBG00000015981,DDOST,ortholog_one2one,DDOST
ENSBTAG00000006087,ENSBBBG00000023237,COG1,ortholog_one2one,COG1
ENSBTAG00000006089,ENSBBBG00000023213,,ortholog_one2one,MTNAP1
ENSBTAG00000006104,ENSBBBG00000017154,SNU13,ortholog_one2one,SNU13
ENSBTAG00000006244,ENSBBBG00000004534,WDR83OS,ortholog_one2one,WDR83OS
ENSBTAG00000006245,ENSBBBG00000018478,WDR83,ortholog_one2one,WDR83
ENSBTAG00000006247,ENSBBBG00000004547,DHPS,ortholog_one2one,DHPS
ENSBTAG00000006277,ENSBBBG00000018429,ENGASE,ortholog_one2one,ENGASE
ENSBTAG00000006364,ENSBBBG00000015689,GLMP,ortholog_one2one,GLMP
ENSBTAG00000006387,ENSBBBG00000003811,TSNAXIP1,ortholog_one2one,TSNAXIP1
ENSBTAG00000006404,ENSBBBG00000015380,CENPT,ortholog_one2one,CENPT
ENSBTAG00000006409,ENSBBBG00000009952,LRRC34,ortholog_one2one,LRRC34
ENSBTAG00000006423,ENSBBBG00000004165,PHF5A,ortholog_one2one,PHF5A
ENSBTAG00000006486,ENSBBBG00000015304,TSEN34,ortholog_one2one,TSEN34
ENSBTAG00000006491,ENSBBBG00000009282,AGL,ortholog_one2one,AGL
ENSBTAG00000006510,ENSBBBG00000025170,YRDC,ortholog_one2one,YRDC
ENSBTAG00000006581,ENSBBBG00000000627,,ortholog_one2one,CCDC82
ENSBTAG00000006610,ENSBBBG00000011070,XRRA1,ortholog_one2one,XRRA1
ENSBTAG00000006644,ENSBBBG00000011026,SPCS2,ortholog_one2one,SPCS2
ENSBTAG00000006665,ENSBBBG00000002691,ERP29,ortholog_one2one,ERP29
ENSBTAG00000006770,ENSBBBG00000014987,MTBP,ortholog_one2one,MTBP
ENSBTAG00000006776,ENSBBBG00000013049,KIAA0930,ortholog_one2one,KIAA0930
ENSBTAG00000006821,ENSBBBG00000008537,PECR,ortholog_one2one,PECR
ENSBTAG00000006836,ENSBBBG00000008697,FBXO33,ortholog_one2one,FBXO33
ENSBTAG00000006843,ENSBBBG00000014173,UTP15,ortholog_one2one,UTP15
ENSBTAG00000006925,ENSBBBG00000014872,CENPL,ortholog_one2one,CENPL
ENSBTAG00000006972,ENSBBBG00000016892,TRIP13,ortholog_one2one,TRIP13
ENSBTAG00000006988,ENSBBBG00000005650,M1AP,ortholog_one2one,M1AP
ENSBTAG00000007080,ENSBBBG00000000720,PREB,ortholog_one2one,PREB
ENSBTAG00000007112,ENSBBBG00000017813,IFT25,ortholog_one2one,IFT25
ENSBTAG00000007121,ENSBBBG00000018905,TK1,ortholog_one2one,TK1
ENSBTAG00000007189,ENSBBBG00000008602,,ortholog_one2one,RCHY1
ENSBTAG00000007217,ENSBBBG00000021836,TMEM94,ortholog_one2one,TMEM94
ENSBTAG00000007270,ENSBBBG00000004721,GTF2H3,ortholog_one2one,GTF2H3
ENSBTAG00000007336,ENSBBBG00000008308,HCST,ortholog_one2one,HCST
ENSBTAG00000007338,ENSBBBG00000022448,TYROBP,ortholog_one2one,TYROBP
ENSBTAG00000007360,ENSBBBG00000010956,TMEM43,ortholog_one2one,TMEM43
ENSBTAG00000007362,ENSBBBG00000001954,XPC,ortholog_one2one,XPC
ENSBTAG00000007363,ENSBBBG00000007967,LSM3,ortholog_one2one,LSM3
ENSBTAG00000007366,ENSBBBG00000012407,HAUS8,ortholog_one2one,HAUS8
ENSBTAG00000007386,ENSBBBG00000014048,NUDCD1,ortholog_one2one,NUDCD1
ENSBTAG00000007387,ENSBBBG00000014060,ENY2,ortholog_one2one,ENY2
ENSBTAG00000007534,ENSBBBG00000000635,GGH,ortholog_one2one,GGH
ENSBTAG00000007593,ENSBBBG00000002579,AIDA,ortholog_one2one,AIDA
ENSBTAG00000007595,ENSBBBG00000012936,BROX,ortholog_one2one,BROX
ENSBTAG00000007609,ENSBBBG00000002251,ITFG2,ortholog_one2one,ITFG2
ENSBTAG00000007683,ENSBBBG00000007670,DCAF17,ortholog_one2one,DCAF17
ENSBTAG00000007728,ENSBBBG00000009837,PES1,ortholog_one2one,PES1
ENSBTAG00000007756,ENSBBBG00000021926,TFPT,ortholog_one2one,TFPT
ENSBTAG00000007779,ENSBBBG00000002934,GTF3C3,ortholog_one2one,GTF3C3
ENSBTAG00000007913,ENSBBBG00000020504,CWC15,ortholog_one2one,CWC15
ENSBTAG00000007994,ENSBBBG00000022249,OSCP1,ortholog_one2one,OSCP1
ENSBTAG00000008110,ENSBBBG00000018412,IFT20,ortholog_one2one,IFT20
ENSBTAG00000008120,ENSBBBG00000018466,TMEM199,ortholog_one2one,TMEM199
ENSBTAG00000008133,ENSBBBG00000020638,ALKBH1,ortholog_one2one,ALKBH1
ENSBTAG00000008135,ENSBBBG00000020618,SLIRP,ortholog_one2one,SLIRP
ENSBTAG00000008145,ENSBBBG00000011057,SMPD2,ortholog_one2one,SMPD2
ENSBTAG00000008220,ENSBBBG00000001966,C11orf71,ortholog_one2one,C15H11orf71
ENSBTAG00000008369,ENSBBBG00000018797,RBM8A,ortholog_one2one,RBM8A
ENSBTAG00000008396,ENSBBBG00000023057,MRPL54,ortholog_one2one,MRPL54
ENSBTAG00000008417,ENSBBBG00000016551,VPS29,ortholog_one2one,VPS29
ENSBTAG00000008423,ENSBBBG00000020610,TIMM22,ortholog_one2one,TIMM22
ENSBTAG00000008432,ENSBBBG00000002654,NUP98,ortholog_one2one,NUP98
ENSBTAG00000008433,ENSBBBG00000013187,PGAP2,ortholog_one2one,PGAP2
ENSBTAG00000008457,ENSBBBG00000022185,SLU7,ortholog_one2one,SLU7
ENSBTAG00000008482,ENSBBBG00000017871,SON,ortholog_one2one,SON
ENSBTAG00000008499,ENSBBBG00000006097,,ortholog_one2one,TROAP
ENSBTAG00000008543,ENSBBBG00000011523,GTF2H5,ortholog_one2one,GTF2H5
ENSBTAG00000008590,ENSBBBG00000013951,SPAG7,ortholog_one2one,SPAG7
ENSBTAG00000008765,ENSBBBG00000007274,PRADC1,ortholog_one2one,PRADC1
ENSBTAG00000008801,ENSBBBG00000015047,ATPAF2,ortholog_one2one,ATPAF2
ENSBTAG00000008815,ENSBBBG00000022094,WDR89,ortholog_one2one,WDR89
ENSBTAG00000008825,ENSBBBG00000023256,POLR3F,ortholog_one2one,POLR3F
ENSBTAG00000008826,ENSBBBG00000006080,RBBP9,ortholog_one2one,RBBP9
ENSBTAG00000008841,ENSBBBG00000005189,DCAF15,ortholog_one2one,DCAF15
ENSBTAG00000008883,ENSBBBG00000003982,ZNF207,ortholog_one2one,ZNF207
ENSBTAG00000008906,ENSBBBG00000004777,PCP2,ortholog_one2one,PCP2
ENSBTAG00000008925,ENSBBBG00000013835,MRE11,ortholog_one2one,MRE11
ENSBTAG00000008962,ENSBBBG00000003370,MRPL50,ortholog_one2one,MRPL50
ENSBTAG00000008991,ENSBBBG00000025068,EIF4ENIF1,ortholog_one2one,EIF4ENIF1
ENSBTAG00000008994,ENSBBBG00000020965,FPGS,ortholog_one2one,FPGS
ENSBTAG00000009029,ENSBBBG00000004733,,ortholog_one2one,THA1
ENSBTAG00000009036,ENSBBBG00000018978,SUPT6H,ortholog_one2one,SUPT6H
ENSBTAG00000009075,ENSBBBG00000019367,RNF207,ortholog_one2one,RNF207
ENSBTAG00000009084,ENSBBBG00000013853,ATG3,ortholog_one2one,ATG3
ENSBTAG00000009109,ENSBBBG00000004543,CASD1,ortholog_one2one,CASD1
ENSBTAG00000009154,ENSBBBG00000017226,U2SURP,ortholog_one2one,U2SURP
ENSBTAG00000009163,ENSBBBG00000002391,TMEM234,ortholog_one2one,TMEM234
ENSBTAG00000009176,ENSBBBG00000013766,ANKRD49,ortholog_one2one,ANKRD49
ENSBTAG00000009291,ENSBBBG00000006046,CFAP61,ortholog_one2one,CFAP61
ENSBTAG00000009307,ENSBBBG00000017719,RER1,ortholog_one2one,RER1
ENSBTAG00000009394,ENSBBBG00000020078,NSMCE2,ortholog_one2one,NSMCE2
ENSBTAG00000009415,ENSBBBG00000023623,NUFIP1,ortholog_one2one,NUFIP1
ENSBTAG00000009433,ENSBBBG00000015635,BGLAP,ortholog_one2one,BGLAP
ENSBTAG00000009479,ENSBBBG00000004808,UQCRQ,ortholog_one2one,UQCRQ
ENSBTAG00000009509,ENSBBBG00000020956,NDUFA6,ortholog_one2one,NDUFA6
ENSBTAG00000009603,ENSBBBG00000003452,,ortholog_one2one,UQCRH
ENSBTAG00000009636,ENSBBBG00000016110,SLC7A6OS,ortholog_one2one,SLC7A6OS
ENSBTAG00000009661,ENSBBBG00000018775,RNASEH2A,ortholog_one2one,RNASEH2A
ENSBTAG00000009681,ENSBBBG00000009534,PPP2R3C,ortholog_one2one,PPP2R3C
ENSBTAG00000009682,ENSBBBG00000009525,PRORP,ortholog_one2one,PRORP
ENSBTAG00000009689,ENSBBBG00000009781,,ortholog_one2one,RWDD1
ENSBTAG00000009732,ENSBBBG00000004791,NCBP1,ortholog_one2one,NCBP1
ENSBTAG00000009743,ENSBBBG00000009992,PDRG1,ortholog_one2one,PDRG1
ENSBTAG00000009806,ENSBBBG00000019332,INVS,ortholog_one2one,INVS
ENSBTAG00000009811,ENSBBBG00000020551,BOP1,ortholog_one2one,BOP1
ENSBTAG00000009916,ENSBBBG00000019510,NTAQ1,ortholog_one2one,NTAQ1
ENSBTAG00000009923,ENSBBBG00000021153,CIPC,ortholog_one2one,CIPC
ENSBTAG00000010006,ENSBBBG00000003111,EMC2,ortholog_one2one,EMC2
ENSBTAG00000010009,ENSBBBG00000012733,TMCO1,ortholog_one2one,TMCO1
ENSBTAG00000010027,ENSBBBG00000018056,CHDH,ortholog_one2one,CHDH
ENSBTAG00000010036,ENSBBBG00000003413,POLR3D,ortholog_one2one,POLR3D
ENSBTAG00000010126,ENSBBBG00000012342,PCIF1,ortholog_one2one,PCIF1
ENSBTAG00000010136,ENSBBBG00000011109,CMAS,ortholog_one2one,CMAS
ENSBTAG00000010219,ENSBBBG00000004426,KRBA1,ortholog_one2one,KRBA1
ENSBTAG00000010235,ENSBBBG00000021275,NOP9,ortholog_one2one,NOP9
ENSBTAG00000010275,ENSBBBG00000005092,WASHC5,ortholog_one2one,WASHC5
ENSBTAG00000010286,ENSBBBG00000000204,NPAT,ortholog_one2one,NPAT
ENSBTAG00000010403,ENSBBBG00000010419,FAAP24,ortholog_one2one,FAAP24
ENSBTAG00000010413,ENSBBBG00000009808,TMEM169,ortholog_one2one,TMEM169
ENSBTAG00000010487,ENSBBBG00000007286,SMIM3,ortholog_one2one,SMIM3
ENSBTAG00000010513,ENSBBBG00000001059,GPS2,ortholog_one2one,GPS2
ENSBTAG00000010593,ENSBBBG00000020024,SRP72,ortholog_one2one,SRP72
ENSBTAG00000010599,ENSBBBG00000003605,C2orf76,ortholog_one2one,C2H2orf76
ENSBTAG00000010604,ENSBBBG00000016461,PNO1,ortholog_one2one,PNO1
ENSBTAG00000010613,ENSBBBG00000024205,NUP188,ortholog_one2one,NUP188
ENSBTAG00000010617,ENSBBBG00000002879,KRTCAP2,ortholog_one2one,KRTCAP2
ENSBTAG00000010623,ENSBBBG00000018807,ANKRD53,ortholog_one2one,ANKRD53
ENSBTAG00000010624,ENSBBBG00000011973,,ortholog_one2one,DCTN2
ENSBTAG00000010668,ENSBBBG00000015475,GEMIN7,ortholog_one2one,GEMIN7
ENSBTAG00000010715,ENSBBBG00000017934,MRPL37,ortholog_one2one,MRPL37
ENSBTAG00000010729,ENSBBBG00000015696,KRI1,ortholog_one2one,KRI1
ENSBTAG00000010734,ENSBBBG00000001794,NOP16,ortholog_one2one,NOP16
ENSBTAG00000010774,ENSBBBG00000014520,NUSAP1,ortholog_one2one,NUSAP1
ENSBTAG00000010809,ENSBBBG00000005873,HID1,ortholog_one2one,HID1
ENSBTAG00000010890,ENSBBBG00000023731,PRMT5,ortholog_one2one,PRMT5
ENSBTAG00000010949,ENSBBBG00000003983,PROSER1,ortholog_one2one,PROSER1
ENSBTAG00000010951,ENSBBBG00000008160,,ortholog_one2one,NHLRC3
ENSBTAG00000010961,ENSBBBG00000018690,LYRM7,ortholog_one2one,LYRM7
ENSBTAG00000011042,ENSBBBG00000023618,TMEM129,ortholog_one2one,TMEM129
ENSBTAG00000011079,ENSBBBG00000009539,,ortholog_one2one,C18H19orf48
ENSBTAG00000011134,ENSBBBG00000011840,USE1,ortholog_one2one,USE1
ENSBTAG00000011176,ENSBBBG00000005177,TPRKB,ortholog_one2one,TPRKB
ENSBTAG00000011212,ENSBBBG00000005263,EIF3K,ortholog_one2one,EIF3K
ENSBTAG00000011263,ENSBBBG00000007181,EIF6,ortholog_one2one,EIF6
ENSBTAG00000011317,ENSBBBG00000005857,,ortholog_one2one,GOLGA2
ENSBTAG00000011340,ENSBBBG00000024348,NSL1,ortholog_one2one,NSL1
ENSBTAG00000011389,ENSBBBG00000022598,TMEM104,ortholog_one2one,TMEM104
ENSBTAG00000011399,ENSBBBG00000007467,YARS2,ortholog_one2one,YARS2
ENSBTAG00000011409,ENSBBBG00000004098,CD72,ortholog_one2one,CD72
ENSBTAG00000011413,ENSBBBG00000006885,CCDC107,ortholog_one2one,CCDC107
ENSBTAG00000011431,ENSBBBG00000016869,GBA2,ortholog_one2one,GBA2
ENSBTAG00000011433,ENSBBBG00000016887,RGP1,ortholog_one2one,RGP1
ENSBTAG00000011451,ENSBBBG00000000613,CCDC175,ortholog_one2one,RTN1
ENSBTAG00000011466,ENSBBBG00000019410,,ortholog_one2one,NAXD
ENSBTAG00000011507,ENSBBBG00000008743,NUP88,ortholog_one2one,NUP88
