ENSEMBL gene ID	E1_ADIP3773	E1_ADIP3842	E1_ADIP3886
ENSBTAG00000001140	19.693378	20.050001	16.865305
ENSBTAG00000001141	18.456354	19.643141	18.720753
ENSBTAG00000001144	44.76432	43.588223	35.467308
ENSBTAG00000001152	0.048158	0.129523	0.40791
ENSBTAG00000001153	4.066175	3.598403	4.939384
ENSBTAG00000001164	7.633389	4.968632	7.132808
ENSBTAG00000001168	6.835362	6.590031	7.289055
ENSBTAG00000001174	13.486929	15.022969	9.343282
ENSBTAG00000001187	0.106501	0.0	0.282053
ENSBTAG00000001199	18.963326	11.148016	10.247583
ENSBTAG00000001204	23.564003	16.948635	24.002792
ENSBTAG00000001287	0.946905	0.733776	1.21657
ENSBTAG00000001290	1.603385	1.484595	1.959735
ENSBTAG00000001299	1.953298	1.691184	1.279647
ENSBTAG00000001314	4.994156	6.0604	6.627258
ENSBTAG00000001320	14.512543	20.904669	21.732208
ENSBTAG00000001329	67.970093	78.864761	74.033302
ENSBTAG00000001346	4.018909	3.317509	4.823862
ENSBTAG00000001350	0.094188	0.066537	0.055609
ENSBTAG00000001352	14.487514	21.671434	22.968309
ENSBTAG00000001353	69.678711	47.672119	42.645393
ENSBTAG00000001387	9.87077	8.986528	12.178894
ENSBTAG00000001401	0.0	0.0	0.28344
ENSBTAG00000001406	0.0	0.134547	0.0
ENSBTAG00000001410	0.994143	0.781833	1.474174
ENSBTAG00000001414	99.757507	101.281097	132.122314
ENSBTAG00000001419	47.04047	34.967369	32.108444
ENSBTAG00000001424	6.782743	7.894597	8.034801
ENSBTAG00000001425	11.981339	10.511354	12.181
ENSBTAG00000001473	39.953686	15.664886	27.982456
ENSBTAG00000001485	5.966215	6.66982	6.459074
ENSBTAG00000001504	8.843924	12.076118	10.452349
ENSBTAG00000001505	2.178762	2.206343	2.904845
ENSBTAG00000001511	31.332216	20.456884	30.382565
ENSBTAG00000001517	1.516365	5.835178	0.242254
ENSBTAG00000001518	10.119961	11.118122	11.474534
ENSBTAG00000001519	5.634869	8.837491	8.588756
ENSBTAG00000001520	37.52866	34.984234	28.44137
ENSBTAG00000001522	6.721353	6.596773	5.941746
ENSBTAG00000001539	14.090674	18.759502	18.819744
ENSBTAG00000001545	0.03109	0.085207	0.166264
ENSBTAG00000001553	297.189362	352.698761	296.295959
ENSBTAG00000001574	2.587656	3.300436	2.939627
ENSBTAG00000001592	126.209084	45.682228	53.184929
ENSBTAG00000001593	8.02372	9.723527	8.848915
ENSBTAG00000001594	18.782473	23.036024	18.639925
ENSBTAG00000001597	12.507664	8.17194	11.456991
ENSBTAG00000001603	0.062046	0.0	0.078469
ENSBTAG00000001609	6.573892	4.061195	5.526891
ENSBTAG00000001615	0.326305	0.468158	0.918494
ENSBTAG00000001632	27.879492	25.866798	31.097475
ENSBTAG00000001665	13.780695	15.983154	15.950841
ENSBTAG00000001666	2.646939	2.557677	2.203103
ENSBTAG00000001675	4.763268	2.133022	3.008092
ENSBTAG00000001697	56.290085	56.373489	59.894661
ENSBTAG00000001711	10.571952	15.684226	15.939773
ENSBTAG00000001714	3.688866	6.313041	5.554859
ENSBTAG00000001717	2.440408	0.516383	0.491566
ENSBTAG00000001737	6.005677	6.339478	7.607637
ENSBTAG00000001747	18.307304	8.608654	6.615968
ENSBTAG00000001762	18.269194	24.900829	23.368513
ENSBTAG00000001763	7.292768	13.106519	10.539066
ENSBTAG00000001776	50.84737	48.426338	40.913212
ENSBTAG00000001778	16.153524	15.627154	18.544209
ENSBTAG00000001780	12.739621	14.434565	11.200365
ENSBTAG00000001782	27.197693	32.618725	30.532095
ENSBTAG00000001790	16.109032	21.025841	20.207102
ENSBTAG00000001792	147.63504	156.395691	116.322556
ENSBTAG00000001793	1.753469	1.977446	2.48531
ENSBTAG00000001795	44.720482	27.087675	28.399288
ENSBTAG00000001796	1.344203	1.685512	1.591327
ENSBTAG00000001806	1.361416	1.086948	1.000574
ENSBTAG00000001807	7.327174	12.720503	11.896302
ENSBTAG00000001814	176.469528	65.570816	105.96566
ENSBTAG00000001821	10.561905	13.904195	13.459753
ENSBTAG00000001824	5.912074	2.861387	3.248501
ENSBTAG00000001827	17.83176	24.071121	22.507517
ENSBTAG00000001828	18.099552	16.481993	15.331445
ENSBTAG00000001829	3.604834	1.53142	3.257246
ENSBTAG00000001830	0.050697	0.098309	0.199532
ENSBTAG00000001832	31.999981	36.563702	33.328434
ENSBTAG00000001834	24.49283	30.236238	28.55468
ENSBTAG00000001843	95.886162	78.134834	76.402893
ENSBTAG00000001844	13.334677	16.493885	15.23942
ENSBTAG00000001848	10.557716	9.285794	8.599831
ENSBTAG00000001854	27.063879	23.859999	26.766947
ENSBTAG00000001855	55.050632	40.17392	31.851856
ENSBTAG00000001856	29.140957	39.611874	40.322712
ENSBTAG00000001857	2.804665	4.040976	4.000554
ENSBTAG00000001872	6.669239	6.668244	7.868723
ENSBTAG00000001904	19.767986	28.105154	27.981424
ENSBTAG00000001917	0.0	0.0	0.0
ENSBTAG00000001922	19.096807	17.403631	19.13352
ENSBTAG00000001927	0.686794	0.189984	0.178175
ENSBTAG00000001928	117.140579	136.64003	129.501633
ENSBTAG00000001937	78.329941	74.834312	74.444664
ENSBTAG00000001938	15.76244	2.603478	2.541466
ENSBTAG00000001945	1.494977	1.6155	1.407461
ENSBTAG00000001947	0.206853	0.503352	0.152292
ENSBTAG00000001948	57.42638	75.262543	67.176064
ENSBTAG00000001952	0.0	0.0	0.029931
ENSBTAG00000001959	0.0	0.0	0.0
ENSBTAG00000001962	15.546844	15.855008	12.634862
ENSBTAG00000001999	5.168495	7.007088	6.86021
ENSBTAG00000002000	65.267975	62.983391	56.612232
ENSBTAG00000002011	0.0	0.0	0.0
ENSBTAG00000002018	314.181976	273.995575	242.345886
ENSBTAG00000002021	6.616902	4.374813	5.036665
ENSBTAG00000002026	1069.185669	1809.309448	1285.2948
ENSBTAG00000002028	4.245943	6.057176	7.030543
ENSBTAG00000002060	1505.819092	2779.372314	1898.963135
ENSBTAG00000002070	0.08706	0.04453	0.0
ENSBTAG00000002072	17.85474	16.791788	17.531986
ENSBTAG00000002073	6.050185	6.064734	6.747396
ENSBTAG00000002105	30.681103	28.270691	27.68615
ENSBTAG00000002107	17.875145	35.473888	26.957323
ENSBTAG00000002117	0.427708	0.093086	0.17305
ENSBTAG00000002126	2.634253	3.209336	3.700802
ENSBTAG00000002130	29.161093	22.875355	27.034857
ENSBTAG00000002143	3.28785	1.626521	2.867852
ENSBTAG00000002219	9.95384	9.997348	9.5534
ENSBTAG00000002236	47.185131	39.920742	39.868736
ENSBTAG00000002242	13.092834	15.722063	15.464181
ENSBTAG00000002252	0.0	0.0	0.0
ENSBTAG00000002260	4.081878	2.892664	4.417738
ENSBTAG00000002321	9.022769	13.561584	15.789248
ENSBTAG00000002327	24.404613	32.222759	26.773993
ENSBTAG00000002340	4.148329	6.321208	6.486271
ENSBTAG00000002368	2.015599	2.219786	1.847126
ENSBTAG00000002378	229.955246	281.104828	329.047852
ENSBTAG00000002385	5.755379	4.746258	5.944051
ENSBTAG00000002389	17.671387	28.253031	27.670349
ENSBTAG00000002398	1.39024	1.000958	1.518479
ENSBTAG00000002401	0.437279	0.0	0.69494
ENSBTAG00000002404	46.734798	37.61517	39.960102
ENSBTAG00000002428	10.488664	12.396042	10.818514
ENSBTAG00000002447	0.885692	1.469511	1.275887
ENSBTAG00000002454	4.558105	5.748314	7.112164
ENSBTAG00000002457	159.624664	193.396591	150.026001
ENSBTAG00000002458	4.547816	4.180882	3.447952
ENSBTAG00000002460	7.393636	6.037574	7.065336
ENSBTAG00000002462	14.106211	20.494591	15.371737
ENSBTAG00000002463	64.474693	54.664837	35.697052
ENSBTAG00000002468	2038.118896	3754.145264	2458.80249
ENSBTAG00000002469	42.078655	36.163132	59.077751
ENSBTAG00000002472	4.995505	6.653781	7.038761
ENSBTAG00000002473	31.092072	18.387466	25.82148
ENSBTAG00000002475	132.079056	140.730606	159.807007
ENSBTAG00000002490	109.974442	54.286804	58.134418
ENSBTAG00000002492	8.635606	4.271349	4.551404
ENSBTAG00000002493	34.872204	26.449095	29.334661
ENSBTAG00000002504	9.016506	5.752975	6.022851
ENSBTAG00000002518	0.0	0.394844	0.479731
ENSBTAG00000002520	9.03678	6.82118	7.29327
ENSBTAG00000002550	0.786379	0.557819	0.450076
ENSBTAG00000002559	0.17341	0.218858	0.793473
ENSBTAG00000002561	0.0	0.0	0.0
ENSBTAG00000002562	0.0	0.0	0.0
ENSBTAG00000002575	39.515316	42.923546	31.035782
ENSBTAG00000002583	0.085241	0.0	0.108693
ENSBTAG00000002590	11.794454	14.706068	15.440255
ENSBTAG00000002600	1.728667	2.71799	2.035668
ENSBTAG00000002608	215.761185	178.869888	176.416412
ENSBTAG00000002625	8.698086	7.959756	7.669573
ENSBTAG00000002630	14.791673	14.992589	19.508333
ENSBTAG00000002635	0.803121	0.834834	0.345777
ENSBTAG00000002644	1.845208	1.702561	4.114425
ENSBTAG00000002645	28.72893	29.40431	33.988003
ENSBTAG00000002678	5.699693	8.853004	9.913453
ENSBTAG00000002683	105.897469	237.502411	189.583405
ENSBTAG00000002685	21.106716	15.630427	18.136955
ENSBTAG00000002693	12.823339	21.447268	19.48768
ENSBTAG00000002695	0.016041	0.078051	0.010577
ENSBTAG00000002697	38.337967	44.045067	45.135128
ENSBTAG00000002703	18.413771	11.713032	11.635161
ENSBTAG00000002704	5.901335	5.619708	5.211775
ENSBTAG00000002706	3.151515	5.326529	5.899158
ENSBTAG00000002715	14.332146	13.859348	14.795525
ENSBTAG00000002719	0.653639	0.022848	0.292011
ENSBTAG00000002720	5.894592	8.006338	7.924559
ENSBTAG00000002721	4.670219	4.671761	4.733593
ENSBTAG00000002726	6.454337	5.480113	5.467476
ENSBTAG00000002736	8.082958	6.067914	7.166157
ENSBTAG00000002743	11.963766	14.163115	13.928005
ENSBTAG00000002745	69.329239	66.476418	60.604477
ENSBTAG00000002746	72.721504	81.144073	74.392189
ENSBTAG00000002748	15.219354	19.715258	19.591007
ENSBTAG00000002750	5.296012	5.944976	5.810479
ENSBTAG00000002763	8.772904	8.882544	10.674911
ENSBTAG00000002764	6.372308	3.498235	5.135445
ENSBTAG00000002770	127.13974	119.610794	148.743652
ENSBTAG00000002798	16.74453	17.707727	17.55279
ENSBTAG00000002816	4.866124	3.850293	5.010151
ENSBTAG00000002817	4.471176	5.619105	4.691659
ENSBTAG00000002822	0.16037	0.0	0.045312
ENSBTAG00000002827	88.4076	25.54644	17.257427
ENSBTAG00000002829	62.053242	59.76593	51.65435
ENSBTAG00000002854	22.493614	34.861134	33.846889
ENSBTAG00000002888	5.857893	3.305797	4.689836
ENSBTAG00000002890	0.0	0.0	0.0
ENSBTAG00000002891	0.0	0.0	0.035181
ENSBTAG00000002918	3.237471	1.789983	1.609065
ENSBTAG00000002921	6.924994	8.043715	8.598412
ENSBTAG00000002966	6.66484	6.000377	6.894136
ENSBTAG00000002972	0.25361	0.392691	0.265108
ENSBTAG00000002977	95.162468	112.130959	96.917534
ENSBTAG00000002978	0.026702	0.12275	0.28191
ENSBTAG00000002999	17.971857	14.725395	16.702717
ENSBTAG00000003000	0.169397	0.0	0.0
ENSBTAG00000003018	13.995247	53.147594	38.982151
ENSBTAG00000003052	15.886502	14.588931	13.698094
ENSBTAG00000003058	118.597549	100.429634	105.972511
ENSBTAG00000003061	25.726532	15.925965	25.387741
ENSBTAG00000003067	132.206146	115.400352	104.047562
ENSBTAG00000003083	12.383292	14.574561	19.752205
ENSBTAG00000003100	39.200478	23.356947	35.176193
ENSBTAG00000003111	1.872177	1.042761	1.225318
ENSBTAG00000003130	0.534206	1.845018	6.019504
ENSBTAG00000003148	12.129935	13.004991	13.776564
ENSBTAG00000003161	34.71162	34.933922	35.869144
ENSBTAG00000003162	34.934723	24.469158	21.551384
ENSBTAG00000003186	6.419489	4.932583	5.604976
ENSBTAG00000003192	17.297924	8.784911	13.055247
ENSBTAG00000003208	11.782197	11.545529	12.402359
ENSBTAG00000003238	66.133179	58.531925	76.507568
ENSBTAG00000003279	114.595551	56.256355	44.409328
ENSBTAG00000003357	0.0	0.0	0.227143
ENSBTAG00000003361	2.502679	2.531847	1.73545
ENSBTAG00000003362	104.35067	96.379753	86.724678
ENSBTAG00000003371	10.551872	12.910465	11.497216
ENSBTAG00000003384	2.043797	1.536678	1.64325
ENSBTAG00000003390	65.156578	77.505882	88.170479
ENSBTAG00000003393	0.651207	0.910458	1.187916
ENSBTAG00000003401	59.842529	49.187084	45.235336
ENSBTAG00000003410	5.00774	6.870178	6.616768
ENSBTAG00000003423	35.314041	35.995094	35.148785
ENSBTAG00000003436	5.326512	4.51599	5.936683
ENSBTAG00000003479	0.045667	0.046824	0.01519
ENSBTAG00000003484	77.024147	103.347984	94.735825
ENSBTAG00000003494	5.562215	2.660317	3.941918
ENSBTAG00000003504	28.67301	11.159498	10.57985
ENSBTAG00000003535	78.489456	140.912918	107.438126
ENSBTAG00000003547	0.0	0.0	0.0
ENSBTAG00000003556	210.51416	199.576447	210.98526
ENSBTAG00000003559	8.487109	6.09343	8.55474
ENSBTAG00000003566	15.683181	19.908575	20.603186
ENSBTAG00000003589	45.125648	55.600643	47.025955
ENSBTAG00000003594	0.0	0.0	0.055308
ENSBTAG00000003614	2.147128	2.02219	2.590992
ENSBTAG00000003616	2.328902	1.03665	1.15892
ENSBTAG00000003622	0.989244	1.46678	1.149585
ENSBTAG00000003679	14.346368	13.817842	16.85955
ENSBTAG00000003682	0.0	0.0	0.0
ENSBTAG00000003687	16.592566	13.525932	12.730796
ENSBTAG00000003691	0.961177	0.590397	0.305832
ENSBTAG00000003693	58.684776	66.200974	71.318779
ENSBTAG00000003695	20.832932	22.765491	21.298626
ENSBTAG00000003696	0.529405	1.041092	1.843119
ENSBTAG00000003697	20.793703	12.342721	24.082743
ENSBTAG00000003700	0.091931	0.172032	0.345414
ENSBTAG00000003702	4.802239	6.036377	5.803488
ENSBTAG00000003707	14.619579	15.938617	21.605221
ENSBTAG00000003711	167.206482	78.192841	110.970596
ENSBTAG00000003718	34.908127	18.721493	12.911108
ENSBTAG00000003733	0.0	0.598574	0.367178
ENSBTAG00000003747	35.963238	26.22385	22.989285
ENSBTAG00000003748	13.786102	16.896482	15.090355
ENSBTAG00000003784	12.513259	19.333593	16.403622
ENSBTAG00000003804	20.496815	18.802496	18.237413
ENSBTAG00000003809	0.403391	0.782322	0.671699
ENSBTAG00000003810	0.114048	0.215164	0.0
ENSBTAG00000003813	11.524687	7.169432	6.475335
ENSBTAG00000003817	7.889802	12.002659	12.666162
ENSBTAG00000003819	0.898618	0.818365	1.033115
ENSBTAG00000003822	4.764734	5.786755	6.973536
ENSBTAG00000003832	166.047211	309.87738	303.989227
ENSBTAG00000003843	9.013218	14.11637	12.823437
ENSBTAG00000003848	5.128967	2.913541	4.291018
ENSBTAG00000003849	11.383134	14.919432	12.262064
ENSBTAG00000003855	0.0	0.0	0.0
ENSBTAG00000003861	8.70571	14.007889	12.208338
ENSBTAG00000003863	12.187779	15.495034	18.543453
ENSBTAG00000003878	4.845052	7.211135	6.32423
ENSBTAG00000003884	4.54705	5.174623	5.051945
ENSBTAG00000003887	286.480072	141.507309	91.686806
ENSBTAG00000003901	0.866762	0.442436	0.392984
ENSBTAG00000003904	8.548002	9.395221	8.136804
ENSBTAG00000003906	3.12335	3.025172	2.947037
ENSBTAG00000003934	11.76937	14.596471	13.587225
ENSBTAG00000003941	7.593956	10.382982	9.32975
ENSBTAG00000003947	49.09293	78.763397	76.520767
ENSBTAG00000003949	48.715694	68.626419	65.472641
ENSBTAG00000003954	7.041196	7.770483	7.842483
ENSBTAG00000003958	5.943123	6.961753	7.276071
ENSBTAG00000003963	0.523821	0.189429	0.256382
ENSBTAG00000003966	10.003073	13.093629	12.457237
ENSBTAG00000003970	9.070118	11.151711	10.957643
ENSBTAG00000003975	17.863008	6.664642	8.650459
ENSBTAG00000003977	0.0	0.0	0.0
ENSBTAG00000003981	15.988921	20.654724	18.570606
ENSBTAG00000003983	45.055611	25.90608	36.607674
ENSBTAG00000003997	11.091635	8.446307	7.832226
ENSBTAG00000004004	0.704948	0.65294	1.545444
ENSBTAG00000004009	10.654419	10.451516	10.235835
ENSBTAG00000004018	7.160026	12.51738	14.094553
ENSBTAG00000004019	0.620891	0.744173	0.559242
ENSBTAG00000004028	1.695081	2.806958	2.029017
ENSBTAG00000004034	31.494623	15.458854	27.255394
ENSBTAG00000004061	0.616774	0.253033	0.853432
ENSBTAG00000004085	4.116447	1.308725	0.790508
ENSBTAG00000004086	0.02828	0.054269	0.0
ENSBTAG00000004092	0.820426	1.447269	1.449656
ENSBTAG00000004095	0.125071	0.066987	0.0
ENSBTAG00000004098	4.54458	4.183686	4.30074
ENSBTAG00000004100	4.202371	3.992301	4.892775
ENSBTAG00000004108	40.223408	42.380272	29.089872
ENSBTAG00000004111	1.701303	2.237471	1.883534
ENSBTAG00000004112	33.435604	40.331806	28.271103
ENSBTAG00000004117	15.196404	16.24148	15.311838
ENSBTAG00000004172	6.456821	5.663815	6.792114
ENSBTAG00000004184	7.855712	11.547644	7.130784
ENSBTAG00000004188	4.734445	6.986392	6.562927
ENSBTAG00000004189	6.208847	4.188035	7.151006
ENSBTAG00000004191	5.688634	7.30181	6.839892
ENSBTAG00000004196	12.042282	12.445204	14.10186
ENSBTAG00000004204	7.676732	4.374792	5.510369
ENSBTAG00000004206	5.279099	9.016819	11.023904
ENSBTAG00000004208	0.77276	0.449782	0.322252
ENSBTAG00000004211	108.498718	130.007812	133.584061
ENSBTAG00000004216	2.461804	1.395333	1.358657
ENSBTAG00000004222	3.43294	5.104511	7.497066
ENSBTAG00000004224	0.924335	0.0	0.47156
ENSBTAG00000004226	1.014659	3.190009	2.475394
ENSBTAG00000004227	3.039726	2.691246	3.329576
ENSBTAG00000004230	49.912754	80.014572	63.646267
ENSBTAG00000004249	1.121501	1.102864	1.208481
ENSBTAG00000004267	0.0	0.0	0.0
ENSBTAG00000004268	100.740868	148.423004	118.692291
ENSBTAG00000004269	27.60553	11.524618	15.646696
ENSBTAG00000004279	357.00705	377.293152	366.60376
ENSBTAG00000004284	65.634605	75.831841	69.734322
ENSBTAG00000004286	3.771619	3.725198	3.822176
ENSBTAG00000004290	5.136972	6.967501	7.057864
ENSBTAG00000004300	0.466501	0.295781	0.511952
ENSBTAG00000004310	12.91655	10.813095	12.828095
ENSBTAG00000004315	110.154716	87.981735	92.839317
ENSBTAG00000004333	50.789242	46.374805	49.615772
ENSBTAG00000004334	33.330364	29.593775	27.695551
ENSBTAG00000004337	2.938114	3.003237	7.295377
ENSBTAG00000004358	3.011377	1.486379	1.43138
ENSBTAG00000004375	0.055268	0.0	0.0
ENSBTAG00000004378	4.246459	5.380229	5.530865
ENSBTAG00000004379	25.960894	30.636002	25.972734
ENSBTAG00000004380	7.907406	4.849794	4.424741
ENSBTAG00000004406	6.405234	1.940735	2.565712
ENSBTAG00000004414	0.0	0.0	0.0
ENSBTAG00000004415	0.618229	0.451393	0.799078
ENSBTAG00000004422	13.668839	13.294164	7.598364
ENSBTAG00000004449	1.667781	1.82501	2.673486
ENSBTAG00000004463	84.829361	95.605362	94.461357
ENSBTAG00000004471	5.822837	5.683012	4.798905
ENSBTAG00000004492	2.429001	2.436621	2.660426
ENSBTAG00000004495	19.600811	16.302933	16.486198
ENSBTAG00000004512	11.385869	12.358468	15.398433
ENSBTAG00000004521	44.49823	69.61213	57.499
ENSBTAG00000004524	14.89016	14.55073	15.15268
ENSBTAG00000004568	9.898972	9.298069	9.001207
ENSBTAG00000004571	6.6647	10.46678	9.966265
ENSBTAG00000004578	0.0	0.0	0.081918
ENSBTAG00000004622	0.837623	0.807788	1.980018
ENSBTAG00000004631	1.72311	1.590244	1.478348
ENSBTAG00000004635	29.81163	35.4841	43.84243
ENSBTAG00000004663	7.695705	6.091898	6.472548
ENSBTAG00000004664	36.38353	23.16301	23.75119
ENSBTAG00000004680	0.516309	0.040156	0.337773
ENSBTAG00000004694	0.035294	0.020051	0.076464
ENSBTAG00000004695	62.00069	89.37009	87.92851
ENSBTAG00000004722	3.533548	6.652822	6.605703
ENSBTAG00000004723	22.82773	15.90314	17.17837
ENSBTAG00000004745	6.429637	6.524845	6.022793
ENSBTAG00000004761	0.0	0.0	0.0
ENSBTAG00000004768	9.081413	7.179746	9.339242
ENSBTAG00000004788	23.09858	19.17646	18.1298
ENSBTAG00000004791	17.05586	20.69944	23.86055
ENSBTAG00000004820	100.9169	122.5485	94.64966
ENSBTAG00000004842	5.19556	4.017845	4.913729
ENSBTAG00000004854	1.38318	1.389933	1.795308
ENSBTAG00000004864	2.450985	2.737708	2.778885
ENSBTAG00000004869	5.074698	1.522449	1.721438
ENSBTAG00000004879	0.0	0.0	0.0
ENSBTAG00000004888	0.0	0.0	0.076628
ENSBTAG00000004902	10.8495	10.65696	10.88053
ENSBTAG00000004906	1.394536	1.283683	0.962179
ENSBTAG00000004910	45.19495	45.58569	38.27607
ENSBTAG00000004912	6.77497	6.435206	7.14075
ENSBTAG00000004913	25.36676	32.79414	29.44388
ENSBTAG00000004915	669.6525	460.2747	461.6169
ENSBTAG00000004930	2.972708	3.405783	3.631631
ENSBTAG00000004936	0.303922	0.073649	0.0
ENSBTAG00000004942	9.597452	12.77155	14.41156
ENSBTAG00000004943	4.69928	0.335505	0.169727
ENSBTAG00000004949	0.786554	0.468703	0.795134
ENSBTAG00000004951	0.317303	0.0	0.0
ENSBTAG00000004956	2.03782	0.783934	1.108566
ENSBTAG00000004962	0.0	0.0	0.0
ENSBTAG00000004969	8.698754	8.896318	10.55405
ENSBTAG00000004970	12.28639	13.5579	16.63426
ENSBTAG00000004976	6.142944	8.272063	8.485133
ENSBTAG00000004991	3.704162	3.186521	3.769561
ENSBTAG00000004992	12.11898	12.20091	11.38119
ENSBTAG00000004995	5.900707	3.099718	4.638754
ENSBTAG00000004996	7.216019	9.710118	9.207867
ENSBTAG00000005002	5.831391	2.912184	2.763397
ENSBTAG00000005009	112.8829	95.80676	78.47899
ENSBTAG00000005010	4.435783	1.273963	1.497305
ENSBTAG00000005038	13.02358	9.814511	15.43023
ENSBTAG00000005039	0.0	0.0	0.0
ENSBTAG00000005042	0.0	0.0	0.0
ENSBTAG00000005055	0.290957	0.26923	0.705594
ENSBTAG00000005066	0.966407	1.673707	1.532229
ENSBTAG00000005071	5.526031	4.179756	6.379408
ENSBTAG00000005086	8.245858	8.38204	10.31314
ENSBTAG00000005093	1.614865	1.685407	2.819179
ENSBTAG00000005102	3.70745	2.809307	3.359491
ENSBTAG00000005110	4.295019	4.534539	4.709013
ENSBTAG00000005116	9.535759	10.80753	10.66202
ENSBTAG00000005127	192.3004	192.087	170.7315
