ENSEMBL gene ID	E4_Brainlobe1	E4_Brainlobe2	E4_Brainlobe3
ENSBTAG00000001517	0.0	0.0	0.0
ENSBTAG00000001518	12.802607	12.319724	12.51933
ENSBTAG00000001519	3.564899	2.159984	2.242022
ENSBTAG00000001520	13.359808	15.72491	14.697537
ENSBTAG00000001522	8.694106	6.082753	7.67695
ENSBTAG00000001539	8.455329	8.596028	9.558379
ENSBTAG00000001545	0.151486	0.0	0.169359
ENSBTAG00000001553	151.077866	153.175262	133.001053
ENSBTAG00000001574	5.030408	5.364884	7.011323
ENSBTAG00000001592	22.576136	22.81431	23.665552
ENSBTAG00000001593	3.483487	1.858527	2.070224
ENSBTAG00000001594	10.740562	8.280492	8.041091
ENSBTAG00000001597	3.230164	3.3521	4.927979
ENSBTAG00000001603	0.601869	1.196908	1.149093
ENSBTAG00000001609	5.014701	5.348412	6.1324
ENSBTAG00000001615	50.418777	24.720243	26.751083
ENSBTAG00000001632	18.387581	19.733839	26.50226
ENSBTAG00000001665	11.807632	9.309392	10.257674
ENSBTAG00000001666	7.692163	14.955555	16.193758
ENSBTAG00000001675	11.91093	10.210082	12.686021
ENSBTAG00000001697	42.79855	34.068851	39.2397
ENSBTAG00000001711	12.074244	11.168543	11.1018
ENSBTAG00000001714	4.511751	3.871942	4.406229
ENSBTAG00000001717	0.324978	0.551687	0.859795
ENSBTAG00000001737	5.202621	6.96018	6.615873
ENSBTAG00000001747	4.103892	4.245217	6.36353
ENSBTAG00000001762	4.918747	2.891642	2.573678
ENSBTAG00000001763	8.61475	7.244752	8.751358
ENSBTAG00000001776	58.920048	38.112564	35.169083
ENSBTAG00000001778	4.832309	4.136876	3.269453
ENSBTAG00000001780	2.083555	2.0098	1.450477
ENSBTAG00000001782	9.551142	11.907675	10.215337
ENSBTAG00000001790	15.46937	10.34191	10.928988
ENSBTAG00000001792	27.000607	24.403337	22.618124
ENSBTAG00000001793	6.662446	5.278726	6.003555
ENSBTAG00000001795	7.024664	4.159078	7.070077
ENSBTAG00000001796	0.699116	0.72057	0.759345
ENSBTAG00000001806	4.468049	2.172212	2.629117
ENSBTAG00000001807	11.832868	8.298125	8.475647
ENSBTAG00000001814	2.256366	1.363856	2.858546
ENSBTAG00000001821	18.274591	16.903824	21.984234
ENSBTAG00000001824	4.265127	3.039337	3.879099
ENSBTAG00000001827	20.616354	13.603707	17.579418
ENSBTAG00000001828	2.942914	2.045789	2.07094
ENSBTAG00000001829	0.378217	0.645303	0.555495
ENSBTAG00000001830	0.707468	0.474832	1.26998
ENSBTAG00000001832	13.693727	11.270134	11.898535
ENSBTAG00000001834	2.132571	1.588483	1.921203
ENSBTAG00000001843	20.822437	21.741867	16.91317
ENSBTAG00000001844	5.130447	3.992376	6.136094
ENSBTAG00000001848	5.082126	2.785311	4.331545
ENSBTAG00000001854	19.935236	13.851514	18.742523
ENSBTAG00000001855	12.492751	7.619724	9.581271
ENSBTAG00000001856	30.553682	26.642712	33.385529
ENSBTAG00000001857	5.821727	5.567688	4.963367
ENSBTAG00000001872	4.105432	3.3404	4.585596
ENSBTAG00000001904	4.898972	3.277644	3.702063
ENSBTAG00000001917	0.0	0.138122	0.0
ENSBTAG00000001922	15.506361	12.111865	14.339467
ENSBTAG00000001927	0.663967	0.478702	0.546955
ENSBTAG00000001928	47.086475	44.923157	37.379581
ENSBTAG00000001937	14.379271	12.695319	13.592444
ENSBTAG00000001938	0.413726	1.391499	1.388287
ENSBTAG00000001945	6.235436	7.568701	9.759948
ENSBTAG00000001947	2.168875	2.235291	3.497004
ENSBTAG00000001948	36.778214	47.036018	40.810017
ENSBTAG00000001952	0.0	0.0	0.0
ENSBTAG00000001959	0.0	0.0	0.0
ENSBTAG00000001962	14.336446	13.195066	15.166586
ENSBTAG00000001999	7.195183	7.894529	6.777273
ENSBTAG00000002000	28.524527	23.851761	17.529728
ENSBTAG00000002011	3.597206	4.035416	3.97069
ENSBTAG00000002018	103.6129	74.909805	67.719849
ENSBTAG00000002021	4.834875	3.855149	4.092306
ENSBTAG00000002026	93.765984	108.187386	92.810127
ENSBTAG00000002028	34.994793	42.111843	42.421345
ENSBTAG00000002060	89.284813	102.118286	112.038208
ENSBTAG00000002070	0.152488	0.0	0.061519
ENSBTAG00000002072	3.06676	2.567841	2.278392
ENSBTAG00000002073	4.958769	4.612652	4.861163
ENSBTAG00000002105	25.429417	19.938635	22.850336
ENSBTAG00000002107	4.087487	7.292046	7.399787
ENSBTAG00000002117	0.0	0.213384	0.045255
ENSBTAG00000002126	6.367035	5.059027	5.68678
ENSBTAG00000002130	7.75704	4.624726	4.698098
ENSBTAG00000002143	0.891841	0.470765	0.736987
ENSBTAG00000002219	4.137426	2.950526	3.153392
ENSBTAG00000002236	17.533457	11.101008	16.86385
ENSBTAG00000002242	17.3377	13.835684	17.361237
ENSBTAG00000002252	0.788695	0.0	0.15797
ENSBTAG00000002260	1.937325	1.197646	1.543443
ENSBTAG00000002321	12.77924	5.734475	8.053919
ENSBTAG00000002327	11.039839	9.233978	9.006969
ENSBTAG00000002340	0.118441	0.0	0.089952
ENSBTAG00000002368	1.138381	0.797099	1.047703
ENSBTAG00000002378	46.28376	27.626997	32.185677
ENSBTAG00000002385	3.346882	2.494879	2.498763
ENSBTAG00000002389	17.343529	16.823235	19.402262
ENSBTAG00000002398	6.142467	5.24111	6.527239
ENSBTAG00000002401	0.0	0.0	0.175348
ENSBTAG00000002404	57.69297	28.585957	30.541155
ENSBTAG00000002428	0.0	4.510159	6.599146
ENSBTAG00000002447	1.821119	1.99015	1.305469
ENSBTAG00000002454	7.738282	9.53952	9.650711
ENSBTAG00000002457	19.076797	21.638334	18.139458
ENSBTAG00000002458	1.945561	1.504145	1.451179
ENSBTAG00000002460	2.887142	3.259711	2.861706
ENSBTAG00000002462	13.858772	10.575299	11.036972
ENSBTAG00000002463	165.437714	187.143753	156.766083
ENSBTAG00000002468	79.326874	1.911672	1.949638
ENSBTAG00000002469	3.476259	1.879631	2.217994
ENSBTAG00000002472	11.078	12.85077	16.095839
ENSBTAG00000002473	1.526088	2.058511	1.643257
ENSBTAG00000002475	67.754456	44.293777	48.504444
ENSBTAG00000002490	8.916712	10.857655	7.963726
ENSBTAG00000002492	16.30356	16.611204	16.044701
ENSBTAG00000002493	47.170746	58.293003	56.375362
ENSBTAG00000002504	6.599974	7.611382	8.530149
ENSBTAG00000002518	0.532302	0.093291	0.748119
ENSBTAG00000002520	12.191017	11.957428	16.648731
ENSBTAG00000002550	1.216458	0.848782	0.57962
ENSBTAG00000002559	0.0	0.0	0.0
ENSBTAG00000002561	3.663653	2.715826	2.815044
ENSBTAG00000002562	69.885948	59.961121	52.728058
ENSBTAG00000002575	30.034275	26.634535	25.887161
ENSBTAG00000002583	1.353033	0.663911	0.82294
ENSBTAG00000002590	2.277797	1.243428	1.516456
ENSBTAG00000002600	5.78176	5.00859	5.364295
ENSBTAG00000002608	37.097328	30.196163	29.137943
ENSBTAG00000002625	19.566202	20.377682	21.614216
ENSBTAG00000002630	5.197643	4.104927	4.170936
ENSBTAG00000002635	0.358018	0.0	0.0
ENSBTAG00000002644	0.299123	0.161616	0.143592
ENSBTAG00000002645	14.305639	10.465869	12.499174
ENSBTAG00000002678	8.334423	8.911667	7.502221
ENSBTAG00000002683	11.622072	7.360933	6.078034
ENSBTAG00000002685	2.242579	0.807174	1.433748
ENSBTAG00000002693	17.139832	10.781885	11.360031
ENSBTAG00000002695	0.0	0.0	0.0
ENSBTAG00000002697	23.341881	22.266897	21.474314
ENSBTAG00000002703	174.98822	226.570923	245.589203
ENSBTAG00000002704	1.016583	1.058727	1.348379
ENSBTAG00000002706	0.983618	0.898267	0.69065
ENSBTAG00000002715	6.382516	1.512946	5.450869
ENSBTAG00000002719	0.058944	0.149162	0.060243
ENSBTAG00000002720	12.429911	13.608301	12.480867
ENSBTAG00000002721	3.777978	3.011687	3.841171
ENSBTAG00000002726	22.725365	27.287806	28.212208
ENSBTAG00000002736	4.326643	3.448889	4.356485
ENSBTAG00000002743	4.740552	1.686043	2.72232
ENSBTAG00000002745	49.615902	38.665527	42.610542
ENSBTAG00000002746	21.707438	18.009537	17.507187
ENSBTAG00000002748	22.177618	20.533792	20.180264
ENSBTAG00000002750	6.426436	5.069404	5.861758
ENSBTAG00000002763	2.191	1.397891	1.718665
ENSBTAG00000002764	13.830313	7.226661	7.569813
ENSBTAG00000002770	5.443981	4.88388	4.059162
ENSBTAG00000002798	9.166266	6.800842	7.310122
ENSBTAG00000002816	3.9528	2.974016	3.416417
ENSBTAG00000002817	6.118591	5.277106	5.839779
ENSBTAG00000002822	0.0	0.0	0.105517
ENSBTAG00000002827	12.323449	15.306707	10.378466
ENSBTAG00000002829	49.851524	54.669884	52.630566
ENSBTAG00000002854	8.297823	4.488861	3.838297
ENSBTAG00000002888	11.71812	11.966461	12.509737
ENSBTAG00000002890	7.696676	2.59136	4.938976
ENSBTAG00000002891	10.102869	9.1389	11.468516
ENSBTAG00000002918	1.445428	1.61052	1.621977
ENSBTAG00000002921	7.448969	8.141191	7.416701
ENSBTAG00000002966	6.641651	8.291166	7.683716
ENSBTAG00000002972	2.527853	2.336111	2.694298
ENSBTAG00000002977	7.455807	4.77734	5.696293
ENSBTAG00000002978	0.0	0.0	0.145118
ENSBTAG00000002999	21.167366	12.728665	10.20869
ENSBTAG00000003000	0.0	0.0	0.0
ENSBTAG00000003018	1.421291	0.631867	0.769655
ENSBTAG00000003052	5.64465	2.910853	3.666867
ENSBTAG00000003058	12.679475	8.511014	8.504533
ENSBTAG00000003061	0.551136	0.235469	0.400222
ENSBTAG00000003067	11.107089	8.813378	21.541079
ENSBTAG00000003083	1.768332	0.902363	1.180363
ENSBTAG00000003100	1.492477	0.282501	0.630884
ENSBTAG00000003111	1.781132	3.271044	3.67819
ENSBTAG00000003130	1.486737	2.257287	1.936188
ENSBTAG00000003148	6.910213	6.135341	6.46425
ENSBTAG00000003161	5.860265	3.635333	5.187599
ENSBTAG00000003162	30.416817	33.119888	33.365257
ENSBTAG00000003186	2.704181	3.352327	3.682248
ENSBTAG00000003192	1.079602	1.130798	0.681651
ENSBTAG00000003208	17.263901	19.642044	20.387125
ENSBTAG00000003238	0.151699	0.23931	0.193025
ENSBTAG00000003279	24.324497	12.020174	11.230956
ENSBTAG00000003357	0.0	0.0	0.0
ENSBTAG00000003361	12.709851	14.061389	13.516629
ENSBTAG00000003362	89.284225	88.700211	107.18856
ENSBTAG00000003371	60.27095	52.017193	51.609665
ENSBTAG00000003384	0.669878	1.226291	1.186226
ENSBTAG00000003390	11.74229	9.645946	10.126463
ENSBTAG00000003393	0.329442	0.276294	0.300512
ENSBTAG00000003401	34.302021	24.647936	33.44635
ENSBTAG00000003410	3.286649	3.259751	3.000203
ENSBTAG00000003423	49.500942	50.184666	51.129238
ENSBTAG00000003436	0.165066	0.0	0.075185
ENSBTAG00000003479	0.0	0.0	0.0
ENSBTAG00000003484	9.965644	6.910705	7.377806
ENSBTAG00000003494	1.207529	1.361398	1.745904
ENSBTAG00000003504	1.966037	1.33073	1.539157
ENSBTAG00000003535	13.552229	8.136423	8.20705
ENSBTAG00000003547	9.924269	10.510297	12.672121
ENSBTAG00000003556	11.676749	9.109593	8.4187
ENSBTAG00000003559	3.943905	3.129499	3.044156
ENSBTAG00000003566	18.314877	16.588625	17.868292
ENSBTAG00000003589	48.354279	26.815483	28.764826
ENSBTAG00000003594	0.0	0.0	0.0
ENSBTAG00000003614	4.870182	4.185011	4.656652
ENSBTAG00000003616	0.704169	1.09243	0.554336
ENSBTAG00000003622	3.163622	1.949779	2.191671
ENSBTAG00000003679	6.586441	9.142282	7.768921
ENSBTAG00000003682	0.117127	0.373103	0.338449
ENSBTAG00000003687	9.691625	8.052589	11.45206
ENSBTAG00000003691	9.302629	9.97526	8.555772
ENSBTAG00000003693	5.933533	3.861822	6.022024
ENSBTAG00000003695	17.512753	13.50885	17.02463
ENSBTAG00000003696	8.108191	5.376129	7.100374
ENSBTAG00000003697	31.765831	25.086809	22.732655
ENSBTAG00000003700	0.0	0.0	0.062702
ENSBTAG00000003702	23.631456	29.595932	30.964464
ENSBTAG00000003707	2.893534	1.7681	1.553559
ENSBTAG00000003711	72.164047	57.461121	57.469543
ENSBTAG00000003718	5.458723	3.347768	4.443151
ENSBTAG00000003733	0.310398	0.0	0.301258
ENSBTAG00000003747	5.846881	7.797523	9.094419
ENSBTAG00000003748	13.60093	13.78373	12.929027
ENSBTAG00000003784	6.976301	9.690017	9.607933
ENSBTAG00000003804	30.307489	24.45546	28.055538
ENSBTAG00000003809	2.39113	0.743096	0.915994
ENSBTAG00000003810	0.230348	0.214917	0.535867
ENSBTAG00000003813	3.867485	3.609609	2.822526
ENSBTAG00000003817	9.044642	5.496222	5.404851
ENSBTAG00000003819	1.371079	0.988555	1.187206
ENSBTAG00000003822	1.458707	0.584263	0.521741
ENSBTAG00000003832	0.498915	0.0	0.073035
ENSBTAG00000003843	5.573159	4.686475	5.16621
ENSBTAG00000003848	4.209867	5.122255	7.12276
ENSBTAG00000003849	3.321695	2.233621	2.530574
ENSBTAG00000003855	2.622577	2.833269	3.205472
ENSBTAG00000003861	2.734959	2.532325	2.823349
ENSBTAG00000003863	6.848414	4.501267	6.511933
ENSBTAG00000003878	4.142231	4.411737	5.312143
ENSBTAG00000003884	11.586843	13.499012	14.86339
ENSBTAG00000003887	106.69783	116.716728	107.06572
ENSBTAG00000003901	0.0	0.0	0.062125
ENSBTAG00000003904	12.059092	12.087405	13.270391
ENSBTAG00000003906	11.765632	12.968603	13.039596
ENSBTAG00000003934	14.222674	12.531556	15.410994
ENSBTAG00000003941	44.729733	50.226715	47.831066
ENSBTAG00000003947	5.824785	3.380558	6.085077
ENSBTAG00000003949	33.327236	34.101334	36.384113
ENSBTAG00000003954	27.400742	28.761435	33.923214
ENSBTAG00000003958	5.511727	4.707208	4.979384
ENSBTAG00000003963	0.14079	0.195247	0.264078
ENSBTAG00000003966	0.048254	0.084877	3.059441
ENSBTAG00000003970	1.178228	2.219375	3.708152
ENSBTAG00000003975	8.633061	6.215628	8.508097
ENSBTAG00000003977	0.0	0.0	0.0
ENSBTAG00000003981	3.484527	1.758262	2.107181
ENSBTAG00000003983	35.570183	25.28896	31.520191
ENSBTAG00000003997	25.776457	20.260569	23.995281
ENSBTAG00000004004	23.873466	13.825286	18.890097
ENSBTAG00000004009	9.822824	7.164814	7.613562
ENSBTAG00000004018	2.227104	1.01638	1.133317
ENSBTAG00000004019	0.117762	0.0	0.0
ENSBTAG00000004028	10.774678	10.961358	10.859317
ENSBTAG00000004034	4.124297	8.263469	10.55965
ENSBTAG00000004061	1.251574	1.085702	1.166924
ENSBTAG00000004085	0.593282	0.394177	0.80389
ENSBTAG00000004086	0.0	0.0	0.0
ENSBTAG00000004092	1.671322	1.535971	1.27753
ENSBTAG00000004095	0.0	0.0	0.0
ENSBTAG00000004098	25.574743	30.239759	28.473509
ENSBTAG00000004100	5.633723	4.989152	6.070197
ENSBTAG00000004108	6.096437	6.27855	5.487941
ENSBTAG00000004111	0.76899	0.531205	0.796972
ENSBTAG00000004112	5.178912	3.053714	3.751117
ENSBTAG00000004117	37.599693	27.645344	35.870918
ENSBTAG00000004172	2.01387	1.615601	2.205779
ENSBTAG00000004184	2.971342	3.716082	3.218206
ENSBTAG00000004188	13.32218	12.193282	16.619785
ENSBTAG00000004189	0.390816	0.196508	0.39298
ENSBTAG00000004191	2.293344	2.079751	2.884821
ENSBTAG00000004196	2.4855	1.877818	1.910524
ENSBTAG00000004204	0.0	0.0	0.0
ENSBTAG00000004206	3.24125	1.513143	2.823322
ENSBTAG00000004208	0.164966	0.450396	0.107096
ENSBTAG00000004211	6.060719	3.962759	5.255857
ENSBTAG00000004216	0.869383	1.811422	2.212152
ENSBTAG00000004222	6.844392	10.497887	9.797318
ENSBTAG00000004224	0.0	0.0	0.0
ENSBTAG00000004226	0.148444	0.10841	0.0
ENSBTAG00000004227	2.719163	3.581855	3.470206
ENSBTAG00000004230	21.408861	18.191435	29.062899
ENSBTAG00000004249	4.562386	6.746682	7.822556
ENSBTAG00000004267	0.442567	0.696318	0.911913
ENSBTAG00000004268	20.069099	14.623811	14.885013
ENSBTAG00000004269	43.617393	34.140999	32.747505
ENSBTAG00000004279	64.752838	63.383423	68.232094
ENSBTAG00000004284	6.652558	2.442692	2.683485
ENSBTAG00000004286	1.763388	0.682862	1.316943
ENSBTAG00000004290	5.389302	5.833577	5.561367
ENSBTAG00000004300	0.395985	0.378772	0.299301
ENSBTAG00000004310	19.475084	17.674358	20.850771
ENSBTAG00000004315	8.656582	5.613757	7.694318
ENSBTAG00000004333	44.052402	36.416447	39.280949
ENSBTAG00000004334	2.985643	2.615102	1.76452
ENSBTAG00000004337	11.573891	12.459315	15.485405
ENSBTAG00000004358	4.164636	3.201199	3.288952
ENSBTAG00000004375	0.056271	0.0	0.045392
ENSBTAG00000004378	17.254967	10.938708	12.654987
ENSBTAG00000004379	4.845947	3.452109	3.646203
ENSBTAG00000004380	15.955292	10.424375	13.176079
ENSBTAG00000004406	0.860411	1.612253	0.0
ENSBTAG00000004414	1.90519	1.168809	2.007745
ENSBTAG00000004415	0.677295	0.951816	1.229315
ENSBTAG00000004422	10.934654	9.970843	9.969599
ENSBTAG00000004449	11.008365	15.482752	15.960219
ENSBTAG00000004463	10.638571	8.354957	6.754458
ENSBTAG00000004471	20.715542	20.109762	20.596769
ENSBTAG00000004492	1.91489	1.619837	1.995828
ENSBTAG00000004495	40.913387	49.036259	50.593616
ENSBTAG00000004512	5.616672	4.319284	3.776972
ENSBTAG00000004521	4.950424	4.628314	3.981394
ENSBTAG00000004524	1.841652	0.755705	1.24511
ENSBTAG00000004568	0.452084	0.0	0.239437
ENSBTAG00000004571	12.26411	7.596128	7.814119
ENSBTAG00000004578	20.87258	13.98929	15.00136
ENSBTAG00000004622	195.277	165.66	183.5518
ENSBTAG00000004631	1.140958	1.678685	2.006062
ENSBTAG00000004635	11.08954	4.904158	6.285674
ENSBTAG00000004663	8.532987	5.414815	7.130238
ENSBTAG00000004664	6.886129	3.469489	4.325453
ENSBTAG00000004680	0.990353	0.832005	2.425163
ENSBTAG00000004694	0.0	0.051944	0.0
ENSBTAG00000004695	64.41747	46.69564	51.29552
ENSBTAG00000004722	5.387533	4.628457	4.884936
ENSBTAG00000004723	32.85412	34.69529	40.98716
ENSBTAG00000004745	13.5998	15.2102	16.12344
ENSBTAG00000004761	0.0	0.0	0.0
ENSBTAG00000004768	11.00116	7.853649	10.26135
ENSBTAG00000004788	18.3203	14.15965	17.57375
ENSBTAG00000004791	20.5565	16.28372	17.20347
ENSBTAG00000004820	0.0	2.934371	2.949513
ENSBTAG00000004842	14.11258	12.7515	14.77154
ENSBTAG00000004854	25.78662	31.75105	31.03085
ENSBTAG00000004864	1.140612	0.458448	0.870013
ENSBTAG00000004869	9.807897	13.26581	13.55283
ENSBTAG00000004879	15.71495	12.97191	13.49051
ENSBTAG00000004888	0.947478	1.89814	1.719818
ENSBTAG00000004902	6.533576	8.147779	7.292061
ENSBTAG00000004906	8.185948	4.957098	6.470325
ENSBTAG00000004910	53.11297	46.32818	47.00908
ENSBTAG00000004912	17.56537	17.63678	20.78691
ENSBTAG00000004913	10.25	8.606711	11.58511
ENSBTAG00000004915	62.42429	65.90037	60.97058
ENSBTAG00000004930	3.620675	4.005403	4.605203
ENSBTAG00000004936	3.216326	3.385362	2.745018
ENSBTAG00000004942	18.28643	12.11652	13.80075
ENSBTAG00000004943	1.126184	0.635715	0.741858
ENSBTAG00000004949	1.441843	1.477918	1.574914
ENSBTAG00000004951	0.341428	0.0	0.433082
ENSBTAG00000004956	0.49252	0.0	0.436127
ENSBTAG00000004962	1.048793	0.761733	1.434385
ENSBTAG00000004969	6.642035	5.286082	5.246257
ENSBTAG00000004970	8.15221	6.214709	6.53558
ENSBTAG00000004976	1.091596	0.959853	1.691201
ENSBTAG00000004991	1.256815	1.033175	1.161956
ENSBTAG00000004992	3.207745	1.535107	2.716871
ENSBTAG00000004995	12.53417	13.46201	15.70912
ENSBTAG00000004996	12.50424	10.81596	9.79787
ENSBTAG00000005002	1.809645	0.553943	1.665403
ENSBTAG00000005009	46.68806	38.94106	39.49948
ENSBTAG00000005010	0.0	0.0	0.0
ENSBTAG00000005038	0.09603	0.150912	0.298837
ENSBTAG00000005039	6.150203	3.899559	4.64699
ENSBTAG00000005042	35.5616	28.44749	38.19168
ENSBTAG00000005055	0.0	0.0	0.0
ENSBTAG00000005066	3.178235	2.684686	2.936131
ENSBTAG00000005071	13.44482	15.94972	17.97509
ENSBTAG00000005086	13.26966	14.38841	14.78402
ENSBTAG00000005093	0.406952	0.136419	0.0
ENSBTAG00000005102	1.744945	2.687972	2.697786
ENSBTAG00000005110	28.55545	24.14622	26.23915
ENSBTAG00000005116	2.703083	1.069529	1.844406
ENSBTAG00000005127	28.35687	27.82309	29.6344
