ENSEMBL gene ID	E1_HEAR3770	E1_HEAR3773	E1_HEAR3842	E1_HEAR3886	E4_Heart1	E4_Heart2	E4_Heart3
ENSBTAG00000001539	7.412025	8.318323	5.542028	5.129805	6.238544	9.651249	4.985985
ENSBTAG00000001545	0.031918	0.034423	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000001553	190.842545	209.48645	188.763046	182.705978	60.18711	69.20746	71.38335
ENSBTAG00000001574	1.091144	1.350803	0.478207	0.934312	1.814953	2.325491	1.300088
ENSBTAG00000001592	13.307683	15.143831	5.002201	2.458972	3.306575	2.404546	3.123644
ENSBTAG00000001593	8.30827	7.396487	6.901048	5.998814	0.93175	0.793695	2.185116
ENSBTAG00000001594	25.279667	26.688061	32.455856	27.999247	5.598269	5.283033	5.859633
ENSBTAG00000001597	4.453999	7.568322	2.90413	3.888836	0.0	0.218595	0.235769
ENSBTAG00000001603	0.836505	0.712003	1.851723	1.573605	4.086113	6.346669	4.016347
ENSBTAG00000001609	8.409469	8.829059	5.241618	6.120812	0.320405	1.474924	1.690718
ENSBTAG00000001615	0.201344	0.269479	0.553445	0.451505	0.0	0.0	0.0
ENSBTAG00000001632	12.292584	16.530952	11.070854	11.109523	5.414093	7.30899	8.880329
ENSBTAG00000001665	11.611497	12.264375	10.80267	9.881953	3.151962	2.050049	4.284665
ENSBTAG00000001666	1.217774	1.646149	0.823311	1.03604	1.912049	1.97735	1.810653
ENSBTAG00000001675	0.959761	0.724682	0.638427	0.800408	0.0	0.0	0.380822
ENSBTAG00000001697	40.213814	33.678543	30.450077	26.379358	18.31071	14.19715	15.92823
ENSBTAG00000001711	11.207685	13.139329	9.424033	8.191239	3.227377	1.826535	2.911308
ENSBTAG00000001714	1.608154	2.547667	1.164727	1.782053	0.232747	0.250271	0.454344
ENSBTAG00000001717	0.745075	1.547689	0.4529	0.251279	0.0	0.0	0.154271
ENSBTAG00000001737	2.107156	2.899172	2.163074	2.539464	4.227704	3.823404	2.891421
ENSBTAG00000001747	5.710534	6.09109	5.900321	6.435883	1.247221	2.007613	2.759276
ENSBTAG00000001762	17.054487	22.181503	20.626925	15.265429	0.754899	0.255975	0.886309
ENSBTAG00000001763	5.631192	5.121278	3.912364	3.88961	2.712731	0.760394	2.344735
ENSBTAG00000001776	46.99231	45.988689	41.09359	45.058712	11.37487	8.951889	15.16952
ENSBTAG00000001778	15.741365	12.653358	15.41009	11.431181	1.165345	0.836835	1.437743
ENSBTAG00000001780	14.847872	14.550724	14.126136	14.956295	2.2023	0.286467	2.338696
ENSBTAG00000001782	21.359053	18.88715	21.216917	15.627099	2.337113	4.779703	5.748694
ENSBTAG00000001790	11.837706	12.816698	11.232476	12.32669	2.16444	2.222404	3.22278
ENSBTAG00000001792	563.608276	447.756714	615.722656	506.730743	25.1351	32.05816	42.33019
ENSBTAG00000001793	1.494659	1.842294	1.195544	0.892081	0.78827	0.963675	0.5469
ENSBTAG00000001795	42.147324	46.513325	37.759064	44.103428	4.018593	2.766527	5.521937
ENSBTAG00000001796	0.20917	0.505319	0.476927	0.412713	0.0	0.0	0.026303
ENSBTAG00000001806	0.242159	0.719328	0.376732	0.36889	0.0	0.0	0.0
ENSBTAG00000001807	3.781795	4.442658	3.622623	3.34569	6.388366	6.591728	8.704423
ENSBTAG00000001814	36.909946	66.75531	17.725014	18.108831	0.314647	0.143812	0.487431
ENSBTAG00000001821	3.909	6.082032	3.806338	2.786251	2.714952	3.704731	3.08232
ENSBTAG00000001824	2.155271	3.575382	1.180464	1.150644	0.260745	0.0	0.085104
ENSBTAG00000001827	25.300465	28.557919	20.060831	23.631582	8.154695	6.584837	10.9424
ENSBTAG00000001828	11.394668	12.769658	11.171411	11.000385	1.192775	1.887843	1.982841
ENSBTAG00000001829	0.557316	1.243177	0.986687	0.631983	0.0	0.0	0.177274
ENSBTAG00000001830	0.313688	0.271681	0.113193	0.151017	0.0	0.0	0.0
ENSBTAG00000001832	29.815933	29.243229	29.49275	30.651552	17.5996	12.08345	17.83514
ENSBTAG00000001834	18.040792	17.758049	16.766405	13.960758	0.61287	0.648659	1.083721
ENSBTAG00000001843	110.811897	117.239105	102.854317	105.363121	14.43409	5.19185	15.68496
ENSBTAG00000001844	5.809106	7.375768	4.367348	4.01225	1.53127	1.84783	2.806857
ENSBTAG00000001848	9.273759	10.014998	7.418652	7.391215	0.240951	0.3516	0.753136
ENSBTAG00000001854	20.637217	20.945564	16.750551	18.055426	2.313551	2.908208	4.864811
ENSBTAG00000001855	172.481323	146.832199	146.841125	162.287994	58.2003	42.07019	73.74543
ENSBTAG00000001856	38.084766	38.498455	34.43829	41.330959	32.0672	26.5699	36.814
ENSBTAG00000001857	1.989808	2.971806	2.315977	1.684355	0.597632	0.514803	1.163769
ENSBTAG00000001872	3.376753	5.797122	3.596978	4.336987	1.001369	1.622556	2.745541
ENSBTAG00000001904	7.105664	11.18149	7.606723	6.892835	1.141158	1.420948	2.979011
ENSBTAG00000001917	0.035852	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000001922	12.950429	13.640935	13.18853	12.964735	4.105945	4.635458	5.685587
ENSBTAG00000001927	1.394361	0.747911	0.311368	0.917028	0.632369	0.0	0.112105
ENSBTAG00000001928	84.200188	101.402206	85.365761	94.308044	32.27544	26.88558	28.78722
ENSBTAG00000001937	188.163651	169.016769	186.340851	160.74176	6.595364	8.011989	14.88681
ENSBTAG00000001938	9.759657	8.581901	7.779897	5.977393	2.713367	2.812462	2.43702
ENSBTAG00000001945	1.122734	0.753842	1.128895	1.270405	1.868658	1.156781	0.601464
ENSBTAG00000001947	0.564623	0.069059	0.06248	0.207752	0.323425	0.592012	0.538788
ENSBTAG00000001948	125.819717	144.347763	143.122116	162.690567	18.27041	14.31315	27.09733
ENSBTAG00000001952	0.0	0.031058	0.024375	0.101929	0.0	0.0	0.0
ENSBTAG00000001959	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000001962	27.587765	27.195984	19.141668	25.184908	13.11233	12.65212	20.70125
ENSBTAG00000001999	2.127001	3.49582	2.624505	3.82013	1.821722	2.824847	2.52193
ENSBTAG00000002000	344.827637	299.765381	341.395752	312.493439	47.50127	32.75409	40.73527
ENSBTAG00000002011	0.0	0.0	0.017509	0.0	0.0	0.0	0.484579
ENSBTAG00000002018	303.429749	271.593262	292.914307	299.358459	40.02349	32.98085	51.92327
ENSBTAG00000002021	5.447118	4.717772	3.185532	4.155764	1.288862	2.524737	2.090011
ENSBTAG00000002026	963.640198	1046.397217	1091.463623	994.050842	144.9049	129.1653	170.3747
ENSBTAG00000002028	2.754323	2.150896	2.678878	2.591551	2.947638	3.564676	4.16025
ENSBTAG00000002060	1604.504883	1805.97229	2049.633057	1683.556396	108.2642	48.34602	108.7122
ENSBTAG00000002070	0.0	0.0	0.091844	0.040983	0.0	0.0	0.0
ENSBTAG00000002072	7.930927	8.975494	5.717198	5.817786	0.283998	0.54578	0.867354
ENSBTAG00000002073	4.349885	4.000812	3.046326	3.697559	2.224295	3.278384	3.988411
ENSBTAG00000002105	15.790817	15.855261	12.42063	12.467116	9.039966	8.517352	13.7145
ENSBTAG00000002107	3.266593	5.689128	2.621519	1.90913	0.87657	0.263213	0.943292
ENSBTAG00000002117	0.147377	0.1934	0.056831	0.043705	0.0	0.0	0.043891
ENSBTAG00000002126	16.259529	17.016109	12.776429	14.545455	17.96986	17.52164	20.64213
ENSBTAG00000002130	8.711467	11.030084	7.210538	6.001524	2.673146	0.900498	3.014506
ENSBTAG00000002143	0.986587	3.23226	1.351164	1.264976	0.0	0.0	0.322465
ENSBTAG00000002219	10.613442	8.722642	6.174966	7.293128	1.001409	0.281174	2.552111
ENSBTAG00000002236	13.961344	20.033787	11.454809	12.640623	1.202353	1.8649	3.124929
ENSBTAG00000002242	12.956203	12.216754	12.320294	10.492571	1.798303	3.821403	5.330158
ENSBTAG00000002252	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000002260	1.925669	2.208558	0.952239	1.231143	0.205188	0.454581	0.544483
ENSBTAG00000002321	22.869972	24.871059	18.659357	20.028898	9.660633	7.049496	13.09765
ENSBTAG00000002327	22.768385	20.583324	26.900877	24.049648	0.0	1.85905	1.990589
ENSBTAG00000002340	0.55658	0.641976	0.494973	0.499525	0.261565	0.219868	0.64718
ENSBTAG00000002368	0.607544	0.841992	0.663105	0.921505	0.267912	0.044461	0.517079
ENSBTAG00000002378	52.589211	80.323227	49.407856	47.64183	7.645249	6.908267	14.61919
ENSBTAG00000002385	22.620459	21.902382	14.063555	12.515035	1.773498	0.686862	2.130292
ENSBTAG00000002389	16.848627	19.763416	19.993967	16.922421	6.934997	4.123684	7.032744
ENSBTAG00000002398	0.751176	0.913207	0.93873	0.929548	1.925079	3.141317	3.27074
ENSBTAG00000002401	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000002404	49.475681	52.443119	46.619648	47.719242	20.28357	5.572645	8.287114
ENSBTAG00000002428	63.529793	47.525135	75.371788	86.042336	0.0	5.84312	4.645899
ENSBTAG00000002447	0.57115	0.933791	0.802657	0.747557	0.0	0.19797	0.156724
ENSBTAG00000002454	5.860136	6.516043	5.391049	4.44224	9.696892	6.080376	4.625344
ENSBTAG00000002457	78.346939	80.490601	88.068474	75.682114	9.542017	7.442295	12.33191
ENSBTAG00000002458	2.232298	3.154959	2.011601	1.610685	1.358947	0.504169	0.832603
ENSBTAG00000002460	7.8592	8.011781	9.113386	7.445703	4.233937	4.027872	4.84767
ENSBTAG00000002462	56.272415	55.055538	62.960739	66.605461	16.70723	12.56955	10.50989
ENSBTAG00000002463	519.205322	410.239777	546.278625	542.085754	263.1614	291.4768	233.2045
ENSBTAG00000002468	3081.321045	3271.464355	3938.743896	3065.153564	0.0	36.61449	73.55975
ENSBTAG00000002469	33.103039	60.761097	26.591591	25.826138	4.468761	1.683016	5.684756
ENSBTAG00000002472	2.281917	3.133216	1.787226	1.863673	1.622905	2.050101	1.586447
ENSBTAG00000002473	1.044945	2.342318	4.813077	1.529783	4.758303	3.147681	5.386789
ENSBTAG00000002475	92.616631	114.86055	102.893417	90.521439	9.988011	8.156729	13.5511
ENSBTAG00000002490	163.415878	155.39299	157.310852	162.780136	8.685722	18.97208	9.178785
ENSBTAG00000002492	2.954271	4.268271	5.113204	5.16373	16.58326	16.15321	9.809998
ENSBTAG00000002493	18.558672	20.142033	17.07019	18.536125	19.57997	26.36171	24.84189
ENSBTAG00000002504	2.334791	3.279035	1.854333	1.565874	2.465033	3.111724	2.527314
ENSBTAG00000002518	0.0	0.0	0.0	0.054993	0.0	0.0	0.0
ENSBTAG00000002520	7.055731	8.857582	5.998247	6.912467	5.44222	5.803357	4.777689
ENSBTAG00000002550	0.947965	0.290215	0.911904	0.584375	0.775173	0.068855	0.459613
ENSBTAG00000002559	0.105354	0.28024	0.371739	0.248011	0.0	0.0	0.0
ENSBTAG00000002561	0.0	0.0	0.0	0.0	0.394714	0.853708	0.99461
ENSBTAG00000002562	0.0	0.0	0.0	0.0	7.429781	6.917195	12.26089
ENSBTAG00000002575	56.667614	52.411476	58.452511	48.63258	12.61342	17.41253	16.96643
ENSBTAG00000002583	0.0	0.178303	0.018326	0.0	0.0	0.0	0.0
ENSBTAG00000002590	6.637063	7.571918	6.420114	7.206164	0.0	0.293001	0.081682
ENSBTAG00000002600	0.904041	0.740407	0.96461	0.868446	0.354761	0.628829	0.469056
ENSBTAG00000002608	46.552139	66.540985	34.250069	34.616318	11.07367	15.37927	12.62515
ENSBTAG00000002625	5.076053	5.213358	4.289209	4.569348	9.127748	8.923445	7.187865
ENSBTAG00000002630	5.537067	7.387805	3.363386	3.245782	0.606	0.158081	0.822906
ENSBTAG00000002635	0.10508	0.95949	0.088642	0.174422	0.0	0.0	0.0
ENSBTAG00000002644	0.675206	1.526248	0.267595	0.424124	0.04338	0.0	0.297568
ENSBTAG00000002645	14.120587	22.709904	12.289854	13.125293	2.680786	1.393324	4.706152
ENSBTAG00000002678	5.71938	7.17886	6.486647	5.565995	4.348984	1.488366	2.741907
ENSBTAG00000002683	18.181786	28.973921	12.326176	11.391379	0.473494	0.0	0.586881
ENSBTAG00000002685	20.232355	18.976589	15.698416	17.079533	0.91004	0.77086	1.295035
ENSBTAG00000002693	10.785287	12.733633	10.48638	10.345635	5.340127	5.438185	8.715224
ENSBTAG00000002695	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000002697	7.705685	13.74618	6.734581	5.902416	5.42211	5.141352	6.730066
ENSBTAG00000002703	4.499378	5.079007	3.749836	3.749537	8.035373	7.067084	6.054467
ENSBTAG00000002704	4.696409	4.633352	3.825419	3.853747	0.195134	0.198657	0.752094
ENSBTAG00000002706	6.84542	5.012699	7.03657	6.566998	0.530163	0.0	0.98458
ENSBTAG00000002715	7.229613	9.924928	7.566357	7.775983	1.66462	1.633771	2.624116
ENSBTAG00000002719	0.206017	0.22367	0.028555	0.117407	0.0	0.0	0.055154
ENSBTAG00000002720	4.829577	4.799803	3.177265	3.888326	9.060746	6.827546	5.322663
ENSBTAG00000002721	1.601072	1.691182	1.212063	1.3853	1.948384	1.486898	1.543891
ENSBTAG00000002726	2.457357	3.293671	2.488958	2.654762	6.463508	8.490076	5.3905
ENSBTAG00000002736	2.963686	3.51147	2.00088	1.930822	0.763908	0.594257	0.669061
ENSBTAG00000002743	13.045937	15.040962	16.124144	18.987432	1.367427	1.443396	1.487144
ENSBTAG00000002745	55.22506	46.139996	47.410625	43.561073	20.90597	12.94004	19.64017
ENSBTAG00000002746	42.350925	44.740448	33.273571	34.663113	22.0512	17.00364	13.46222
ENSBTAG00000002748	10.142415	11.04849	8.677031	7.84956	4.644301	3.569333	4.23734
ENSBTAG00000002750	4.085883	5.129464	3.787055	4.212593	4.106058	3.075986	2.146847
ENSBTAG00000002763	2.264144	4.370883	2.13183	2.249063	0.372524	0.432262	0.531367
ENSBTAG00000002764	2.549014	2.75579	1.040395	1.554399	0.993384	2.3086	3.659011
ENSBTAG00000002770	50.700325	72.952003	35.916306	33.01572	5.738578	2.590816	6.858527
ENSBTAG00000002798	27.246937	25.11944	24.88747	27.670582	6.521681	2.691203	3.88367
ENSBTAG00000002816	1.816438	2.86037	0.92756	0.714014	0.0	0.128498	0.1039
ENSBTAG00000002817	0.962537	1.191171	0.647841	0.586697	0.173456	0.227195	0.385366
ENSBTAG00000002822	0.174938	0.0	0.109438	0.179792	0.141661	0.0	0.483561
ENSBTAG00000002827	6.018656	6.740668	3.979153	3.112017	0.420894	0.585362	0.293032
ENSBTAG00000002829	67.05764	62.577774	65.690697	77.280632	30.39887	22.39864	25.42837
ENSBTAG00000002854	28.215874	34.756901	21.417133	26.823757	7.166667	5.274593	10.16483
ENSBTAG00000002888	1.415863	3.18942	1.434098	1.407552	1.736899	1.626291	0.974674
ENSBTAG00000002890	0.0	0.0	0.0	0.0	1.60086	1.235793	2.494785
ENSBTAG00000002891	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000002918	1.772704	2.374662	1.349525	1.37181	2.323602	1.687209	1.421641
ENSBTAG00000002921	9.040371	8.115705	6.74766	9.020176	4.983581	3.315739	4.512159
ENSBTAG00000002966	1.879835	2.899432	1.410354	1.42336	4.26584	4.384994	4.071764
ENSBTAG00000002972	0.454157	0.622776	0.572451	0.641891	0.430917	0.41361	0.320982
ENSBTAG00000002977	40.592484	78.868721	38.572464	36.379036	9.541473	6.574876	11.51136
ENSBTAG00000002978	0.156034	0.042463	0.153343	0.018447	0.0	0.0	0.0
