Mouse_BIP_number,Algerian_mouse_BIP_number,Chinese hamster_BIP_number,Rat_BIP_number,Ryukyu_mouse_BIP_number,Shrew_mouse_BIP_number
3100,2222,,,,1412
3101,2223,519,1593,,1413
3102,2224,520,1594,,1414
3121,2241,,,2244,1429
3123,2243,,,2246,1431
3127,2246,,,2250,1435
3128,2247,,,2251,1436
3137,2256,,,,
3140,2260,,,,1448
3149,2268,,,2264,1454
3165,2279,,,2276,1467
3170,2283,,,2279,1472
3174,2287,,,2283,1476
3175,2288,,,2284,1477
3182,2294,,,2289,1201
3188,2300,,,2295,1207
3189,2301,,,2296,1208
3199,2310,,,2303,1215
32,23,,2189,27,2114
321,233,,,238,
323,,,,240,
3239,2330,,51,2322,
3240,2331,,52,2323,
3272,2350,,,2341,6
3291,2368,,87,2359,25
3299,2378,,,2368,33
3313,2382,,,2371,
3318,2387,,97,2376,38
3319,,,,2377,39
3322,2389,,,,41
3334,,,,2381,
3388,2426,,,2415,77
3392,2430,,,2418,
3393,2431,,,2419,
3398,,,,2422,81
3399,,,,2423,82
3431,2456,,,2444,103
3442,2465,357,152,2453,112
3451,2473,,,2462,120
3481,2481,1032,170,2470,127
3485,2484,,,2472,129
3489,2486,1034,,2474,131
3499,2491,,,2480,137
35,27,,,30,2117
3505,2495,,,2484,141
3510,,1042,181,2488,147
3514,2500,1044,184,2491,149
3515,2501,,,2492,150
3521,2507,1050,188,2498,156
3547,2534,1064,208,2521,
3555,2540,1065,213,2527,187
3567,2550,1070,220,2537,197
3578,2556,1074,,2544,205
3579,2557,1075,,2545,
3601,2569,,,2561,1250
3620,2579,,,,1259
3629,2586,,,2573,1267
3632,2588,,,2575,1269
3635,2592,,,2579,1273
3653,2603,,,2589,1283
3696,2632,,,2618,1308
37,29,,,32,2119
3718,2646,,,,
3719,2647,,,,
3730,2654,,,2639,1499
3731,2655,,,2640,
3732,2656,,,2641,1500
3740,2666,437,,2654,
3755,2683,,1077,2670,1518
3767,2696,450,1088,2682,1530
3787,2712,,,2698,1546
3792,2716,,,,
3794,2718,,,2703,1551
38,30,,,33,2120
3801,2724,,,2708,1555
3812,2737,877,1128,2720,1567
3824,2743,,2028,,
3827,,,2030,2727,319
3846,2753,,2037,2736,331
3886,2775,,,2758,352
3904,2783,,,2764,359
3915,2792,,,2774,
3930,2804,,,2784,377
3933,2806,,,2787,378
3967,2827,,,2806,
3970,2830,,,2807,400
399,284,,,292,
4006,2860,,,,437
4007,2861,,,2839,438
4008,2862,,,2840,439
4009,2863,,2117,2841,440
4015,2868,,,2846,445
4022,2874,,,2852,452
4027,2878,,,2856,456
403,288,,791,296,
4063,2897,,,2876,2705
4099,2923,,,2903,2736
4108,2931,,,2911,
411,296,,,303,
4141,2953,,,2932,2760
428,304,,359,311,672
461,327,,,336,696
463,329,,,338,698
474,340,763,383,351,709
476,,,,352,
477,344,,,354,710
489,352,,,362,718
493,,769,,,
494,356,770,,366,722
510,369,,,379,732
512,371,,405,381,734
518,378,,411,388,741
519,379,,412,389,742
522,382,779,,392,745
523,,780,,,
530,389,781,416,400,752
554,409,,,420,774
563,414,,,426,781
564,415,,437,427,782
591,434,,,445,802
60,46,,,,
602,444,,,455,812
608,449,,,460,817
611,452,,,464,820
617,457,,,469,824
625,464,,,476,830
628,465,,,478,
640,474,240,,489,841
642,476,,472,491,844
644,,,,493,846
663,490,,,506,856
674,497,,,516,
676,499,,,,867
682,,252,497,,
69,55,,2215,59,2145
71,57,,,61,
711,529,,,547,896
712,530,263,,548,
716,534,265,518,552,901
719,,,,555,904
731,545,272,525,565,914
732,546,,,566,915
767,565,,,586,2418
799,584,,1840,608,2442
80,67,,,72,2157
810,593,,1847,616,2450
819,600,,,622,
851,622,,1866,642,2477
863,628,,,648,2483
864,629,,,649,2484
865,630,,,650,2485
866,631,,,651,2486
867,632,,,652,2487
868,633,,,653,2488
869,634,,,654,2489
870,635,,,655,
871,636,,,656,
872,,,,657,
873,,,,658,
884,648,,,668,2504
885,,,,669,2505
954,666,941,,688,995
962,671,,,695,1002
